0.308030784193478-0.00001533852521865778*I	0.10989752950489452-0.00001495386631464911*I	0.04623018748142704-0.000012927140519026438*I	0.02284396987087247-0.000011177927915836564*I	0.012934724325738809-9.728311383963221*^-6*I	0.008097585904787968-8.415649077023879*^-6*I	0.005399047136338611-7.1271244975940184*^-6*I	0.003696002117518061-5.804308517308584*^-6*I	0.0024929512639081082-4.4246181884270675*^-6*I	0.0015521938583772888-2.987504921790688*^-6*I	0.000747011618542344-1.5057896890718064*^-6*I
0.10989752950489452-0.00001495386631464911*I	0.35426097167490495-0.000028265665737684213*I	0.13274149937576696-0.000026131794230485667*I	0.059164911807165814-0.000022655451902989658*I	0.030941555775660427-0.000019593576992860432*I	0.018333771462077406-0.00001685543588155723*I	0.011793588022306022-0.00001421995759433246*I	0.007891998400246718-0.000011551742686021083*I	0.005248195975895349-8.791813439099268*^-6*I	0.003239962882450452-5.9304078774988724*^-6*I	0.0015521938583772888-2.987504921790687*^-6*I
0.04623018748142704-0.00001292714051902644*I	0.132741499375767-0.00002613179423048568*I	0.36719569600064383-0.00003799397712164745*I	0.14083908528055497-0.000034547443307509563*I	0.06456395894350446-0.00002978257640058368*I	0.03463755789317849-0.000025397885510169027*I	0.020826722725985528-0.00002128005406998432*I	0.013345781880683328-0.000017207462516123165*I	0.00863901001878907-0.000013057532375092904*I	0.005248195975895353-8.791813439099281*^-6*I	0.0024929512639081104-4.424618188427072*^-6*I
0.02284396987087247-0.00001117792791583657*I	0.05916491180716584-0.000022655451902989675*I	0.14083908528055497-0.00003454744330750956*I	0.37259474313698243-0.00004512110161924147*I	0.14453508739807297-0.00004035175182481813*I	0.06705691020741254-0.00003420719458901075*I	0.036189751751555796-0.00002838539043195973*I	0.021573734344527886-0.000022785843759056147*I	0.013345781880683333-0.000017207462516123176*I	0.007891998400246727-0.000011551742686021103*I	0.003696002117518065-5.804308517308592*^-6*I
0.012934724325738816-9.728311383963233*^-6*I	0.03094155577566045-0.000019593576992860466*I	0.06456395894350445-0.000029782576400583696*I	0.14453508739807303-0.00004035175182481815*I	0.3750876944008905-0.00004954571980766854*I	0.14608728125645026-0.00004333925674660884*I	0.06780392182595492-0.00003571298427808258*I	0.03618975175155582-0.000028385390431959753*I	0.02082672272598555-0.000021280054069984343*I	0.011793588022306045-0.000014219957594332489*I	0.005399047136338619-7.127124497594032*^-6*I
0.008097585904787975-8.41564907702389*^-6*I	0.01833377146207743-0.000016855435881557262*I	0.03463755789317852-0.000025397885510169047*I	0.06705691020741258-0.00003420719458901076*I	0.1460872812564503-0.000043339256746608836*I	0.3758347060194328-0.000051051509496740346*I	0.14608728125645035-0.00004333925674660885*I	0.0670569102074126-0.000034207194589010784*I	0.034637557893178524-0.00002539788551016906*I	0.018333771462077438-0.000016855435881557275*I	0.00809758590478798-8.415649077023898*^-6*I
0.005399047136338614-7.127124497594024*^-6*I	0.011793588022306033-0.000014219957594332473*I	0.02082672272598553-0.000021280054069984322*I	0.03618975175155579-0.00002838539043195973*I	0.06780392182595489-0.000035712984278082575*I	0.14608728125645026-0.000043339256746608856*I	0.37508769440089046-0.00004954571980766859*I	0.14453508739807303-0.0000403517518248182*I	0.06456395894350449-0.000029782576400583744*I	0.03094155577566047-0.00001959357699286049*I	0.012934724325738826-9.728311383963248*^-6*I
0.0036960021175180637-5.80430851730859*^-6*I	0.007891998400246727-0.000011551742686021103*I	0.013345781880683335-0.000017207462516123176*I	0.02157373434452789-0.000022785843759056147*I	0.0361897517515558-0.00002838539043195975*I	0.06705691020741258-0.000034207194589010784*I	0.1445350873980731-0.0000403517518248182*I	0.37259474313698254-0.000045121101619241556*I	0.14083908528055505-0.00003454744330750964*I	0.05916491180716589-0.000022655451902989722*I	0.022843969870872505-0.000011177927915836594*I
0.002492951263908111-4.4246181884270735*^-6*I	0.005248195975895354-8.791813439099283*^-6*I	0.008639010018789072-0.000013057532375092917*I	0.013345781880683335-0.000017207462516123186*I	0.02082672272598555-0.000021280054069984346*I	0.03463755789317853-0.000025397885510169078*I	0.06456395894350453-0.000029782576400583757*I	0.14083908528055505-0.00003454744330750964*I	0.36719569600064395-0.00003799397712164753*I	0.13274149937576707-0.000026131794230485732*I	0.046230187481427064-0.000012927140519026469*I
0.0015521938583772901-2.9875049217906906*^-6*I	0.003239962882450456-5.93040787749888*^-6*I	0.005248195975895355-8.791813439099283*^-6*I	0.007891998400246729-0.000011551742686021105*I	0.011793588022306043-0.00001421995759433249*I	0.01833377146207744-0.00001685543588155728*I	0.030941555775660486-0.000019593576992860497*I	0.059164911807165904-0.000022655451902989722*I	0.13274149937576704-0.000026131794230485725*I	0.35426097167490506-0.000028265665737684267*I	0.10989752950489455-0.000014953866314649131*I
0.0007470116185423444-1.5057896890718083*^-6*I	0.0015521938583772901-2.987504921790691*^-6*I	0.0024929512639081104-4.424618188427074*^-6*I	0.0036960021175180646-5.804308517308593*^-6*I	0.005399047136338617-7.127124497594034*^-6*I	0.00809758590478798-8.415649077023901*^-6*I	0.01293472432573883-9.728311383963255*^-6*I	0.022843969870872505-0.000011177927915836599*I	0.046230187481427064-0.00001292714051902647*I	0.10989752950489456-0.000014953866314649134*I	0.30803078419347796-0.0000153385252186578*I
