0.-0.8487794862755988*I	-0.4999575448044818+0.*I	0.+0.1697564112433948*I	0.000015098787970556138+0.*I	0.+0.02423301687377702*I	0.000015510556907501274+0.*I	0.+0.008068608323875223*I	-3.853963605565314*^-6+0.*I	0.+0.0036286052716214823*I	0.000022856626550670896+0.*I	0.+0.001957214703195348*I	-0.000015818980936279697+0.*I	0.+0.0011162302253953094*I	0.00002058411947646786+0.*I	0.+0.0007179165316271163*I	-8.779464943414127*^-6+0.*I	0.+0.00043666128276054206*I	6.8848236743788895*^-6+0.*I	0.+0.00027692975216504767*I	-3.9106751426257265*^-7+0.*I	0.+0.0001487975311602885*I	7.470330798096738*^-7+0.*I	0.+0.000047531351804908084*I
-0.000015818976915777945+0.*I	0.+0.003073444930646074*I	0.000027621752667777166+0.*I	0.+0.007419966741664459*I	0.000014988328118813722+0.*I	0.+0.015925236337244682*I	0.00003738370909317558+0.*I	0.+0.04043518297886445*I	0.00005209144190711111+0.*I	0.+0.21034039175200508*I	-0.49990470634086276+0.*I	0.-0.6383915631789218*I	-0.49990470633262474+0.*I	0.+0.21034039174115593*I	0.00005209142363346269+0.*I	0.+0.04043518297777319*I	0.00003738372812465781+0.*I	0.+0.015925236346548553*I	0.000014988326194337613+0.*I	0.+0.007419966741685105*I	0.000027621760888063116+0.*I	0.+0.003073444938235266*I	-0.000015818987496030168+0.*I
0.+0.00111623021850224*I	4.765133757442291*^-6+0.*I	0.+0.003791361482722619*I	0.000018842294981116966+0.*I	0.+0.007856628005537825*I	0.00002187315876801976+0.*I	0.+0.01620216610872606*I	0.000036992655155995516+0.*I	0.+0.04058398049423459*I	0.00005283847314088278+0.*I	0.+0.2103879231042641*I	-0.49990470633793593+0.*I	0.-0.638439094542525*I	-0.49990545337069636+0.*I	0.+0.2101915942328067*I	0.00005248250616162791+0.*I	0.+0.04015825321535654*I	0.000030498889284988054+0.*I	0.+0.015488575070086233*I	0.000023767794139618013+0.*I	0.+0.006702050196742873*I	7.037642998355143*^-6+0.*I	0.+0.0019572147180372257*I
0.000020584120174253837+0.*I	0.+0.0018341467734621576*I	-4.014327530000733*^-6+0.*I	0.+0.004228022742561715*I	0.00002572712895292931+0.*I	0.+0.00813355776972367*I	0.000021482082158728885+0.*I	0.+0.016350963626865594*I	0.000037739690497167784+0.*I	0.+0.04063151185853081*I	0.000052838477720435026+0.*I	0.+0.21034039174483746*I	-0.4999054533805288+0.*I	0.-0.6385878920561098*I	-0.49990506230852866+0.*I	0.+0.20991466447293258*I	0.00004559768165312966+0.*I	0.+0.0397215919399682*I	0.000039278355502124956+0.*I	0.+0.014770658532131149*I	3.183673631468518*^-6+0.*I	0.+0.0055858199736745886*I	0.000022856621821554235+0.*I
0.+0.0007179165464899773*I	0.000011804653082526949+0.*I	0.+0.002270808050615178*I	2.870503291730958*^-6+0.*I	0.+0.0045049525030806115*I	0.000025336052222797338+0.*I	0.+0.00828235530033021*I	0.000022229122918596024+0.*I	0.+0.016398494980878447*I	0.00003773968612912788+0.*I	0.+0.04058398049950962*I	0.00005209142991920317+0.*I	0.+0.21019159421285727*I	-0.4999050622949029+0.*I	0.-0.638864821808438*I	-0.49991194713080184+0.*I	0.+0.20947800318661006*I	0.00005437713843421309+0.*I	0.+0.03900367540340993*I	0.00001869423623354981+0.*I	0.+0.013654428303557634*I	0.000019002654369018754+0.*I	0.+0.003628605264672999*I
-8.779464206345538*^-6+0.*I	0.+0.0011545778159298035*I	0.000018689479658501554+0.*I	0.+0.002547737802242414*I	2.479426365782362*^-6+0.*I	0.+0.004653750030195495*I	0.000026083096089725045+0.*I	0.+0.008329886654634569*I	0.0000222291239292838+0.*I	0.+0.016350963627888397*I	0.00003699265622508961+0.*I	0.+0.04043518297566682*I	0.00005248249797190013+0.*I	0.+0.2099146644636227*I	-0.4999119471252466+0.*I	0.-0.6393014830932955*I	-0.49990316767555465+0.*I	0.+0.20876008665258886*I	0.00003379302336081314+0.*I	0.+0.037887445179904784*I	0.000034513215120943214+0.*I	0.+0.011697213593398103*I	-3.853968867706392*^-6+0.*I
0.+0.00043666127511433894*I	-1.8946374114829052*^-6+0.*I	0.+0.0014315075776154818*I	0.000018298412422790523+0.*I	0.+0.002696535327977187*I	3.2264671666890876*^-6+0.*I	0.+0.004701281383514402*I	0.000026083089966752944+0.*I	0.+0.00828235530358419*I	0.000021482084596692663+0.*I	0.+0.016202166103076787*I	0.000037383713352787964+0.*I	0.+0.040158253210853756*I	0.00004559768407181901+0.*I	0.+0.20947800318615148*I	-0.49990316766918874+0.*I	0.-0.6400193996240927*I	-0.49992375178928117+0.*I	0.+0.20764385642839087*I	0.00004961200168191859+0.*I	0.+0.03593023045954309*I	0.000011656592517594652+0.*I	0.+0.008068608327269966*I
6.884825543220065*^-6+0.*I	0.+0.0007135910298257094*I	-2.2857015108714967*^-6+0.*I	0.+0.0015803051031744078*I	0.00001904544280258373+0.*I	0.+0.002744066677853054*I	3.226467438166549*^-6+0.*I	0.+0.004653750030604281*I	0.000025336043730697607+0.*I	0.+0.00813355777541765*I	0.00002187316262710428+0.*I	0.+0.01592523634559207*I	0.00003049888931247797+0.*I	0.+0.03972159194197838*I	0.00005437714378815793+0.*I	0.+0.20876008664686577*I	-0.49992375179146925+0.*I	0.-0.6411356298579935*I	-0.499907932798586+0.*I	0.+0.2056866417118886*I	0.000026755371274896227+0.*I	0.+0.03230162520506641*I	0.000015510565463228154+0.*I
0.+0.00027692976098397937*I	6.493756968995191*^-6+0.*I	0.+0.0008623885578968177*I	-1.5386664809675807*^-6+0.*I	0.+0.0016278364560249614*I	0.000019045442302086908+0.*I	0.+0.002696535325795099*I	2.479430621246697*^-6+0.*I	0.+0.004504952512442595*I	0.000025727115633607784+0.*I	0.+0.007856628010793981*I	0.00001498832947063384+0.*I	0.+0.015488575069430202*I	0.0000392783509332904+0.*I	0.+0.03900367539356031*I	0.000033793028123256185+0.*I	0.+0.20764385643361155*I	-0.4999079328068813+0.*I	0.-0.6430928445667733*I	-0.49993078942643904+0.*I	0.+0.2020580364532068*I	0.000030609347102712164+0.*I	0.+0.024233016872427404*I
-3.9107443892960614*^-7+0.*I	0.+0.00042572728286208443*I	7.2407988119874145*^-6+0.*I	0.+0.0009099199117894639*I	-1.5386701765832123*^-6+0.*I	0.+0.00158030510128433*I	0.000018298415982630212+0.*I	0.+0.0025477378014550607*I	2.8704915401925324*^-6+0.*I	0.+0.00422802274351393*I	0.000018842301643944015+0.*I	0.+0.007419966734028011*I	0.000023767794529894193+0.*I	0.+0.014770658533101336*I	0.000018694241903288722+0.*I	0.+0.037887445179400306*I	0.000049612002857024606+0.*I	0.+0.20568664171771392*I	-0.4999307894253908+0.*I	0.-0.6467214498333153*I	-0.4999269354565638+0.*I	0.+0.1939894281299502*I	0.000015098789158507486+0.*I
0.+0.00014879752723198636*I	3.559720904686564*^-7+0.*I	0.+0.0004732586417371121*I	7.240794533540555*^-6+0.*I	0.+0.0008623885435545542*I	-2.2857096486202554*^-6+0.*I	0.+0.001431507585239078*I	0.00001868947836884855+0.*I	0.+0.002270808035423927*I	-4.0143343355308105*^-6+0.*I	0.+0.003791361485396605*I	0.000027621767566458132+0.*I	0.+0.006702050200089557*I	3.183674220703674*^-6+0.*I	0.+0.01365442830448546*I	0.00003451321263475811+0.*I	0.+0.035930230456149195*I	0.000026755390452279867+0.*I	0.+0.20205803644839584*I	-0.4999269354615396+0.*I	0.-0.6547900581595444*I	-0.49994244602336163+0.*I	0.+0.16975641124643914*I
7.470329066450176*^-7+0.*I	0.+0.00019632887421503156*I	3.559615282533457*^-7+0.*I	0.+0.00042572727843300136*I	6.493758938019845*^-6+0.*I	0.+0.0007135910358550898*I	-1.8946315405860004*^-6+0.*I	0.+0.0011545778172148695*I	0.00001180465673318587+0.*I	0.+0.001834146762314921*I	4.765132017622853*^-6+0.*I	0.+0.003073444930584481*I	7.037641376703152*^-6+0.*I	0.+0.005585819976429107*I	0.000019002667185061273+0.*I	0.+0.011697213588197784*I	0.000011656588457253925+0.*I	0.+0.032301625203374984*I	0.000030609350259877544+0.*I	0.+0.19398942811890701*I	-0.49994244602752697+0.*I	0.-0.6790230750332552*I	-0.49995754480793075+0.*I
0.+0.00004753135544485754*I	7.470334694240111*^-7+0.*I	0.+0.00014879752240892774*I	-3.9107025198252193*^-7+0.*I	0.+0.0002769297569881757*I	6.884826974923409*^-6+0.*I	0.+0.000436661275196093*I	-8.779464486341552*^-6+0.*I	0.+0.0007179165390124587*I	0.00002058411654932678+0.*I	0.+0.0011162302279664332*I	-0.000015818973132798915+0.*I	0.+0.001957214709237931*I	0.000022856622406340835+0.*I	0.+0.00362860526187489*I	-3.85397224210443*^-6+0.*I	0.+0.008068608326436771*I	0.000015510564541857942+0.*I	0.+0.024233016870412058*I	0.00001509878073743073+0.*I	0.+0.16975641124757923*I	-0.49995754480292+0.*I	0.-0.8487794862920994*I
