0.-0.8487794862755988*I	-0.4999575448044818+0.*I	0.+0.1697564112433948*I	0.000015098787970556138+0.*I	0.+0.02423301687377702*I	0.000015510556907501274+0.*I	0.+0.008068608323875223*I	-3.853963605565314*^-6+0.*I	0.+0.0036286052716214823*I	0.000022856626550670896+0.*I	0.+0.001957214703195348*I	-0.000015818980936279697+0.*I	0.+0.0011162302253953094*I	0.00002058411947646786+0.*I	0.+0.0007179165316271163*I	-8.779464943414127*^-6+0.*I	0.+0.00043666128276054206*I	6.8848236743788895*^-6+0.*I	0.+0.00027692975216504767*I	-3.9106751426257265*^-7+0.*I	0.+0.0001487975311602885*I	7.470330798096738*^-7+0.*I	0.+0.000047531351804908084*I
-0.4999575448117961+0.*I	0.-0.6790230750228073*I	-0.4999424460341409+0.*I	0.+0.19398942812136155*I	0.00003060934392405551+0.*I	0.+0.03230162520239914*I	0.00001165659964907668+0.*I	0.+0.011697213593660959*I	0.00001900266269334731+0.*I	0.+0.0055858199782101775*I	7.037639558567908*^-6+0.*I	0.+0.003073444931046439*I	4.765134528325385*^-6+0.*I	0.+0.0018341467649402587*I	0.00001180464790596535+0.*I	0.+0.0011545778126870274*I	-1.8946295445767507*^-6+0.*I	0.+0.0007135910422469934*I	6.493757428132735*^-6+0.*I	0.+0.0004257272811540468*I	3.55972685185742*^-7+0.*I	0.+0.00019632887732273162*I	7.470434556788863*^-7+0.*I
0.+0.1697564112493639*I	-0.49994244602070825+0.*I	0.-0.6547900581671358*I	-0.4999269354622039+0.*I	0.+0.2020580364546935*I	0.000026755371864158048+0.*I	0.+0.03593023046342578*I	0.00003451322230216043+0.*I	0.+0.013654428302807525*I	3.1836856387615727*^-6+0.*I	0.+0.006702050202140333*I	0.000027621763172734832+0.*I	0.+0.0037913614665222445*I	-4.014330058115942*^-6+0.*I	0.+0.002270808038432423*I	0.000018689482128742322+0.*I	0.+0.0014315075823285728*I	-2.285708573555864*^-6+0.*I	0.+0.0008623885523689895*I	7.2407995978576474*^-6+0.*I	0.+0.00047325863815179947*I	3.559716457203448*^-7+0.*I	0.+0.00014879752160895654*I
0.000015098779406978231+0.*I	0.+0.1939894281220059*I	-0.49992693546466627+0.*I	0.-0.6467214498287722*I	-0.4999307894355877+0.*I	0.+0.20568664171824616*I	0.00004961200579341014+0.*I	0.+0.037887445177369326*I	0.00001869423955901689+0.*I	0.+0.014770658527307388*I	0.000023767796146902695+0.*I	0.+0.007419966744815678*I	0.000018842294573803342+0.*I	0.+0.004228022750799865*I	2.870502149282914*^-6+0.*I	0.+0.0025477377989151237*I	0.000018298407764199993+0.*I	0.+0.0015803051013723582*I	-1.5386703915678264*^-6+0.*I	0.+0.0009099199050794122*I	7.240804020035175*^-6+0.*I	0.+0.00042572728716006004*I	-3.91058712051473*^-7+0.*I
0.+0.024233016866486587*I	0.000030609349003018655+0.*I	0.+0.20205803645591594*I	-0.49993078942964797+0.*I	0.-0.6430928445704235*I	-0.49990793280064166+0.*I	0.+0.20764385643022953*I	0.000033793021031397117+0.*I	0.+0.03900367539071778*I	0.00003927835911141861+0.*I	0.+0.015488575077851383*I	0.000014988323419682799+0.*I	0.+0.007856628008948652*I	0.000025727122045411855+0.*I	0.+0.0045049525199450935*I	2.4794331984510297*^-6+0.*I	0.+0.0026965353110988965*I	0.000019045451961434737+0.*I	0.+0.0016278364597755585*I	-1.5386630170179471*^-6+0.*I	0.+0.0008623885545018944*I	6.493767082011258*^-6+0.*I	0.+0.0002769297716150032*I
0.000015510562059240166+0.*I	0.+0.032301625197982804*I	0.000026755380811143995+0.*I	0.+0.20568664171470113*I	-0.4999079327968864+0.*I	0.-0.6411356298531435*I	-0.4999237517867077+0.*I	0.+0.20876008665229018*I	0.000054377131984929236+0.*I	0.+0.03972159193839549*I	0.000030498891444275844+0.*I	0.+0.01592523634768107*I	0.00002187315687003672+0.*I	0.+0.008133557777256037*I	0.000025336054802208133+0.*I	0.+0.004653750031684464*I	3.2264607799074913*^-6+0.*I	0.+0.002744066670105564*I	0.000019045444872191428+0.*I	0.+0.0015803051035626682*I	-2.2857094730270864*^-6+0.*I	0.+0.0007135910470640788*I	6.884829270387138*^-6+0.*I
0.+0.008068608324620821*I	0.000011656597374819356+0.*I	0.+0.03593023046486403*I	0.00004961200170676077+0.*I	0.+0.20764385642749464*I	-0.49992375178780435+0.*I	0.-0.6400193996346502*I	-0.49990316766712933+0.*I	0.+0.20947800318524573*I	0.000045597678524071365+0.*I	0.+0.04015825321122697*I	0.000037383715700975865+0.*I	0.+0.01620216612072302*I	0.000021482094372852363+0.*I	0.+0.008282355297333427*I	0.000026083087547696276+0.*I	0.+0.004701281379609304*I	3.22646667523079*^-6+0.*I	0.+0.0026965353233755623*I	0.00001829841308880695+0.*I	0.+0.0014315075850401954*I	-1.8946330990221003*^-6+0.*I	0.+0.00043666127351513206*I
-3.853970749913917*^-6+0.*I	0.+0.011697213591406252*I	0.00003451321753393942+0.*I	0.+0.03788744517171513*I	0.000033793029755435386+0.*I	0.+0.20876008665352871*I	-0.4999031676721474+0.*I	0.-0.6393014830947232*I	-0.49991194714075293+0.*I	0.+0.20991466446474918*I	0.000052482508747269074+0.*I	0.+0.04043518297336116*I	0.000036992648987875695+0.*I	0.+0.016350963626774483*I	0.000022229116972902413+0.*I	0.+0.008329886651830074*I	0.000026083090730882965+0.*I	0.+0.004653750031602265*I	2.4794300616179512*^-6+0.*I	0.+0.002547737799768012*I	0.000018689482673828427+0.*I	0.+0.0011545778188861394*I	-8.779468797237566*^-6+0.*I
0.+0.0036286052639215166*I	0.000019002657109454562+0.*I	0.+0.013654428297917964*I	0.000018694241114313012+0.*I	0.+0.0390036754018636*I	0.00005437713737344583+0.*I	0.+0.20947800318786874*I	-0.49991194713372167+0.*I	0.-0.6388648218117758*I	-0.4999050623081624+0.*I	0.+0.2101915942287766*I	0.00005209143662236462+0.*I	0.+0.04058398051247787*I	0.00003773968805710605+0.*I	0.+0.016398494968736466*I	0.000022229117277411632+0.*I	0.+0.008282355295069432*I	0.000025336058912189176+0.*I	0.+0.004504952508567611*I	2.870492014575354*^-6+0.*I	0.+0.00227080804216577*I	0.000011804656144568448+0.*I	0.+0.0007179165315864544*I
0.000022856623835528766+0.*I	0.+0.0055858199665963365*I	3.1836698431361314*^-6+0.*I	0.+0.014770658523595626*I	0.00003927835340149497+0.*I	0.+0.03972159194139914*I	0.000045597668896970816+0.*I	0.+0.209914664469576*I	-0.49990506230317355+0.*I	0.-0.6385878920541306*I	-0.49990545337982895+0.*I	0.+0.21034039174350355*I	0.000052838469205887425+0.*I	0.+0.040631511847748485*I	0.000037739689349925056+0.*I	0.+0.016350963631491907*I	0.000021482094238997596+0.*I	0.+0.008133557770137332*I	0.00002572712054929435+0.*I	0.+0.004228022751238455*I	-4.014328042492475*^-6+0.*I	0.+0.0018341467678559308*I	0.000020584125955125376+0.*I
0.+0.0019572147122140643*I	7.037642884240677*^-6+0.*I	0.+0.0067020501871011134*I	0.00002376778432478894+0.*I	0.+0.015488575076454653*I	0.000030498897718404196+0.*I	0.+0.04015825320903814*I	0.000052482504155454936+0.*I	0.+0.2101915942293913*I	-0.4999054533704695+0.*I	0.-0.6384390945292854*I	-0.4999047063333136+0.*I	0.+0.21038792310076576*I	0.00005283846595289817+0.*I	0.+0.040583980493839655*I	0.000036992641091576846+0.*I	0.+0.016202166114977323*I	0.000021873158986448154+0.*I	0.+0.007856628009552738*I	0.000018842299084813492+0.*I	0.+0.0037913614767246945*I	4.765135165091016*^-6+0.*I	0.+0.0011162302200911633*I
