0.-0.8487778337483429*I	-0.49995768340366237+0.*I	0.+0.16976083445500814*I	0.00001672894632488512+0.*I	0.+0.024244674429628597*I	0.00001054421630627366+0.*I	0.+0.008073292705267233*I	7.54953636558635*^-6+0.*I	0.+0.003660321818965191*I	5.605900793186202*^-6+0.*I	0.+0.001961167525567123*I	6.088038685304255*^-6+0.*I	0.+0.0011617885123341861*I	-1.487895227650807*^-6+0.*I	0.+0.0007488160915794258*I	0.000014143119098930388+0.*I	0.+0.0004780769297870808*I	-0.000015017613299854731+0.*I	0.+0.00035499436218780934*I	0.000021857279966515754+0.*I	0.+0.00021033719055418468*I	-0.000015987534677235952+0.*I	0.+0.00016771778390420043*I	0.000012149715643949938+0.*I	0.+0.00008619970986671452*I	-4.552169596134316*^-6+0.*I	0.+0.00004786314370402298*I	1.8909442859384477*^-6+0.*I
6.088038721606515*^-6+0.*I	0.+0.0031229560379221932*I	0.000010206044248635833+0.*I	0.+0.0075320939484142336*I	0.000031898699731274034+0.*I	0.+0.016083463583494145*I	0.00002742530271429126+0.*I	0.+0.040683132375320806*I	0.00006601152906889589+0.*I	0.+0.21065430402088553*I	-0.49990765940930365+0.*I	0.-0.6379558119435664*I	-0.4998955096936263+0.*I	0.+0.21090822151465793*I	0.00005762154037973597+0.*I	0.+0.04119525020335446*I	0.00004278353838350185+0.*I	0.+0.016950575773706344*I	0.000030348377756123753+0.*I	0.+0.008829419924703296*I	0.00002735101100015588+0.*I	0.+0.005082898395890968*I	9.595394561411803*^-6+0.*I	0.+0.0029540130864083077*I	0.00001949489055097396+0.*I	0.+0.001581887383534966*I	-8.744941954707067*^-7+0.*I	0.+0.0004780769297931082*I
0.+0.0011617885123187926*I	4.600143467247218*^-6+0.*I	0.+0.00387177212947807*I	0.00002434916336807209+0.*I	0.+0.00801017087818109*I	0.000016881086409234748+0.*I	0.+0.016438457945676856*I	0.000049282582724650936+0.*I	0.+0.04089346956588402*I	0.00005002399434267854+0.*I	0.+0.21082202180478427*I	-0.4998955096936424+0.*I	0.-0.6378696122336878*I	-0.499900061863231+0.*I	0.+0.21095608465836974*I	0.00005951248468150852+0.*I	0.+0.041195250203345385*I	0.00004089259407404929+0.*I	0.+0.016902712629990723*I	0.00003490054735185531+0.*I	0.+0.008743220214830563*I	0.000015201295354483484+0.*I	0.+0.00491518061200231*I	0.000025582929242241544+0.*I	0.+0.002743675895873374*I	-2.362389396229876*^-6+0.*I	0.+0.001226893021340037*I	0.000014143119111648553+0.*I
-1.4878952293195975*^-6+0.*I	0.+0.0019106046038866703*I	0.000018743262583781982+0.*I	0.+0.004349849059249167*I	9.331550072408246*^-6+0.*I	0.+0.008365165240402341*I	0.000038738366397598155+0.*I	0.+0.016648795136209215*I	0.00003329504801459383+0.*I	0.+0.04106118734978703*I	0.00006217370998339406+0.*I	0.+0.210908221514648*I	-0.4999000618632385+0.*I	0.-0.637821749089975*I	-0.4998981709189602+0.*I	0.+0.21095608465834914*I	0.0000576215403836054+0.*I	0.+0.041147387059633556*I	0.00004544476367869995+0.*I	0.+0.016816512920126238*I	0.000022750831702570147+0.*I	0.+0.008575502430944279*I	0.00003118883004484434+0.*I	0.+0.004704843421465692*I	3.7256492977402813*^-6+0.*I	0.+0.0023886815336601626*I	0.000012655223870879117+0.*I	0.+0.0007488160915583317*I
0.+0.0007488160915949628*I	0.000012655223900260332+0.*I	0.+0.002388681533643907*I	3.7256492623578995*^-6+0.*I	0.+0.004704843421458133*I	0.000031188830051239155+0.*I	0.+0.008575502430940378*I	0.000022750831698408874+0.*I	0.+0.01681651292012253*I	0.000045444763675736256+0.*I	0.+0.041147387059634326*I	0.000057621540365256944+0.*I	0.+0.2109560846583719*I	-0.4998981709189383+0.*I	0.-0.637821749089986*I	-0.4999000618632535+0.*I	0.+0.2109082215146407*I	0.00006217371001449448+0.*I	0.+0.041061187349783035*I	0.0000332950479938814+0.*I	0.+0.016648795136226194*I	0.00003873836643235483+0.*I	0.+0.008365165240389504*I	9.331550035941106*^-6+0.*I	0.+0.004349849059260867*I	0.00001874326260894874+0.*I	0.+0.0019106046038978653*I	-1.4878952542312024*^-6+0.*I
0.000014143119121793704+0.*I	0.+0.0012268930213288087*I	-2.362389427863941*^-6+0.*I	0.+0.002743675895886466*I	0.00002558292928965265+0.*I	0.+0.004915180611989271*I	0.000015201295335514893+0.*I	0.+0.008743220214845016*I	0.00003490054735899871+0.*I	0.+0.01690271263000098*I	0.000040892594042839185+0.*I	0.+0.04119525020333552*I	0.00005951248471430039+0.*I	0.+0.21095608465837323*I	-0.49990006186326275+0.*I	0.-0.6378696122337152*I	-0.4998955096936271+0.*I	0.+0.21082202180475768*I	0.000050023994338426164+0.*I	0.+0.040893469565888046*I	0.00004928258271714661+0.*I	0.+0.01643845794566917*I	0.000016881086439736885+0.*I	0.+0.008010170878209535*I	0.000024349163378072383+0.*I	0.+0.0038717721294896728*I	4.600143452614994*^-6+0.*I	0.+0.0011617885123039445*I
0.+0.00047807692980343517*I	-8.744941843938886*^-7+0.*I	0.+0.0015818873835280473*I	0.0000194948905558392+0.*I	0.+0.0029540130864170885*I	9.595394557947245*^-6+0.*I	0.+0.005082898395903595*I	0.000027351011002572906+0.*I	0.+0.008829419924710053*I	0.000030348377746867445+0.*I	0.+0.016950575773713762*I	0.000042783538370748+0.*I	0.+0.04119525020334338*I	0.00005762154038743046+0.*I	0.+0.21090822151465088*I	-0.49989550969364704+0.*I	0.-0.6379558119435859*I	-0.49990765940927384+0.*I	0.+0.21065430402090826*I	0.00006601152904214595+0.*I	0.+0.04068313237533752*I	0.00002742530273740291+0.*I	0.+0.01608346358347513*I	0.00003189869975136201+0.*I	0.+0.007532093948427713*I	0.000010206044248764487+0.*I	0.+0.0031229560379238143*I	6.0880387067561976*^-6+0.*I
-0.000015017613323291848+0.*I	0.+0.000833071291966145*I	0.000020982785791374267+0.*I	0.+0.0017922245740991938*I	3.507355858042461*^-6+0.*I	0.+0.0031217308703208953*I	0.00002174511023618955+0.*I	0.+0.005169098105762223*I	0.00002279884138506868+0.*I	0.+0.008877283068418028*I	0.000032239322051270364+0.*I	0.+0.016950575773679664*I	0.000040892594055216816+0.*I	0.+0.04114738705964538*I	0.00006217371001321702+0.*I	0.+0.21082202180476112*I	-0.49990765940928555+0.*I	0.-0.6381235297274187*I	-0.499891671874599+0.*I	0.+0.21044396683032798*I	0.000044154249065866047+0.*I	0.+0.040328138013126*I	0.000042442916055497934+0.*I	0.+0.015605386653684352*I	0.00001775558061218573+0.*I	0.+0.00678327785686918*I	0.000011693939489218199+0.*I	0.+0.0019611675255682684*I
0.+0.0003549943621800347*I	6.839666656491245*^-6+0.*I	0.+0.0010434084825288645*I	4.99525109890368*^-6+0.*I	0.+0.001959942357977396*I	0.00001565707152179523+0.*I	0.+0.0032079305801740667*I	0.000017192940616499187+0.*I	0.+0.005216961249482472*I	0.000024689785680682518+0.*I	0.+0.008877283068427222*I	0.00003034837777972428+0.*I	0.+0.016902712630001166*I	0.000045444763672641814+0.*I	0.+0.04106118734976315*I	0.00005002399432437444+0.*I	0.+0.210654304020905*I	-0.4998916718745929+0.*I	0.-0.6383338669180261*I	-0.4999135291545721+0.*I	0.+0.21008897246815952*I	0.00005917186235768485+0.*I	0.+0.03985006108334232*I	0.000028299796947013652+0.*I	0.+0.014856570562145614*I	0.000019243475817387422+0.*I	0.+0.005621489344532921*I	5.605900793543054*^-6+0.*I
0.0000218572799714608+0.*I	0.+0.000565331552743958*I	-9.147868028510614*^-6+0.*I	0.+0.001211126266421358*I	0.000017144966752947576+0.*I	0.+0.002046142067852007*I	0.000011104901904459652+0.*I	0.+0.003255793723882313*I	0.00001908388491680855+0.*I	0.+0.005216961249468624*I	0.0000227988413869775+0.*I	0.+0.00882941992472838*I	0.00003490054736184024+0.*I	0.+0.016816512920101955*I	0.00003329504802276205+0.*I	0.+0.040893469565900196*I	0.00006601152902820974+0.*I	0.+0.21044396683033395*I	-0.49991352915457316+0.*I	0.-0.6386888612801963*I	-0.4998985115412723+0.*I	0.+0.2096108955383298*I	0.000045028743267282814+0.*I	0.+0.03910124499180255*I	0.000029787692169722564+0.*I	0.+0.013694782049796744*I	0.000013155437156192614+0.*I	0.+0.0036603218189546045*I
0.+0.00021033719053793472*I	5.869745266154965*^-6+0.*I	0.+0.0007330493366516222*I	3.0018476339210095*^-6+0.*I	0.+0.0012973259762997492*I	0.000012592797138242154+0.*I	0.+0.0020940052115520336*I	0.000012995846197444487+0.*I	0.+0.003255793723881639*I	0.000017192940621182554+0.*I	0.+0.005169098105771332*I	0.000027351011012364553+0.*I	0.+0.00874322021482811*I	0.000022750831681949984+0.*I	0.+0.016648795136218055*I	0.00004928258273229533+0.*I	0.+0.04068313237534452*I	0.000044154249052511535+0.*I	0.+0.21008897246814912*I	-0.49989851154125686+0.*I	0.-0.6391669382100069*I	-0.4999126546603802+0.*I	0.+0.20886207944680327*I	0.00004651663847718193+0.*I	0.+0.0379394564794513*I	0.00002369965346689143+0.*I	0.+0.011733614524232593*I	7.5495363481646035*^-6+0.*I
-0.00001598753470494431+0.*I	0.+0.00037805497445137876*I	0.000018019460955666966+0.*I	0.+0.00081924904649853*I	-1.5503219845248279*^-6+0.*I	0.+0.0013451891199958044*I	0.00001448374144130419+0.*I	0.+0.002094005211540917*I	0.000011104901893128425+0.*I	0.+0.0032079305801993433*I	0.000021745110230830827+0.*I	0.+0.005082898395883166*I	0.00001520129533723601+0.*I	0.+0.00857550243095281*I	0.00003873836642036674+0.*I	0.+0.016438457945681516*I	0.000027425302711160896+0.*I	0.+0.04032813801315539*I	0.00005917186237107842+0.*I	0.+0.20961089553834117*I	-0.4999126546603848+0.*I	0.-0.6399157543015335*I	-0.49991116676515535+0.*I	0.+0.20770029093444528*I	0.000040428599787192074+0.*I	0.+0.03597828895390415*I	0.000018093752678904685+0.*I	0.+0.008073292705281931*I
0.+0.00016771778391085063*I	-3.837819044253549*^-6+0.*I	0.+0.0004642546843200323*I	0.000013467291324390838+0.*I	0.+0.0008671121902397004*I	3.4062232096024275*^-7+0.*I	0.+0.001345189119988794*I	0.000012592797123643553+0.*I	0.+0.002046142067852043*I	0.000015657071527768032+0.*I	0.+0.0031217308703174046*I	9.59539455695889*^-6+0.*I	0.+0.004915180611984596*I	0.000031188830058585194+0.*I	0.+0.008365165240399817*I	0.00001688108642874255+0.*I	0.+0.016083463583485794*I	0.00004244291607047381+0.*I	0.+0.039850061083347786*I	0.00004502874324957775+0.*I	0.+0.20886207944679144*I	-0.49991116676515723+0.*I	0.-0.6410775428138857*I	-0.49991725480387766+0.*I	0.+0.20573912340888692*I	0.00003482269898890526+0.*I	0.+0.03231796713492601*I	0.00001054421632804261+0.*I
0.000012149715644666907+0.*I	0.+0.0002539174937746149*I	-8.389988660952033*^-6+0.*I	0.+0.0005121178280204808*I	0.000015358235631604612+0.*I	0.+0.0008671121902203218*I	-1.5503219809743504*^-6+0.*I	0.+0.001297325976296651*I	0.000017144966744874648+0.*I	0.+0.0019599423579688474*I	3.5073558435143553*^-6+0.*I	0.+0.0029540130864059186*I	0.000025582929269866907+0.*I	0.+0.004704843421454403*I	9.331550055098836*^-6+0.*I	0.+0.008010170878202074*I	0.000031898699732192326+0.*I	0.+0.015605386653715454*I	0.00002829979692564778+0.*I	0.+0.03910124499181196*I	0.000046516638494025446+0.*I	0.+0.2077002909344712*I	-0.49991725480387805+0.*I	0.-0.6430387103394497*I	-0.49992286070464276+0.*I	0.+0.2020788015899433*I	0.000027273162651943632+0.*I	0.+0.02424467442966947*I
0.+0.00008619970987496855*I	7.597546048858463*^-6+0.*I	0.+0.00030178063746771276*I	-6.4990443581223625*^-6+0.*I	0.+0.000512117828020722*I	0.00001346729132314001+0.*I	0.+0.0008192490465114008*I	3.0018476340389406*^-6+0.*I	0.+0.0012111262664300584*I	4.9952510873713625*^-6+0.*I	0.+0.0017922245740912466*I	0.00001949489055001153+0.*I	0.+0.0027436758958558644*I	3.725649279527733*^-6+0.*I	0.+0.0043498490592510115*I	0.00002434916336612046+0.*I	0.+0.007532093948416191*I	0.000017755580648736604+0.*I	0.+0.014856570562147392*I	0.00002978769214676972+0.*I	0.+0.037939456479461064*I	0.000040428599776796235+0.*I	0.+0.2057391234088935*I	-0.4999228607046611+0.*I	0.-0.6466990321584014*I	-0.4999304102409898+0.*I	0.+0.1940055088846476*I	0.000016728946314596216+0.*I
-4.5521696106168855*^-6+0.*I	0.+0.0001340628535557828*I	9.48849032344473*^-6+0.*I	0.+0.000301780637465827*I	-8.389988656023697*^-6+0.*I	0.+0.0004642546843354109*I	0.00001801946092569692+0.*I	0.+0.0007330493366339539*I	-9.147868020450465*^-6+0.*I	0.+0.001043408482534698*I	0.000020982785762843663+0.*I	0.+0.001581887383521652*I	-2.362389416899472*^-6+0.*I	0.+0.002388681533673054*I	0.000018743262558204663+0.*I	0.+0.0038717721294563045*I	0.000010206044296336161+0.*I	0.+0.006783277856883235*I	0.000019243475827238348+0.*I	0.+0.013694782049813586*I	0.000023699653481839677+0.*I	0.+0.035978288953884364*I	0.0000348226989872529+0.*I	0.+0.2020788015899395*I	-0.4999304102409661+0.*I	0.-0.6547723248636796*I	-0.4999409544573152+0.*I	0.+0.16976083445498877*I
0.+0.00004786314368302239*I	-2.661225314457121*^-6+0.*I	0.+0.00013406285356823574*I	7.597546066394487*^-6+0.*I	0.+0.00025391749376145765*I	-3.837819057984836*^-6+0.*I	0.+0.00037805497447327503*I	5.869745285888578*^-6+0.*I	0.+0.0005653315527576344*I	6.839666666995481*^-6+0.*I	0.+0.0008330712919692956*I	-8.744941797080696*^-7+0.*I	0.+0.0012268930213453879*I	0.000012655223871476106+0.*I	0.+0.001910604603914621*I	4.6001434604622495*^-6+0.*I	0.+0.003122956037893364*I	0.000011693939503365651+0.*I	0.+0.005621489344532954*I	0.000013155437141592132+0.*I	0.+0.011733614524231604*I	0.000018093752663171037+0.*I	0.+0.03231796713494421*I	0.000027273162658776152+0.*I	0.+0.1940055088846802*I	-0.49994095445730896+0.*I	0.-0.6790169992933623*I	-0.4999576834036457+0.*I
1.8909442891514808*^-6+0.*I	0.+0.00004786314368332373*I	-4.552169604620597*^-6+0.*I	0.+0.00008619970987451859*I	0.000012149715640078266+0.*I	0.+0.00016771778389894872*I	-0.000015987534702747934+0.*I	0.+0.00021033719055373447*I	0.000021857279978040146+0.*I	0.+0.00035499436219227815*I	-0.000015017613303236398+0.*I	0.+0.00047807692980293*I	0.000014143119084041446+0.*I	0.+0.0007488160915453966*I	-1.4878952306783332*^-6+0.*I	0.+0.0011617885123337058*I	6.088038726490236*^-6+0.*I	0.+0.0019611675255730592*I	5.605900779098093*^-6+0.*I	0.+0.0036603218189536968*I	7.549536365060946*^-6+0.*I	0.+0.008073292705264504*I	0.00001054421631203557+0.*I	0.+0.024244674429645934*I	0.000016728946324645768+0.*I	0.+0.16976083445499546*I	-0.4999576834036435+0.*I	0.-0.8487778337483386*I
