0.46097047042851363-0.11170987085813995*I	0.19161046719560634-0.16623318307561075*I	0.025435215985064343-0.1431222009426024*I	-0.05687822884603773-0.06884699851955368*I	-0.06312648212874547+0.005373881951053132*I	-0.02450941874625874+0.039861711446067066*I	0.016129507352627352+0.029633324042770113*I	0.0297787884787348-0.00030668799767276215*I	0.015267265899443576-0.019724068980057016*I	-0.00773235836655974-0.0162092037749406*I	-0.018455070750203+0.0004614810665406087*I	-0.011010209103411649+0.012200540460956309*I	0.0044230140846538805+0.009856745390998076*I	0.013145912105874062-0.0010241562752200443*I	0.008836161057069355-0.008428470547640675*I	-0.00267576349514912-0.006150808672395333*I	-0.010259006202319298+0.0016155856674986255*I	-0.007712256877852588+0.006206083423085135*I	0.0015580599714406342+0.0036398579521792623*I	0.008589439021173073-0.0022246640481180953*I	0.007226197672854296-0.004746749304559303*I	-0.0007235788821772007-0.0017014849196499364*I	-0.0076473909790559045+0.002897203723184887*I	-0.007216658542753517+0.0037030749846951876*I
0.19161046719560645-0.1662331830756108*I	0.4864056864135781-0.2548320718007422*I	0.13473223834956877-0.23508018159516447*I	-0.0376912661436811-0.13774831899154924*I	-0.08138764759229654-0.028985287073486556*I	-0.04699697477611828+0.035007205993823294*I	0.0052693697324759274+0.03955502344839429*I	0.031396773252070936+0.009909255062712995*I	0.022046430112175188-0.016515891772613447*I	-0.0031878048507592086-0.0192625879135164*I	-0.018742567469971168-0.004008663313984166*I	-0.014032056665548976+0.010318226457538864*I	0.0021357030024625324+0.01117638418573638*I	0.013259175141723416+0.0014282748433573726*I	0.010470148610725235-0.007174964947615547*I	-0.0014228451452495733-0.0068128848801422785*I	-0.010388020373001412+0.000055274750689656785*I	-0.008700946230878567+0.005255443619677902*I	0.0008771821433203469+0.003981419374967211*I	0.008784257644294684-0.0011068913523798042*I	0.007865860138995694-0.003926148967767837*I	-0.0004211933062016072-0.001849545581374326*I	-0.007940237424930581+0.002001590065045249*I	-0.007647390979055769+0.002897203723184857*I
0.025435215985064534-0.14312220094260256*I	0.13473223834956904-0.23508018159516478*I	0.42327920428483296-0.2494581898496892*I	0.11022281960330994-0.19521847014909707*I	-0.021561758791053973-0.10811499494877877*I	-0.051608859113562104-0.029291975071159153*I	-0.0317297088766749+0.015283137013766225*I	-0.002462988634083729+0.02334581967345347*I	0.012941702501868282+0.010370736129253436*I	0.011036221008764018-0.004315351311657078*I	0.0012352092338950517-0.009405842522518016*I	-0.005596655364096879-0.0050328195892038316*I	-0.00519589560847938+0.0018897559098983968*I	-0.0005400604926861255+0.005025575513340928*I	0.0030001689394048704+0.0030438605108555955*I	0.0027578917328734847-0.0009688815245308601*I	0.00013521482619160445-0.003173026927963222*I	-0.0017985813518283482-0.0021693892974282572*I	-0.00147474855802476+0.0005086943151190913*I	0.00015360326114258625+0.0022799344553178355*I	0.0011368666652385683+0.001790312370805468*I	0.0006492015962424482-0.0002230739830725347*I	-0.0004211933062011008-0.0018495455813743928*I	-0.0007235788821767479-0.0017014849196500094*I
-0.0568782288460376-0.06884699851955396*I	-0.0376912661436809-0.13774831899154955*I	0.11022281960331008-0.1952184701490974*I	0.4394087116374598-0.21982486580691854*I	0.14000160808204426-0.19552515814676943*I	-0.0062944928916108325-0.1278390639288356*I	-0.059341217480121985-0.04550117884609983*I	-0.05018477962687765+0.015744618080306545*I	-0.013473197737494851+0.03554636013440955*I	0.017364716586522676+0.020227481520251594*I	0.02418213311463839-0.0053395075868767315*I	0.010071370290964566-0.017834313070158227*I	-0.008272418859245697-0.011183628261598915*I	-0.015454901810797965+0.003505341577396871*I	-0.008252317370537644+0.01123165893642562*I	0.004558228910846485+0.006683718463034453*I	0.011347330754046916-0.003193545572648987*I	0.007361412499045451-0.00791977623252207*I	-0.002522160234006421-0.0038708742170774353*I	-0.009122139537081263+0.003405898038304689*I	-0.00706305528161075+0.005983009440013398*I	0.001136866665239458+0.001790312370805473*I	0.007865860138996945-0.003926148967767882*I	0.007226197672855178-0.0047467493045593575*I
-0.06312648212874553+0.005373881951052816*I	-0.08138764759229661-0.028985287073486975*I	-0.021561758791053983-0.10811499494877906*I	0.1400016080820444-0.1955251581467695*I	0.45467597753690275-0.2395489347869749*I	0.13226924971548434-0.21173436192170972*I	-0.024749563641813764-0.127377582862295*I	-0.0703514265835332-0.03330063838514383*I	-0.045761765542223276+0.02560136347130439*I	-0.0003272856316205137+0.03452220385918955*I	0.026200877643592045+0.01179901097261126*I	0.02150636961948925-0.011490316259271643*I	-0.00018763591135440588-0.016218727402659366*I	-0.015984675737097477-0.004977544838513844*I	-0.01389684183935633+0.0071451995295758975*I	0.00033712165063600657+0.009006994888307427*I	0.011784426583700502+0.0019369691584754265*I	0.010623751871868713-0.004895030492298265*I	-0.00028597848001145706-0.005022572509336401*I	-0.009738818776760149-0.0001677992323816822*I	-0.009122139537080366+0.0034058980383048433*I	0.0001536032611443026+0.0022799344553180497*I	0.008784257644296585-0.0011068913523796197*I	0.008589439021174317-0.0022246640481179956*I
-0.024509418746259167+0.03986171144606675*I	-0.046996974776118805+0.035007205993822864*I	-0.05160885911356243-0.02929197507115948*I	-0.006294492891610786-0.12783906392883562*I	0.13226924971548462-0.2117343619217096*I	0.43622090678670006-0.23908745372043422*I	0.1212590406120731-0.1995338214607535*I	-0.02032654955715948-0.11752083747129714*I	-0.05720551447765894-0.034324794660363984*I	-0.03692560448515399+0.017172892923663786*I	-0.003003049126769814+0.028371395186794504*I	0.015941871441272758+0.013414596640110209*I	0.013794112741637068-0.0052842328361862815*I	0.0013704240600869004-0.012578869450480003*I	-0.007395236715923932-0.007202208886631848*I	-0.006670644166502271+0.002398450225016855*I	-0.0003864572315422223+0.007305509968657989*I	0.004137035604643287+0.00483417288166094*I	0.003407093329114446-0.0011919555076025665*I	-0.00028597848001103737-0.005022572509336206*I	-0.002522160234005145-0.0038708742170769947*I	-0.001474748558022729+0.000508694315119704*I	0.0008771821433224831+0.003981419374967819*I	0.0015580599714420061+0.0036398579521796383*I
0.01612950735262673+0.029633324042769818*I	0.00526936973247508+0.039555023448393914*I	-0.03172970887667547+0.015283137013766015*I	-0.05934121748012202-0.045501178846099805*I	-0.024749563641813334-0.12737758286229478*I	0.12125904061207347-0.1995338214607533*I	0.44064392087135434-0.22923070832943618*I	0.13440495271794742-0.2005579777359736*I	-0.011490388500090055-0.1259493080189378*I	-0.05988127797280817-0.04047560333275913*I	-0.047184610687473316+0.0187884785911627*I	-0.010715306004622149+0.03457747860987991*I	0.017499931412713852+0.01705445459228966*I	0.02238355176281047-0.007508896884304206*I	0.008596621732940964-0.017325618755039053*I	-0.008118815598102102-0.008903693806281402*I	-0.014318035145559568+0.005295653948202185*I	-0.007603115774296873+0.011008584953353502*I	0.004137035604643077+0.004834172881660993*I	0.010623751871868856-0.0048950304922979575*I	0.007361412499046368-0.007919776232521374*I	-0.0017985813518267089-0.002169389297427236*I	-0.008700946230876765+0.005255443619678956*I	-0.007712256877851406+0.00620608342308581*I
0.02977878847873435-0.0003066879976729722*I	0.03139677325207025+0.00990925506271275*I	-0.0024629886340843117+0.02334581967345337*I	-0.05018477962687781+0.01574461808030663*I	-0.07035142658353288-0.03330063838514366*I	-0.020326549557158874-0.11752083747129705*I	0.13440495271794778-0.20055797773597364*I	0.4494800819284239-0.23765917887707694*I	0.1317291892227983-0.20670878640836882*I	-0.021749394702409146-0.12433372235143882*I	-0.06759353485066025-0.03426951990967364*I	-0.04562655071603202+0.02242833654334217*I	-0.002125866983448604+0.032352814561761874*I	0.024726129085568083+0.012307705287730416*I	0.021659972880632494-0.009210381803953968*I	0.0009492307538838265-0.014428415031853905*I	-0.015335474140856785-0.005200618821586052*I	-0.014318035145560102+0.005295653948202054*I	-0.00038645723154303343+0.007305509968657888*I	0.011784426583699893+0.001936969158475628*I	0.01134733075404694-0.0031935455726482685*I	0.00013521482619233344-0.003173026927962031*I	-0.010388020373000358+0.000055274750690947406*I	-0.010259006202318545+0.0016155856674994705*I
0.01526726589944358-0.019724068980057144*I	0.022046430112175105-0.016515891772613568*I	0.012941702501868078+0.010370736129253414*I	-0.013473197737495049+0.0355463601344096*I	-0.045761765542223234+0.0256013634713044*I	-0.05720551447765853-0.034324794660364144*I	-0.011490388500089462-0.12594930801893808*I	0.13172918922279875-0.20670878640836907*I	0.4392210757261048-0.23604359320957796*I	0.12401693234494653-0.200502702985283*I	-0.020191334730967535-0.12069386439925903*I	-0.05900409582948638-0.036494183957791596*I	-0.03840035304317749+0.017681587238782742*I	-0.0028494458656262594+0.030651329642111796*I	0.017078738106511237+0.015204909010915283*I	0.01444331433787805-0.005507306819258766*I	0.0009492307538833688-0.014428415031854108*I	-0.008118815598103074-0.008903693806281811*I	-0.006670644166503586+0.002398450225016403*I	0.00033712165063473057+0.009006994888307272*I	0.004558228910845665+0.0066837184630348725*I	0.002757891732873291-0.0009688815245298729*I	-0.0014228451452493194-0.006812884880141108*I	-0.0026757634951488276-0.00615080867239454*I
-0.007732358366559231-0.01620920377494056*I	-0.003187804850758583-0.019262587913516316*I	0.011036221008764332-0.0043153513116569835*I	0.01736471658652257+0.020227481520251604*I	-0.00032728563162078375+0.03452220385918934*I	-0.036925604485153966+0.017172892923663283*I	-0.059881277972807734-0.04047560333275985*I	-0.021749394702408543-0.12433372235143948*I	0.12401693234494686-0.20050270298528344*I	0.44077913569754656-0.23240373525739802*I	0.13260637136612047-0.20272736703340072*I	-0.012965137058112815-0.12544061370381832*I	-0.059727674711663806-0.038195668877441705*I	-0.04604774402223406+0.02057879096196747*I	-0.010066104408380482+0.03435440462680691*I	0.017078738106510952+0.015204909010915134*I	0.021659972880631855-0.009210381803954455*I	0.008596621732939931-0.01732561875503987*I	-0.007395236715925265-0.00720220888663276*I	-0.013896841839357717+0.007145199529575273*I	-0.008252317370538755+0.011231658936425555*I	0.003000168939404228+0.003043860510856091*I	0.010470148610725026-0.007174964947614809*I	0.008836161057069353-0.008428470547640145*I
