0.39267039142632465-0.0375518211955242*I	0.1776173232082568-0.0641409842877605*I	0.07736359463546924-0.07283733739379551*I	0.019406683539089305-0.06305672090919644*I	-0.013970082636268808-0.04039379284782315*I	-0.02770174611970078-0.014069128306478171*I	-0.026012602801982667+0.006847820335601049*I	-0.014912829308452865+0.016820175012770073*I	-0.001242287168760295+0.015464941496057101*I	0.009229287775371544+0.0068859021841330866*I	0.01330566467393794-0.002784840411548719*I	0.010837472232616219-0.008391211715891607*I	0.004124012775119137-0.007911808995041814*I	-0.003376389003846257-0.0028764023795587084*I	-0.008475867800789861+0.002977331376500653*I	-0.00934253279656508+0.005988904556116439*I	-0.005970525826985697+0.00458409241190679*I
0.17761732320825682-0.06414098428776051*I	0.47003398606179386-0.11038915858931969*I	0.19702400674734613-0.1271977051969569*I	0.06339351199920061-0.1132311302416187*I	-0.008295062580611266-0.07712584921567466*I	-0.039982685438251245-0.033545972512222154*I	-0.04261457542815344+0.002751046706291819*I	-0.027254889970742813+0.02231276183165808*I	-0.005683541533081249+0.023706077196903094*I	0.012063377505177669+0.01268010108450833*I	0.020066760007987752-0.001505309531758573*I	0.01742967744905708-0.010696649406590597*I	0.007461083228770004-0.011267614095450402*I	-0.004351855025670628-0.004934477618541274*I	-0.012718921800411204+0.00311250217655761*I	-0.014446393627775434+0.007561423788407343*I	-0.009342532796564999+0.005988904556116379*I
0.07736359463546932-0.0728373373937955*I	0.19702400674734621-0.1271977051969569*I	0.45606390342552555-0.15078295143714285*I	0.1693222606276459-0.1412668335034352*I	0.03738090919721849-0.10638330990601781*I	-0.02320789188906353-0.06030567420290476*I	-0.04122497260701104-0.018081031016165254*I	-0.03338528765278157+0.009636948890424742*I	-0.01394922529680472+0.019527921420109236*I	0.005153930699534982+0.01531486548101138*I	0.01618739028029677+0.004768292089466387*I	0.016690371004141523-0.004381711911317471*I	0.008953809648267384-0.007719318030090208*I	-0.001881449567794774-0.005278709539334281*I	-0.010322380852655964-0.00035038520663479135*I	-0.012718921800410904+0.0031125021765573764*I	-0.008475867800789596+0.0029773313765004503*I
0.019406683539089437-0.06305672090919644*I	0.06339351199920079-0.11323113024161868*I	0.16932226062764597-0.14126683350343525*I	0.4300513006235437-0.14393513110154213*I	0.1544094313191939-0.12444665849066543*I	0.0361386220284591-0.09091836840996101*I	-0.013978604113691286-0.05341977201877195*I	-0.02791930793307269-0.020865871427714185*I	-0.02254781542016521+0.0012457371745329842*I	-0.00982521252168562+0.011616112425067271*I	0.0017775416956886969+0.012438463101452453*I	0.007711522479507045+0.0077456234659667*I	0.007347838207576815+0.0016071926447985088*I	0.002983283821282239-0.0031352256181839365*I	-0.0018814495677941987-0.005278709539334752*I	-0.004351855025669862-0.00493447761854189*I	-0.0033763890038457337-0.0028764023795591225*I
-0.013970082636268661-0.04039379284782316*I	-0.008295062580611034-0.07712584921567464*I	0.0373809091972187-0.10638330990601781*I	0.15440943131919393-0.12444665849066541*I	0.4288090134547841-0.1284701896054853*I	0.16363871909456632-0.11756075630653262*I	0.04944428670239771-0.09370320882150995*I	-0.0031411318810747246-0.061810983734663726*I	-0.0237952951579535-0.028777680422756125*I	-0.025924204424011547-0.0016306652050258898*I	-0.018301080322475467+0.01459344380156763*I	-0.007564991100876104+0.01842736765756842*I	0.0017409966525219242+0.012329715877872877*I	0.007347838207577563+0.0016071926447978593*I	0.008953809648268614-0.007719318030091259*I	0.007461083228771245-0.011267614095451458*I	0.004124012775119906-0.007911808995042461*I
-0.027701746119700606-0.014069128306478213*I	-0.03998268543825093-0.033545972512222244*I	-0.023207891889063213-0.060305674202904835*I	0.036138622028459334-0.09091836840996105*I	0.16363871909456654-0.11756075630653269*I	0.442114678128723-0.13125503001703429*I	0.17447619132718306-0.12595196802242448*I	0.05356829947751703-0.1016150178165519*I	-0.006517520884921062-0.06468738611422249*I	-0.032271162958743466-0.025800349046255618*I	-0.035266737220576515+0.00435823935109024*I	-0.02427160614946072+0.019177536213473904*I	-0.007564991100875374+0.018427367657567768*I	0.00771152247950842+0.007745623465965452*I	0.016690371004143226-0.004381711911319023*I	0.017429677449058618-0.010696649406592009*I	0.010837472232617128-0.008391211715892442*I
-0.026012602801982518+0.006847820335600959*I	-0.042614575428153174+0.0027510467062916567*I	-0.04122497260701074-0.018081031016165452*I	-0.013978604113691022-0.053419772018772134*I	0.049444286702397915-0.09370320882151016*I	0.17447619132718317-0.1259519680224245*I	0.44623869090384227-0.13916683901207624*I	0.17109980232333674-0.1288283704019832*I	0.045092431676726996-0.09863768644005129*I	-0.015860053681486203-0.058698481558106176*I	-0.03824168878572891-0.021216256634349125*I	-0.035266737220575946+0.004358239351089764*I	-0.018301080322474288+0.014593443801566556*I	0.001777541695690356+0.012438463101450855*I	0.016187390280298586+0.0047682920894645785*I	0.02006676000798929-0.0015053095317601494*I	0.013305664673938823-0.002784840411549637*I
-0.014912829308452785+0.01682017501276992*I	-0.027254889970742657+0.022312761831657806*I	-0.03338528765278138+0.009636948890424416*I	-0.02791930793307249-0.020865871427714518*I	-0.0031411318810745806-0.061810983734664*I	0.053568299477517095-0.10161501781655204*I	0.17109980232333682-0.12882837040198322*I	0.43776282310305237-0.1361895076355755*I	0.16175726952677152-0.12283946584586665*I	0.03912190584974134-0.0940535940281445*I	-0.015860053681485853-0.058698481558106363*I	-0.03227116295874266-0.025800349046256246*I	-0.025924204424010312-0.0016306652050270337*I	-0.009825212521684092+0.01161611242506569*I	0.005153930699536534+0.015314865481009644*I	0.012063377505178934+0.01268010108450684*I	0.009229287775372252+0.0068859021841322175*I
-0.0012422871687602902+0.015464941496056898*I	-0.005683541533081234+0.02370607719690275*I	-0.013949225296804696+0.019527921420108802*I	-0.022547815420165172+0.0012457371745325555*I	-0.023795295157953457-0.028777680422756483*I	-0.006517520884921043-0.06468738611422274*I	0.045092431676726996-0.09863768644005133*I	0.16175726952677155-0.12283946584586669*I	0.43179229727606655-0.13160541522366867*I	0.16175726952677175-0.12283946584586672*I	0.04509243167672743-0.09863768644005143*I	-0.006517520884920358-0.06468738611422299*I	-0.023795295157952555-0.02877768042275701*I	-0.022547815420164135+0.001245737174531772*I	-0.01394922529680367+0.01952792142010789*I	-0.005683541533080406+0.023706077196901924*I	-0.0012422871687598272+0.015464941496056412*I
0.00922928777537146+0.006885902184132862*I	0.012063377505177534+0.012680101084507936*I	0.005153930699534832+0.015314865481010902*I	-0.009825212521685752+0.011616112425066803*I	-0.025924204424011648-0.0016306652050262637*I	-0.032271162958743514-0.02580034904625586*I	-0.015860053681486245-0.05869848155810628*I	0.03912190584974132-0.09405359402814453*I	0.1617572695267717-0.12283946584586668*I	0.43776282310305253-0.13618950763557544*I	0.17109980232333713-0.12882837040198314*I	0.05356829947751745-0.10161501781655205*I	-0.0031411318810742168-0.06181098373466413*I	-0.027919307933072103-0.020865871427714816*I	-0.03338528765278099+0.00963694889042398*I	-0.027254889970742335+0.022312761831657386*I	-0.014912829308452592+0.016820175012769646*I
