0.44674842814112053-0.1711945954032881*I	0.16966487224746585-0.2420871541417628*I	0.04093500129499533-0.1711748801525536*I
0.1696648722474658-0.24208715414176274*I	0.48768342943611576-0.3423694755558415*I	0.16966487224746585-0.24208715414176277*I
0.04093500129499528-0.17117488015255355*I	0.1696648722474658-0.24208715414176277*I	0.4467484281411205-0.17119459540328807*I
