0.1298803261427798-0.8255480960360306*I	-0.48123347097839925-0.11769443074167531*I	-0.024683256283164055+0.18910351517153895*I	0.027251202798937297-0.03461724970656863*I	-0.026324331704469836+0.026419888275791416*I	0.022430786965445797-0.0030647335116783885*I	-0.016539617652140712-0.004806070306849693*I	0.009847641132029548+0.01186030219873704*I	-0.0035121280071144898-0.013067839822413902*I	-0.001503986919038413+0.011659253385856853*I	0.00463226399946426-0.0075111983940146145*I	-0.005813425840124234+0.0024834214665885135*I	0.005345372861897379+0.0023460317293586682*I	-0.0037510545818541913-0.0057944084219551635*I	0.001724924763002708+0.007321805127995176*I	0.00011872449422878112-0.006697144902777388*I	-0.0014355755023696686+0.004304039782920403*I	0.002079160382880677-0.0009658942477891296*I	-0.0020798448112295015-0.0023785277465843816*I	0.0016651587580186588+0.004881632071025763*I	-0.001115700576351678-0.005889999976014078*I	0.0006236926157495415+0.005176310364483092*I	-0.0002632970053251804-0.00300298882938832*I
-0.48123347097832864-0.11769443074172069*I	0.10519706985958824-0.6364445808645034*I	-0.4539822681794387-0.15231168044823157*I	-0.05100758798762578+0.21552340344735474*I	0.049681989764323975-0.03768198321821373*I	-0.04286394935663192+0.02161381796892651*I	0.03227842809742966+0.008795568687020638*I	-0.02005174565927351-0.01787391012925601*I	0.00834365421297696+0.02351955558460829*I	0.0011201359923075957-0.020579038216431998*I	-0.0073174127591181725+0.01414267485244961*I	0.009977636861387258-0.005165166664652826*I	-0.009564480422001755-0.0033109869553498037*I	0.007070297624915949+0.009667836857364708*I	-0.0036323300876242846-0.012491553324753926*I	0.0002893492606327547+0.01162584491091791*I	0.002197884877097611-0.007663039150564986*I	-0.0035154203136141884+0.0019255120363315308*I	0.003744319140906213+0.003915737823257355*I	-0.0031955453876470296-0.008268527722626793*I	0.002288851373725233+0.010057942435502062*I	-0.0013789975816580389-0.008892988805344821*I	0.000623692615697502+0.00517631036448335*I
-0.024683256283127442+0.18910351517156138*I	-0.45398226817946985-0.1523116804482001*I	0.07887273815509216-0.6100246925886951*I	-0.431551481214027-0.1553764139599161*I	-0.06754720563978607+0.21071733314050536*I	0.059529630896364844-0.025821681019490162*I	-0.04637607736375965+0.008545978146535195*I	0.030774441178406615+0.020454822072893664*I	-0.015419481659816495-0.02538510852327317*I	0.002530228372859216+0.026002977051193154*I	0.0064655088542506884-0.018233006487109196*I	-0.01106846734103133+0.00834826643046927*I	0.011702561624326813+0.002156638463367716*I	-0.009445755927747485-0.010008131858093917*I	0.005634722122575769+0.013971876640279312*I	-0.0015531697047416677-0.013457447572561397*I	-0.0017904955506497595+0.009247317164350358*I	0.0038630436351275994-0.0027814070794807653*I	-0.004631120889902583-0.003964487939638156*I	0.004368011756624114+0.009092048187724197*I	-0.0034588423929564323-0.011271516552011753*I	0.002288851373756599+0.010057942435509786*I	-0.0011157005763783312-0.00588999997598294*I
0.027251202798977327-0.034617249706517514*I	-0.051007587987631865+0.21552340344733958*I	-0.43155148121403997-0.15537641395990814*I	0.062333120502962976-0.6148307628955291*I	-0.4217038400819996-0.14351611176116397*I	-0.07105933364689114+0.19764949331808493*I	0.05802564397731446-0.014162427633667166*I	-0.041743813364324166+0.0010347797525115966*I	0.024961015338266973+0.02293824353951385*I	-0.010074108797890545-0.02303907679392052*I	-0.0012208262089565237+0.020208568629212494*I	0.008190433617218206-0.010911201359111989*I	-0.010949742846790372+0.0016511215277356763*I	0.01026698612205238+0.006460678246321637*I	-0.007366595544861376-0.010974026105934466*I	0.0035548773112830763+0.011593348893662965*I	0.0001119890532442813-0.008575815501493637*I	-0.0029061961269686077+0.0033573171883256297*I	0.0044867362509087155+0.0023949032849665593*I	-0.0048944178952778136-0.006967476768987371*I	0.004368011756625116+0.0090920481877624*I	-0.003195545387581083-0.008268527722626023*I	0.0016651587579951388+0.004881632071027653*I
-0.026324331704495937+0.02641988827578454*I	0.04968198976433864-0.03768198321821873*I	-0.06754720563976553+0.2107173331404978*I	-0.4217038400820187-0.14351611176116857*I	0.05882099249581471-0.6278986027179292*I	-0.42320782700103443-0.13185685837530778*I	-0.06642706964745387+0.190138294924054*I	0.052212218137193914-0.01167900616705092*I	-0.036398440502387275+0.003380811481897865*I	0.021209960756439623+0.01714383511754511*I	-0.008349184034894068-0.015717271665963338*I	-0.001102101714782137+0.013511423726423093*I	0.006754858114872423-0.006607161576136243*I	-0.008870582463860674+0.0006852272799418853*I	0.008187141310764166+0.004082150499655949*I	-0.005701436786880674-0.006092394034872667*I	0.0024391767349328597+0.005703348917723819*I	0.0007356816690052629-0.0033995051370415445*I	-0.003169493132282449+0.00035432835892390216*I	0.004486736250848111+0.002394903284973343*I	-0.004631120889946324-0.00396448793963177*I	0.003744319140924176+0.003915737823280897*I	-0.002079844811280429-0.002378527746612291*I
0.022430786965385717-0.00306473351167236*I	-0.0428639493566473+0.02161381796897114*I	0.05952963089634923-0.0258216810195082*I	-0.07105933364692577+0.19764949331804987*I	-0.4232078270010593-0.1318568583753126*I	0.06345325649529847-0.6354098011119232*I	-0.4290212528411448-0.12937343690871322*I	-0.061081696785527696+0.19248432665337167*I	0.04846116355535317-0.017473414589033315*I	-0.034673515739421054+0.010702616609870794*I	0.021328685250644196+0.010446690214753628*I	-0.009784759537244484-0.011413231883006294*I	0.0009770586681054055+0.012545529478664677*I	0.004675013303616224-0.008985689322748888*I	-0.007205423705880667+0.005566859350937026*I	0.007071440734420521-0.0018078494763040822*I	-0.005077744171100744-0.0009160836703538434*I	0.0021758797296122906+0.0027003600883090213*I	0.0007356816690039634-0.003399505137007859*I	-0.002906196126956104+0.003357317188335188*I	0.003863043635130874-0.0027814070795305662*I	-0.0035154203136083116+0.0019255120363613123*I	0.0020791603828406724-0.0009658942477664967*I
-0.016539617652124167-0.0048060703068719506*I	0.03227842809744935+0.008795568687020328*I	-0.04637607736378154+0.008545978146559647*I	0.058025643977329615-0.014162427633646266*I	-0.06642706964742895+0.19013829492405124*I	-0.4290212528411661-0.1293734369087028*I	0.06879862935721087-0.6330637693826228*I	-0.43277230742301376-0.13516784533068832*I	-0.059356772022586525+0.19980613178139947*I	0.048579888049519036-0.024170559491774712*I	-0.03610909124173309+0.015006656392847168*I	0.023407845633596682+0.009480795966954262*I	-0.011864604348488636-0.013791759629605308*I	0.002642217426146298+0.017427161549687258*I	0.00355931272727627-0.014875689298790972*I	-0.006581731090145756+0.010743169715446643*I	0.00680814372908701-0.004810838305703004*I	-0.00507774417114587-0.000916083670425477*I	0.002439176734947211+0.005703348917693516*I	0.00011198905328463555-0.008575815501456146*I	-0.0017904955506193043+0.009247317164381602*I	0.0021978848771096004-0.007663039150538132*I	-0.0014355755023655326+0.004304039782931368*I
0.00984764113200964+0.011860302198706126*I	-0.020051745659291884-0.017873910129248306*I	0.030774441178383165+0.020454822072921427*I	-0.041743813364323236+0.0010347797525201772*I	0.05221221813720668-0.011679006167036349*I	-0.06108169678551969+0.19248432665344167*I	-0.4327723074230095-0.13516784533066273*I	0.07052355412021268-0.6257419642546125*I	-0.4326535829287735-0.14186499023342766*I	-0.06079234752490129+0.20411017156438768*I	0.05065904843242418-0.02513645373958934*I	-0.038188936053029386+0.012628128646167643*I	0.02507300439156331+0.01436242803800323*I	-0.012980304924836147-0.01968175960557829*I	0.003265910041893803+0.022603471914170174*I	0.0032960157219290745-0.017878678128137784*I	-0.006581731090195963+0.010743169715459742*I	0.007071440734412764-0.0018078494763183839*I	-0.005701436786830101-0.0060923940348961035*I	0.0035548773112932803+0.011593348893662925*I	-0.0015531697047460693-0.013457447572507497*I	0.00028934926065381597+0.011625844910980732*I	0.00011872449424149556-0.006697144902792607*I
-0.0035121280071392677-0.013067839822399627*I	0.008343654212958839+0.02351955558458315*I	-0.015419481659838578-0.025385108523308976*I	0.024961015338253345+0.022938243539489145*I	-0.03639844050240837+0.0033808114818941444*I	0.04846116355536359-0.01747341458898142*I	-0.05935677202253585+0.19980613178138654*I	-0.4326535829287852-0.14186499023350332*I	0.06908797861785564-0.6214379244716682*I	-0.4305744225459262-0.14283088448123474*I	-0.06287219233616886+0.20173164381775588*I	0.05232420719048127-0.02025482166852908*I	-0.03930463662934052+0.006738128670199373*I	0.025696697007271545+0.01953873840253843*I	-0.013243601930222728-0.022684748434937507*I	0.003265910041889246+0.02260347191414413*I	0.003559312727311725-0.014875689298766412*I	-0.007205423705886777+0.005566859350976688*I	0.00818714131075502+0.004082150499700838*I	-0.007366595544874475-0.010974026105911585*I	0.005634722122561259+0.013971876640273571*I	-0.003632330087624959-0.012491553324734965*I	0.0017249247629405745+0.007321805128010561*I
-0.0015039869190701253+0.011659253385812546*I	0.0011201359922983723-0.02057903821643907*I	0.002530228372857653+0.026002977051211455*I	-0.010074108797862963-0.02303907679393288*I	0.02120996075643823+0.01714383511751805*I	-0.03467351573944368+0.010702616609855945*I	0.04857988804959512-0.02417055949177983*I	-0.06079234752484948+0.20411017156438382*I	-0.4305744225459492-0.14283088448124165*I	0.06700813380653074-0.623816452218286*I	-0.428909263787892-0.13794925241018266*I	-0.06398789291245895+0.1958416438417533*I	0.052947899806229354-0.015078511304071677*I	-0.03956793363472209+0.003735139840844106*I	0.02569669700725443+0.019538738402504748*I	-0.01298030492483711-0.019681759605631965*I	0.0026422174261506175+0.017427161549661556*I	0.004675013303608118-0.00898568932276609*I	-0.008870582463898852+0.0006852272799221889*I	0.01026698612202833+0.0064606782463186175*I	-0.009445755927741741-0.01000813185811121*I	0.007070297624895319+0.009667836857332041*I	-0.0037510545818836283-0.005794408421961439*I
