0.43468997728976444-0.07477521161008316*I	0.19326565287119846-0.11875893854339399*I	0.05575988271380274-0.11708149188782899*I	-0.022906137049985252-0.07740785744260195*I	-0.050512375564923974-0.02395252056886647*I	-0.03880093922799396+0.01695038238562774*I	-0.009288026811298438+0.03074226234071967*I	0.015429698957191778+0.020088391935167035*I	0.022322565761232864-0.0001892003226757895*I	0.012368881149859495-0.014192099145948676*I	-0.003462036774229979-0.014471114318386121*I	-0.013176553404989714-0.004476364649763511*I	-0.011518564932312566+0.006305778046171091*I	-0.0019740283408786366+0.010062134701344073*I	0.007248842011040078+0.005633764773637468*I	0.009644701161144088-0.002053327810558671*I	0.0046054320257745114-0.006694760036498223*I	-0.0030905331196523548-0.005420558795102554*I	-0.007451613066647034-0.00027138219135368656*I	-0.005712967746772593+0.004170490830627245*I	0.00009463105619088126+0.004639192490802425*I	0.005196253941555389+0.0014393777816196379*I	0.005861976154115323-0.0023511192086391264*I	0.0020291570417631938-0.0036784842112480287*I	-0.0030114829887481925-0.0018838340394927045*I	-0.0053554206815562555+0.0011277018678858362*I	-0.003436236734116006+0.0027589814971730278*I	0.000987782092625661+0.0018943244805108956*I	0.004385840958701505-0.0003955737693954048*I	0.004220784312037657-0.002010498093796692*I	0.0008026436484100289-0.0016860099953034456*I	-0.003094213099816154+0.00004479791751735517*I	-0.0044478060446324534+0.0015028514385928339*I	-0.0022964588166825227+0.001427957656036265*I	0.0015972249515643277+0.0000441203563700335*I	0.004170020677010533-0.00125764431249202*I	0.003436412829130775-0.0012528908259169665*I
0.19326565287119854-0.11875893854339399*I	0.4904498600035677-0.19185670349791206*I	0.17035951582121353-0.19616679598599582*I	0.0052475071488791375-0.1410340124566953*I	-0.0617070762779789-0.0604574750569741*I	-0.05980040237622211+0.006789741771853261*I	-0.023371240270801955+0.03703877432079479*I	0.013034538949934569+0.030553062018043874*I	0.027798580107051357+0.00589629278921831*I	0.018860528987002925-0.014660314641061952*I	-0.0008076722551301642-0.018668463795712218*I	-0.014980601706542439-0.008165336272215029*I	-0.015150581745868164+0.005585770051580628*I	-0.004269722921272237+0.011939542819808701*I	0.007670672820265743+0.00800880689078561*I	0.011854274036814869-0.0010609952628605147*I	0.006554168041491979-0.007473886605660988*I	-0.0028461810408723165-0.006966142227851725*I	-0.00880350086642475-0.0012500679644752125*I	-0.007356982010455941+0.004367810299448743*I	-0.0005167138052169728+0.00560986861224682*I	0.0059566072103064294+0.0022880732821632162*I	0.007225410983318777-0.002239106429628452*I	0.0028504931653672723-0.004234953248131843*I	-0.0033262636397929746-0.0025507823433621587*I	-0.006447719722864141+0.0008751474576803758*I	-0.00436763858893055+0.0030220263483967534*I	0.0009496042245855284+0.0023634077277775753*I	0.005208566404663313-0.00011617361328593513*I	0.005188484607111472-0.002081583764699076*I	0.0011265712122213991-0.0019657001762796197*I	-0.0036451623962225166-0.00018315855671091467*I	-0.005390671916498691+0.0014727555735533394*I	-0.002850581093068018+0.001546971794962637*I	0.0018735618603282214+0.00017031334354407606*I	0.00503363778069534-0.0012087704695470398*I	0.004170020677010686-0.0012576443124920705*I
0.05575988271380316-0.11708149188782903*I	0.17035951582121395-0.19616679598599596*I	0.43993748443864467-0.2158092240667787*I	0.1315585765932203-0.1792164136003681*I	-0.0040405196624186375-0.1102917501159757*I	-0.04627737732078652-0.04036908312180703*I	-0.037477836614988796+0.006600541449177477*I	-0.01100235912094218+0.022846675174846027*I	0.009572502175704744+0.01608194769965762*I	0.014622026702061737+0.0014199281394546752*I	0.0073419640546905345-0.008354536594890917*I	-0.0027817005960084633-0.008606329094368051*I	-0.0077317596955018345-0.0025315714985772934*I	-0.005505880584723395+0.003532442241022402*I	0.0003357091045029947+0.005244782783311034*I	0.0045801397006140325+0.002588248095683644*I	0.004402660970168362-0.0013323774542136821*I	0.0008412002947198369-0.003303395775033388*I	-0.002751549984680978-0.0023269497370491565*I	-0.003607246924868842+0.00018930981714437175*I	-0.0014950058563400572+0.0020166910908094404*I	0.0015124432365467605+0.0019313844009986004*I	0.002945124221558677+0.00040423924267039705*I	0.0018699903017628226-0.0011114045617426102*I	-0.0005857435687485412-0.001475971750958717*I	-0.0023384815471671587-0.0006564578628511631*I	-0.0020618787641624842+0.00047957368828495904*I	-0.00014685427689276745+0.0010115282545998553*I	0.0017522478729955864+0.0006773977324737019*I	0.002114353304847058-0.00007137569576918893*I	0.0007406785624788476-0.0005787323261069472*I	-0.0011698876044612195-0.0005377425202440563*I	-0.0020479374446580566-0.00013903820034149325*I	-0.0012206512394877377+0.00021511126106084217*I	0.0005858317360633636+0.00029408096904534*I	0.0018735618603287786+0.0001703133435438844*I	0.0015972249515648252+0.000044120356369859815*I
-0.02290613704998458-0.07740785744260187*I	0.005247507148880044-0.1410340124566954*I	0.13155857659322082-0.17921641360036797*I	0.4306494576273466-0.18506696172605877*I	0.14698827555041286-0.15912802166520093*I	0.01828204609881487-0.11048095043865148*I	-0.03390849617092653-0.05456118226775584*I	-0.04093987338921849-0.007870572869208883*I	-0.024178912525931764+0.018370310525082287*I	-0.0019460627566076708+0.02238772574582859*I	0.012647998361183457+0.011482062840798831*I	0.014590806065731276-0.002720771821253108*I	0.006863000565136566-0.010659656904926136*I	-0.0031263276697262566-0.009226331535074754*I	-0.008596413704374755-0.0018881165540793206*I	-0.007115903962143235+0.004973400591958127*I	-0.0011328280461579306+0.006758738926311504*I	0.0044972920263598145+0.003306815036589101*I	0.0060374542362758715-0.0018640179934136766*I	0.0031104261694351086-0.004678068945688441*I	-0.0015780898831048316-0.003489174394103937*I	-0.0045064888450875125+0.0001328570513164805*I	-0.003842977445008943+0.0030590862688843136*I	-0.0004911125125569596+0.00316322073984346*I	0.0028577723943887688+0.0007829199187683987*I	0.00380009738995327-0.0018715455203540791*I	0.0018823027648708487-0.0026669559566480333*I	-0.0012592351157521395-0.001206436307018968*I	-0.003241067376708749+0.0010563261721164437*I	-0.002695558171636854+0.0021802491710655866*I	-0.0001821055118354845+0.001356581960266092*I	0.0023379035140433436-0.0005346119697377973*I	0.003000133072549845-0.0017953868327367792*I	0.0013884753844736-0.0013919290262589584*I	-0.0012206512394867571+0.00021511126106053534*I	-0.0028505810930667067+0.0015469717949621686*I	-0.002296458816681623+0.0014279576560359206*I
-0.050512375564923204-0.023952520568866514*I	-0.06170707627797781-0.06045747505697423*I	-0.004040519662417679-0.11029175011597579*I	0.14698827555041333-0.159128021665201*I	0.4529720233885802-0.18525616204873457*I	0.1593571567002729-0.1733201208111497*I	0.014820009324585262-0.12495206475703786*I	-0.04708504957591611-0.059037546917519654*I	-0.052458438321530944-0.0015647948230380147*I	-0.026152940866810102+0.028432445226426403*I	0.005302779254433023+0.02802149051946642*I	0.022292699522328523+0.009428735030240852*I	0.019196238091506976-0.009415531857750445*I	0.003772467445485374-0.01608021570002776*I	-0.010577940736372358-0.00949771372642759*I	-0.0143093814511467+0.002282374276548588*I	-0.007021272905951878+0.009612593082760967*I	0.004063425895397963+0.00819811670793128*I	0.010359268180475806+0.000955695827949876*I	0.008066611278039891-0.005542502204661967*I	0.00009894318068775995-0.006561902985181456*I	-0.006933510564660397-0.0023614725262183383*I	-0.007942725579203048+0.002891838548489417*I	-0.0028551953523829566+0.004953410749395236*I	0.0038947284461448876+0.002767646970448076*I	0.007078556706426902-0.0012275781750284468*I	0.00460274103836389-0.003557555515657976*I	-0.0012119103349447172-0.002622158039131443*I	-0.005707041160384121+0.00029641513157288146*I	-0.005537526193390904+0.002484283828151681*I	-0.0010983332200721005+0.0022243695274347225*I	0.00398791516517574+0.0000989376477734085*I	0.005774316343175162-0.001787502795655179*I	0.003000133072551083-0.001795386832736989*I	-0.0020479374446561115-0.000139038200342049*I	-0.0053906719164967904+0.0014727555735526215*I	-0.004447806044631295+0.0015028514385923293*I
-0.03880093922799347+0.01695038238562758*I	-0.05980040237622136+0.006789741771852969*I	-0.046277377320785795-0.040369083121807335*I	0.018282046098815428-0.11048095043865169*I	0.15935715670027298-0.1733201208111499*I	0.44950998661435065-0.19972727636712098*I	0.1461806032952831-0.17779648546091367*I	0.0033014443922726746-0.1186462867108671*I	-0.049059077916794605-0.04897541221617569*I	-0.0452095963104904+0.004068969950599736*I	-0.016508239705665142+0.0263791174158684*I	0.009908211280208688+0.02132673048296912*I	0.019202166402677332+0.004008176235139239*I	0.011744625024860851-0.009686914049103363*I	-0.0019405003012866826-0.011909724869400009*I	-0.010483309680181224-0.004858521235624942*I	-0.009113127509591111+0.0037217520581682173*I	-0.001159296751836198+0.007261473874121671*I	0.006092582937161741+0.004519632496682991*I	0.007347785191728316-0.0009281382115431181*I	0.0027111905964842583-0.004414800336776382*I	-0.003337293553427837-0.003802921488008587*I	-0.005945728472034516-0.00046714804570750925*I	-0.003556884620501349+0.0024962647790939545*I	0.00136558895965507+0.0029429126555983605*I	0.00469737209455554+0.0010816369751441954*I	0.003984343606611563-0.001182780257511809*I	0.00015493499373231057-0.002054704077066055*I	-0.0035083691516264006-0.0011942003830961033*I	-0.00410981620881895+0.00034053548794218464*I	-0.001367505516379394+0.0012266395156592508*I	0.0023380796090598736+0.0009714787015176704*I	0.0039879151651770785+0.00009893764777355487*I	0.0023379035140455827-0.0005346119697379504*I	-0.001169887604458759-0.0005377425202446656*I	-0.0036451623962204934-0.00018315855671174576*I	-0.0030942130998150305+0.00004479791751676247*I
-0.009288026811298358+0.03074226234071939*I	-0.023371240270801844+0.03703877432079432*I	-0.037477836614988685+0.006600541449176972*I	-0.033908496170926526-0.05456118226775621*I	0.0148200093245852-0.12495206475703803*I	0.1461806032952831-0.17779648546091364*I	0.4379914216820378-0.19342149832095032*I	0.14420657495440464-0.16773435075956977*I	0.010550286403313128-0.1130125219372294*I	-0.03941437675564976-0.051028740026733715*I	-0.04060416428471486-0.0026257900858975675*I	-0.01959877282531644+0.02095855862076678*I	0.002456598213562466+0.021055348291616136*I	0.013489198655905154+0.008178667065766813*I	0.01183925608105179-0.005047721558300983*I	0.0032557536402686325-0.010470347087780683*I	-0.004621333526065862-0.007209640444264483*I	-0.007083970467827631+0.000043267846919787485*I	-0.004170779740583911+0.005377639834628641*I	0.0007371622556059622+0.0056473343645685944*I	0.003911548457612607+0.0018308432856297546*I	0.003698972689109996-0.0025204758562655887*I	0.0010485474052736397-0.004198495257404109*I	-0.0017249441599967769-0.002477646139504429*I	-0.0027542409720909553+0.0008102547837900728*I	-0.0017286241401603965+0.0029877105731150404*I	0.00024956604992402103+0.0025844884137361922*I	0.001687884789930107+0.000245177398523642*I	0.001752159945297774-0.0020105837206965873*I	0.0006616515253853445-0.0024518446955882796*I	-0.0006734033796868767-0.0009123553379745083*I	-0.001367505516378093+0.0012266395156598328*I	-0.001098333220069808+0.0022243695274353414*I	-0.00018210551183284434+0.001356581960266248*I	0.0007406785624811885-0.0005787323261073969*I	0.0011265712122230426-0.0019657001762803925*I	0.0008026436484108463-0.001686009995304026*I
0.015429698957191484+0.020088391935166698*I	0.013034538949934072+0.030553062018043326*I	-0.011002359120942757+0.022846675174845437*I	-0.04093987338921902-0.007870572869209329*I	-0.04708504957591646-0.059037546917519904*I	0.0033014443922725306-0.11864628671086712*I	0.14420657495440464-0.16773435075956963*I	0.4452402636930782-0.18778773354731246*I	0.15385127611554933-0.16978767857012775*I	0.015155718429088631-0.11970728197372678*I	-0.04250490987530107-0.056449298821835435*I	-0.048055777351361115-0.0028971722772506694*I	-0.025311740572088695+0.025129049451394197*I	0.002551229269753313+0.025694540782418306*I	0.018685452597460326+0.00961804484738589*I	0.017701232235166977-0.0073988407669407594*I	0.005284910682031949-0.014148831299029281*I	-0.0076328165148136905-0.009093474483757602*I	-0.012439391149383456+0.001170969714805368*I	-0.00760701647469963+0.008136621331801519*I	0.0017249443482316735+0.007541658845079392*I	0.008297389416313982+0.001435269516234225*I	0.007919757001147519-0.00453097395006252*I	0.0018511910536837223-0.005884505252707981*I	-0.004819157259812574-0.0024328482219877073*I	-0.007202047016722735+0.0023131062223821367*I	-0.004025082956841998+0.00441566822915057*I	0.0018467910014894303+0.002628608770105754*I	0.005857905466941815-0.0010124669139684015*I	0.005188572774429735-0.0032634745466130835*I	0.0006616515253864112-0.002451844695587429*I	-0.004109816208816892+0.0003405354879434691*I	-0.005537526193388368+0.002484283828152811*I	-0.002695558171634486+0.0021802491710660996*I	0.002114353304848792-0.00007137569576937775*I	0.0051884846071124655-0.002081583764699656*I	0.004220784312038062-0.0020104980937971644*I
0.022322565761232482-0.00018920032267605722*I	0.027798580107050663+0.005896292789217854*I	0.00957250217570389+0.016081947699657116*I	-0.024178912525932576+0.018370310525081913*I	-0.052458438321531554-0.0015647948230381895*I	-0.04905907791679482-0.04897541221617564*I	0.010550286403313194-0.11301252193722923*I	0.15385127611554952-0.16978767857012758*I	0.4498456957188537-0.1944824935838098*I	0.15076074299589806-0.17520823736522953*I	0.007704105362442337-0.11997866416507998*I	-0.04821787762207335-0.05227880799120817*I	-0.047961146295170246+0.0017420202135513642*I	-0.02011548663053345+0.02656842723301316*I	0.008413205423868577+0.02334342157377843*I	0.02071460963922369+0.005939560636137227*I	0.014689749246419213-0.009282674806433902*I	-0.00007050999952379317-0.013021129431143696*I	-0.01106905324892927-0.006334492986584698*I	-0.011451609056757578+0.0030652941953161757*I	-0.003221175515998105+0.007741047562405994*I	0.005945728660269263+0.005531160751282467*I	0.009100033064723992-0.0002507404790696223*I	0.004825543901331524-0.0044861760325457505*I	-0.0025966149909483387-0.004381653814115854*I	-0.007115616076494473-0.0010048905659521183*I	-0.005604822065157598+0.002357226578751736*I	0.00014493772016944652+0.003158023916658542*I	0.0052832038306210895+0.001375717944189273*I	0.005857905466942484-0.0010124669139675174*I	0.0017521599452992157-0.0020105837206950503*I	-0.0035083691516244156-0.0011942003830943994*I	-0.005707041160382076+0.00029641513157423617*I	-0.0032410673767071046+0.0010563261721171213*I	0.001752247872996587+0.0006773977324737103*I	0.005208566404663742-0.00011617361328629618*I	0.004385840958701611-0.00039557376939572647*I
0.012368881149859293-0.0141920991459488*I	0.018860528987002516-0.014660314641062192*I	0.014622026702061156+0.0014199281394544272*I	-0.0019460627566082825+0.022387725745828396*I	-0.026152940866810588+0.028432445226426337*I	-0.04520959631049054+0.00406896995059989*I	-0.03941437675564958-0.051028740026733424*I	0.015155718429088957-0.11970728197372643*I	0.15076074299589823-0.17520823736522922*I	0.4423940826522076-0.19475387577516293*I	0.14504777524912585-0.17103774653460224*I	0.007798736418633303-0.11533947167427804*I	-0.04302162368051795-0.05083943020958925*I	-0.04209917014105479-0.0006090989950884806*I	-0.018086329588769864+0.02288994302176462*I	0.005401722435120989+0.021459587534285448*I	0.01535918895766813+0.007067262504022985*I	0.011253512512303809-0.006523693309260874*I	0.0009172720931022988-0.011126804950632818*I	-0.006683212290227492-0.006730066755980205*I	-0.00723082474471972+0.0010547961015192643*I	-0.0024185318675878516+0.006055037567102185*I	0.0028515155604534135+0.005575958668799293*I	0.004652227020091958+0.0012521109595225565*I	0.0025290850846495256-0.003058218376510141*I	-0.000999390039383386-0.004337533457746283*I	-0.0029455953994832664-0.0022625348784442198*I	-0.002168409236026228+0.001104335752835156*I	0.00014493772016975574+0.0031580239166593247*I	0.0018467910014901211+0.0026286087701072017*I	0.0016878847899311307+0.00024517739852538664*I	0.0001549349937334999-0.0020547040770644578*I	-0.0012119103349436005-0.0026221580391303278*I	-0.0012592351157512927-0.0012064363070184467*I	-0.00014685427689226937+0.0010115282545998968*I	0.0009496042245857372+0.002363407727777383*I	0.0009877820926257126+0.0018943244805107212*I
