0.4482640870854902-0.15871869531120436*I	0.1877945511112445-0.22444512908566244*I	0.059318623806792-0.15870087102056685*I
0.18779455111124455-0.22444512908566247*I	0.5075827108922822-0.3174195663317712*I	0.18779455111124455-0.2244451290856625*I
0.05931862380679201-0.15870087102056685*I	0.1877945511112445-0.2244451290856625*I	0.4482640870854903-0.15871869531120442*I
