0.4486572847913564-0.1554492493929336*I	0.1917194371985521-0.21982174918849276*I	0.06323865438302775-0.1554318030263273*I
0.19171943719855214-0.2198217491884928*I	0.5118959391743843-0.31088105241926095*I	0.1917194371985522-0.21982174918849287*I
0.06323865438302775-0.1554318030263273*I	0.19171943719855217-0.21982174918849287*I	0.44865728479135647-0.1554492493929337*I
