0.5244531690989673-0.3614531047436868*I	0.015859717521654843-0.3693951625834902*I	-0.1938508069802726-0.09936147251279362*I	-0.07211990505380182+0.09582952495703224*I	0.06912295524686835+0.059530617852253144*I	0.037306193111836465-0.042981656950105675*I	-0.04232502246906717-0.038505172471055*I	-0.023407238479706934+0.025966757822156763*I	0.03103863324083304+0.029068948648248494*I	0.016059160452620996-0.017459197036588284*I	-0.02505234226967581-0.02385684235473388*I	-0.011526599582202118+0.012365670346546634*I	0.02146937231714491+0.020660915796238535*I	0.008410781816740728-0.008947156647403363*I	-0.01918926942424402-0.018584233269452764*I	-0.006093900775259788+0.0064594824904111526*I	0.017701781247287697+0.017222928467490014*I	0.004264490909648784-0.0044938016901081125*I	-0.016721069386692315-0.016331370006482212*I	-0.0027019688288767913+0.0028444305115730003*I	0.016140084699103927+0.01578862388206493*I	0.001313378230263354-0.0013734112393668375*I	-0.015864514195794197-0.015520823282070717*I
0.01585971752164864-0.3693951625834957*I	0.3306023621186894-0.4608145772564837*I	-0.056260187532145164-0.27356563762645697*I	-0.12472785173339634-0.039830854660539455*I	-0.03481371194195522+0.05284786800692376*I	0.0267979327778101+0.021025445381192717*I	0.013898954632137733-0.017014899127954092*I	-0.011286389228227871-0.00943622382281386*I	-0.0073480780270850695+0.008507560785559812*I	0.005986290971156262+0.005212106293509458*I	0.004532560870426234-0.005093526690039743*I	-0.003582969952508346-0.0031959265584921423*I	-0.003115817765429233+0.003418513699140063*I	0.0022801028929292483+0.0020766825267778807*I	0.00231688104149709-0.0024876741569973488*I	-0.0014874881769509174-0.0013613048019631428*I	-0.001829409865611127+0.001965680800301615*I	0.0009807118605963388+0.0008915584609990487*I	0.0015625220807778716-0.001649371178550376*I	-0.0005809846875808079-0.00054274612443647*I	-0.0013885905986136186+0.001471019272184186*I	0.0002755705032979281+0.00026780059997173056*I	0.001313378230250302-0.0013734112393821787*I
-0.19385080698028428-0.09936147251280117*I	-0.056260187532155996-0.27356563762646224*I	0.399725317365569-0.40128395940422334*I	-0.01895399442029029-0.31654729457655933*I	-0.1670528742024478-0.07833602713159867*I	-0.05822095042164983+0.07881462582907302*I	0.05783656601865483+0.05009439402943407*I	0.029958115084764283-0.034474096164549106*I	-0.0363387314979062-0.03329306617755009*I	-0.018874677609286558+0.020873231132113697*I	0.027455663288322513+0.025873022089760233*I	0.012943342687211567-0.01404068333743908*I	-0.022772239376704296-0.021780159827952346*I	-0.009209718540658456+0.009877996189543325*I	0.019981884140227942+0.019299610994268277*I	0.006581371951147266-0.0069814758471033475*I	-0.01820855756364246-0.017692674808455086*I	-0.004531378694483519+0.004810111311851211*I	0.017120796559707566+0.01668018234303479*I	0.0028759003110433007-0.0030227824179477726*I	-0.016445498883387415-0.016063569406540443*I	-0.0013885905986349553+0.0014710192721537807*I	0.016140084699082444+0.015788623882030006*I
-0.0721199050538053+0.0958295249570297*I	-0.12472785173340328-0.039830854660539*I	-0.018953994420298076-0.31654729457655434*I	0.3574002948965163-0.43978913187527224*I	-0.04236123289999385-0.29058053675440537*I	-0.13601424096161394-0.0492670784833552*I	-0.04216178996902645+0.06135542879248511*I	0.03278422374898038+0.026237551674712003*I	0.018431515502565516-0.02210842581797885*I	-0.014869359180745542-0.012632150381284965*I	-0.010463895792513507+0.011926074484723907*I	0.008266393864112735+0.007288788820305917*I	0.0068494419119656666-0.0075812008470307465*I	-0.005070458129425642-0.004557231360454607*I	-0.004945227631023871+0.005384194499446715*I	0.0032608147535297277+0.0029682409877831435*I	0.00387940312227296-0.004137045335553464*I	-0.0020684728645369117-0.00190405092642112*I	-0.0032180004642276476+0.003436700072459406*I	0.0012562823638949546+0.0011593590609459926*I	0.002875900311022561-0.0030227824179622585*I	-0.0005809846876002566-0.0005427461244738556*I	-0.002701968828884113+0.002844430511537266*I
0.06912295524688332+0.059530617852253935*I	-0.03481371194194601+0.05284786800693084*I	-0.16705287420245782-0.07833602713158545*I	-0.04236123290000769-0.29058053675439177*I	0.3884389281373414-0.4107201832270226*I	-0.026302072447378155-0.3080397337909925*I	-0.16106658323129008-0.07312392083807726*I	-0.05368838955122218+0.07372109913906019*I	0.05425359606614576+0.046898467470985056*I	0.026842297319341686-0.03105558246536341*I	-0.03405862860496009-0.03121638365074016*I	-0.01655779656777364+0.018385556975129596*I	0.02596817511137043+0.02451171728780476*I	0.011113932821580364-0.012075002537120813*I	-0.0217915275161345-0.020888601366931756*I	-0.00764719645990279+0.008228625011000143*I	0.019400899452631265+0.01875686486981558*I	0.005192781352521987-0.005510456574945412*I	-0.017932987060355142-0.01742487420850144*I	-0.0032180004642486516+0.0034367000724621595*I	0.017120796559686086+0.016680182343031542*I	0.0015625220807768403-0.001649371178565497*I	-0.01672106938668133-0.01633137000649819*I
0.03730619311185936-0.04298165695011497*I	0.026797932777827133+0.02102544538119048*I	-0.05822095042165972+0.07881462582908683*I	-0.13601424096163653-0.049267078483335836*I	-0.026302072447392-0.3080397337909839*I	0.36338658586766726-0.4345770255817585*I	-0.037828672029571256-0.2956740634444341*I	-0.13959721091412183-0.052463005041818424*I	-0.045277607734440825+0.06477394249166245*I	0.03506432664194126+0.02831423420151505*I	0.020748396544090657-0.024596099974973376*I	-0.01635684735769715-0.013993455183255657*I	-0.012293305658155104+0.013891755285028593*I	0.009247105724670416+0.008180347281319682*I	0.008411963992713161-0.00923057202557274*I	-0.00565144281702783-0.005099977484902452*I	-0.0063338182296554515+0.006855213771605755*I	0.003536385256813617+0.003236041587732325*I	0.005192781352510855-0.005510456574945352*I	-0.0020684728645507223-0.0019040509264175594*I	-0.00453137869448868+0.004810111311857225*I	0.0009807118606001513+0.0008915584610036643*I	0.004264490909653917-0.0044938016901061376*I
-0.042325022469060336-0.03850517247107385*I	0.013898954632139533-0.017014899127968417*I	0.057836566018644675+0.05009439402943835*I	-0.04216178996904164+0.06135542879249517*I	-0.1610665832313022-0.07312392083807819*I	-0.03782867202957654-0.2956740634444404*I	0.38485595818483687-0.4139161097855142*I	-0.029417890212796876-0.3046212200918443*I	-0.15878648033833603-0.07104723831130229*I	-0.051371508509694706+0.07123342498203804*I	0.05276610788920919+0.04553716266898608*I	0.02501288745372065-0.029089901665087733*I	-0.03307791674438174-0.03032482518975587*I	-0.014995274487003449+0.01673618579656104*I	0.025387190423793615+0.023968971163339063*I	0.009725342222970354-0.010603983264968557*I	-0.021515957012840613-0.020620800766984256*I	-0.0063338182296577405+0.0068552137716033955*I	0.019400899452632347+0.01875686486980793*I	0.003879403122283202-0.0041370453355610935*I	-0.018208557563635597-0.017692674808457515*I	-0.0018294098656207471+0.00196568080030334*I	0.01770178124727223+0.017222928467492134*I
-0.023407238479727314+0.025966757822146996*I	-0.011286389228250749-0.009436223822819705*I	0.029958115084757-0.03447409616454795*I	0.03278422374898486+0.026237551674706282*I	-0.05368838955122097+0.0737210991390412*I	-0.13959721091413438-0.052463005041838595*I	-0.029417890212813092-0.30462122009185016*I	0.36566668876060765-0.4325003430549899*I	-0.03551179098806488-0.2981617376014602*I	-0.14108469909107946-0.05382430984382865*I	-0.047107017600073915+0.06673962329192051*I	0.03604503850251682+0.029205792662481935*I	0.022310918624867344-0.026245471153559206*I	-0.01693783204526168-0.01453620130774081*I	-0.013681896256748849+0.015362774557164527*I	0.00952267622797961+0.008448147881261801*I	0.0097253422229685-0.010603983264965524*I	-0.005651442817018703-0.005099977484906929*I	-0.007647196459884887+0.00822862501098667*I	0.003260814753543516+0.0029682409877689964*I	0.006581371951144879-0.006981475847114552*I	-0.0014874881769677-0.0013613048019721794*I	-0.006093900775275912+0.006459482490404872*I
0.031038633240803647+0.02906894864825531*I	-0.007348078027115185+0.008507560785574686*I	-0.0363387314979102-0.033293066177538355*I	0.01843151550258237-0.022108425817988716*I	0.0542535960661544+0.046898467470954004*I	-0.04527760773446296+0.06477394249163874*I	-0.15878648033837167-0.07104723831130108*I	-0.03551179098808579-0.2981617376014484*I	0.38336847000786384-0.4152774145874988*I	-0.031247300078447938-0.3026555392915615*I	-0.1578057684777817-0.07015567985031827*I	-0.049808986428941986+0.06958405380346588*I	0.05218512320162213+0.04499441654451342*I	0.023624296855107585-0.02761888239294241*I	-0.03280234624108875-0.03005702458980824*I	-0.013681896256761444+0.015362774557173562*I	0.02538719042379256+0.02396897116334328*I	0.008411963992731312-0.009230572025577716*I	-0.021791527516120526-0.020888601366940044*I	-0.00494522763103561+0.005384194499441456*I	0.019981884140206064+0.01929961099426286*I	0.0023168810414915027-0.00248767415700628*I	-0.019189269424236016-0.018584233269461216*I
0.016059160452609727-0.017459197036579572*I	0.005986290971142384+0.005212106293529097*I	-0.01887467760929069+0.020873231132131666*I	-0.014869359180739174-0.012632150381288232*I	0.026842297319342373-0.03105558246538836*I	0.035064326641920024+0.028314234201496476*I	-0.05137150850972748+0.07123342498204685*I	-0.14108469909109866-0.05382430984380041*I	-0.031247300078446144-0.30265553929154254*I	0.3666474006211782-0.4316087845939811*I	-0.033949268907309975-0.299811108780007*I	-0.14166568377867983-0.05436705596827028*I	-0.048495608198707164+0.06821064256410005*I	0.036320609005792814+0.029473593262456976*I	0.02362429685509126-0.02761888239293103*I	-0.01693783204528553-0.014536201307728331*I	-0.014995274487011625+0.016736185796561772*I	0.009247105724680568+0.008180347281313779*I	0.011113932821577646-0.012075002537120313*I	-0.0050704581294574065-0.004557231360447325*I	-0.009209718540686945+0.00987799618954871*I	0.0022801028929397573+0.002076682526776429*I	0.008410781816769353-0.008947156647407181*I
