0.49844950133661053-0.19935787330881438*I	-0.1566981497214135+0.2580132523886031*I	-0.0544703496438884-0.15975059574363742*I	0.10483249354306753+0.013785292605564707*I	-0.0429609389770008+0.059931396717262476*I	-0.028644195111367815-0.03694318863416793*I	0.041632392752598425-0.015821107494743598*I	-0.005855656353954407+0.03010805453509644*I	-0.02555050100439001-0.003837388156847923*I	0.020295442782751662-0.018530914623816928*I	0.006790858074609431+0.010752812784495212*I	-0.020907306588162995+0.008704329786414652*I	0.00834579772834641-0.010790558712520847*I	0.012696401950990373-0.0037985649241902815*I	-0.01672232044301144+0.010791462428784055*I
-0.15669814972141405+0.25801325238860345*I	0.443979151692723-0.3591084690524519*I	-0.05186565617834702+0.2717985449941673*I	-0.09743128862088868-0.09981919902637379*I	0.07618829843169996-0.023157896028604318*I	-0.0013285462244032413+0.04411028922251935*I	-0.03449985146532133-0.006835134099071435*I	0.016081891748208028-0.019658495651591727*I	0.014439786428797235+0.011577139911279573*I	-0.018759642929780496+0.006915424627647345*I	-0.0006118638054113105-0.009826584837402216*I	0.015136655802956013-0.00003774592802579407*I	-0.008210904637173333+0.004905764862224469*I	-0.008376522714663881+9.037162633064935*^-7*I	0.012696401950989478-0.003798564924190429*I
-0.054470349643886744-0.15975059574363792*I	-0.0518656561783487+0.2717985449941677*I	0.4010182127157241-0.29917707233518764*I	-0.080509851289715+0.234855356359997*I	-0.055798895868291606-0.1156403065211159*I	0.07033264207774756+0.0069501585064918716*I	-0.02687904722879451+0.040272901065671*I	-0.014204408682569728-0.02536604872288813*I	0.022872749822818284-0.008905682867096327*I	-0.006467520159366496+0.020281469697694125*I	-0.010413845201433604-0.003875134084873868*I	0.01208453814557821-0.013625149761591961*I	-0.0015856646400537534+0.010753716500758147*I	-0.00821090463717524+0.004905764862224071*I	0.008345797728348415-0.01079055871252039*I
0.10483249354306573+0.013785292605564515*I	-0.0974312886208862-0.0998191990263737*I	-0.08050985128971659+0.23485535635999708*I	0.4426506054683208-0.3149981798299292*I	-0.08636550764366682+0.26496341089509323*I	-0.08134939687268374-0.11947769467796475*I	0.09062808486049956-0.011580756117324247*I	-0.02008818915418342+0.05102571385016641*I	-0.03511171527073525-0.016661718936473988*I	0.03121854755116686-0.019696241579617385*I	0.006228881791622376+0.01648290477350489*I	-0.02713616564444368+0.006916328343909298*I	0.012084538145576805-0.013625149761592098*I	0.015136655802958397-0.000037745928025072206*I	-0.020907306588164837+0.008704329786413896*I
-0.04296093897700014+0.059931396717264114*I	0.07618829843169864-0.023157896028606*I	-0.055798895868289886-0.1156403065211155*I	-0.0863655076436681+0.26496341089509373*I	0.4171001044639282-0.3188355679867791*I	-0.06607006486091417+0.24643249627127817*I	-0.07455853879807273-0.1087248818934701*I	0.06972077827233293-0.0028764263309101804*I	-0.011742391425832955+0.04023515513764577*I	-0.022415313319747894-0.020460283860663273*I	0.014496227108156965-0.00890477915083486*I	0.0062288817916220105+0.016482904773505568*I	-0.010413845201432896-0.003875134084874105*I	-0.0006118638054118746-0.009826584837402858*I	0.0067908580746096564+0.010752812784495993*I
-0.02864419511136695-0.03694318863417055*I	-0.0013285462244038131+0.044110289222522324*I	0.07033264207774706+0.006950158506490854*I	-0.08134939687268261-0.11947769467796583*I	-0.06607006486091485+0.2464324962712794*I	0.42389096253853814-0.3080827552022848*I	-0.0869773714490803+0.2551368260576925*I	-0.06621274106972183-0.1195154406059906*I	0.08241718022331945-0.006674991255099585*I	-0.02846471186884264+0.05102661756642814*I	-0.022415313319747228-0.02046028386066216*I	0.031218547551166025-0.01969624157961861*I	-0.006467520159365345+0.020281469697694732*I	-0.018759642929782015+0.006915424627647434*I	0.020295442782752814-0.01853091462381721*I
0.04163239275259698-0.015821107494741457*I	-0.0344998514653198-0.0068351340990739804*I	-0.026879047228795104+0.040272901065672*I	0.09062808486049932-0.011580756117323196*I	-0.07455853879807264-0.10872488189347193*I	-0.08697737144907997+0.25513682605769367*I	0.43223676026688795-0.3188733139148052*I	-0.0742809694980934+0.25133826113350294*I	-0.08293506151273172-0.10872397817720834*I	0.08241718022332098-0.006674991255098392*I	-0.011742391425835262+0.040235155137644515*I	-0.035111715270732924-0.016661718936473318*I	0.02287274982281641-0.008905682867096826*I	0.014439786428798536+0.011577139911280322*I	-0.02555050100439067-0.003837388156848602*I
-0.005855656353953591+0.030108054535096*I	0.016081891748207122-0.019658495651591137*I	-0.014204408682569163-0.025366048722888394*I	-0.02008818915418404+0.05102571385016598*I	0.06972077827233425-0.0028764263309091413*I	-0.06621274106972368-0.11951544060599173*I	-0.07428096949809208+0.2513382611335036*I	0.4155144398238779-0.30808185148602274*I	-0.07428096949809194+0.251338261133504*I	-0.06621274106972465-0.11951544060599159*I	0.06972077827233611-0.0028764263309103886*I	-0.020088189154185667+0.0510257138501672*I	-0.014204408682569239-0.02536604872288794*I	0.016081891748208916-0.019658495651593395*I	-0.00585565635395539+0.03010805453509817*I
-0.02555050100438998-0.0038373881568489012*I	0.014439786428797037+0.011577139911280725*I	0.022872749822818457-0.008905682867096828*I	-0.03511171527073461-0.016661718936474234*I	-0.011742391425834896+0.04023515513764617*I	0.0824171802233221-0.006674991255099585*I	-0.08293506151273361-0.10872397817720869*I	-0.07428096949809154+0.2513382611335045*I	0.4322367602668865-0.3188733139148058*I	-0.0869773714490783+0.2551368260576915*I	-0.07455853879807402-0.10872488189346784*I	0.09062808486049935-0.01158075611732596*I	-0.026879047228792956+0.040272901065670566*I	-0.03449985146532332-0.006835134099069001*I	0.04163239275259974-0.015821107494745874*I
0.02029544278275157-0.018530914623816012*I	-0.018759642929780083+0.006915424627646175*I	-0.006467520159367136+0.020281469697694725*I	0.03121854755116695-0.019696241579617017*I	-0.022415313319746874-0.020460283860664254*I	-0.02846471186884424+0.05102661756642908*I	0.0824171802233218-0.00667499125509878*I	-0.06621274106972408-0.11951544060599187*I	-0.08697737144907926+0.25513682605769183*I	0.4238909625385391-0.3080827552022815*I	-0.06607006486091686+0.24643249627127486*I	-0.08134939687268038-0.11947769467796374*I	0.07033264207774563+0.006950158506493267*I	-0.0013285462244034124+0.04411028922251676*I	-0.028644195111366837-0.03694318863416596*I
0.00679085807460906+0.01075281278449547*I	-0.0006118638054111622-0.009826584837402405*I	-0.010413845201433113-0.0038751340848739674*I	0.006228881791621552+0.01648290477350498*I	0.014496227108157546-0.008904779150834482*I	-0.022415313319747658-0.020460283860663016*I	-0.01174239142583423+0.04023515513764532*I	0.06972077827233401-0.0028764263309105577*I	-0.07455853879807157-0.10872488189346824*I	-0.06607006486091833+0.24643249627127542*I	0.41710010446393353-0.318835567986777*I	-0.08636550764367117+0.26496341089509384*I	-0.05579889586829153-0.11564030652111798*I	0.07618829843170385-0.023157896028602472*I	-0.04296093897700465+0.05993139671726161*I
-0.020907306588162654+0.008704329786413518*I	0.01513665580295579-0.00003774592802459206*I	0.012084538145577904-0.013625149761592228*I	-0.027136165644442798+0.006916328343908727*I	0.006228881791620833+0.016482904773506005*I	0.03121854755116745-0.0196962415796183*I	-0.035111715270734735-0.01666171893647403*I	-0.020088189154183346+0.05102571385016754*I	0.09062808486049698-0.011580756117325642*I	-0.08134939687267866-0.11947769467796426*I	-0.08636550764367171+0.264963410895094*I	0.4426506054683221-0.3149981798299306*I	-0.0805098512897123+0.2348553563599981*I	-0.09743128862089365-0.0998191990263739*I	0.10483249354307146+0.013785292605564277*I
0.008345797728347096-0.010790558712520019*I	-0.008210904637174209+0.0049057648622236605*I	-0.0015856646400531904+0.010753716500758171*I	0.012084538145576588-0.013625149761591434*I	-0.010413845201432657-0.003875134084874668*I	-0.006467520159365876+0.020281469697694666*I	0.02287274982281713-0.008905682867096375*I	-0.014204408682569844-0.025366048722888158*I	-0.02687904722879268+0.04027290106567034*I	0.07033264207774553+0.006950158506493593*I	-0.055798895868291495-0.11564030652111792*I	-0.08050985128971253+0.23485535635999794*I	0.40101821271572-0.29917707233518653*I	-0.051865656178344856+0.2717985449941652*I	-0.05447034964388894-0.15975059574363598*I
0.012696401950988624-0.0037985649241901636*I	-0.008376522714661787+9.037162629931396*^-7*I	-0.008210904637176206+0.004905764862224536*I	0.015136655802957925-0.0000377459280254687*I	-0.0006118638054107334-0.009826584837402773*I	-0.018759642929783032+0.0069154246276476395*I	0.014439786428799476+0.011577139911280118*I	0.01608189174820753-0.019658495651593458*I	-0.034499851465321404-0.006835134099068793*I	-0.0013285462244052206+0.04411028922251673*I	0.0761882984317048-0.023157896028602926*I	-0.09743128862089374-0.09981919902637322*I	-0.05186565617834506+0.2717985449941649*I	0.4439791516927248-0.35910846905244886*I	-0.15669814972141657+0.25801325238860146*I
-0.01672232044300989+0.010791462428783557*I	0.012696401950987622-0.0037985649241897234*I	0.008345797728349248-0.010790558712520913*I	-0.020907306588164278+0.008704329786414009*I	0.006790858074608365+0.010752812784496212*I	0.020295442782754133-0.018530914623817472*I	-0.02555050100439197-0.0038373881568485226*I	-0.005855656353953743+0.03010805453509832*I	0.0416323927525977-0.015821107494746023*I	-0.028644195111364956-0.036943188634166076*I	-0.04296093897700572+0.05993139671726208*I	0.1048324935430717+0.013785292605563658*I	-0.054470349643888805-0.15975059574363562*I	-0.15669814972141674+0.2580132523886014*I	0.4984495013366139-0.19935787330881335*I
