0.42551290028917244-0.060308900679727384*I	0.18951044206027576-0.09955263021809753*I	0.06013694143582282-0.10568029893398038*I	-0.013991511920208331-0.08037085423341792*I	-0.042912670428997476-0.03749741883349287*I	-0.036677580385421564+0.0037959391439122553*I	-0.01291441528789498+0.02791588007050015*I	0.009175291495447931+0.029284517382284155*I	0.01754518439341265+0.013538551404157563*I	0.011629092197906355-0.006716274971199618*I	-0.0002834798987947464-0.01907674667858332*I	-0.008297015154768493-0.017616987617183957*I	-0.007721754241467852-0.005145371531119114*I	-0.001189344556505639+0.009406105524050199*I	0.004654455440443229+0.016703624149312712*I	0.004876713640484323+0.012523099253750506*I
0.1895104420602758-0.09955263021809753*I	0.4856498417249951-0.16598919961370778*I	0.17551893014006748-0.17992348445151557*I	0.01722427100682538-0.14317771776747332*I	-0.050669092305629916-0.07657491508950566*I	-0.05582708571689246-0.0095815387629927*I	-0.027502288889973654+0.0330804565261964*I	0.004630769105517626+0.0414544314746577*I	0.020804383693354214+0.022568242411084502*I	0.017261704494617777-0.005538195274425808*I	0.0033320770431377036-0.024333262588383635*I	-0.008005234140262768-0.024222118209702496*I	-0.0094863597112743-0.008210882093133809*I	-0.003067298801024767+0.011558252618193564*I	0.003687369083978576+0.021929204777800682*I	0.004654455440443173+0.0167036241493127*I
0.06013694143582285-0.10568029893398034*I	0.17551893014006748-0.17992348445151538*I	0.4427371712959978-0.20348661844720062*I	0.13884134975464596-0.17612754530760313*I	0.004309855718930475-0.11526183769697311*I	-0.04149380081018192-0.047290397707221536*I	-0.03828190132347981+0.003957012641164822*I	-0.015873196692067403+0.026364181554996712*I	0.004347289206722659+0.022377684796074285*I	0.012507368538585383+0.00495125479390042*I	0.009539950253149528-0.010683566805545042*I	0.0021427324866316383-0.014927157064333549*I	-0.0033507786998199507-0.007518494060389883*I	-0.004609646070790325+0.004312217160616613*I	-0.0030672988010250063+0.011558252618193496*I	-0.0011893445565058437+0.009406105524050143*I
-0.013991511920208246-0.08037085423341787*I	0.017224271006825543-0.14317771776747315*I	0.13884134975464613-0.17612754530760308*I	0.4298227560081029-0.17557073837670037*I	0.14801664125009403-0.14684302792531895*I	0.021855040112343214-0.10172328629281553*I	-0.029864708612275574-0.05400667267842123*I	-0.03856538122227475-0.015119734037418635*I	-0.02417021184683627+0.008747193937812595*I	-0.0033744650347457207+0.017232313264955015*I	0.011318023982079118+0.014357360317950471*I	0.014194405693592106+0.006020057343767541*I	0.007019446127115363-0.0024040578105831594*I	-0.003350778699820415-0.0075184940603899835*I	-0.009486359711274917-0.008210882093133958*I	-0.00772175424146827-0.005145371531119224*I
-0.04291267042899733-0.03749741883349274*I	-0.05066909230562963-0.07657491508950547*I	0.004309855718930732-0.1152618376969729*I	0.14801664125009423-0.14684302792531886*I	0.44736794040151573-0.16203218697254287*I	0.1596457334480006-0.15355930289651876*I	0.021571560213548453-0.12080003297139906*I	-0.038161723767044325-0.07162366029560539*I	-0.04628713546374305-0.02026510556853791*I	-0.025359556403342517+0.018153299461862674*I	0.001279990405696801+0.03393593741426762*I	0.016194737622562728+0.02688045957170089*I	0.014194405693591507+0.0060200573437674525*I	0.0021427324866306365-0.014927157064333747*I	-0.008005234140263783-0.024222118209702735*I	-0.008297015154769128-0.017616987617184124*I
-0.03667758038542143+0.0037959391439123997*I	-0.05582708571689218-0.009581538762992482*I	-0.041493800810181586-0.04729039770722132*I	0.02185504011234357-0.10172328629281546*I	0.15964573344800076-0.15355930289651878*I	0.44708446050272094-0.18110893365112654*I	0.151348718293232-0.17117629051370303*I	0.013849805972080333-0.12594540450251837*I	-0.039351068323550405-0.06221755477155528*I	-0.04163268002330038-0.003561481419225186*I	-0.020482842762858805+0.030676398715613222*I	0.0012799904056962478+0.03393593741426766*I	0.011318023982078021+0.014357360317950369*I	0.009539950253148126-0.0106835668055453*I	0.003332077043136412-0.024333262588383947*I	-0.0002834798987955214-0.019076746678583546*I
-0.012914415287894875+0.02791588007050024*I	-0.027502288889973397+0.03308045652619652*I	-0.038281901323479396+0.003957012641164894*I	-0.02986470861227504-0.05400667267842128*I	0.021571560213548977-0.12080003297139921*I	0.1513487182932323-0.1711762905137031*I	0.439362706261253-0.18625430518224584*I	0.15015937373672608-0.16177018498965287*I	0.01850426141252324-0.10924178035320553*I	-0.034474354683066435-0.04969445551780454*I	-0.04163268002330072-0.0035614814192249985*I	-0.025359556403343354+0.018153299461862803*I	-0.0033744650347469923+0.017232313264954925*I	0.012507368538583908+0.004951254793900126*I	0.017261704494616472-0.005538195274426176*I	0.011629092197905588-0.00671627497119987*I
0.00917529149544796+0.029284517382284152*I	0.0046307691055177715+0.04145443147465765*I	-0.01587319669206705+0.026364181554996553*I	-0.03856538122227414-0.015119734037418951*I	-0.03816172376704355-0.07162366029560581*I	0.013849805972081089-0.12594540450251882*I	0.1501593737367266-0.16177018498965312*I	0.4440171617016962-0.1695506810329332*I	0.15503608737721025-0.14924708573590212*I	0.0185042614125231-0.10924178035320523*I	-0.03935106832355078-0.0622175547715548*I	-0.04628713546374377-0.020265105568537622*I	-0.024170211846837274+0.008747193937812543*I	0.004347289206721542+0.022377684796073927*I	0.02080438369335323+0.02256824241108404*I	0.01754518439341208+0.013538551404157263*I
0.017545184393412537+0.013538551404157443*I	0.02080438369335413+0.022568242411084218*I	0.004347289206722831+0.02237768479607385*I	-0.024170211846835703+0.008747193937812026*I	-0.04628713546374214-0.02026510556853854*I	-0.03935106832354933-0.06221755477155584*I	0.018504261412524172-0.10924178035320598*I	0.15503608737721075-0.1492470857359023*I	0.44401716170169603-0.1695506810329326*I	0.15015937373672594-0.16177018498965218*I	0.013849805972080142-0.12594540450251768*I	-0.03816172376704456-0.07162366029560506*I	-0.03856538122227506-0.015119734037418776*I	-0.01587319669206777+0.026364181554996206*I	0.004630769105517292+0.0414544314746571*I	0.009175291495447727+0.029284517382283756*I
0.01162909219790607-0.006716274971199834*I	0.017261704494617416-0.005538195274426222*I	0.012507368538585242+0.004951254793899841*I	-0.003374465034745399+0.01723231326495433*I	-0.025359556403341702+0.018153299461861967*I	-0.041632680023299215-0.003561481419225833*I	-0.03447435468306527-0.04969445551780507*I	0.018504261412523933-0.10924178035320553*I	0.15015937373672636-0.1617701849896523*I	0.43936270626125307-0.18625430518224495*I	0.15134871829323213-0.17117629051370234*I	0.021571560213548856-0.12080003297139892*I	-0.029864708612274988-0.05400667267842165*I	-0.03828190132347918+0.00395701264116405*I	-0.027502288889973137+0.03308045652619558*I	-0.0129144152878947+0.02791588007049964*I
