0.-0.8488422483655377*I	-0.49995809421770715+0.*I	0.+0.169709867376438*I	0.00001588803695118103+0.*I	0.+0.024086009716585317*I	9.256879552201978*^-6+0.*I	0.+0.007857134280916663*I	5.814963235930687*^-6+0.*I	0.+0.0033284353038041167*I	3.4938146246150594*^-6+0.*I	0.+0.0014708917286810601*I	1.6521250430136164*^-6+0.*I	0.+0.0004249095979706485*I
-0.4999580942328903+0.*I	0.-0.6791323809919636*I	-0.4999422061783454+0.*I	0.+0.19379587710515078*I	0.000025144902237261846+0.*I	0.+0.03194314400991196*I	0.000015071841424241228+0.*I	0.+0.011185569602244018*I	9.30877318294776*^-6+0.*I	0.+0.004799327025154992*I	5.145944844464623*^-6+0.*I	0.+0.001895801339670719*I	1.652113564176716*^-6+0.*I
0.+0.16970986734117066*I	-0.49994220618509283+0.*I	0.-0.6550463712468299*I	-0.4999329493008354+0.*I	0.+0.20165301135463062*I	0.00003095986615846993+0.*I	0.+0.0352715793346442*I	0.000018565658530765562+0.*I	0.+0.012656461292233218*I	0.000010960918809373694+0.*I	0.+0.005224236659029342*I	5.145928297982576*^-6+0.*I	0.+0.0014708917116522426*I
0.000015888022566024063+0.*I	0.+0.19379587708706725*I	-0.49993294929073695+0.*I	0.-0.6471892369818171*I	-0.49992713433771296+0.*I	0.+0.20498144669511975*I	0.00003445370061339048+0.*I	0.+0.036742471028660205*I	0.000020217771063535395+0.*I	0.+0.01308137092115241*I	0.000010960919766489496+0.*I	0.+0.0047993270359199015*I	3.493784014985124*^-6+0.*I
0.+0.024086009724780245*I	0.000025144918575820658+0.*I	0.+0.2016530113663485*I	-0.4999271343212241+0.*I	0.-0.6438608016656251*I	-0.49992364052299154+0.*I	0.+0.20645233840337837*I	0.00003610582495896973+0.*I	0.+0.03716738063877932*I	0.000020217804143967502+0.*I	0.+0.012656461311392614*I	9.308770154452542*^-6+0.*I	0.+0.0033284353360675065*I
9.25693504427727*^-6+0.*I	0.+0.03194314400815071*I	0.000030959852191259074+0.*I	0.+0.20498144666859422*I	-0.49992364050194915+0.*I	0.-0.6423899099297408*I	-0.49992198841263225+0.*I	0.+0.20687724799733478*I	0.000036105836265676317+0.*I	0.+0.03674247104026389*I	0.000018565623166821865+0.*I	0.+0.011185569606035043*I	5.814996129061001*^-6+0.*I
0.+0.00785713428102287*I	0.000015071851331546524+0.*I	0.+0.03527157932683675*I	0.00003445369788741281+0.*I	0.+0.2064523383979977*I	-0.4999219883909583+0.*I	0.-0.6419650003427306*I	-0.499921988379431+0.*I	0.+0.2064523384135376*I	0.00003445369216901255+0.*I	0.+0.035271579309694864*I	0.000015071836197290825+0.*I	0.+0.007857134291298376*I
5.814963451200583*^-6+0.*I	0.+0.011185569590258064*I	0.000018565649760660108+0.*I	0.+0.03674247103098912*I	0.00003610580531443475+0.*I	0.+0.2068772480153993*I	-0.4999219883845498+0.*I	0.-0.6423899099435568*I	-0.4999236405145453+0.*I	0.+0.20498144668450138*I	0.00003095986676271423+0.*I	0.+0.03194314399584523*I	9.256874932361825*^-6+0.*I
0.+0.003328435331352027*I	9.308773836181941*^-6+0.*I	0.+0.012656461317225566*I	0.00002021778559360187+0.*I	0.+0.0371673806519275*I	0.00003610581846767792+0.*I	0.+0.20645233838600233*I	-0.4999236405169565+0.*I	0.-0.6438608016465783*I	-0.4999271343540193+0.*I	0.+0.20165301137070216*I	0.000025144915159967093+0.*I	0.+0.024086009716375305*I
3.493793997222383*^-6+0.*I	0.+0.0047993270226552864*I	0.000010960920178604283+0.*I	0.+0.013081370926332818*I	0.000020217770327235485+0.*I	0.+0.03674247104888244*I	0.000034453688954272366+0.*I	0.+0.2049814466847263*I	-0.49992713433448444+0.*I	0.-0.6471892369796872*I	-0.4999329492976585+0.*I	0.+0.19379587707104878*I	0.00001588801148955099+0.*I
0.+0.0014708917232155727*I	5.145936233255655*^-6+0.*I	0.+0.005224236640060553*I	0.000010960913602919842+0.*I	0.+0.012656461312985812*I	0.000018565660893699043+0.*I	0.+0.03527157932114733*I	0.0000309598692256885+0.*I	0.+0.20165301137399183*I	-0.49993294931771315+0.*I	0.-0.6550463712528654*I	-0.4999422061678746+0.*I	0.+0.16970986734156668*I
1.6521382804057794*^-6+0.*I	0.+0.00189580132590704*I	5.145943305251421*^-6+0.*I	0.+0.004799327038039869*I	9.308768767368747*^-6+0.*I	0.+0.011185569602884471*I	0.000015071849361447676+0.*I	0.+0.031943144002927415*I	0.000025144909841401386+0.*I	0.+0.193795877083914*I	-0.49994220615917584+0.*I	0.-0.6791323809754708*I	-0.4999580942247803+0.*I
0.+0.00042490959913266124*I	1.6521278753400814*^-6+0.*I	0.+0.001470891715257494*I	3.4938242948479026*^-6+0.*I	0.+0.0033284353153248958*I	5.814965949230144*^-6+0.*I	0.+0.007857134279333877*I	9.256877552155096*^-6+0.*I	0.+0.02408600973569719*I	0.000015888037846578662+0.*I	0.+0.16970986735850602*I	-0.499958094202659+0.*I	0.-0.8488422483533213*I
