0.-0.8519526995045461*I	-0.502644690675807+0.*I	0.+0.1731283144637894*I	0.0038269191433723706+0.*I	0.+0.020018153134124805*I	-0.0030582096330819047+0.*I	0.+0.009231933105815937*I	0.0014818233084573206+0.*I	0.+0.0007802144117423637*I
-0.502644690700091+0.*I	0.-0.6788243850342157*I	-0.498817771536892+0.*I	0.+0.19314646761278376*I	0.0007687095148547485+0.*I	0.+0.02925008622680696*I	-0.0015763862942890228+0.*I	0.+0.010012147526904262*I	0.0014818232982598545+0.*I
0.+0.173128314474019*I	-0.49881777152514806+0.*I	0.-0.6588062319233567*I	-0.5018759811545421+0.*I	0.+0.20237840071495894*I	0.002250532831583635+0.*I	0.+0.030030300653705044*I	-0.0015763863179184478+0.*I	0.+0.009231933106034429*I
0.0038269191422344306+0.*I	0.+0.19314646761189133*I	-0.5018759811727094+0.*I	0.-0.6495742987973732*I	-0.500394157854835+0.*I	0.+0.20315861511923575*I	0.002250532823708795+0.*I	0.+0.029250086245719134*I	-0.0030582096258129354+0.*I
0.+0.020018153105494152*I	0.0007687095120566166+0.*I	0.+0.2023784007203342*I	-0.5003941578442694+0.*I	0.-0.6487940844076199*I	-0.5003941578501219+0.*I	0.+0.20237840072264923*I	0.0007687095152523462+0.*I	0.+0.020018153111897696*I
-0.0030582096075590925+0.*I	0.+0.029250086234852278*I	0.0022505328248598744+0.*I	0.+0.20315861513308864*I	-0.5003941578524405+0.*I	0.-0.6495742988004888*I	-0.5018759811796372+0.*I	0.+0.1931464676093557*I	0.0038269191535391656+0.*I
0.+0.009231933095293243*I	-0.0015763863164143799+0.*I	0.+0.030030300652470032*I	0.0022505328047268958+0.*I	0.+0.20237840072832114*I	-0.501875981160171+0.*I	0.-0.6588062319079881*I	-0.498817771532338+0.*I	0.+0.17312831448691668*I
0.0014818233210007747+0.*I	0.+0.010012147517865971*I	-0.001576386325268686+0.*I	0.+0.02925008622513947*I	0.0007687095160235913+0.*I	0.+0.1931464675947139*I	-0.4988177715629263+0.*I	0.-0.6788243850374597*I	-0.5026446906454112+0.*I
0.+0.0007802144292554658*I	0.0014818233138424036+0.*I	0.+0.00923193308176451*I	-0.003058209654634103+0.*I	0.+0.020018153156001972*I	0.0038269191492736887+0.*I	0.+0.1731283144684994*I	-0.5026446906701185+0.*I	0.-0.8519526994756461*I
