0.6453813624021728-0.3123323593247672*I	-0.0175360567241859-0.3419816088261033*I	-0.3442677425089392-0.1713145542544309*I
-0.0175360567241854-0.34198160882610495*I	0.30111361989323404-0.4836469135792012*I	-0.01753605672418576-0.3419816088261062*I
-0.34426774250893877-0.17131455425443315*I	-0.017536056724185456-0.3419816088261077*I	0.6453813624021729-0.3123323593247711*I
