0.5079604672983234-0.4010681791613305*I	-0.023305811970027138-0.3835952441102759*I	-0.199858335133342-0.07054511890075646*I	-0.049317071657551906+0.11298926795449993*I	0.07041685253597299+0.038954341313742244*I	0.018793910637721966-0.05787305926881254*I	-0.04042319175179433-0.020554677040491194*I	-0.007180740212327607+0.03999945613993404*I	0.02652647564178922+0.01249984811439253*I	0.0014101002787015801-0.031230293550106918*I	-0.018168818853640734-0.008013249182550482*I	0.001843983820444442+0.026310617113183353*I	0.01229390357864987+0.005148405536029785*I	-0.0037675719950461956-0.02340455075413965*I	-0.007669822997884598-0.003089409885265397*I	0.004876385618126679+0.02175616890151475*I	0.003709977884536953+0.0014513005784638133*I	-0.005362311548786162-0.02100762527079838*I
-0.02330581197003165-0.38359524411027945*I	0.30810213216497073-0.47161329806208474*I	-0.07262288362759715-0.2706059761557644*I	-0.12944148259739416-0.031590777587000525*I	-0.03052316101985986+0.05511620868569491*I	0.029993660784152325+0.018399664273250012*I	0.011613170425380048-0.017873603128885265*I	-0.013896716110006082-0.008054828926107765*I	-0.005770639933624344+0.008769162589813109*I	0.008357656788138518+0.0044865989318263015*I	0.0032540840991212242-0.004919676436933269*I	-0.005874915275016652-0.002864843646521641*I	-0.0019235881746135983+0.002906066359049252*I	0.004624080580767688+0.0020589956507658363*I	0.0011088136230845806-0.0016483818526288425*I	-0.0039598451133466325-0.0016381093068105336*I	-0.0004859259306624049+0.0007485436307091814*I	0.003709977884535057+0.0014513005784599392*I
-0.19985833513335566-0.07054511890075871*I	-0.07262288362760644-0.27060597615576953*I	0.3785189847009142-0.4326589567483253*I	-0.05382897298990855-0.3284790354245667*I	-0.16986467434921976-0.052145454627495216*I	-0.037703901232210416+0.09511566482561734*I	0.05652013642593282+0.030899512387629252*I	0.013023270704078875-0.04910389667901032*I	-0.03206553496365641-0.016068078108683412*I	-0.0039266561132063026+0.03507977970297325*I	0.02065156036675383+0.009635004467843385*I	-0.0005134878959483918-0.02832422719107197*I	-0.013544738272905529-0.005954253531784609*I	0.0029527974435217333+0.024662235260557427*I	0.008334058465313324+0.003510296229212992*I	-0.004253497925700234-0.02265600712344186*I	-0.003959845113352072-0.0016381093068154598*I	0.004876385618119358+0.02175616890150996*I
-0.04931707165757429+0.1129892679545066*I	-0.1294414825974025-0.031590777587007686*I	-0.05382897298989429-0.3284790354245855*I	0.33809579294912084-0.45321363378883534*I	-0.06100971320222871-0.2884795792846591*I	-0.14333819870741898-0.039645606513126465*I	-0.0362938009535045+0.0638853712754897*I	0.03835131757227897+0.02288626320505885*I	0.01486725452449791-0.02279327956584291*I	-0.019771631385028385-0.010919672572664732*I	-0.007694228108258497+0.011675228948828935*I	0.012981737368873644+0.0065455945825754975*I	0.004362897722181541-0.00656805828956516*I	-0.009834760388366157-0.00450295295333838*I	-0.002409514105262099+0.0036546099897407187*I	0.008334058465309404+0.003510296229209273*I	0.0011088136230756529-0.0016483818526314342*I	-0.007669822997896152-0.00308940988526397*I
0.07041685253595253+0.03895434131375177*I	-0.030523161019854236+0.05511620868568334*I	-0.16986467434917757-0.05214545462753553*I	-0.06100971320219335-0.2884795792846959*I	0.36462226859093955-0.4407137856744766*I	-0.05959961292350592-0.31970987283479224*I	-0.16150701756105953-0.04765885569570148*I	-0.034449817133079944+0.09019598838865533*I	0.05064522115090765+0.028034668741081854*I	0.011099682529454608-0.04619783031998237*I	-0.027441454382891705-0.01400908245793156*I	-0.0028178424901203654+0.03343139785034073*I	0.016691715253402614+0.00799689516103362*I	-0.000999413826615777-0.027575683560370323*I	-0.009834760388369185-0.004502952953341528*I	0.0029527974435182534+0.02466223526054904*I	0.004624080580758014+0.002058995650766327*I	-0.003767571995058138-0.02340455075413185*I
0.018793910637714437-0.05787305926881742*I	0.029993660784172142+0.018399664273225258*I	-0.037703901232162544+0.09511566482556866*I	-0.14333819870738462-0.039645606513175016*I	-0.05959961292350422-0.31970987283481705*I	0.3464534497372817-0.4487270348570425*I	-0.05775562910307347-0.29339925572163067*I	-0.1492131139824136-0.042510450159687144*I	-0.0382173891281156+0.0667914376345146*I	0.04297539815304882+0.024945258855817793*I	0.015976068147599054-0.024441661418469138*I	-0.0237314764983617-0.012557781879466276*I	-0.00818015403892787+0.012423772579552754*I	0.01669171525339276+0.007996895161048559*I	0.004362897722171785-0.0065680582895587085*I	-0.013544738272910466-0.005954253531791373*I	-0.001923588174620446+0.0029060663590470513*I	0.012293903578641616+0.005148405536034349*I
-0.04042319175179-0.020554677040511546*I	0.011613170425393875-0.01787360312891873*I	0.05652013642594813+0.030899512387591366*I	-0.036293800953505255+0.06388537127545936*I	-0.16150701756108166-0.04765885569571823*I	-0.05775562910309703-0.29339925572163195*I	0.35874735331592256-0.44357862932101744*I	-0.06152320109811012-0.31680380647576833*I	-0.1568829369802813-0.04559986004494642*I	-0.0333410035099768+0.08854760653603042*I	0.04668537603758373+0.026396559434280736*I	0.010613756598799358-0.04544928668925814*I	-0.023731476498370332-0.012557781879446173*I	-0.00281784249013365+0.03343139785036878*I	0.012981737368873106+0.006545594582592518*I	-0.0005134878959410808-0.02832422719107143*I	-0.0058749152750197054-0.002864843646524482*I	0.0018439838204317004+0.026310617113183922*I
-0.007180740212324458+0.03999945613991308*I	-0.013896716110013356-0.008054828926132298*I	0.01302327070405744-0.04910389667902354*I	0.03835131757225535+0.02288626320505294*I	-0.03444981713309833+0.09019598838865642*I	-0.1492131139824382-0.04251045015967561*I	-0.06152320109813131-0.3168038064757549*I	0.3510775303180444-0.446668039206264*I	-0.05664681547999145-0.29504763757423963*I	-0.1531729590957543-0.04414855946647969*I	-0.03870331505876098+0.0675399812652315*I	0.04668537603759723+0.026396559434285163*I	0.015976068147603925-0.024441661418452852*I	-0.027441454382884936-0.014009082457910209*I	-0.007694228108230096+0.011675228948845952*I	0.020651560366785445+0.009635004467851753*I	0.003254084099119518-0.0049196764369317985*I	-0.01816881885366466-0.008013249182551455*I
0.026526475641776234+0.012499848114383233*I	-0.005770639933649236+0.00876916258980788*I	-0.03206553496367901-0.01606807810867647*I	0.014867254524495298-0.022793279565832172*I	0.05064522115092454+0.028034668741094768*I	-0.038217389128110624+0.06679143763453423*I	-0.15688293698030006-0.04559986004492109*I	-0.05664681548001506-0.2950476375742228*I	0.35478750820255317-0.44521673862779215*I	-0.06200912702878947-0.31605526284503865*I	-0.15317295909573767-0.04414855946648458*I	-0.033341003509949424+0.08854760653602535*I	0.04297539815307446+0.024945258855817762*I	0.011099682529485512-0.04619783031997264*I	-0.019771631384989285-0.010919672572649544*I	-0.003926656113177839+0.03507977970298379*I	0.00835765678813169+0.004486598931822959*I	0.0014101002786788153-0.031230293550115168*I
0.0014101002786749417-0.031230293550113676*I	0.008357656788117604+0.004486598931825972*I	-0.003926656113198285+0.03507977970298734*I	-0.019771631385002486-0.010919672572643792*I	0.011099682529482305-0.04619783031996263*I	0.04297539815306356+0.02494525885583568*I	-0.033341003509982696+0.08854760653604739*I	-0.15317295909578044-0.04414855946646695*I	-0.06200912702881661-0.3160552628450335*I	0.3547875082025548-0.44521673862780475*I	-0.0566468154799932-0.29504763757425057*I	-0.15688293698027367-0.04559986004495169*I	-0.038217389128089224+0.06679143763451596*I	0.05064522115093879+0.02803466874109475*I	0.014867254524505075-0.022793279565825057*I	-0.032065534963667604-0.01606807810867935*I	-0.005770639933634098+0.00876916258979119*I	0.026526475641788373+0.012499848114366349*I
