0.-0.8487998103022107*I	-0.49996987611516674+0.*I	0.+0.1697845952274612*I	0.000035278312858055784+0.*I	0.+0.02422717734179053*I	-6.570278313851416*^-6+0.*I	0.+0.008091375045099866*I	0.000018897182467569122+0.*I	0.+0.0036571634795303995*I	7.537669305833825*^-7+0.*I	0.+0.0019696590601267217*I	6.2261853849098744*^-6+0.*I	0.+0.0011718691248602184*I	3.6416074198867223*^-6+0.*I	0.+0.0007504829003056671*I	3.11064307106614*^-6+0.*I	0.+0.000504479273094674*I	2.5821478542081282*^-6+0.*I	0.+0.00035034756182145826*I	2.0977168121631985*^-6+0.*I	0.+0.0002478227057908025*I	1.675379888722442*^-6+0.*I	0.+0.00017581994183244604*I	1.2978105531702724*^-6+0.*I	0.+0.00012249709953959798*I	9.503518917967949*^-7+0.*I	0.+0.00008074129122875862*I	6.231372108613394*^-7+0.*I	0.+0.00004596289172231066*I	3.08535526619713*^-7+0.*I	0.+0.000014927616631098262*I
-0.49996987610868815+0.*I	0.-0.6790152150662172*I	-0.49993459779555705+0.*I	0.+0.1940117725629576*I	0.000028708030911473044+0.*I	0.+0.03231855239726974*I	0.000012326906620618998+0.*I	0.+0.011748538514373017*I	0.0000196509578007376+0.*I	0.+0.00562682254698413*I	6.979951504700698*^-6+0.*I	0.+0.0031415281924264786*I	9.867796131820183*^-6+0.*I	0.+0.001922352017072862*I	6.752244546196199*^-6+0.*I	0.+0.0012549621638930594*I	5.692789177351864*^-6+0.*I	0.+0.0008548268417322405*I	4.679860997790286*^-6+0.*I	0.+0.0005981702656714152*I	3.773104523518407*^-6+0.*I	0.+0.0004236426533748134*I	2.9731732914677006*^-6+0.*I	0.+0.0002983170472651831*I	2.248161925377696*^-6+0.*I	0.+0.00020323838972507804*I	1.5734901054387549*^-6+0.*I	0.+0.00012670417616316072*I	9.316670211214201*^-7+0.*I	0.+0.000060890503414371205*I	3.0852757100519046*^-7+0.*I
0.+0.1697845952148051*I	-0.49993459780319044+0.*I	0.-0.654788037720329*I	-0.49994116808254835+0.*I	0.+0.20210314759867884*I	0.00004760521370712149+0.*I	0.+0.03597571586582038*I	0.00001308066463751934+0.*I	0.+0.013718197583972393*I	0.00002587714304729021+0.*I	0.+0.006798691664670897*I	0.000010621555518526259+0.*I	0.+0.0038920110791219042*I	0.000012978449141999204+0.*I	0.+0.0024268312968425826*I	9.334388580362666*^-6+0.*I	0.+0.0016053097338158268*I	7.790508646550489*^-6+0.*I	0.+0.001102649547961361*I	6.355240324400018*^-6+0.*I	0.+0.0007739902173521315*I	5.070901820918896*^-6+0.*I	0.+0.000546139744606898*I	3.923545620568657*^-6+0.*I	0.+0.0003790583324259078*I	2.871292660523901*^-6+0.*I	0.+0.00024920127776837525*I	1.8820178585404182*^-6+0.*I	0.+0.00014163179729399095*I	9.316771172228567*^-7+0.*I	0.+0.00004596288893916889*I
0.00003527830271429991+0.*I	0.+0.19401177256423846*I	-0.49994116807483646+0.*I	0.-0.6466966626798883*I	-0.49992227090634683+0.*I	0.+0.20576031109130274*I	0.00004835898747984133+0.*I	0.+0.03794537492866385*I	0.00001930686052966774+0.*I	0.+0.014890066705074381*I	0.000029518750036529884+0.*I	0.+0.0075491745578467485*I	0.000013732204152436955+0.*I	0.+0.004396490356430423*I	0.000015560588804068006+0.*I	0.+0.0027771788516694536*I	0.000011432103591423805+0.*I	0.+0.0018531324454977346*I	9.465880178130574*^-6+0.*I	0.+0.0012784694899228223*I	7.653043061489995*^-6+0.*I	0.+0.0008964873073400922*I	6.021254515484682*^-6+0.*I	0.+0.0006268810405755153*I	4.546675863591965*^-6+0.*I	0.+0.0004250212258032559*I	3.179823321336276*^-6+0.*I	0.+0.0002641288937928286*I	1.8820207377877602*^-6+0.*I	0.+0.0001267041827255861*I	6.231409146323363*^-7+0.*I
0.+0.02422717733754831*I	0.00002870803058160698+0.*I	0.+0.20210314761236867*I	-0.4999222709050702+0.*I	0.-0.6430394992147784*I	-0.49992151712632305+0.*I	0.+0.20772997015021594*I	0.0000545851678336839+0.*I	0.+0.039117244054300615*I	0.000022948467311177376+0.*I	0.+0.01564054960380213*I	0.00003262938321427646+0.*I	0.+0.008053653825017874*I	0.000016314356582679908+0.*I	0.+0.004746837928927647*I	0.000017658298391435746+0.*I	0.+0.0030250015608746933*I	0.000013107480026256105+0.*I	0.+0.0020289523850891555*I	0.000010763689157565912+0.*I	0.+0.0014009665988139741*I	8.603404722040775*^-6+0.*I	0.+0.0009772286051808535*I	6.644391176363307*^-6+0.*I	0.+0.0006728439249068588*I	4.855204100186078*^-6+0.*I	0.+0.00043994884598908685*I	3.179827358416247*^-6+0.*I	0.+0.00024920127277763826*I	1.5734955653660683*^-6+0.*I	0.+0.00008074128889838661*I
-6.5702761307340684*^-6+0.*I	0.+0.032318552382560255*I	0.000047605208445481974+0.*I	0.+0.2057603110784809*I	-0.49992151713664557+0.*I	0.-0.6410698401453263*I	-0.4999152909514196+0.*I	0.+0.20890183927590428*I	0.00005822678511833933+0.*I	0.+0.039867726934113085*I	0.0000260591147300566+0.*I	0.+0.01614502887777829*I	0.00003521153400075701+0.*I	0.+0.008404001402014404*I	0.000018412067536852486+0.*I	0.+0.0049946606258602765*I	0.000019333677674297794+0.*I	0.+0.0032008215165541627*I	0.000014405292544124459+0.*I	0.+0.0021514494852292467*I	0.000011714041080774562+0.*I	0.+0.001481707871312634*I	9.226539699001448*^-6+0.*I	0.+0.0010231914883535207*I	6.952917260800881*^-6+0.*I	0.+0.0006877715485074795*I	4.8551943870778895*^-6+0.*I	0.+0.0004250212225456171*I	2.871301167332372*^-6+0.*I	0.+0.0002032383919319409*I	9.503555654932772*^-7+0.*I
0.+0.008091375043231291*I	0.000012326898947823219+0.*I	0.+0.035975715852513454*I	0.000048358977856895636+0.*I	0.+0.207729970156873*I	-0.4999152909435285+0.*I	0.-0.6398979710225442*I	-0.4999116493305455+0.*I	0.+0.20965232217249072*I	0.00006133741526151665+0.*I	0.+0.04037220621278385*I	0.00002864125746317846+0.*I	0.+0.01649537643910095*I	0.00003730924639373727+0.*I	0.+0.00865182410966324*I	0.000020087446568484078+0.*I	0.+0.005170480575655612*I	0.000020631478168987824+0.*I	0.+0.0033233186054597366*I	0.000015355648915255807+0.*I	0.+0.0022321907822164325*I	0.000012337178233654609+0.*I	0.+0.0015276707742630583*I	9.535063032704686*^-6+0.*I	0.+0.0010381191091205846*I	6.952920460803857*^-6+0.*I	0.+0.0006728439312865264*I	4.546680083023253*^-6+0.*I	0.+0.0003790583361686084*I	2.2481599837052237*^-6+0.*I	0.+0.00012249709690807797*I
0.000018897184211684852+0.*I	0.+0.011748538520808805*I	0.000013080668177110778+0.*I	0.+0.03794537491832845*I	0.00005458517341274771+0.*I	0.+0.20890183928100323*I	-0.49991164934219556+0.*I	0.-0.6391474881291491*I	-0.4999085386952361+0.*I	0.+0.21015680143898044*I	0.0000639195558613493+0.*I	0.+0.04072255378789478*I	0.00003073896959344863+0.*I	0.+0.016743199146446834*I	0.00003898463499033519+0.*I	0.+0.008827644048744624*I	0.000021385253097171272+0.*I	0.+0.0052929776779681165*I	0.00002158183653434796+0.*I	0.+0.0034040599042071728*I	0.000015978785954748022+0.*I	0.+0.002278153658914848*I	0.000012645711695400087+0.*I	0.+0.0015425983868177656*I	9.535058491170667*^-6+0.*I	0.+0.0010231914959050125*I	6.64439462172298*^-6+0.*I	0.+0.0006268810405036195*I	3.923547256148099*^-6+0.*I	0.+0.00029831704518817*I	1.297805431788035*^-6+0.*I
0.+0.003657163470219181*I	0.00001965095357799485+0.*I	0.+0.013718197583173782*I	0.00001930686186986528+0.*I	0.+0.039117244038564605*I	0.000058226771572877795+0.*I	0.+0.2096523221779063*I	-0.4999085386900862+0.*I	0.-0.6386430088508852*I	-0.49990595655118786+0.*I	0.+0.21050714901426543*I	0.0000660172722682297+0.*I	0.+0.0409703764914014*I	0.00003241435396422819+0.*I	0.+0.016919019095276773*I	0.000040282434405436513+0.*I	0.+0.008950141145186871*I	0.000022335617867676112+0.*I	0.+0.005373718972739992*I	0.000022204971893482353+0.*I	0.+0.0034500227841086223*I	0.000016287314529726193+0.*I	0.+0.002293081296843358*I	0.000012645707020435743+0.*I	0.+0.0015276707620981989*I	9.226537914549186*^-6+0.*I	0.+0.0009772286126046234*I	6.02126110544976*^-6+0.*I	0.+0.000546139744150638*I	2.9731806465980295*^-6+0.*I	0.+0.00017581995047952215*I
7.537668419216792*^-7+0.*I	0.+0.005626822541375365*I	0.00002587713459350302+0.*I	0.+0.01489006671412166*I	0.000022948480089278896+0.*I	0.+0.039867726945110274*I	0.00006133741965187701+0.*I	0.+0.21015680143991441*I	-0.4999059565537148+0.*I	0.-0.6382926612828738*I	-0.4999038588411703+0.*I	0.+0.21075497172431476*I	0.00006769265702034192+0.*I	0.+0.04114619642677716*I	0.00003371215322123896+0.*I	0.+0.01704151619008982*I	0.00004123279688774275+0.*I	0.+0.00903088244530448*I	0.000022958738454837+0.*I	0.+0.005419681854750446*I	0.00002251350604951868+0.*I	0.+0.0034649504047945313*I	0.000016287314814994072+0.*I	0.+0.0022781536632579284*I	0.000012337178278643212+0.*I	0.+0.001481707882359668*I	8.603397752402126*^-6+0.*I	0.+0.0008964873153292568*I	5.070904052953969*^-6+0.*I	0.+0.00042364264785977533*I	1.6753771198696477*^-6+0.*I
0.+0.001969659071545962*I	6.979960256498995*^-6+0.*I	0.+0.006798691661798875*I	0.000029518739545821966+0.*I	0.+0.015640549608051335*I	0.00002605911070154201+0.*I	0.+0.04037220621697678*I	0.00006391956173126232+0.*I	0.+0.2105071490143255*I	-0.4999038588397228+0.*I	0.-0.6380448385861784*I	-0.49990218345457815+0.*I	0.+0.21093079167194856*I	0.00006899046413443656+0.*I	0.+0.041268693531900755*I	0.000034662513814689656+0.*I	0.+0.01712225749021197*I	0.00004185593800315181+0.*I	0.+0.009076845326533016*I	0.000023267273494074274+0.*I	0.+0.00543460947644548*I	0.000022513499625518847+0.*I	0.+0.003450022784111058*I	0.000015978791370432447+0.*I	0.+0.0022321907820303938*I	0.00001171404237677678+0.*I	0.+0.0014009665868135734*I	7.65304690667793*^-6+0.*I	0.+0.0007739902163758361*I	3.7730897456123556*^-6+0.*I	0.+0.00024782270008923135*I
