0.-0.8487998103022107*I	-0.49996987611516674+0.*I	0.+0.1697845952274612*I	0.000035278312858055784+0.*I	0.+0.02422717734179053*I	-6.570278313851416*^-6+0.*I	0.+0.008091375045099866*I	0.000018897182467569122+0.*I	0.+0.0036571634795303995*I	7.537669305833825*^-7+0.*I	0.+0.0019696590601267217*I	6.2261853849098744*^-6+0.*I	0.+0.0011718691248602184*I	3.6416074198867223*^-6+0.*I	0.+0.0007504829003056671*I	3.11064307106614*^-6+0.*I	0.+0.000504479273094674*I	2.5821478542081282*^-6+0.*I	0.+0.00035034756182145826*I	2.0977168121631985*^-6+0.*I	0.+0.0002478227057908025*I	1.675379888722442*^-6+0.*I	0.+0.00017581994183244604*I	1.2978105531702724*^-6+0.*I	0.+0.00012249709953959798*I	9.503518917967949*^-7+0.*I	0.+0.00008074129122875862*I	6.231372108613394*^-7+0.*I	0.+0.00004596289172231066*I	3.08535526619713*^-7+0.*I	0.+0.000014927616631098262*I
6.226186378294611*^-6+0.*I	0.+0.003141528184595201*I	0.00001062156364507791+0.*I	0.+0.007549174568751786*I	0.000032629394548145174+0.*I	0.+0.016145028866977645*I	0.000028641258897904328+0.*I	0.+0.04072255378891013*I	0.00006601727801043488+0.*I	0.+0.2107549717192884*I	-0.49990218345220944+0.*I	0.-0.6378690186341308*I	-0.49990088565371177+0.*I	0.+0.21105328875608362*I	0.00006994081560708794+0.*I	0.+0.0413494348228913*I	0.00003528564455077851+0.*I	0.+0.017168220371586867*I	0.000042164459796983404+0.*I	0.+0.009091772954366664*I	0.0000232672751282322+0.*I	0.+0.00541968185219699*I	0.00002220496319931083+0.*I	0.+0.0034040598921653655*I	0.000015355651360954744+0.*I	0.+0.0021514494913696864*I	0.00001076368984901887+0.*I	0.+0.0012784694887990461*I	6.3552437395858225*^-6+0.*I	0.+0.0005981702705239172*I	2.097714144499996*^-6+0.*I
0.+0.0011718691113443216*I	9.867794556556086*^-6+0.*I	0.+0.003892011096343677*I	0.00001373220177536695+0.*I	0.+0.008053653835426125*I	0.00003521153508029302+0.*I	0.+0.01649537645259997*I	0.000030738968175384214+0.*I	0.+0.04097037647752958*I	0.00006769265251354888+0.*I	0.+0.2109307916734101*I	-0.49990088565058877+0.*I	0.-0.63774652155025*I	-0.4998999352977482+0.*I	0.+0.2111340300546909*I	0.00007056395796584578+0.*I	0.+0.04139539771106509*I	0.00003559417183921396+0.*I	0.+0.01718314799517233*I	0.00004216445114233599+0.*I	0.+0.009076845319005426*I	0.00002295874151302988+0.*I	0.+0.005373718971171122*I	0.00002158184184023334+0.*I	0.+0.0033233186037557455*I	0.000014405300817494109+0.*I	0.+0.00202895239189399*I	9.465884755314048*^-6+0.*I	0.+0.0011026495382860518*I	4.679863593986561*^-6+0.*I	0.+0.0003503475767515016*I
3.6416038942296204*^-6+0.*I	0.+0.0019223520222422265*I	0.000012978444037075131+0.*I	0.+0.004396490358203006*I	0.00001631433919644864+0.*I	0.+0.008404001396232574*I	0.00003730926090650166+0.*I	0.+0.016743199157207435*I	0.000032414342386248915+0.*I	0.+0.041146196436090646*I	0.00006899047028704447+0.*I	0.+0.21105328875824114*I	-0.49989993529953214+0.*I	0.-0.6376657802432321*I	-0.4998993121580025+0.*I	0.+0.211179992935669*I	0.00007087248399934536+0.*I	0.+0.04141032533011832*I	0.00003559417441580339+0.*I	0.+0.01716822037344034*I	0.00004185592721640783+0.*I	0.+0.009030882445002433*I	0.000022335605988339297+0.*I	0.+0.005292977668539268*I	0.000020631482433168066+0.*I	0.+0.0032008215050079347*I	0.000013107496783139326+0.*I	0.+0.0018531324494186962*I	7.790499445514146*^-6+0.*I	0.+0.0008548268355096709*I	2.5821487928956444*^-6+0.*I
0.+0.0007504829031189306*I	6.752245170929905*^-6+0.*I	0.+0.00242683129116876*I	0.000015560582709956513+0.*I	0.+0.0047468379326720475*I	0.000018412067354207727+0.*I	0.+0.008651824099705475*I	0.00003898463213351664+0.*I	0.+0.016919019094885655*I	0.00003371215578270685+0.*I	0.+0.041268693533628505*I	0.00006994081933402054+0.*I	0.+0.21113403004734974*I	-0.49989931216333955+0.*I	0.-0.6376198173639813*I	-0.4998990036269593+0.*I	0.+0.2111949205662759*I	0.00007087247870863619+0.*I	0.+0.041395397715627794*I	0.0000352856471199705+0.*I	0.+0.01712225748117404*I	0.0000412327962482272+0.*I	0.+0.008950141154748542*I	0.000021385250952494075+0.*I	0.+0.005170480575986035*I	0.00001933367381907448+0.*I	0.+0.0030250015543336964*I	0.00001143210791210496+0.*I	0.+0.0016053097447285905*I	5.69280273521875*^-6+0.*I	0.+0.0005044792785517394*I
3.110637729480175*^-6+0.*I	0.+0.0012549621711132261*I	9.334398140723477*^-6+0.*I	0.+0.002777178857535834*I	0.00001765829523584212+0.*I	0.+0.004994660626504986*I	0.00002008744347869418+0.*I	0.+0.008827644056017808*I	0.000040282433406841996+0.*I	0.+0.01704151619272773*I	0.00003466251166959813+0.*I	0.+0.041349434828177024*I	0.00007056395473472641+0.*I	0.+0.21117999293813228*I	-0.49989900362436607+0.*I	0.-0.6376048897370937*I	-0.49989900363047296+0.*I	0.+0.21117999293801465*I	0.00007056395007327211+0.*I	0.+0.0413494348249222*I	0.00003466251111846403+0.*I	0.+0.017041516190335285*I	0.00004028243796602146+0.*I	0.+0.008827644053802907*I	0.000020087440776098342+0.*I	0.+0.004994660623251765*I	0.000017658298352994666+0.*I	0.+0.002777178866851128*I	9.334394669127643*^-6+0.*I	0.+0.0012549621720238727*I	3.1106320241280905*^-6+0.*I
0.+0.0005044792771334156*I	5.6927879052029555*^-6+0.*I	0.+0.0016053097321512416*I	0.000011432109051291438+0.*I	0.+0.003025001555682652*I	0.000019333678080302343+0.*I	0.+0.005170480571201341*I	0.00002138525006314213+0.*I	0.+0.008950141149754044*I	0.00004123279174273689+0.*I	0.+0.017122257489185562*I	0.00003528565091703156+0.*I	0.+0.04139539771416758*I	0.00007087247884372211+0.*I	0.+0.21119492055877623*I	-0.4998990036345305+0.*I	0.-0.6376198173639647*I	-0.49989931216106326+0.*I	0.+0.21113403005585563*I	0.00006994082692559489+0.*I	0.+0.04126869353533702*I	0.000033712162653179234+0.*I	0.+0.016919019088750695*I	0.00003898462653154213+0.*I	0.+0.008651824101485343*I	0.00001841206136412783+0.*I	0.+0.004746837923406348*I	0.000015560588841023305+0.*I	0.+0.0024268312949024887*I	6.752248904122524*^-6+0.*I	0.+0.0007504829074057445*I
2.582144721799767*^-6+0.*I	0.+0.0008548268344675341*I	7.79050563427534*^-6+0.*I	0.+0.0018531324372268955*I	0.000013107486792817429+0.*I	0.+0.0032008215120598866*I	0.00002063147015976465+0.*I	0.+0.0052929776621588685*I	0.000022335613415196725+0.*I	0.+0.009030882441105163*I	0.000041855924119854585+0.*I	0.+0.017168220378096257*I	0.00003559418152899504+0.*I	0.+0.04141032534109981*I	0.00007087248049238651+0.*I	0.+0.2111799929448535*I	-0.49989931215960803+0.*I	0.-0.6376657802512316*I	-0.49989993528966176+0.*I	0.+0.21105328875880167*I	0.0000689904640447677+0.*I	0.+0.04114619643619983*I	0.00003241435414101228+0.*I	0.+0.01674319914963231*I	0.00003730925352528962+0.*I	0.+0.008404001399576082*I	0.0000163143468782108+0.*I	0.+0.004396490360517327*I	0.000012978439364479284+0.*I	0.+0.0019223520249523202*I	3.6416075780421053*^-6+0.*I
0.+0.00035034756188020294*I	4.679866604390615*^-6+0.*I	0.+0.001102649540200805*I	9.465887374352133*^-6+0.*I	0.+0.002028952386968992*I	0.000014405287870501329+0.*I	0.+0.0033233186027612285*I	0.00002158183868719894+0.*I	0.+0.005373718970416351*I	0.00002295874457091023+0.*I	0.+0.009076845326773456*I	0.000042164450500549766+0.*I	0.+0.017183147997016292*I	0.00003559417778076931+0.*I	0.+0.041395397715345644*I	0.00007056395930508256+0.*I	0.+0.21113403004868095*I	-0.4998999352913591+0.*I	0.-0.6377465215452753*I	-0.4999008856439491+0.*I	0.+0.21093079167220363*I	0.00006769266442818137+0.*I	0.+0.040970376474718025*I	0.000030738966043334685+0.*I	0.+0.01649537645628739*I	0.000035211536565167554+0.*I	0.+0.008053653825884466*I	0.000013732206754967798+0.*I	0.+0.003892011091310224*I	9.867782211542424*^-6+0.*I	0.+0.0011718691179164603*I
2.097726417892029*^-6+0.*I	0.+0.0005981702692664788*I	6.355237587451485*^-6+0.*I	0.+0.001278469487767289*I	0.000010763688286207209+0.*I	0.+0.0021514494889153*I	0.00001535564184585534+0.*I	0.+0.003404059894318023*I	0.00002220499080735758+0.*I	0.+0.005419681857439486*I	0.00002326726245420198+0.*I	0.+0.00909177296025803*I	0.00004216445251311629+0.*I	0.+0.017168220378121473*I	0.00003528564490809801+0.*I	0.+0.04134943481638256*I	0.00006994082429298139+0.*I	0.+0.21105328875888396*I	-0.49990088565039686+0.*I	0.-0.6378690186394399*I	-0.49990218345437704+0.*I	0.+0.21075497171853982*I	0.00006601727492344905+0.*I	0.+0.040722553787504036*I	0.000028641260805714663+0.*I	0.+0.016145028877041914*I	0.00003262938222636707+0.*I	0.+0.007549174559531173*I	0.000010621569749781071+0.*I	0.+0.0031415281926464554*I	6.2261844769873065*^-6+0.*I
0.+0.00024782269476187474*I	3.7730962052283423*^-6+0.*I	0.+0.0007739902170664711*I	7.653056849247704*^-6+0.*I	0.+0.0014009665934935356*I	0.000011714048677993788+0.*I	0.+0.002232190779036726*I	0.000015978783486232654+0.*I	0.+0.003450022783843827*I	0.000022513504331227055+0.*I	0.+0.005434609471524965*I	0.00002326726562772731+0.*I	0.+0.009076845327663847*I	0.00004185592306368116+0.*I	0.+0.017122257486624486*I	0.000034662518827518865+0.*I	0.+0.04126869353119954*I	0.0000689904741524935+0.*I	0.+0.2109307916670501*I	-0.4999021834575154+0.*I	0.-0.6380448385800124*I	-0.49990385883573973+0.*I	0.+0.21050714900796125*I	0.00006391956527529903+0.*I	0.+0.040372206214155944*I	0.000026059107368573653+0.*I	0.+0.015640549608166167*I	0.00002951875143058995+0.*I	0.+0.006798691663802536*I	6.979950437933544*^-6+0.*I	0.+0.001969659057219436*I
1.675376963305277*^-6+0.*I	0.+0.0004236426527500187*I	5.070902145181723*^-6+0.*I	0.+0.0008964873115214992*I	8.603401215107286*^-6+0.*I	0.+0.001481707875937321*I	0.00001233717934366765+0.*I	0.+0.0022781536730840262*I	0.000016287318609534767+0.*I	0.+0.0034649504107087084*I	0.000022513501891229043+0.*I	0.+0.005419681861833317*I	0.000022958736359868723+0.*I	0.+0.00903088244612609*I	0.000041232789937549916+0.*I	0.+0.017041516184087977*I	0.00003371215979234554+0.*I	0.+0.04114619643345351*I	0.00006769265404894241+0.*I	0.+0.21075497170820384*I	-0.4999038588347163+0.*I	0.-0.6382926612882464*I	-0.49990595654842407+0.*I	0.+0.21015680144582757*I	0.00006133741379039134+0.*I	0.+0.039867726950310114*I	0.000022948458558839356+0.*I	0.+0.014890066707234811*I	0.000025877143193172227+0.*I	0.+0.0056268225366001914*I	7.537689603598352*^-7+0.*I
0.+0.0001758199460977633*I	2.97318219616276*^-6+0.*I	0.+0.0005461397433050227*I	6.021260698006538*^-6+0.*I	0.+0.0009772286104355252*I	9.226537967780494*^-6+0.*I	0.+0.0015276707689218655*I	0.00001264570842311838+0.*I	0.+0.0022930812870384024*I	0.000016287322156764148+0.*I	0.+0.0034500227902212466*I	0.000022204959586207335+0.*I	0.+0.00537371896333598*I	0.000022335611055312326+0.*I	0.+0.008950141146812501*I	0.00004028243882404483+0.*I	0.+0.01691901909266689*I	0.00003241434854958818+0.*I	0.+0.04097037649222918*I	0.00006601727709837741+0.*I	0.+0.21050714900814055*I	-0.4999059565502323+0.*I	0.-0.638643008853139*I	-0.4999085386909995+0.*I	0.+0.20965232217120663*I	0.000058226766237809226+0.*I	0.+0.03911724405003139*I	0.00001930686612766713+0.*I	0.+0.013718197584489611*I	0.0000196509560670887+0.*I	0.+0.0036571634765140137*I
1.2978008286323555*^-6+0.*I	0.+0.0002983170458447245*I	3.9235438645234576*^-6+0.*I	0.+0.0006268810476547731*I	6.644383222580757*^-6+0.*I	0.+0.001023191487151928*I	9.535073371263881*^-6+0.*I	0.+0.0015425983896232825*I	0.00001264570597753986+0.*I	0.+0.0022781536612706027*I	0.00001597878428738473+0.*I	0.+0.003404059898086691*I	0.00002158184314490693+0.*I	0.+0.005292977677853464*I	0.000021385244102010126+0.*I	0.+0.008827644048600442*I	0.00003898462974670875+0.*I	0.+0.01674319914730348*I	0.000030738977743351665+0.*I	0.+0.04072255378723197*I	0.00006391956184490712+0.*I	0.+0.2101568014441691*I	-0.4999085386934797+0.*I	0.-0.6391474881325895*I	-0.4999116493471999+0.*I	0.+0.2089018392788638*I	0.00005458517641539063+0.*I	0.+0.0379453749266829*I	0.000013080657147298637+0.*I	0.+0.01174853851576773*I	0.00001889718993508538+0.*I
0.+0.00012249709518535878*I	2.248156924900922*^-6+0.*I	0.+0.000379058328432387*I	4.546678790770952*^-6+0.*I	0.+0.0006728439208857628*I	6.9529152032573466*^-6+0.*I	0.+0.0010381191143498947*I	9.535064232017904*^-6+0.*I	0.+0.0015276707679306167*I	0.000012337176815583517+0.*I	0.+0.0022321907855062523*I	0.00001535564903160006+0.*I	0.+0.0033233185993920417*I	0.000020631491047450382+0.*I	0.+0.005170480572366375*I	0.00002008744685665038+0.*I	0.+0.008651824107414482*I	0.000037309242245098335+0.*I	0.+0.01649537644695772*I	0.000028641254246404243+0.*I	0.+0.040372206217790765*I	0.00006133741788981855+0.*I	0.+0.20965232217708324*I	-0.49991164933968735+0.*I	0.-0.6398979710247348*I	-0.49991529094893417+0.*I	0.+0.2077299701574273*I	0.000048358984592941845+0.*I	0.+0.03597571585436748*I	0.00001232690008085341+0.*I	0.+0.008091375056215697*I
9.503614308615675*^-7+0.*I	0.+0.00020323838931072809*I	2.871295560134479*^-6+0.*I	0.+0.00042502122895009026*I	4.855201135108292*^-6+0.*I	0.+0.0006877715466151316*I	6.952928778580595*^-6+0.*I	0.+0.0010231914914269511*I	9.226531913643424*^-6+0.*I	0.+0.001481707875405753*I	0.000011714045995518771+0.*I	0.+0.0021514494951709712*I	0.000014405296515493101+0.*I	0.+0.0032008215038830806*I	0.000019333674786763615+0.*I	0.+0.004994660630900079*I	0.000018412067959575724+0.*I	0.+0.008404001398628269*I	0.000035211543233732864+0.*I	0.+0.016145028881893734*I	0.000026059108456970417+0.*I	0.+0.03986772694811402*I	0.000058226773331167435+0.*I	0.+0.20890183927151942*I	-0.49991529094229015+0.*I	0.-0.6410698401479514*I	-0.49992151711708493+0.*I	0.+0.20576031108954862*I	0.000047605200491291066+0.*I	0.+0.03231855238870765*I	-6.57027619066497*^-6+0.*I
0.+0.0000807412843348912*I	1.573494280287078*^-6+0.*I	0.+0.0002492012766236798*I	3.17982471332466*^-6+0.*I	0.+0.00043994883563294035*I	4.8552014879666074*^-6+0.*I	0.+0.0006728439427816785*I	6.64438837127524*^-6+0.*I	0.+0.0009772285991797233*I	8.603402018005994*^-6+0.*I	0.+0.0014009665847128372*I	0.000010763689900442335+0.*I	0.+0.0020289523776433754*I	0.000013107488660382634+0.*I	0.+0.0030250015624343*I	0.00001765829355833488+0.*I	0.+0.004746837929931247*I	0.000016314353412414215+0.*I	0.+0.008053653838091118*I	0.000032629385136082886+0.*I	0.+0.015640549605543223*I	0.000022948465009405803+0.*I	0.+0.03911724404688797*I	0.0000545851674306357+0.*I	0.+0.20772997014632225*I	-0.49992151712957117+0.*I	0.-0.6430394992158961*I	-0.499922270901775+0.*I	0.+0.20210314760492165*I	0.000028708030206204342+0.*I	0.+0.024227177336661326*I
6.231410643216251*^-7+0.*I	0.+0.0001267041846308803*I	1.8820188593532405*^-6+0.*I	0.+0.0002641288931012602*I	3.179833614433414*^-6+0.*I	0.+0.00042502122322056636*I	4.546666895664797*^-6+0.*I	0.+0.0006268810360320169*I	6.021262245983761*^-6+0.*I	0.+0.000896487314161457*I	7.653040104773495*^-6+0.*I	0.+0.0012784694944925797*I	9.46588576750812*^-6+0.*I	0.+0.0018531324461093998*I	0.00001143210567789918+0.*I	0.+0.002777178858342606*I	0.000015560583572712255+0.*I	0.+0.004396490351884031*I	0.00001373220189510721+0.*I	0.+0.007549174560015141*I	0.000029518755817331543+0.*I	0.+0.0148900667051063*I	0.000019306855854842042+0.*I	0.+0.03794537492800305*I	0.00004835899207121866+0.*I	0.+0.2057603110819523*I	-0.4999222709069039+0.*I	0.-0.6466966626887063*I	-0.49994116808088196+0.*I	0.+0.1940117725709037*I	0.000035278307073172144+0.*I
0.+0.00004596289204393533*I	9.316629328265954*^-7+0.*I	0.+0.0001416318031392319*I	1.8820215938691488*^-6+0.*I	0.+0.0002492012875482674*I	2.871291927646773*^-6+0.*I	0.+0.0003790583380675061*I	3.923541477554187*^-6+0.*I	0.+0.0005461397431953674*I	5.070904191391279*^-6+0.*I	0.+0.0007739902126848927*I	6.355234848686636*^-6+0.*I	0.+0.0011026495445232432*I	7.79049708884346*^-6+0.*I	0.+0.001605309738396725*I	9.334395002387477*^-6+0.*I	0.+0.0024268312886745885*I	0.000012978437476033708+0.*I	0.+0.00389201108801087*I	0.000010621566830594647+0.*I	0.+0.006798691657977793*I	0.000025877133287571745+0.*I	0.+0.013718197580111502*I	0.000013080676305852267+0.*I	0.+0.0359757158519903*I	0.00004760520817894911+0.*I	0.+0.20210314761704448*I	-0.4999411680846276+0.*I	0.-0.6547880377353003*I	-0.499934597795636+0.*I	0.+0.1697845952212278*I
