0.-0.8487837043648131*I	-0.49995630483450526+0.*I	0.+0.169737925367961*I	0.00001123366586222801+0.*I	0.+0.024218051033667944*I	0.000021223570571763895+0.*I	0.+0.008007389069985786*I	-0.000010478164120450881+0.*I	0.+0.0036078960080332557*I	0.00002492849781677189+0.*I	0.+0.001843827859301103*I	-0.000013892690648274736+0.*I	0.+0.0010483235888340725*I	0.000013515719433218091+0.*I	0.+0.0005562962360941246*I	-3.7753376101937007*^-6+0.*I	0.+0.00025453955453699935*I	2.1411537011576705*^-6+0.*I
-0.49995630483449577+0.*I	0.-0.6790457789968284*I	-0.49994507116861686+0.*I	0.+0.19395597640164058*I	0.00003245723643313611+0.*I	0.+0.03222544010365208*I	0.00001074540643571933+0.*I	0.+0.011615285078005069*I	0.000014450333693496643+0.*I	0.+0.005451723867357144*I	0.000011035807164644158+0.*I	0.+0.0028921514481259404*I	-3.7697121813873377*^-7+0.*I	0.+0.0016046198249473533*I	9.74038182561671*^-6+0.*I	0.+0.0008108357905903481*I	-1.6341838856206408*^-6+0.*I	0.+0.0002545395545371511*I
0.+0.16973792536794616*I	-0.4999450711686315+0.*I	0.-0.6548277279631791*I	-0.4999238475980625+0.*I	0.+0.20196336547161062*I	0.00002197907231519317+0.*I	0.+0.03583333611170669*I	0.00003567390428262639+0.*I	0.+0.013459112937307003*I	5.576430058375602*^-7+0.*I	0.+0.006500047456184961*I	0.000024551526611605806+0.*I	0.+0.003448447684200327*I	-4.1523088372596705*^-6+0.*I	0.+0.0018591593794583974*I	0.000011881535545709735+0.*I	0.+0.0008108357906290857*I	-3.77533761590803*^-6+0.*I
0.000011233665871864404+0.*I	0.+0.19395597640164416*I	-0.4999238475980572+0.*I	0.-0.6468203388931945*I	-0.4999343257621734+0.*I	0.+0.20557126147965693*I	0.00004690757011970168+0.*I	0.+0.03767716397098933*I	0.000021781213603059855+0.*I	0.+0.014507436526148675*I	0.000014073362475270747+0.*I	0.+0.007056343692267214*I	0.000020776188982594607+0.*I	0.+0.003702987238771207*I	-2.0111551183537882*^-6+0.*I	0.+0.001859159379429788*I	9.740381836332672*^-6+0.*I	0.+0.0005562962361086223*I
0.+0.024218051033659958*I	0.000032457236436212986+0.*I	0.+0.20196336547160984*I	-0.499934325762188+0.*I	0.-0.6432124428851389*I	-0.4999093972643545+0.*I	0.+0.20741508933896644*I	0.00003301487946209971+0.*I	0.+0.03872548755980525*I	0.00003529693303645602+0.*I	0.+0.015063732762231769*I	0.000010298024866292099+0.*I	0.+0.0073108832467821926*I	0.000022917342704058234+0.*I	0.+0.0037029872387419854*I	-4.152308829648248*^-6+0.*I	0.+0.0016046198249284453*I	0.000013515719450437+0.*I
0.000021223570548816376+0.*I	0.+0.03222544010362914*I	0.000021979072308831954+0.*I	0.+0.2055712614796723*I	-0.4999093972643707+0.*I	0.-0.6413686150258499*I	-0.4999232899550304+0.*I	0.+0.2084634129277737*I	0.00004653059889688772+0.*I	0.+0.039281783795909055*I	0.00003152159544988674+0.*I	0.+0.015318272316747487*I	0.000012439178564570691+0.*I	0.+0.0073108832467830755*I	0.000020776188989221552+0.*I	0.+0.003448447684224328*I	-3.769712156381076*^-7+0.*I	0.+0.0010483235888481218*I
0.+0.00800738906997319*I	0.000010745406441143072+0.*I	0.+0.035833336111703286*I	0.000046907570123528475+0.*I	0.+0.20741508933893446*I	-0.49992328995504925+0.*I	0.-0.6403202914370043*I	-0.49990977423557265+0.*I	0.+0.2090197091638743*I	0.00004275526128553981+0.*I	0.+0.03953632335044127*I	0.000033662749157017804+0.*I	0.+0.015318272316739587*I	0.000010298024852992035+0.*I	0.+0.007056343692256769*I	0.000024551526611663204+0.*I	0.+0.0028921514481275775*I	-0.000013892690667439566+0.*I
-0.000010478164094531973+0.*I	0.+0.011615285078005775*I	0.00003567390423734711+0.*I	0.+0.03767716397099472*I	0.00003301487947578364+0.*I	0.+0.20846341292778087*I	-0.4999097742356015+0.*I	0.-0.6397639952009077*I	-0.4999135495731749+0.*I	0.+0.20927424871838265*I	0.00004489641500205783+0.*I	0.+0.039536323350446434*I	0.00003152159543398904+0.*I	0.+0.01506373276221324*I	0.000014073362469046037+0.*I	0.+0.00650004745619007*I	0.000011035807171408856+0.*I	0.+0.0018438278592762796*I
0.+0.0036078960080700075*I	0.000014450333697816814+0.*I	0.+0.013459112937310534*I	0.0000217812136147981+0.*I	0.+0.03872548755981165*I	0.000046530598891400356+0.*I	0.+0.20901970916387716*I	-0.49991354957319195+0.*I	0.-0.6395094556464084*I	-0.49991140841947024+0.*I	0.+0.20927424871841224*I	0.00004275526129097046+0.*I	0.+0.03928178379590795*I	0.0000352969330483785+0.*I	0.+0.014507436526151492*I	5.576430302124943*^-7+0.*I	0.+0.005451723867347351*I	0.00002492849783834363+0.*I
0.00002492849781094995+0.*I	0.+0.005451723867341136*I	5.576430441124464*^-7+0.*I	0.+0.014507436526148646*I	0.000035296933024484003+0.*I	0.+0.03928178379591179*I	0.00004275526131892201+0.*I	0.+0.20927424871840425*I	-0.4999114084194869+0.*I	0.-0.6395094556463805*I	-0.499913549573207+0.*I	0.+0.20901970916386625*I	0.000046530598913730164+0.*I	0.+0.03872548755981046*I	0.000021781213626758963+0.*I	0.+0.013459112937326882*I	0.000014450333680234713+0.*I	0.+0.0036078960080343533*I
0.+0.0018438278593105786*I	0.000011035807170401832+0.*I	0.+0.006500047456167748*I	0.000014073362470884512+0.*I	0.+0.01506373276226793*I	0.00003152159544452636+0.*I	0.+0.03953632335040443*I	0.00004489641499040466+0.*I	0.+0.20927424871842232*I	-0.499913549573182+0.*I	0.-0.6397639952009501*I	-0.4999097742355922+0.*I	0.+0.20846341292779852*I	0.000033014879468922824+0.*I	0.+0.03767716397099706*I	0.00003567390426021627+0.*I	0.+0.011615285078018787*I	-0.000010478164114522848+0.*I
