0.386820266814482-0.6675809149832992*I	-0.305212038567274-0.33439088860254246*I	-0.17508962562448402+0.13883231470872257*I	0.09355379922504045+0.049186271163280705*I	-0.004567510551192373-0.05851164581345841*I	-0.04380840378618135+0.02539658303235094*I	0.03840655321966937+0.011159156860186748*I	-0.002726106814477741-0.02228961722698525*I	-0.025940351077951663+0.011576092875741305*I	0.025149497103932328+0.003138567486803718*I	-0.0011857473672471433-0.00864098849924908*I	-0.02088742396335939+0.005441780581895997*I	0.0208007782904455-0.001281669260784451*I
-0.3052120385672839-0.33439088860253374*I	0.21173064118998763-0.5287486002745789*I	-0.21165823934223307-0.28520461743927733*I	-0.1796571361756662+0.08032066889525258*I	0.04974539543886989+0.07458285419562403*I	0.03383904266848576-0.047352488953288925*I	-0.046534510600653604+0.003106965805348038*I	0.01246620214171311+0.022735249735927075*I	0.02242339028944361-0.019151049740176833*I	-0.02712609844520361+0.002935104376488279*I	0.004262073140575633+0.008580348068692704*I	0.019615030923199862-0.009922657760039194*I	-0.020887423963361133+0.005441780581890688*I
-0.1750896256244864+0.13883231470872384*I	-0.2116582393422365-0.28520461743927344*I	0.2071631306388016-0.5872602460880522*I	-0.25546664312841716-0.2598080344069187*I	-0.14125058295600013+0.09147982575544228*I	0.047019288624396166+0.05229323696862114*I	0.007898691590532282-0.035776396077553924*I	-0.021385013496734755+0.006245533292164988*I	0.011280454774455606+0.014094261236678295*I	0.001535966326083521-0.013709269158297586*I	-0.006325320154757057+0.0016534351156936647*I	0.00426207314057812+0.008580348068690142*I	-0.0011857473672394758-0.008640988499255816*I
0.09355379922505605+0.04918627116327152*I	-0.17965713617566065+0.0803206688952525*I	-0.25546664312841727-0.2598080344069208*I	0.24556968385845873-0.5761010892278541*I	-0.2581927499429001-0.2820976516339029*I	-0.16719093403395396+0.10305591863117775*I	0.07216878572831809+0.05543180445543384*I	0.006712944223275785-0.044417384576787185*I	-0.042272437460095624+0.011687313874057043*I	0.032081233064900946+0.012812591975880677*I	0.001535966326085228-0.013709269158296117*I	-0.02712609844519447+0.002935104376485277*I	0.025149497103942202+0.003138567486796459*I
-0.004567510551180799-0.05851164581346023*I	0.0497453954388717+0.0745828541956268*I	-0.14125058295599968+0.09147982575543476*I	-0.2581927499428913-0.28209765163391654*I	0.2196293327805171-0.5645249963521173*I	-0.2330432528389672-0.27895908414710424*I	-0.16837668140120593+0.09441493013192513*I	0.05128136176495722+0.06087358503733484*I	0.02751372251372105-0.04569905383757235*I	-0.04227243746009142+0.011687313874051496*I	0.01128045477446727+0.014094261236671447*I	0.02242339028945016-0.01915104974018486*I	-0.025940351077957564+0.01157609287573439*I
-0.04380840378618559+0.025396583032350734*I	0.03383904266847367-0.04735248895328293*I	0.04701928862438628+0.05229323696862685*I	-0.16719093403394936+0.10305591863117741*I	-0.23304325283895688-0.27895908414710446*I	0.2184435854132702-0.5731659848513733*I	-0.2539306768023289-0.2735173035652171*I	-0.14757590311076477+0.09313326087114257*I	0.05128136176496047+0.0608735850373297*I	0.006712944223288046-0.04441738457680003*I	-0.021385013496727508+0.006245533292152557*I	0.012466202141704852+0.02273524973592419*I	-0.0027261068144892858-0.02228961722698159*I
0.038406553219661306+0.011159156860184066*I	-0.04653451060066503+0.0031069658053554886*I	0.007898691590518307-0.03577639607754156*I	0.07216878572830768+0.05543180445544089*I	-0.16837668140120188+0.09441493013192953*I	-0.2539306768023181-0.27351730356521636*I	0.23924436370370888-0.5744476541121615*I	-0.25393067680233106-0.27351730356521603*I	-0.16837668140120476+0.09441493013192709*I	0.07216878572831525+0.05543180445543233*I	0.00789869159052077-0.035776396077550926*I	-0.04653451060066442+0.003106965805355891*I	0.038406553219665775+0.011159156860190773*I
-0.002726106814480822-0.02228961722697842*I	0.012466202141715274+0.022735249735936686*I	-0.02138501349673512+0.0062455332921591885*I	0.006712944223268222-0.04441738457680508*I	0.05128136176495593+0.060873585037326775*I	-0.1475759031107557+0.09313326087114071*I	-0.2539306768023213-0.27351730356522214*I	0.21844358541327005-0.5731659848513714*I	-0.23304325283897492-0.27895908414709514*I	-0.16719093403397656+0.10305591863118732*I	0.04701928862438065+0.05229323696863643*I	0.03383904266848699-0.04735248895328435*I	-0.043808403786177785+0.0253965830323381*I
-0.02594035107794969+0.011576092875743682*I	0.022423390289453934-0.019151049740177575*I	0.011280454774463204+0.01409426123667061*I	-0.04227243746009559+0.011687313874046146*I	0.027513722513720855-0.0456990538375768*I	0.05128136176495952+0.06087358503733417*I	-0.1683766814012009+0.0944149301319266*I	-0.23304325283896316-0.27895908414710435*I	0.21962933278051228-0.5645249963521162*I	-0.258192749942903-0.2820976516339083*I	-0.1412505829560059+0.09147982575544489*I	0.049745395438873734+0.07458285419562496*I	-0.0045675105511774755-0.05851164581347046*I
0.025149497103935103+0.0031385674867899886*I	-0.027126098445198255+0.002935104376480438*I	0.0015359663260875733-0.013709269158285697*I	0.03208123306490179+0.012812591975895918*I	-0.04227243746009443+0.01168731387405943*I	0.00671294422327991-0.04441738457678543*I	0.07216878572831142+0.05543180445544365*I	-0.1671909340339674+0.10305591863117736*I	-0.2581927499428914-0.2820976516339173*I	0.24556968385847958-0.5761010892278678*I	-0.2554666431284197-0.2598080344069277*I	-0.1796571361756741+0.08032066889525549*I	0.09355379922505563+0.04918627116328088*I
