0.5134605193017653-0.2687098264177056*I	0.10039695678106123-0.3170884160044703*I	-0.1216394618165333-0.1492097477952073*I	-0.1058730684170201+0.03690271653680218*I	0.0070210382341455504+0.08041781853405376*I	0.05327726358030604+0.008836026219418916*I	0.01195078482770759-0.04507310545776644*I	-0.028713651879371988-0.0204262976921904*I	-0.016033642367473403+0.025158083868385826*I	0.014473565193181912+0.023520672749329584*I	0.015135123670771182-0.011696637794459171*I	-0.005779461646671638-0.022861215851556104*I	-0.012250143993075571+0.0019264254149847558*I	0.0007592000998615846+0.020111971364553904*I	0.008798659256540034+0.005275907591275154*I	0.0016347880228223925-0.01604691434287317*I	-0.005592720234273725-0.010420549275970685*I	-0.0021346626818445937+0.01112089621416118*I	0.0031691116478844944+0.01373934293617267*I	0.0013802232752720767-0.005690305835090614*I	-0.0018738655702816736-0.015383652328650212*I
0.10039695678106039-0.3170884160044698*I	0.3918210574852309-0.4179195742129116*I	-0.005476111635959525-0.28018569946766647*I	-0.11461842358238727-0.06879192926115157*I	-0.05259580483671288+0.04573874275622276*I	0.018971823061853802+0.03534471307628857*I	0.024563611700933262-0.011590271472770091*I	-0.004082857539767793-0.019915021589378565*I	-0.014240086686192342+0.0030943750571417795*I	-0.0008985186967040136+0.013461446073929207*I	0.008694103546508843+0.0006594568977754989*I	0.002884979677694222-0.00977021237947297*I	-0.005020261546811258-0.002749244487001109*I	-0.0034514847365360157+0.007202333006260762*I	0.00239398812268443+0.004065057021681321*I	0.0032059390222671496-0.0051446416846951965*I	-0.0004998746590216898-0.004926018128711864*I	-0.0024236085863891467+0.003318793660201889*I	-0.0007544394065723433+0.00543059037907019*I	0.0012952460776033748-0.001644309392478089*I	0.0013802232752726405-0.0056903058350910385*I
-0.12163946181653498-0.1492097477952057*I	-0.005476111635961233-0.28018569946766486*I	0.3988420957193765-0.33750175567885465*I	0.047801151944348017-0.27134967324824444*I	-0.10266763875467816-0.11386503471891588*I	-0.08130945671608533+0.025312445064034236*I	0.0029381806943775037+0.06050279694467727*I	0.03903717689411108+0.011930401276563852*I	0.011052266130999843-0.03161165938383277*I	-0.020019548332866427-0.019766840794410063*I	-0.013148662689781522+0.015387871488916901*I	0.009453303646368566+0.02077142826233137*I	0.011683638934233003-0.004494304788196215*I	-0.003385473523988731-0.018796158829872792*I	-0.00904420497080839-0.0032182162697087075*I	0.00025932544084126445+0.015185953235843163*I	0.006375050670152312+0.008594701251477443*I	0.0008803486162506047-0.010616323963803102*I	-0.004297474156670305-0.012064858668449193*I	-0.0007544394065715277+0.005430590379069531*I	0.003169111647885392+0.01373934293617201*I
-0.10587306841702095+0.036902716536804624*I	-0.1146184235823889-0.06879192926114912*I	0.04780115194434646-0.2713496732482439*I	0.41079288054708535-0.38257486113662004*I	0.01908750006497518-0.2917759709404345*I	-0.11870128112215494-0.08870695085052896*I	-0.0668358915229078+0.04883311781336691*I	0.018073304365145267+0.048806159150222746*I	0.03325771524743787-0.010930814574987773*I	-0.0011978778620762329-0.02968523396884511*I	-0.019260348233005146+0.00034513057014506844*I	-0.004350003433241633+0.02066377908019253*I	0.011088091669191558+0.004724513919458991*I	0.0060909186999607-0.014914854064165461*I	-0.005520136205831822-0.007675262615710121*I	-0.005875093322923028+0.01052112666646453*I	0.0016395487161136914+0.009495647400751865*I	0.004501185099870999-0.006788951077173993*I	0.0008803486162509784-0.010616323963803704*I	-0.0024236085863888+0.0033187936602015397*I	-0.002134662681844501+0.011120896214161225*I
0.0070210382341469625+0.08041781853405601*I	-0.052595804836712154+0.04573874275622472*I	-0.10266763875467938-0.11386503471891603*I	0.019087500064973523-0.29177597094043556*I	0.3947592381796082-0.35741677726823506*I	0.0335610652581525-0.26825529819110405*I	-0.10356615745138643-0.10040358864498555*I	-0.0726153531695793+0.025971901961813707*I	0.005823160372071612+0.05073258456520931*I	0.03401691534730159+0.009181156789566207*I	0.007600781394465638-0.02440932637757117*I	-0.017625560210180913-0.015701783772729457*I	-0.009942723667513444+0.010243229804221508*I	0.008953428987348331+0.015845410133621028*I	0.00926003034784556-0.0011755111279918157*I	-0.0041399129305599225-0.013365568450800898*I	-0.007748958893204732-0.0048625256621869515*I	0.0016395487161137226+0.009495647400750928*I	0.006375050670152005+0.008594701251476971*I	-0.0004998746590226343-0.004926018128710992*I	-0.005592720234274678-0.01042054927596947*I
0.053277263580308445+0.008836026219420458*I	0.018971823061856217+0.03534471307628979*I	-0.08130945671608497+0.025312445064033694*I	-0.11870128112215611-0.08870695085053054*I	0.03356106525815163-0.26825529819110505*I	0.4098943618503773-0.36911341506269235*I	0.027781603611481666-0.291116514042658*I	-0.11581630144445897-0.09847716322999935*I	-0.07185615306971432+0.04608387332636782*I	0.014621819628614271+0.05600849215648341*I	0.035651703370125715-0.006865757553308748*I	0.0020080611601930613-0.03482987565354348*I	-0.019760222892025028-0.00458088755856897*I	-0.0067736120196292895+0.023982572740394205*I	0.010333652262619702+0.010155104298530157*I	0.007386164777563396-0.016559163456643024*I	-0.004139912930560301-0.013365568450801835*I	-0.0058750933229239875+0.010521126666463721*I	0.00025932544084004446+0.015185953235843569*I	0.0032059390222661938-0.005144641684693619*I	0.0016347880228219371-0.016046914342871733*I
0.011950784827708397-0.04507310545776549*I	0.024563611700934688-0.011590271472768929*I	0.0029381806943791083+0.06050279694467785*I	-0.06683589152290657+0.0488331178133668*I	-0.10356615745138625-0.10040358864498583*I	0.027781603611481336-0.29111651404265787*I	0.39764421785730475-0.3671869896477053*I	0.02854080371134626-0.27100454267810264*I	-0.10701764218791726-0.09320125563872354*I	-0.07022136504689158+0.03003695898349458*I	0.009029099394339728+0.04558794288051211*I	0.03351704068827941+0.00425513866085173*I	0.005177172808075509-0.02109053271737144*I	-0.018379999616754388-0.010271193393660519*I	-0.008647477589911304+0.00859892041174265*I	0.010333652262619744+0.010155104298529144*I	0.009260030347844355-0.001175511127992482*I	-0.005520136205833912-0.007675262615709582*I	-0.009044204970809494-0.003218216269707446*I	0.0023939881226852358+0.004065057021682322*I	0.008798659256541419+0.005275907591275561*I
-0.028713651879373785-0.020426297692189694*I	-0.0040828575397688525-0.019915021589377413*I	0.03903717689411274+0.01193040127656512*I	0.01807330436514865+0.04880615915022399*I	-0.07261535316957723+0.025971901961815123*I	-0.11581630144445937-0.09847716322999797*I	0.02854080371134485-0.2710045426781015*I	0.40644287711384486-0.36191108205642775*I	0.030175591734167277-0.287051457020974*I	-0.1126103624221933-0.10362180491469329*I	-0.07235602772873909+0.041157855197655746*I	0.01219821104222126+0.05932728581668425*I	0.03489726396354956-0.001435167174239888*I	0.003303307237793696-0.0364741850460231*I	-0.018379999616753413-0.010271193393661716*I	-0.006773612019629183+0.023982572740392907*I	0.008953428987346966+0.01584541013362112*I	0.006090918699959192-0.014914854064163994*I	-0.003385473523988582-0.018796158829871457*I	-0.003451484736534078+0.007202333006260839*I	0.0007592000998635049+0.02011197136455336*I
-0.016033642367475898+0.025158083868386378*I	-0.0142400866861944+0.0030943750571420857*I	0.011052266131000653-0.03161165938383312*I	0.03325771524744061-0.010930814574988009*I	0.00582316037207328+0.05073258456521035*I	-0.07185615306971554+0.046083873326370046*I	-0.10701764218792012-0.09320125563872125*I	0.030175591734165556-0.2870514570209727*I	0.40085015687956893-0.37233163133239716*I	0.028040929052320373-0.275930560806813*I	-0.10944125077431073-0.08988246197852184*I	-0.07097580445346759+0.035467549362563786*I	0.010324345471940822+0.04394363348803291*I	0.0348972639635517-0.0014351671742405536*I	0.005177172808076786-0.02109053271737259*I	-0.01976022289202534-0.004580887558569769*I	-0.009942723667513666+0.010243229804221559*I	0.011088091669192586+0.004724513919459603*I	0.011683638934234335-0.004494304788195692*I	-0.005020261546810946-0.002749244487001036*I	-0.012250143993076012+0.001926425414984604*I
0.0144735651931809+0.02352067274932999*I	-0.0008985186967046734+0.0134614460739283*I	-0.020019548332866025-0.019766840794413057*I	-0.0011978778620758638-0.029685233968848476*I	0.03401691534730036+0.00918115678956498*I	0.014621819628611383+0.056008492156484874*I	-0.07022136504689443+0.030036958983496974*I	-0.11261036242219448-0.10362180491469179*I	0.028040929052320432-0.27593056080681244*I	0.4040192685274534-0.35859228839622664*I	0.029421152327593514-0.28162086664190566*I	-0.1113151163445895-0.10526611430717321*I	-0.07097580445346403+0.03546754936256381*I	0.01219821104222466+0.05932728581668429*I	0.033517040688279744+0.004255138660851931*I	0.0020080611601919584-0.034829875653543396*I	-0.01762556021017992-0.01570178377273012*I	-0.00435000343323862+0.02066377908019138*I	0.009453303646369786+0.020771428262330843*I	0.002884979677691563-0.009770212379472289*I	-0.005779461646675178-0.02286121585155514*I
