0.-0.8488153524263304*I	-0.4999576161901981+0.*I	0.+0.16979324992602848*I	0.000016855104428004642+0.*I	0.+0.02423457203248583*I	0.000010736197610295559+0.*I	0.+0.00808764276646047*I	7.844453218698615*^-6+0.*I	0.+0.003670181613841965*I	6.1306847197348745*^-6+0.*I	0.+0.0019747583036073962*I	4.980958692071363*^-6+0.*I	0.+0.0011825289375561668*I	4.146947478823762*^-6+0.*I	0.+0.0007626284715912882*I	3.507481973291307*^-6+0.*I	0.+0.0005191214686434478*I	2.9962053969448643*^-6+0.*I	0.+0.0003679517344905639*I	2.573649061456258*^-6+0.*I	0.+0.0002689170406426425*I	2.214780644411509*^-6+0.*I	0.+0.0002011058100175045*I	1.9029175289692548*^-6+0.*I	0.+0.00015288858923046683*I	1.6264677603508533*^-6+0.*I	0.+0.00011743388034556046*I	1.377054275961679*^-6+0.*I	0.+0.00009053794082476696*I	1.1484476732172965*^-6+0.*I	0.+0.00006950604169281283*I	9.358484177251637*^-7+0.*I	0.+0.00005254348589124602*I	7.354526143309013*^-7+0.*I	0.+0.0000384085679061702*I	5.441629922334103*^-7+0.*I	0.+0.00002620542100129769*I	3.59331596844341*^-7+0.*I	0.+0.00001525490305257643*I	1.7865675011253733*^-7+0.*I	0.+5.009123312041397*^-6*I
-0.4999576161838691+0.*I	0.-0.6790221025045997*I	-0.49994076108469976+0.*I	0.+0.19402782196244514*I	0.000027591310413859636+0.*I	0.+0.0323222147965517*I	0.00001858065015774006+0.*I	0.+0.01175782438643005*I	0.000013975139440822852+0.*I	0.+0.0056449399190019725*I	0.000011111636101927861+0.*I	0.+0.003157287239954806*I	9.127910301460442*^-6+0.*I	0.+0.0019451574041189357*I	7.654426767808712*^-6+0.*I	0.+0.0012817499384913738*I	6.503690811475786*^-6+0.*I	0.+0.0008870732014232167*I	5.569850751395721*^-6+0.*I	0.+0.0006368687815773645*I	4.7884292166386364*^-6+0.*I	0.+0.00047002285071503586*I	4.117693413769068*^-6+0.*I	0.+0.0003539944000546269*I	3.529390765864536*^-6+0.*I	0.+0.0002703224634182193*I	3.003523638397723*^-6+0.*I	0.+0.00020797182027615453*I	2.5255050178306713*^-6+0.*I	0.+0.00016004399064610062*I	2.084288111926039*^-6+0.*I	0.+0.00012204952482606894*I	1.6713053644007922*^-6+0.*I	0.+0.0000909520486402971*I	1.2796114615217812*^-6+0.*I	0.+0.00006461398845928953*I	9.03495160292966*^-7+0.*I	0.+0.00004146032481301703*I	5.379821621211952*^-7+0.*I	0.+0.00002026402520883402*I	1.7865347586021318*^-7+0.*I
0.+0.16979324992301117*I	-0.49994076108235275+0.*I	0.-0.6547875304631804*I	-0.4999300248788825+0.*I	0.+0.20211546472720593*I	0.00003543575155352833+0.*I	0.+0.03599239642204186*I	0.000024711336856518002+0.*I	0.+0.013732582676142926*I	0.000018956094923809372+0.*I	0.+0.006827468864063109*I	0.00001525858683848986+0.*I	0.+0.003919915708809597*I	0.000012635388257985499+0.*I	0.+0.0024642788789828313*I	0.00001065064068182476+0.*I	0.+0.001649701670240894*I	9.077338107114478*^-6+0.*I	0.+0.0011559902513926731*I	7.7846317227626*^-6+0.*I	0.+0.0008379745832201024*I	6.6913438242467775*^-6+0.*I	0.+0.0006229114460424082*I	5.744165047985713*^-6+0.*I	0.+0.0004714282692409033*I	4.906444777036514*^-6+0.*I	0.+0.0003608604183232486*I	4.151966253630698*^-6+0.*I	0.+0.00027747785370438316*I	3.4613491419218993*^-6+0.*I	0.+0.00021258747429895447*I	2.8197505870555367*^-6+0.*I	0.+0.00016045808988023047*I	2.2154623593763255*^-6+0.*I	0.+0.00011715747825003647*I	1.638949636674603*^-6+0.*I	0.+0.0000798688838551248*I	1.0821482371901815*^-6+0.*I	0.+0.000046469457517094026*I	5.379913348110483*^-7+0.*I	0.+0.000015254891806759652*I
0.00001685510487313783+0.*I	0.+0.19402782195980464*I	-0.4999300248813992+0.*I	0.-0.6466998877021429*I	-0.4999221804301133+0.*I	0.+0.20578564634509758*I	0.00004156644456553264+0.*I	0.+0.037967154721984905*I	0.00002969229839121837+0.*I	0.+0.014915111623509478*I	0.000023103040590636625+0.*I	0.+0.007590097328759126*I	0.000018766070932329003+0.*I	0.+0.004439037173914113*I	0.000015631596872479508+0.*I	0.+0.002832230610903373*I	0.000013224283909843928+0.*I	0.+0.00191861871257019*I	0.00001129211284500911+0.*I	0.+0.001357096055985775*I	9.687553750718632*^-6+0.*I	0.+0.0009908631795187417*I	8.317814757654487*^-6+0.*I	0.+0.0007403453165433176*I	7.12122071589107*^-6+0.*I	0.+0.000561966218847935*I	6.054891155325924*^-6+0.*I	0.+0.00043036645345433176*I	5.087814506739879*^-6+0.*I	0.+0.00033002134667940524*I	4.196806072448984*^-6+0.*I	0.+0.0002509960381664184*I	3.363906937466524*^-6+0.*I	0.+0.00018666351210227264*I	2.5747999081895054*^-6+0.*I	0.+0.00013241237614418366*I	1.8176019385520523*^-6+0.*I	0.+0.00008487801605930559*I	1.082147645144604*^-6+0.*I	0.+0.0000414603215192754*I	3.5933232132856485*^-7+0.*I
0.+0.024234572036543604*I	0.000027591308325411122+0.*I	0.+0.20211546472437408*I	-0.4999221804267326+0.*I	0.-0.6430297060734921*I	-0.4999160497465955+0.*I	0.+0.2077604046417503*I	0.00004654739901864908+0.*I	0.+0.039149683654301055*I	0.00003383924431922776+0.*I	0.+0.015677740095223207*I	0.000026610522733317533+0.*I	0.+0.008109218800258285*I	0.000021762277461880985+0.*I	0.+0.004806988906375452*I	0.000018205243773761017+0.*I	0.+0.003101147657428298*I	0.000015439064440484916+0.*I	0.+0.002119724530063531*I	0.00001319503246274118+0.*I	0.+0.0015099846467812247*I	0.000011314017158849998+0.*I	0.+0.0011082970517260343*I	9.69486907281826*^-6+0.*I	0.+0.0008308832610442185*I	8.269666209317996*^-6+0.*I	0.+0.000631472260921459*I	6.990739352542879*^-6+0.*I	0.+0.00048290993568706614*I	5.823270817943979*^-6+0.*I	0.+0.00036842991271199277*I	4.740966004658086*^-6+0.*I	0.+0.00027720146323576*I	3.723240455087243*^-6+0.*I	0.+0.00020191841658864784*I	2.7534531401056765*^-6+0.*I	0.+0.00013742150404123105*I	1.8176058435485194*^-6+0.*I	0.+0.0000798688860042876*I	9.034986786451625*^-7+0.*I	0.+0.000026205428079968673*I
0.000010736211399595217+0.*I	0.+0.032322214802174475*I	0.00003543575661163297+0.*I	0.+0.20578564634525584*I	-0.4999160497448198+0.*I	0.-0.6410549477827808*I	-0.4999110687870361+0.*I	0.+0.20894293358788035*I	0.00005069434745420736+0.*I	0.+0.0399123121291699*I	0.00003734673114632914+0.*I	0.+0.01619686156280201*I	0.000029606731948534613+0.*I	0.+0.008477170530424018*I	0.000024335918436261712+0.*I	0.+0.00507590595567671*I	0.00002042002636373937+0.*I	0.+0.0033022534640120733*I	0.0000173419753119292+0.*I	0.+0.0022726131149085724*I	0.00001482150542326749+0.*I	0.+0.0016274185229459134*I	0.000012691072553499222+0.*I	0.+0.0011988350041465493*I	0.00001084331850834371+0.*I	0.+0.000900389303502656*I	9.205512396498902*^-6+0.*I	0.+0.0006840157439209258*I	7.726190043831031*^-6+0.*I	0.+0.0005213185022383809*I	6.367435830072329*^-6+0.*I	0.+0.00039463533320969655*I	5.100296250952953*^-6+0.*I	0.+0.0002924563632574208*I	3.9018939075678745*^-6+0.*I	0.+0.00020692754138503335*I	2.7534562919270555*^-6+0.*I	0.+0.0001324123725160175*I	1.6389493096305573*^-6+0.*I	0.+0.00006461399203381962*I	5.44162629206868*^-7+0.*I
0.+0.008087642759807799*I	0.000018580651672485704+0.*I	0.+0.035992396424656695*I	0.00004156644518709444+0.*I	0.+0.20776040464480827*I	-0.49991106878395136+0.*I	0.-0.6398724188400874*I	-0.49990692183862856+0.*I	0.+0.20970556205033647*I	0.000054201830526858514+0.*I	0.+0.04043143360108471*I	0.00004034292911615063+0.*I	0.+0.016564813293882836*I	0.000032180374934144245+0.*I	0.+0.008746087577618002*I	0.00002655070316608426+0.*I	0.+0.005277011761380339*I	0.000022322938244441728+0.*I	0.+0.0034551420597424345*I	0.000018968450657233026+0.*I	0.+0.0023900469907083416*I	0.00001619855391881046+0.*I	0.+0.0017179564669146108*I	0.000013839525138933732+0.*I	0.+0.0012683410390547864*I	0.0000117791614779249+0.*I	0.+0.0009529327919483646*I	9.940973487268237*^-6+0.*I	0.+0.0007224243077222081*I	8.270351918150095*^-6+0.*I	0.+0.0005475239307237978*I	6.726764960033871*^-6+0.*I	0.+0.000409890235167569*I	5.278952107847427*^-6+0.*I	0.+0.00029746549427689395*I	3.901899890302917*^-6+0.*I	0.+0.00020191841130107885*I	2.5748001096796717*^-6+0.*I	0.+0.00011715747774278251*I	1.279618933044282*^-6+0.*I	0.+0.00003840856208175286*I
7.844458657936488*^-6+0.*I	0.+0.011757824387549945*I	0.000024711333383823966+0.*I	0.+0.0379671547174648*I	0.000046547405737205335+0.*I	0.+0.20894293358094465*I	-0.49990692184456426+0.*I	0.-0.6391097903685532*I	-0.49990341435252084+0.*I	0.+0.21022468352295443*I	0.0000571980372499312+0.*I	0.+0.040799385329169144*I	0.00004291658069725705+0.*I	0.+0.016833730342215927*I	0.00003439515227589198+0.*I	0.+0.008947193385185381*I	0.0000284536270983129+0.*I	0.+0.005429900356100174*I	0.000023949402908421325+0.*I	0.+0.003572575932516987*I	0.000020345509749301847+0.*I	0.+0.0024805849400300947*I	0.000017346998884288217+0.*I	0.+0.001787462507876638*I	0.000014775373114493249+0.*I	0.+0.0013208845278147347*I	0.000012514611346271928+0.*I	0.+0.0009913413567340182*I	0.000010485135318689222+0.*I	0.+0.0007486297381405329*I	8.629679626487349*^-6+0.*I	0.+0.0005627788192735341*I	6.905422223555082*^-6+0.*I	0.+0.0004148993685648725*I	5.278947526825362*^-6+0.*I	0.+0.00029245635796868157*I	3.7232494310533652*^-6+0.*I	0.+0.00018666351332884623*I	2.2154576681821997*^-6+0.*I	0.+0.00009095205410056321*I	7.354612961696372*^-7+0.*I
0.+0.003670181625749974*I	0.000013975138619449314+0.*I	0.+0.01373258268383943*I	0.000029692293759074472+0.*I	0.+0.039149683662832446*I	0.00005069434802441549+0.*I	0.+0.20970556205389448*I	-0.4999034143536113+0.*I	0.-0.638590668900235*I	-0.49990041814845015+0.*I	0.+0.21059263525937233*I	0.000059771684234212686+0.*I	0.+0.041068302375892554*I	0.000045131352592192895+0.*I	0.+0.017034836147355525*I	0.00003629807294005048+0.*I	0.+0.009100081975804808*I	0.000030080090980555155+0.*I	0.+0.005547334228336066*I	0.00002532646448684964+0.*I	0.+0.003663113881708105*I	0.000021493947117856154+0.*I	0.+0.002550090972067133*I	0.000018282855399702214+0.*I	0.+0.001840005996635162*I	0.0000155108215244704+0.*I	0.+0.0013592930889033336*I	0.000013058779017633546+0.*I	0.+0.0010175467811689917*I	0.00001084446479854211+0.*I	0.+0.00076388463072493*I	8.808338435874141*^-6+0.*I	0.+0.000567787958456828*I	6.905429088884545*^-6+0.*I	0.+0.00040989023516390527*I	5.100297841967151*^-6+0.*I	0.+0.0002772014651400631*I	3.3639119355084365*^-6+0.*I	0.+0.00016045808947752482*I	1.671299653792378*^-6+0.*I	0.+0.000052543485259196054*I
6.130679367117477*^-6+0.*I	0.+0.005644939920060793*I	0.00001895609302875633+0.*I	0.+0.014915111626806846*I	0.00003383924414606724+0.*I	0.+0.039912312129051365*I	0.000054201831230472344+0.*I	0.+0.2102246835184442*I	-0.4999004181526148+0.*I	0.-0.6382227171636794*I	-0.4998978445046292+0.*I	0.+0.21086155229786793*I	0.00006198645623045372+0.*I	0.+0.04126940818434993*I	0.00004703428197354983+0.*I	0.+0.01718772474053161*I	0.00003792454660551028+0.*I	0.+0.009217515854495708*I	0.00003145715106737695+0.*I	0.+0.005637872177429959*I	0.000026474909952799103+0.*I	0.+0.0037326199202194093*I	0.000022429799203750188+0.*I	0.+0.0026026344595480645*I	0.000019018305198036277+0.*I	0.+0.0018784145592869955*I	0.00001605498545026643+0.*I	0.+0.001385498517970578*I	0.000013418109440364261+0.*I	0.+0.0010328016769123372*I	0.00001102311836232091+0.*I	0.+0.000768893762172691*I	8.80833759685311*^-6+0.*I	0.+0.0005627788291846641*I	6.726768927617667*^-6+0.*I	0.+0.00039463533517836293*I	4.7409616941218814*^-6+0.*I	0.+0.00025099603667881544*I	2.819745117924055*^-6+0.*I	0.+0.0001220495238997587*I	9.358460789921086*^-7+0.*I
0.+0.001974758301436154*I	0.000011111643597915218+0.*I	0.+0.006827468861526957*I	0.000023103040562655366+0.*I	0.+0.015677740085744983*I	0.0000373467275541674+0.*I	0.+0.040431433602751504*I	0.00005719803788079925+0.*I	0.+0.21059263525773247*I	-0.4998978445033792+0.*I	0.-0.6379538001196615*I	-0.4998956297238527+0.*I	0.+0.21106265810683456*I	0.00006388937808609109+0.*I	0.+0.041422296777121934*I	0.000048660744096630786+0.*I	0.+0.017305158610291714*I	0.000039301598952161016+0.*I	0.+0.009308053801317377*I	0.000032605596667324344+0.*I	0.+0.005707378214228953*I	0.00002741075684188199+0.*I	0.+0.003785163406443852*I	0.000023165257310216844+0.*I	0.+0.002641043023217042*I	0.000019562461565884234+0.*I	0.+0.0019046199837931682*I	0.00001641432219120618+0.*I	0.+0.0014007534123516782*I	0.00001359676316838472+0.*I	0.+0.001037810810942827*I	0.000011023121963085028+0.*I	0.+0.0007638846316907963*I	8.629687661188055*^-6+0.*I	0.+0.0005475239310370125*I	6.36742957268893*^-6+0.*I	0.+0.0003684299096405816*I	4.19680173049844*^-6+0.*I	0.+0.00021258747811703227*I	2.084294813943411*^-6+0.*I	0.+0.00006950604021445372*I
