0.-0.8488153524263304*I	-0.4999576161901981+0.*I	0.+0.16979324992602848*I	0.000016855104428004642+0.*I	0.+0.02423457203248583*I	0.000010736197610295559+0.*I	0.+0.00808764276646047*I	7.844453218698615*^-6+0.*I	0.+0.003670181613841965*I	6.1306847197348745*^-6+0.*I	0.+0.0019747583036073962*I	4.980958692071363*^-6+0.*I	0.+0.0011825289375561668*I	4.146947478823762*^-6+0.*I	0.+0.0007626284715912882*I	3.507481973291307*^-6+0.*I	0.+0.0005191214686434478*I	2.9962053969448643*^-6+0.*I	0.+0.0003679517344905639*I	2.573649061456258*^-6+0.*I	0.+0.0002689170406426425*I	2.214780644411509*^-6+0.*I	0.+0.0002011058100175045*I	1.9029175289692548*^-6+0.*I	0.+0.00015288858923046683*I	1.6264677603508533*^-6+0.*I	0.+0.00011743388034556046*I	1.377054275961679*^-6+0.*I	0.+0.00009053794082476696*I	1.1484476732172965*^-6+0.*I	0.+0.00006950604169281283*I	9.358484177251637*^-7+0.*I	0.+0.00005254348589124602*I	7.354526143309013*^-7+0.*I	0.+0.0000384085679061702*I	5.441629922334103*^-7+0.*I	0.+0.00002620542100129769*I	3.59331596844341*^-7+0.*I	0.+0.00001525490305257643*I	1.7865675011253733*^-7+0.*I	0.+5.009123312041397*^-6*I
4.980961110518723*^-6+0.*I	0.+0.0031572872399155192*I	0.00001525858679631039+0.*I	0.+0.007590097329268663*I	0.000026610522668502152+0.*I	0.+0.016196861560227566*I	0.000040342934467397384+0.*I	0.+0.040799385330935904*I	0.000059771685046514165+0.*I	0.+0.21086155230290332*I	-0.49989562972967366+0.*I	0.-0.6377526943169876*I	-0.4998937268083314+0.*I	0.+0.2112155466994096*I	0.00006551585250995586+0.*I	0.+0.041539730649993716*I	0.000050037805840530354+0.*I	0.+0.017395696562759858*I	0.000040450047108609325+0.*I	0.+0.009377559837290288*I	0.000033541441120511154+0.*I	0.+0.005759921703795846*I	0.00002814620812655722+0.*I	0.+0.0038235719702443267*I	0.000023709416063420112+0.*I	0.+0.0026672484531146314*I	0.000019921803761703415+0.*I	0.+0.0019198748823975186*I	0.000016592973671842906+0.*I	0.+0.0014057625439436588*I	0.00001359676033245622+0.*I	0.+0.0010328016785699423*I	0.000010844464264020972+0.*I	0.+0.0007486297318988846*I	8.270352903822254*^-6+0.*I	0.+0.0005213185009886429*I	5.823268696741389*^-6+0.*I	0.+0.00033002134802103647*I	3.4613488008000914*^-6+0.*I	0.+0.00016004398810162484*I	1.1484439277342773*^-6+0.*I
0.+0.0011825289455523746*I	9.127907418502584*^-6+0.*I	0.+0.003919915706522503*I	0.000018766072257781826+0.*I	0.+0.008109218794895623*I	0.000029606729267334435+0.*I	0.+0.01656481329589203*I	0.00004291657504394981+0.*I	0.+0.041068302381868524*I	0.0000619864602417701+0.*I	0.+0.21106265810643077*I	-0.49989372680233507+0.*I	0.-0.6375998057226073*I	-0.4998921003375091+0.*I	0.+0.21133298057396882*I	0.00006689290899157181+0.*I	0.+0.04163026859936494*I	0.00005118624845736047+0.*I	0.+0.01746520260139375*I	0.00004138589562020805+0.*I	0.+0.00943010331986268*I	0.000034276896075142555+0.*I	0.+0.005798330263702599*I	0.000028690372210359652+0.*I	0.+0.0038497773955424655*I	0.000024068751113497538+0.*I	0.+0.0026825033487365493*I	0.000020100457021741863+0.*I	0.+0.001924884014961957*I	0.000016592969411708804+0.*I	0.+0.0014007534113340409*I	0.000013418113437632696+0.*I	0.+0.0010175467811214325*I	0.000010485128005366491+0.*I	0.+0.0007224243089189453*I	7.726188503349894*^-6+0.*I	0.+0.00048290993800594734*I	5.087813125264741*^-6+0.*I	0.+0.0002774778571900949*I	2.52550160640283*^-6+0.*I	0.+0.00009053795048027252*I
4.146950166388424*^-6+0.*I	0.+0.001945157407362028*I	0.000012635390182498673+0.*I	0.+0.004439037175356823*I	0.000021762280976275808+0.*I	0.+0.008477170536847914*I	0.000032180371174563355+0.*I	0.+0.016833730340572076*I	0.000045131362635782255+0.*I	0.+0.04126940818539695*I	0.00006388938130686564+0.*I	0.+0.2112155467027057*I	-0.49989210033659937+0.*I	0.-0.6374823718527268*I	-0.49989072328041273+0.*I	0.+0.21142351852295682*I	0.00006804135189720008+0.*I	0.+0.04169977463221494*I	0.000052122093387344915+0.*I	0.+0.017517746088213795*I	0.000042121346390982235+0.*I	0.+0.009468511886253927*I	0.00003482105459597969+0.*I	0.+0.005824535695590439*I	0.000029049708424671138+0.*I	0.+0.003865032294842219*I	0.00002424740416119856+0.*I	0.+0.0026875124819919546*I	0.00002010045924229306+0.*I	0.+0.001919874882785674*I	0.000016414314831903134+0.*I	0.+0.001385498515705184*I	0.00001305877133001033+0.*I	0.+0.00099134135291188*I	9.9409704301177*^-6+0.*I	0.+0.0006840157429800851*I	6.990737520374158*^-6+0.*I	0.+0.00043036645337195647*I	4.151966376447555*^-6+0.*I	0.+0.00020797181988935196*I	1.3770591788531128*^-6+0.*I
0.+0.0007626284698146052*I	7.654430486644656*^-6+0.*I	0.+0.0024642788760573173*I	0.000015631594991295643+0.*I	0.+0.004806988911950909*I	0.0000243359237742756+0.*I	0.+0.00874608757870992*I	0.0000343951534021693+0.*I	0.+0.017034836144364154*I	0.00004703427616432357+0.*I	0.+0.041422296781810766*I	0.00006551585113138462+0.*I	0.+0.2113329805709403*I	-0.49989072327528833+0.*I	0.-0.6373918339019919*I	-0.4998895748331761+0.*I	0.+0.21149302455783636*I	0.00006897719983123457+0.*I	0.+0.041752318124188836*I	0.00005285754845523419+0.*I	0.+0.017556154649783627*I	0.00004266550542591779+0.*I	0.+0.00949471731844971*I	0.000035180390074275776+0.*I	0.+0.005839790587101455*I	0.00002922836602059356+0.*I	0.+0.0038700414236480796*I	0.00002424740109162196+0.*I	0.+0.0026825033501955003*I	0.000019921800481081754+0.*I	0.+0.001904619985004713*I	0.000016054982599633003+0.*I	0.+0.0013592930908997575*I	0.000012514612365505596+0.*I	0.+0.0009529327909484978*I	9.205516306265098*^-6+0.*I	0.+0.0006314722572353867*I	6.054888949962755*^-6+0.*I	0.+0.00036086041162371185*I	3.0035214826582855*^-6+0.*I	0.+0.00011743386942138223*I
3.507480478913335*^-6+0.*I	0.+0.0012817499373757625*I	0.000010650638720981502+0.*I	0.+0.002832230614050861*I	0.000018205244347697193+0.*I	0.+0.005075905953572602*I	0.000026550701402952627+0.*I	0.+0.00894719338398408*I	0.00003629807591808598+0.*I	0.+0.017187724735746007*I	0.00004866075070094844+0.*I	0.+0.04153973065217111*I	0.00006689290369325159+0.*I	0.+0.21142351851985297*I	-0.49988957483552776+0.*I	0.-0.6373223278585204*I	-0.4998886389909252+0.*I	0.+0.2115455680476011*I	0.00006971265239253308+0.*I	0.+0.041790726686826686*I	0.0000534017092957565+0.*I	0.+0.01758236007348841*I	0.0000430248473616805+0.*I	0.+0.009509972209680364*I	0.00003535904343497519+0.*I	0.+0.005844799720262448*I	0.000029228358109692493+0.*I	0.+0.0038650322935531445*I	0.00002406875050447462+0.*I	0.+0.0026672484538330416*I	0.000019562468479588747+0.*I	0.+0.0018784145595753601*I	0.000015510819757921862+0.*I	0.+0.0013208845253811757*I	0.00001177916167536698+0.*I	0.+0.0009003893067988044*I	8.26966793529792*^-6+0.*I	0.+0.0005619662171659673*I	4.906447333937291*^-6+0.*I	0.+0.0002703224622643702*I	1.6264638579288615*^-6+0.*I
0.+0.0005191214711052217*I	6.5036888018366725*^-6+0.*I	0.+0.0016497016678157228*I	0.000013224287447205284+0.*I	0.+0.0031011476595432935*I	0.000020420019182580547+0.*I	0.+0.005277011758059481*I	0.000028453625708242814+0.*I	0.+0.00910008197930489*I	0.0000379245433076602+0.*I	0.+0.017305158606541048*I	0.00005003780173358582+0.*I	0.+0.04163026860183585*I	0.00006804135469092577+0.*I	0.+0.21149302455876484*I	-0.49988863898701646+0.*I	0.-0.6372697843729975*I	-0.4998879035355577+0.*I	0.+0.21158397660893885*I	0.00007025681461443259+0.*I	0.+0.04181693211683701*I	0.000053761044326340154+0.*I	0.+0.017597614975723045*I	0.00004320349321203526+0.*I	0.+0.009514981342837889*I	0.00003535904632212698+0.*I	0.+0.0058397905866987634*I	0.00002904970809908166+0.*I	0.+0.003849777394996992*I	0.000023709421755147048+0.*I	0.+0.0026410430250585343*I	0.000019018303188839204+0.*I	0.+0.0018400060017085829*I	0.000014775364990544697+0.*I	0.+0.0012683410390009128*I	0.000010843317674613599+0.*I	0.+0.0008308832626824567*I	7.121221116371107*^-6+0.*I	0.+0.0004714282715415699*I	3.5293845644229608*^-6+0.*I	0.+0.00015288859557851392*I
2.996206712527002*^-6+0.*I	0.+0.0008870732032167379*I	9.07733688996633*^-6+0.*I	0.+0.0019186187178674976*I	0.000015439064565968626+0.*I	0.+0.0033022534648324228*I	0.000022322935939832696+0.*I	0.+0.005429900352807419*I	0.000030080092360164638+0.*I	0.+0.00921751584421826*I	0.000039301598481482466+0.*I	0.+0.017395696564375784*I	0.000051186250503398584+0.*I	0.+0.04169977463932264*I	0.0000689771965200233+0.*I	0.+0.21154556805078448*I	-0.49988790353500073+0.*I	0.-0.6372313758116561*I	-0.4998873593738521+0.*I	0.+0.21161018203603513*I	0.0000706161505322258+0.*I	0.+0.04183218700800358*I	0.00005393970099000326+0.*I	0.+0.017602624104024234*I	0.00004320349352304784+0.*I	0.+0.009509972211191658*I	0.00003518038959167335+0.*I	0.+0.005824535694632945*I	0.00002869036980097863+0.*I	0.+0.0038235719663037584*I	0.000023165258968571545+0.*I	0.+0.0026026344628757355*I	0.000018282856033355053+0.*I	0.+0.0017874625134002824*I	0.0000138395221302191+0.*I	0.+0.0011988349987427222*I	9.694868284429063*^-6+0.*I	0.+0.0007403453152312709*I	5.744169045012883*^-6+0.*I	0.+0.0003539943998522321*I	1.9029169374129573*^-6+0.*I
0.+0.00036795172933775516*I	5.569852966493568*^-6+0.*I	0.+0.0011559902496753038*I	0.000011292116710211216+0.*I	0.+0.002119724521435655*I	0.000017341983621703787+0.*I	0.+0.0034551420575674383*I	0.00002394940724547407+0.*I	0.+0.005547334229744981*I	0.00003145714372253496+0.*I	0.+0.009308053798534471*I	0.00004045004227093455+0.*I	0.+0.017465202601457102*I	0.00005212209471244992+0.*I	0.+0.04175231812536343*I	0.00006971265755618153+0.*I	0.+0.21158397660886666*I	-0.49988735937210965+0.*I	0.-0.6372051703892118*I	-0.49988700003790015+0.*I	0.+0.2116254369335437*I	0.00007079480126455484+0.*I	0.+0.04183719614253116*I	0.00005393969620743987+0.*I	0.+0.01759761497281094*I	0.000043024842881779516+0.*I	0.+0.009494717313222698*I	0.00003482105831751924+0.*I	0.+0.005798330264276487*I	0.00002814621438018278+0.*I	0.+0.003785163403057075*I	0.000022429795507221922+0.*I	0.+0.0025500909740001007*I	0.000017347004568137452+0.*I	0.+0.0017179564729245048*I	0.000012691074452577913+0.*I	0.+0.0011082970506839374*I	8.317813108125354*^-6+0.*I	0.+0.0006229114461567195*I	4.1176937419572985*^-6+0.*I	0.+0.00020110580658564553*I
2.5736437166337187*^-6+0.*I	0.+0.0006368687815214813*I	7.784630524108943*^-6+0.*I	0.+0.00135709605571707*I	0.00001319503268410702+0.*I	0.+0.00227261311708504*I	0.000018968447662502803+0.*I	0.+0.0035725759328375964*I	0.000025326464879541567+0.*I	0.+0.005637872174412463*I	0.0000326055927935687+0.*I	0.+0.009377559836367266*I	0.00004138589530196615+0.*I	0.+0.017517746088275134*I	0.000052857547623872856+0.*I	0.+0.04179072668843186*I	0.000070256818458109+0.*I	0.+0.21161018203936627*I	-0.4998870000386384+0.*I	0.-0.6371899154883088*I	-0.49988682138316143+0.*I	0.+0.2116304460687901*I	0.00007079480425800806+0.*I	0.+0.041832187007872494*I	0.00005376104462922759+0.*I	0.+0.01758236008004644*I	0.0000426655049420313+0.*I	0.+0.009468511883087423*I	0.000034276889587492925+0.*I	0.+0.005759921703755411*I	0.000027410758543110902+0.*I	0.+0.003732619918598451*I	0.000021493955399767467+0.*I	0.+0.002480584941095903*I	0.00001619855539928442+0.*I	0.+0.0016274185196979234*I	0.000011314021652476145+0.*I	0.+0.0009908631783003509*I	6.691339736239142*^-6+0.*I	0.+0.0004700228519880766*I	2.2147747686385166*^-6+0.*I
0.+0.0002689170401410576*I	4.788424226843281*^-6+0.*I	0.+0.00083797458524109*I	9.687548024989059*^-6+0.*I	0.+0.0015099846516945375*I	0.000014821507320284416+0.*I	0.+0.0023900469890951043*I	0.00002034550650872673+0.*I	0.+0.003663113874775012*I	0.000026474908045432484+0.*I	0.+0.005707378217249003*I	0.000033541442419336067+0.*I	0.+0.009430103322544348*I	0.000042121342099353164+0.*I	0.+0.01755615465416514*I	0.00005340171023043317+0.*I	0.+0.04181693210997072*I	0.00007061615031597184+0.*I	0.+0.21162543693039423*I	-0.499886821382596+0.*I	0.-0.6371849063551919*I	-0.4998868213871327+0.*I	0.+0.2116254369364258*I	0.00007061614855385466+0.*I	0.+0.04181693211248881*I	0.000053401707959722387+0.*I	0.+0.017556154649154686*I	0.00004212135138971937+0.*I	0.+0.009430103324131078*I	0.000033541438065017776+0.*I	0.+0.005707378216118497*I	0.00002647490938268836+0.*I	0.+0.0036631138794667797*I	0.000020345507503895404+0.*I	0.+0.0023900469891699264*I	0.000014821501383463114+0.*I	0.+0.0015099846487865234*I	9.687550854923234*^-6+0.*I	0.+0.0008379745855115125*I	4.7884202718622416*^-6+0.*I	0.+0.0002689170431319776*I
