0.-0.8487766451132961*I	-0.4999576128247826+0.*I	0.+0.16976443067315058*I	0.000016865690977591085+0.*I	0.+0.024250770768929057*I	0.000010743324609912194+0.*I	0.+0.008082048923922981*I	7.896107044441826*^-6+0.*I	0.+0.0036719732013860765*I	6.346299380589706*^-6+0.*I	0.+0.001976039090677867*I	3.4988754666464693*^-6+0.*I	0.+0.0011803136120270494*I	9.333989743983406*^-6+0.*I	0.+0.000771560314862002*I	-7.64452622799378*^-6+0.*I	0.+0.0005057870045037313*I	0.00002040979552996932+0.*I	0.+0.00038863233085974225*I	-0.00001739110790464513+0.*I	0.+0.0002511728917925504*I	0.00001964344350074991+0.*I	0.+0.000217439430529702*I	-9.225126738327895*^-6+0.*I	0.+0.00014706443019902454*I	6.854878776242549*^-6+0.*I	0.+0.00012289934891687726*I	-5.204738559774346*^-8+0.*I	0.+0.00009277992865384249*I	1.4318098127764582*^-6+0.*I	0.+0.00007286739648394713*I	1.0690039273576247*^-6+0.*I	0.+0.00005647707398460933*I	8.41848270666543*^-7+0.*I	0.+0.000042996443962300956*I	6.652723013269314*^-7+0.*I	0.+0.00003160694495595029*I	4.956064031228786*^-7+0.*I	0.+0.000021656447336891593*I	3.2684776807333065*^-7+0.*I	0.+0.00001263995835458498*I	1.6310403605208067*^-7+0.*I	0.+4.157355252831785*^-6*I
3.4988846512892617*^-6+0.*I	0.+0.0031563526991717737*I	0.000019179163464591723+0.*I	0.+0.007599886217275944*I	0.000019430755289559298+0.*I	0.+0.01618772214656023*I	0.00005058386499819615+0.*I	0.+0.04082712524816466*I	0.000050058455688750935+0.*I	0.+0.21084272880864371*I	-0.4998879109335478+0.*I	0.-0.6377164768732814*I	-0.49989713605909075+0.*I	0.+0.21120723266737976*I	0.0000673316400094235+0.*I	0.+0.04156570134630549*I	0.00005041391058930556+0.*I	0.+0.017407710507261795*I	0.00004110238979245348+0.*I	0.+0.009398528971568709*I	0.00003427528903329527+0.*I	0.+0.005783032847815314*I	0.00002877082939025302+0.*I	0.+0.00384999019748712*I	0.000025937234764600595+0.*I	0.+0.0027012835306697517*I	0.000017098847218392275+0.*I	0.+0.001951379666757239*I	0.00002507022518165489+0.*I	0.+0.0014582326247550436*I	4.823529626469191*^-6+0.*I	0.+0.0010737576470119278*I	0.000022214640787674513+0.*I	0.+0.0008184274030418108*I	2.4080934711793486*^-6+0.*I	0.+0.0005883480101818236*I	0.00001130637764049836+0.*I	0.+0.000419627131985894*I	3.955882678181047*^-6+0.*I	0.+0.0002651208393600121*I	3.342668495989148*^-6+0.*I	0.+0.00012934447416821726*I	1.069007153076118*^-6+0.*I
0.+0.0011803136058780028*I	0.000012832866299833096+0.*I	0.+0.003927913013909913*I	0.000011534634348601122+0.*I	0.+0.008105673216233122*I	0.0000398405486027645+0.*I	0.+0.016576354480584313*I	0.000033192760802104804+0.*I	0.+0.041078298130647034*I	0.00006970189052375833+0.*I	0.+0.2110601682446382*I	-0.4998971360586559+0.*I	0.-0.6375694124446017*I	-0.4998902811848856+0.*I	0.+0.21133013201940995*I	0.00006727959214914893+0.*I	0.+0.04165848127435142*I	0.00005184571330351583+0.*I	0.+0.017480577901471943*I	0.000042171398073741355+0.*I	0.+0.009455006041908375*I	0.00003511713485601636+0.*I	0.+0.005826029296089434*I	0.0000294361085173999+0.*I	0.+0.003881597139900772*I	0.00002643283829820413+0.*I	0.+0.002722939978077203*I	0.000017425703219557628+0.*I	0.+0.001964019626872142*I	0.000025233329449361438+0.*I	0.+0.0014623899802764795*I	4.823531780443639*^-6+0.*I	0.+0.0010696002920672631*I	0.000022051538295982695+0.*I	0.+0.0008057874381483462*I	2.081244069675819*^-6+0.*I	0.+0.0005666915639315831*I	0.000010810765179709484+0.*I	0.+0.0003880201861826485*I	3.290615451819195*^-6+0.*I	0.+0.00022212439343821666*I	2.5008128648294607*^-6+0.*I	0.+0.00007286739406466014*I
9.333984425770075*^-6+0.*I	0.+0.001951873923352715*I	5.188345125825845*^-6+0.*I	0.+0.004433700014870723*I	0.000031944437737432515+0.*I	0.+0.00849430555076225*I	0.00002244943590694219+0.*I	0.+0.01682752736913978*I	0.00005283620020363859+0.*I	0.+0.04129573756940552*I	0.000060476771229043066+0.*I	0.+0.21120723267062758*I	-0.49989028118318746+0.*I	0.-0.6374465130977829*I	-0.4998903332272671+0.*I	0.+0.21142291194746976*I	0.00006871139713223049+0.*I	0.+0.0417313486683397*I	0.00005291473028482208+0.*I	0.+0.01753705497912784*I	0.000043013242823807316+0.*I	0.+0.009498002484826238*I	0.000035782409300948824+0.*I	0.+0.005857636231866267*I	0.00002993171432483288+0.*I	0.+0.0039032535925830063*I	0.000026759688643852797+0.*I	0.+0.002735579938259791*I	0.000017588798438629335+0.*I	0.+0.0019681769763894344*I	0.000025233331174886584+0.*I	0.+0.0014582326283846642*I	4.6604267507986455*^-6+0.*I	0.+0.001056960331019032*I	0.000021724693862139305+0.*I	0.+0.0007841309940239956*I	1.5856329847708397*^-6+0.*I	0.+0.0005350846208094587*I	0.00001014549600705492+0.*I	0.+0.0003450237438123284*I	2.448760457921705*^-6+0.*I	0.+0.0001656473249631914*I	1.4318148265912711*^-6+0.*I
0.+0.0007715603135765303*I	1.6894636567923663*^-6+0.*I	0.+0.002457660926390076*I	0.000025598133589941028+0.*I	0.+0.004822332352157038*I	0.000014553328316269761+0.*I	0.+0.00874547844006835*I	0.00004209287917741555+0.*I	0.+0.01704496679219549*I	0.00004361108069623183+0.*I	0.+0.041442801999202375*I	0.0000673316450576555+0.*I	0.+0.2113301320173454*I	-0.49989033323067744+0.*I	0.-0.6373537331705169*I	-0.4998889014236861+0.*I	0.+0.21149577934821706*I	0.00006978040600045636+0.*I	0.+0.04178782574254996*I	0.00005375657179721138+0.*I	0.+0.01758005141773821*I	0.000043678518238256986+0.*I	0.+0.009529609434759202*I	0.000036278009515386614+0.*I	0.+0.005879292682450181*I	0.000030258565856822283+0.*I	0.+0.0039158935489246385*I	0.000026922793184653772+0.*I	0.+0.002739737290969109*I	0.00001758880758246145+0.*I	0.+0.001964019630070285*I	0.000025070223479598548+0.*I	0.+0.0014455926646968*I	4.333580721618712*^-6+0.*I	0.+0.00103530388900612*I	0.00002122908039554286+0.*I	0.+0.0007525240471784184*I	9.203671805654373*^-7+0.*I	0.+0.0004920881774954158*I	9.303640389786273*^-6+0.*I	0.+0.0002885466715291593*I	1.379760435098928*^-6+0.*I	0.+0.00009277992261599866*I
-7.644527847425488*^-6+0.*I	0.+0.0012773473147359676*I	0.000022099260257026277+0.*I	0.+0.0028462932571457775*I	8.207030239167003*^-6+0.*I	0.+0.005073505238351384*I	0.00003419676853895205+0.*I	0.+0.008962917867902652*I	0.00003286774822921536+0.*I	0.+0.017192031229927022*I	0.00005046595054451563+0.*I	0.+0.04156570134569476*I	0.0000672795983078617+0.*I	0.+0.2114229119493281*I	-0.49988890142012343+0.*I	0.-0.6372808657708078*I	-0.49988783241018325+0.*I	0.+0.2115522564166425*I	0.00007062225781579996+0.*I	0.+0.04183082218992161*I	0.00005442184246439866+0.*I	0.+0.017611658363442376*I	0.000044174128412062885+0.*I	0.+0.009551265874915102*I	0.00003660486200071826+0.*I	0.+0.005891932641833648*I	0.00003042166784111528+0.*I	0.+0.0039200508982813395*I	0.00002692279059407092+0.*I	0.+0.002735579938143299*I	0.000017425701440257796+0.*I	0.+0.0019513796661178079*I	0.000024743379681193305+0.*I	0.+0.0014239362188531069*I	3.837966629901628*^-6+0.*I	0.+0.0010036969408946433*I	0.00002056381068565626+0.*I	0.+0.0007095276109142537*I	7.85192954609498*^-8+0.*I	0.+0.0004356111005627613*I	8.234634877971609*^-6+0.*I	0.+0.00021567927614207316*I	-5.205305425581841*^-8+0.*I
0.+0.0005057869989826061*I	0.00001276526888576694+0.*I	0.+0.0016659796505128083*I	4.7081540018816795*^-6+0.*I	0.+0.0030974661484333005*I	0.000027850467051920047+0.*I	0.+0.00529094467033861*I	0.000024971648735963246+0.*I	0.+0.009109982297252073*I	0.00003972263205140082+0.*I	0.+0.017314930578620973*I	0.00005041390354990419+0.*I	0.+0.04165848127142642*I	0.00006871139966882692+0.*I	0.+0.21149577934608627*I	-0.4998878324136616+0.*I	0.-0.637224388693136*I	-0.4998869905675394+0.*I	0.+0.21159525286213557*I	0.0000712875319832159+0.*I	0.+0.04186242912947865*I	0.00005491744923968858+0.*I	0.+0.017633314807084008*I	0.0000445009724380946+0.*I	0.+0.00956390584321759*I	0.000036767963379323244+0.*I	0.+0.005896089992816808*I	0.00003042167121074892+0.*I	0.+0.003915893547696107*I	0.000026759693136007106+0.*I	0.+0.002722939978333068*I	0.000017098847403329854+0.*I	0.+0.001929723220374685*I	0.000024247769691852927+0.*I	0.+0.0013923292770465709*I	3.1727009100176202*^-6+0.*I	0.+0.0009607004973314626*I	0.00001972196247175504+0.*I	0.+0.0006530505342702345*I	-9.904882122352372*^-7+0.*I	0.+0.0003627437079232812*I	6.8028303570947764*^-6+0.*I	0.+0.00012289934929176488*I
0.000020409794312022156+0.*I	0.+0.0008944193384916315*I	-4.6258358059043695*^-6+0.*I	0.+0.001917152535540615*I	0.000024351591560366167+0.*I	0.+0.003314905573025605*I	0.000018625344446531023+0.*I	0.+0.005438009101066053*I	0.00003182651677974206+0.*I	0.+0.00923288164963659*I	0.00003967057758507858+0.*I	0.+0.01740771050784242*I	0.000051845714155289195+0.*I	0.+0.041731348669802194*I	0.00006978041649248546+0.*I	0.+0.21155225641553346*I	-0.4998869905627734+0.*I	0.-0.6371813922518388*I	-0.4998863252963342+0.*I	0.+0.2116268598084899*I	0.00007178313404565545+0.*I	0.+0.04188408557992513*I	0.00005524430398076241+0.*I	0.+0.017645954765803308*I	0.00004466407394095495+0.*I	0.+0.009568063195013653*I	0.00003676797253192724+0.*I	0.+0.005891932637393326*I	0.000030258566495591302+0.*I	0.+0.0039032535910025583*I	0.000026432843601288123+0.*I	0.+0.0027012835285802434*I	0.000016603239328032886+0.*I	0.+0.0018981162744827608*I	0.00002358249144820748+0.*I	0.+0.001349332832951508*I	2.3308542035323094*^-6+0.*I	0.+0.0009042234253766531*I	0.000018652956128185316+0.*I	0.+0.0005801831377984862*I	-2.422298444691911*^-6+0.*I	0.+0.0002699637807665705*I	6.854877592277209*^-6+0.*I
0.+0.00038863233416545906*I	3.0186863546205785*^-6+0.*I	0.+0.0011455922246756678*I	0.000015017604586996688+0.*I	0.+0.0021345919674769856*I	0.000015126463660159716+0.*I	0.+0.0034619700051229593*I	0.000025480224441348133+0.*I	0.+0.005560908448355675*I	0.000031774469823395274+0.*I	0.+0.009325661575800968*I	0.0000411023883492281+0.*I	0.+0.0174805779008224*I	0.00005291471712059148+0.*I	0.+0.041787825745582666*I	0.00007062226453737416+0.*I	0.+0.21159525286129555*I	-0.49988632529374616+0.*I	0.-0.6371497853066842*I	-0.49988582969127127+0.*I	0.+0.21164851625640083*I	0.00007210998850709153+0.*I	0.+0.04189672553353951*I	0.00005540740230070367+0.*I	0.+0.017650112128662705*I	0.00004466407345460175+0.*I	0.+0.009563905839861928*I	0.00003660486757523151+0.*I	0.+0.005879292676360774*I	0.000029931719501937673+0.*I	0.+0.003881597142335186*I	0.000025937226382009444+0.*I	0.+0.0026696765875827283*I	0.000015937971150975657+0.*I	0.+0.0018551198313569855*I	0.000022740646162762754+0.*I	0.+0.0012928557570939525*I	1.2618475155015875*^-6+0.*I	0.+0.0008313560208898091*I	0.000017221151268607845+0.*I	0.+0.00048740321793570157*I	-2.3702465267418647*^-6+0.*I	0.+0.00014706442853874846*I
-0.00001739110843159897+0.*I	0.+0.000639805228368628*I	0.000022662127530015893+0.*I	0.+0.0013630316539451441*I	5.79247674432322*^-6+0.*I	0.+0.002281656394289675*I	0.000021981345154507763+0.*I	0.+0.003584869361931762*I	0.0000254281752917659+0.*I	0.+0.005653688376854417*I	0.000033206280400462445+0.*I	0.+0.009398528970791041*I	0.00004217139424576184+0.*I	0.+0.01753705497509259*I	0.00005375657397950122+0.*I	0.+0.041830822185636655*I	0.00007128752953686353+0.*I	0.+0.21162685980634108*I	-0.49988582968933526+0.*I	0.-0.6371281288678022*I	-0.49988550283766575+0.*I	0.+0.21166115621567724*I	0.00007227309501945907+0.*I	0.+0.04190088288927981*I	0.0000554074001172977+0.*I	0.+0.01764595476679949*I	0.00004450097798610128+0.*I	0.+0.009551265881126486*I	0.00003627801363884692+0.*I	0.+0.005857636233150301*I	0.000029436112810654055+0.*I	0.+0.003849990199450893*I	0.000025271958445078425+0.*I	0.+0.002626680140749925*I	0.0000150961253620761+0.*I	0.+0.00179864276025111*I	0.0000216716371878147+0.*I	0.+0.0012199883653071764*I	-1.6996243582864245*^-7+0.*I	0.+0.0007385760962295232*I	0.00001727319384350478+0.*I	0.+0.0003645038570651406*I	-9.225128345058398*^-6+0.*I
0.+0.00025117289368274676*I	2.2523337983491135*^-6+0.*I	0.+0.0008572446562036401*I	0.000013437006770339576+0.*I	0.+0.0015100960775262379*I	0.00001264735786812784+0.*I	0.+0.002404555750535442*I	0.00002192928988272549+0.*I	0.+0.0036776492829184507*I	0.000026859981486950342+0.*I	0.+0.0057265557764231215*I	0.00003427528632461781+0.*I	0.+0.009455006041855403*I	0.00004301324657897559+0.*I	0.+0.017580051419981268*I	0.00005442184433741781+0.*I	0.+0.04186242912842561*I	0.00007178314066585444+0.*I	0.+0.21164851625483222*I	-0.4998855028400614+0.*I	0.-0.6371154889017602*I	-0.49988533973089183+0.*I	0.+0.21166531356698848*I	0.00007227309061673783+0.*I	0.+0.04189672553504251*I	0.000055244299056342246+0.*I	0.+0.017633314815039228*I	0.00004417412272576181+0.*I	0.+0.009529609429619501*I	0.000035782404825047945+0.*I	0.+0.0058260292924597196*I	0.000028770838466030307+0.*I	0.+0.003806993752680156*I	0.00002443010808702088+0.*I	0.+0.002570203067385278*I	0.00001402711525494957+0.*I	0.+0.0017257753618142649*I	0.000020239834088350255+0.*I	0.+0.0011272084332215188*I	-1.1791102343884442*^-7+0.*I	0.+0.0006156767546082326*I	0.000010418317149708314+0.*I	0.+0.00021743942846663006*I
0.000019643443038612024+0.*I	0.+0.00046861232197422525*I	-6.972795278776949*^-6+0.*I	0.+0.001004309083313385*I	0.000020291882498803773+0.*I	0.+0.0016329954383637157*I	0.000012595310251262016+0.*I	0.+0.00249733567348854*I	0.00002336110738418032+0.*I	0.+0.0037505166806691284*I	0.00002792898817739994+0.*I	0.+0.005783032842978811*I	0.00003511713376419781+0.*I	0.+0.00949800249419019*I	0.00004367851583176104+0.*I	0.+0.01761165836167815*I	0.00005491744990637154+0.*I	0.+0.04188408557240121*I	0.00007210998611687495+0.*I	0.+0.21166115620983486*I	-0.49988533972880966+0.*I	0.-0.6371113315465925*I	-0.4998853397364853+0.*I	0.+0.2116611562144811*I	0.00007210998914859913+0.*I	0.+0.041884085571111285*I	0.00005491744610391113+0.*I	0.+0.01761165836441636*I	0.00004367851610125724+0.*I	0.+0.00949800248556244*I	0.00003511713512305358+0.*I	0.+0.005783032847595301*I	0.000027928992100982266+0.*I	0.+0.0037505166841738766*I	0.000023361109290495936+0.*I	0.+0.0024973356768017317*I	0.000012595302377280967+0.*I	0.+0.0016329954322727006*I	0.000020291882980691225+0.*I	0.+0.0010043090815234168*I	-6.9727920035503015*^-6+0.*I	0.+0.00046861231661591885*I	0.00001964344545379859+0.*I
0.+0.00021743942951316791*I	0.000010418314397872998+0.*I	0.+0.0006156767499739604*I	-1.1790969068649687*^-7+0.*I	0.+0.0011272084296553575*I	0.000020239833099048905+0.*I	0.+0.0017257753625036718*I	0.000014027113124008997+0.*I	0.+0.0025702030699658873*I	0.00002443011335755316+0.*I	0.+0.00380699375743028*I	0.000028770834340878132+0.*I	0.+0.0058260292895448845*I	0.0000357824085477718+0.*I	0.+0.009529609431157687*I	0.00004417412557785312+0.*I	0.+0.017633314811067394*I	0.00005524429919754354+0.*I	0.+0.041896725535066605*I	0.00007227309408355391+0.*I	0.+0.21166531356669233*I	-0.49988533973521065+0.*I	0.-0.6371154889034593*I	-0.49988550283772065+0.*I	0.+0.2116485162526202*I	0.00007178313842537435+0.*I	0.+0.041862429129940815*I	0.00005442183931421215+0.*I	0.+0.017580051418547776*I	0.000043013241786193405+0.*I	0.+0.009455006043923242*I	0.000034275289567410665+0.*I	0.+0.005726555769213264*I	0.00002685998025250804+0.*I	0.+0.003677649283731342*I	0.000021929295272329993+0.*I	0.+0.0024045557468432843*I	0.000012647362269445065+0.*I	0.+0.0015100960858832543*I	0.000013437001203258617+0.*I	0.+0.000857244660057703*I	2.2523321991253524*^-6+0.*I	0.+0.0002511728885777678*I
-9.225127883978371*^-6+0.*I	0.+0.0003645038552731225*I	0.000017273200574607926+0.*I	0.+0.0007385761002236102*I	-1.699652115305452*^-7+0.*I	0.+0.0012199883589235645*I	0.000021671643512360894+0.*I	0.+0.0017986427595083944*I	0.000015096119214229694+0.*I	0.+0.002626680147152275*I	0.000025271960260204617+0.*I	0.+0.0038499901990923704*I	0.000029436106527264244+0.*I	0.+0.005857636241704486*I	0.00003627801705007089+0.*I	0.+0.009551265876947676*I	0.000044500973608363416+0.*I	0.+0.01764595476618672*I	0.000055407405067404986+0.*I	0.+0.04190088288896405*I	0.00007227309594818704+0.*I	0.+0.21166115621371132*I	-0.499885502837774+0.*I	0.-0.6371281288629338*I	-0.4998858296915755+0.*I	0.+0.2116268598049874*I	0.0000712875293472608+0.*I	0.+0.04183082218276487*I	0.00005375657453192631+0.*I	0.+0.017537054971698492*I	0.00004217139486178888+0.*I	0.+0.009398528970944892*I	0.000033206278308885696+0.*I	0.+0.005653688381760661*I	0.00002542817532974462+0.*I	0.+0.003584869358218696*I	0.00002198134186523012+0.*I	0.+0.0022816563917450604*I	5.792481450733408*^-6+0.*I	0.+0.0013630316543221386*I	0.000022662131307097127+0.*I	0.+0.0006398052275750553*I	-0.000017391104342734387+0.*I
0.+0.00014706442740653608*I	-2.3702448440657702*^-6+0.*I	0.+0.000487403211340387*I	0.000017221145693447863+0.*I	0.+0.0008313560241722667*I	1.2618447825106096*^-6+0.*I	0.+0.0012928557541850086*I	0.000022740645829456323+0.*I	0.+0.0018551198336747843*I	0.00001593797194837885+0.*I	0.+0.002669676585582592*I	0.000025937230169816304+0.*I	0.+0.003881597143154128*I	0.000029931718075159367+0.*I	0.+0.005879292678844572*I	0.00003660486666434049+0.*I	0.+0.0095639058391222*I	0.000044664074997189826+0.*I	0.+0.017650112124715067*I	0.000055407404320887236+0.*I	0.+0.041896725536361604*I	0.00007210998519806305+0.*I	0.+0.21164851625323972*I	-0.49988582968242645+0.*I	0.-0.6371497853090721*I	-0.49988632529652793+0.*I	0.+0.21159525286064262*I	0.00007062226446276088+0.*I	0.+0.04178782574078075*I	0.0000529147153668076+0.*I	0.+0.017480577901966467*I	0.00004110239343075416+0.*I	0.+0.009325661572180025*I	0.00003177446550312154+0.*I	0.+0.00556090845303224*I	0.000025480221390715785+0.*I	0.+0.003461970008801961*I	0.00001512646835370087+0.*I	0.+0.0021345919695649057*I	0.000015017601107352357+0.*I	0.+0.0011455922223276016*I	3.018684771887549*^-6+0.*I	0.+0.000388632334959782*I
6.854877207211172*^-6+0.*I	0.+0.0002699637771577649*I	-2.4222961851930148*^-6+0.*I	0.+0.0005801831351227556*I	0.000018652949873668775+0.*I	0.+0.000904223421588527*I	2.33085318701284*^-6+0.*I	0.+0.0013493328301700258*I	0.000023582493670529042+0.*I	0.+0.00189811627531837*I	0.000016603241230332025+0.*I	0.+0.0027012835336410104*I	0.000026432843520442284+0.*I	0.+0.0039032535906338875*I	0.000030258566261203503+0.*I	0.+0.005891932641305091*I	0.00003676796716500791+0.*I	0.+0.009568063192766147*I	0.000044664079208101684+0.*I	0.+0.017645954766451633*I	0.00005524429829438096+0.*I	0.+0.041884085575943614*I	0.00007178314032421854+0.*I	0.+0.2116268598046051*I	-0.49988632529566407+0.*I	0.-0.6371813922502942*I	-0.4998869905650856+0.*I	0.+0.21155225641737607*I	0.0000697804104538919+0.*I	0.+0.04173134866551978*I	0.0000518457128314889+0.*I	0.+0.017407710506754423*I	0.00003967058475944538+0.*I	0.+0.009232881649432713*I	0.00003182652042224648+0.*I	0.+0.005438009097307086*I	0.000018625345634477208+0.*I	0.+0.0033149055795586397*I	0.000024351587998268752+0.*I	0.+0.001917152539914726*I	-4.625836925212405*^-6+0.*I	0.+0.0008944193337671811*I	0.00002040979747230942+0.*I
0.+0.00012289935155913867*I	6.802833225039263*^-6+0.*I	0.+0.00036274370667561256*I	-9.904916089820324*^-7+0.*I	0.+0.0006530505311480583*I	0.000019721963350867414+0.*I	0.+0.0009607004950496906*I	3.1727000348897353*^-6+0.*I	0.+0.0013923292795997924*I	0.0000242477654669837+0.*I	0.+0.0019297232157727412*I	0.000017098853379665633+0.*I	0.+0.0027229399769454*I	0.000026759690927196305+0.*I	0.+0.003915893552252782*I	0.00003042166540744337+0.*I	0.+0.005896089992743776*I	0.000036767969145656734+0.*I	0.+0.009563905838856732*I	0.000044500973109788574+0.*I	0.+0.01763331481026365*I	0.0000549174491242424+0.*I	0.+0.041862429127601755*I	0.00007128753285031594+0.*I	0.+0.21159525285763742*I	-0.4998869905658502+0.*I	0.-0.6372243886961002*I	-0.4998878324126592+0.*I	0.+0.2114957793435922*I	0.00006871140202158527+0.*I	0.+0.041658481272265124*I	0.0000504139096521444+0.*I	0.+0.017314930580843838*I	0.00003972262783875345+0.*I	0.+0.00910998230101389*I	0.00002497163990753792+0.*I	0.+0.005290944667321655*I	0.00002785046919937131+0.*I	0.+0.0030974661533320277*I	4.7081519113630085*^-6+0.*I	0.+0.0016659796476458863*I	0.000012765271636425+0.*I	0.+0.0005057870019921293*I
-5.205314614498152*^-8+0.*I	0.+0.000215679279210452*I	8.234632973174444*^-6+0.*I	0.+0.00043561110075304255*I	7.851938593212554*^-8+0.*I	0.+0.0007095276086670301*I	0.000020563806909782965+0.*I	0.+0.001003696936275672*I	3.837969161318958*^-6+0.*I	0.+0.001423936214359338*I	0.00002474338086439949+0.*I	0.+0.0019513796664366956*I	0.000017425698552052334+0.*I	0.+0.002735579936616243*I	0.000026922794800628247+0.*I	0.+0.003920050903643689*I	0.000030421669779868394+0.*I	0.+0.005891932639371691*I	0.000036604862809008915+0.*I	0.+0.009551265877287102*I	0.00004417412321927726+0.*I	0.+0.017611658361704818*I	0.00005442183728917102+0.*I	0.+0.041830822186726*I	0.00007062226061741406+0.*I	0.+0.21155225641912667*I	-0.4998878324152939+0.*I	0.-0.6372808657687504*I	-0.49988890142112136+0.*I	0.+0.21142291194774268*I	0.00006727959586914938+0.*I	0.+0.041565701348159935*I	0.000050465955646752005+0.*I	0.+0.01719203122898334*I	0.00003286775461279476+0.*I	0.+0.008962917869733585*I	0.000034196772389350954+0.*I	0.+0.005073505240031222*I	8.207022856169497*^-6+0.*I	0.+0.002846293263207413*I	0.000022099255415969367+0.*I	0.+0.0012773473108970074*I	-7.644520880201178*^-6+0.*I
0.+0.00009277992803993773*I	1.3797601459513337*^-6+0.*I	0.+0.00028854667602475764*I	9.303640754471126*^-6+0.*I	0.+0.0004920881752569287*I	9.203671911861039*^-7+0.*I	0.+0.0007525240547014492*I	0.000021229084576577854+0.*I	0.+0.0010353038812152826*I	4.3335771357924316*^-6+0.*I	0.+0.0014455926696299512*I	0.000025070223012013853+0.*I	0.+0.0019640196202148977*I	0.000017588804969973946+0.*I	0.+0.0027397372975158374*I	0.00002692279145384753+0.*I	0.+0.0039158935492123945*I	0.000030258568058134576+0.*I	0.+0.005879292679069996*I	0.00003627801379718946+0.*I	0.+0.009529609433511423*I	0.00004367851842316827+0.*I	0.+0.01758005141584645*I	0.00005375656989820071+0.*I	0.+0.041787825737895704*I	0.00006978041447694139+0.*I	0.+0.211495779344201*I	-0.4998889014257752+0.*I	0.-0.6373537331673922*I	-0.49989033322785414+0.*I	0.+0.21133013202317544*I	0.00006733164587306014+0.*I	0.+0.04144280199688829*I	0.00004361107927988374+0.*I	0.+0.017044966798312976*I	0.00004209288137542146+0.*I	0.+0.00874547843388588*I	0.000014553320241018932+0.*I	0.+0.004822332351401358*I	0.00002559813857330297+0.*I	0.+0.0024576609232589836*I	1.6894649109256847*^-6+0.*I	0.+0.0007715603174005409*I
1.4318069655014843*^-6+0.*I	0.+0.00016564732493508608*I	2.4487647734706337*^-6+0.*I	0.+0.00034502374668041224*I	0.000010145489223332366+0.*I	0.+0.0005350846215946713*I	1.5856384220729036*^-6+0.*I	0.+0.0007841309945025596*I	0.000021724692015663513+0.*I	0.+0.001056960331698166*I	4.660435322987421*^-6+0.*I	0.+0.0014582326222813008*I	0.00002523332457114313+0.*I	0.+0.00196817697997223*I	0.000017588806952859753+0.*I	0.+0.002735579937075567*I	0.000026759683684458665+0.*I	0.+0.0039032535902078338*I	0.00002993171784294979+0.*I	0.+0.005857636231716664*I	0.00003578240510540358+0.*I	0.+0.009498002488622042*I	0.0000430132410764883+0.*I	0.+0.01753705497393882*I	0.000052914720788499553+0.*I	0.+0.041731348665764376*I	0.00006871140569007454+0.*I	0.+0.2114229119494099*I	-0.49989033323512805+0.*I	0.-0.6374465130872606*I	-0.4998902811795159+0.*I	0.+0.21120723267048835*I	0.00006047676646377874+0.*I	0.+0.041295737568075995*I	0.00005283620614289821+0.*I	0.+0.016827527369062945*I	0.000022449435412908597+0.*I	0.+0.008494305549221738*I	0.00003194443666486797+0.*I	0.+0.004433700015788382*I	5.188338119998829*^-6+0.*I	0.+0.0019518739281836471*I	9.333987433191027*^-6+0.*I
0.+0.00007286739952586108*I	2.5008142704350714*^-6+0.*I	0.+0.00022212439525853833*I	3.2906102217670417*^-6+0.*I	0.+0.0003880201935206537*I	0.000010810765200135404+0.*I	0.+0.0005666915638267364*I	2.0812504297903617*^-6+0.*I	0.+0.0008057874413598121*I	0.000022051533140217706+0.*I	0.+0.0010696002922309933*I	4.823532704009465*^-6+0.*I	0.+0.0014623899778464095*I	0.000025233326828661503+0.*I	0.+0.0019640196280143463*I	0.00001742570468843303+0.*I	0.+0.0027229399780446667*I	0.000026432836993267657+0.*I	0.+0.003881597140220308*I	0.000029436111478993545+0.*I	0.+0.005826029292423637*I	0.00003511713598824726+0.*I	0.+0.009455006042575091*I	0.00004217139289944091+0.*I	0.+0.017480577904417115*I	0.000051845715999224756+0.*I	0.+0.04165848127034345*I	0.00006727959595042993+0.*I	0.+0.2113301320255115*I	-0.4998902811815817+0.*I	0.-0.6375694124432831*I	-0.4998971360579657+0.*I	0.+0.21106016824400342*I	0.0000697018939098466+0.*I	0.+0.0410782981329378*I	0.00003319275966415903+0.*I	0.+0.01657635448202846*I	0.00003984054313936871+0.*I	0.+0.008105673210182782*I	0.000011534636026252002+0.*I	0.+0.003927913013396296*I	0.000012832867107941471+0.*I	0.+0.0011803136139267173*I
