0.-0.8487766451132961*I	-0.4999576128247826+0.*I	0.+0.16976443067315058*I	0.000016865690977591085+0.*I	0.+0.024250770768929057*I	0.000010743324609912194+0.*I	0.+0.008082048923922981*I	7.896107044441826*^-6+0.*I	0.+0.0036719732013860765*I	6.346299380589706*^-6+0.*I	0.+0.001976039090677867*I	3.4988754666464693*^-6+0.*I	0.+0.0011803136120270494*I	9.333989743983406*^-6+0.*I	0.+0.000771560314862002*I	-7.64452622799378*^-6+0.*I	0.+0.0005057870045037313*I	0.00002040979552996932+0.*I	0.+0.00038863233085974225*I	-0.00001739110790464513+0.*I	0.+0.0002511728917925504*I	0.00001964344350074991+0.*I	0.+0.000217439430529702*I	-9.225126738327895*^-6+0.*I	0.+0.00014706443019902454*I	6.854878776242549*^-6+0.*I	0.+0.00012289934891687726*I	-5.204738559774346*^-8+0.*I	0.+0.00009277992865384249*I	1.4318098127764582*^-6+0.*I	0.+0.00007286739648394713*I	1.0690039273576247*^-6+0.*I	0.+0.00005647707398460933*I	8.41848270666543*^-7+0.*I	0.+0.000042996443962300956*I	6.652723013269314*^-7+0.*I	0.+0.00003160694495595029*I	4.956064031228786*^-7+0.*I	0.+0.000021656447336891593*I	3.2684776807333065*^-7+0.*I	0.+0.00001263995835458498*I	1.6310403605208067*^-7+0.*I	0.+4.157355252831785*^-6*I
-0.49995761282413365+0.*I	0.-0.6790122144423572*I	-0.49994074713704656+0.*I	0.+0.19401520144567858*I	0.00002760901395247752+0.*I	0.+0.032332819695949325*I	0.000018639436167082018+0.*I	0.+0.011754022125816872*I	0.000014242408590036842+0.*I	0.+0.005648012291566842*I	9.845171664771277*^-6+0.*I	0.+0.003156352703040825*I	0.000012832865085051498+0.*I	0.+0.0019518739234641214*I	1.689467864685411*^-6+0.*I	0.+0.0012773473076247853*I	0.000012765272472251129+0.*I	0.+0.0008944193381895903*I	3.0186837103971797*^-6+0.*I	0.+0.0006398052265299173*I	2.252330376155635*^-6+0.*I	0.+0.0004686123214817623*I	0.00001041831986662035+0.*I	0.+0.00036450385576073757*I	-2.370252356422276*^-6+0.*I	0.+0.00026996377889894064*I	6.802830696227698*^-6+0.*I	0.+0.00021567928036873325*I	1.3797605580575095*^-6+0.*I	0.+0.000165647323030125*I	2.5008179389793275*^-6+0.*I	0.+0.00012934447322559439*I	1.91085480504405*^-6+0.*I	0.+0.00009947351232863573*I	1.507122292606415*^-6+0.*I	0.+0.0000746033889996459*I	1.1608763999729417*^-6+0.*I	0.+0.00005326339132124865*I	8.22457558209576*^-7+0.*I	0.+0.0000342964053103012*I	4.899490901984803*^-7+0.*I	0.+0.000016797311629257886*I	1.631027807050267*^-7+0.*I
0.+0.16976443068085906*I	-0.4999407471340466+0.*I	0.-0.6547614436746385*I	-0.4999300038093893+0.*I	0.+0.20209725037636248*I	0.00003550512203480082+0.*I	0.+0.03600479288955701*I	0.000024985728638246607+0.*I	0.+0.01373006122400141*I	0.000017741285370785343+0.*I	0.+0.0068283258948061976*I	0.00001917916238727448+0.*I	0.+0.0039279130183709*I	5.188343762290787*^-6+0.*I	0.+0.00245766092150361*I	0.000022099258596940837+0.*I	0.+0.0016659796569792537*I	-4.625839307736108*^-6+0.*I	0.+0.0011455922190978171*I	0.000022662127896935543+0.*I	0.+0.0008572446641438927*I	-6.972789929917356*^-6+0.*I	0.+0.0006156767471031596*I	0.000017273191441823242+0.*I	0.+0.0004874032104651635*I	-2.42229831629245*^-6+0.*I	0.+0.000362743699897701*I	8.234639271102796*^-6+0.*I	0.+0.0002885466816779786*I	2.448771525161779*^-6+0.*I	0.+0.00022212439143016321*I	3.3426601351254533*^-6+0.*I	0.+0.000172340917109437*I	2.576125339883648*^-6+0.*I	0.+0.0001310804602030896*I	2.0027309181196443*^-6+0.*I	0.+0.00009625983779574382*I	1.4877259243862722*^-6+0.*I	0.+0.00006590335057084923*I	9.855635740880386*^-7+0.*I	0.+0.00003845375838413406*I	4.899510981493487*^-7+0.*I	0.+0.000012639954696802569*I
0.000016865685590093386+0.*I	0.+0.19401520144205728*I	-0.499930003811481+0.*I	0.-0.6466793947433208*I	-0.49992210770245954+0.*I	0.+0.2057692235757557*I	0.000041851422541908624+0.*I	0.+0.037980831986215546*I	0.000028484606570706725+0.*I	0.+0.014910374830532888*I	0.000027075271797685962+0.*I	0.+0.007599886213400619*I	0.000011534642100367124+0.*I	0.+0.004433700014650062*I	0.000025598137301844408+0.*I	0.+0.002846293256576963*I	4.708151646971255*^-6+0.*I	0.+0.001917152539090062*I	0.000015017607151956527+0.*I	0.+0.0013630316576524128*I	0.000013436996220388865+0.*I	0.+0.0010043090870887066*I	-1.1791219806615302*^-7+0.*I	0.+0.0007385760998964775*I	0.00001722114281472457+0.*I	0.+0.0005801831388867119*I	-9.904869810740664*^-7+0.*I	0.+0.0004356111068817952*I	9.303644557638134*^-6+0.*I	0.+0.00034502374285530176*I	3.2906170913044784*^-6+0.*I	0.+0.0002651208394671586*I	4.007932452189757*^-6+0.*I	0.+0.00020394785370006082*I	3.0717357886427993*^-6+0.*I	0.+0.0001527369087238537*I	2.3295762000615214*^-6+0.*I	0.+0.00010889979110229598*I	1.650834303776116*^-6+0.*I	0.+0.00007006070562276146*I	9.855594250913644*^-7+0.*I	0.+0.000034296407420098924*I	3.268481217899577*^-7+0.*I
0.+0.02425077076731054*I	0.000027609017285357254+0.*I	0.+0.20209725037565576*I	-0.49992210770198997+0.*I	0.-0.6430074215390591*I	-0.4999157614030512+0.*I	0.+0.20774526265843368*I	0.00004535029621673413+0.*I	0.+0.03916114560047927*I	0.000037818599989943467+0.*I	0.+0.015681935143481315*I	0.000019430749723093227+0.*I	0.+0.008105673213185262*I	0.00003194443690947088+0.*I	0.+0.00482233234766985*I	8.207028655137858*^-6+0.*I	0.+0.003097466150566816*I	0.000024351590626749356+0.*I	0.+0.0021345919662705826*I	5.7924751662901595*^-6+0.*I	0.+0.0015100960887033943*I	0.000020291884762695555+0.*I	0.+0.0011272084329495627*I	-1.6996413477496461*^-7+0.*I	0.+0.0008313560238305401*I	0.000018652956238181774+0.*I	0.+0.0006530505289258637*I	7.851813576370651*^-8+0.*I	0.+0.0004920881843245295*I	0.000010145493054762158+0.*I	0.+0.0003880201866151428*I	3.955886248551107*^-6+0.*I	0.+0.00029672778666131605*I	4.5035419501732395*^-6+0.*I	0.+0.0002256043010100059*I	3.3985822461162537*^-6+0.*I	0.+0.00016537686872018786*I	2.492687340100364*^-6+0.*I	0.+0.00011305714603325467*I	1.6508345120747839*^-6+0.*I	0.+0.00006590335158203342*I	8.224560060246593*^-7+0.*I	0.+0.00002165644313498194*I
0.00001074332515924148+0.*I	0.+0.032332819696927854*I	0.000035505117292826974+0.*I	0.+0.20576922357457514*I	-0.49991576139711963+0.*I	0.-0.6410313824522903*I	-0.49991226252998744+0.*I	0.+0.20892557628014388*I	0.000054684288677461527+0.*I	0.+0.03993270590548708*I	0.000030174065670822688+0.*I	0.+0.016187722140811447*I	0.000039840552791206064+0.*I	0.+0.008494305546418265*I	0.000014553322063014091+0.*I	0.+0.005073505240326787*I	0.000027850473881583685+0.*I	0.+0.0033149055758447377*I	0.000015126464369138464+0.*I	0.+0.0022816564023583957*I	0.000012647357941431851+0.*I	0.+0.001632995435954333*I	0.000020239825885756455+0.*I	0.+0.001219988362017487*I	1.2618536047952212*^-6+0.*I	0.+0.0009042234273303062*I	0.00001972196035797075+0.*I	0.+0.0007095276057705942*I	9.203730311690168*^-7+0.*I	0.+0.0005350846197208233*I	0.000010810757358114369+0.*I	0.+0.00041962713220579037*I	4.4514994955611865*^-6+0.*I	0.+0.0003183842315916622*I	4.8303886138612915*^-6+0.*I	0.+0.00023824426063129118*I	3.561692484797537*^-6+0.*I	0.+0.00016953422125692144*I	2.492674186037073*^-6+0.*I	0.+0.00010889979447647677*I	1.4877353027635448*^-6+0.*I	0.+0.000053263391290853236*I	4.955991020905159*^-7+0.*I
0.+0.00808204892986076*I	0.000018639436199870578+0.*I	0.+0.03600479289586175*I	0.000041851421777796096+0.*I	0.+0.20774526266471968*I	-0.4999122625245237+0.*I	0.-0.6398510688438128*I	-0.49990292854013263+0.*I	0.+0.20969713658647016*I	0.0000470397638933327+0.*I	0.+0.0404384929139321*I	0.000050583868280033606+0.*I	0.+0.016576354480114436*I	0.000022449436950276378+0.*I	0.+0.008745478442063928*I	0.000034196765640600625+0.*I	0.+0.005290944667467379*I	0.00001862534532443494+0.*I	0.+0.00346197000531151*I	0.000021981346077850932+0.*I	0.+0.0024045557480090324*I	0.000012595307062995403+0.*I	0.+0.0017257753563778289*I	0.00002167164302018987+0.*I	0.+0.0012928557621561115*I	2.330853376135422*^-6+0.*I	0.+0.00096070049517398*I	0.000020563808560778955+0.*I	0.+0.000752524049888792*I	1.5856361286815222*^-6+0.*I	0.+0.000566691563349063*I	0.00001130637029113947+0.*I	0.+0.00044128357966158327*I	4.778347762075512*^-6+0.*I	0.+0.0003310241903225694*I	4.993493264692636*^-6+0.*I	0.+0.0002424016182352301*I	3.561691619182613*^-6+0.*I	0.+0.00016537686438034688*I	2.3295754908095284*^-6+0.*I	0.+0.00009625983370291358*I	1.1608840972822386*^-6+0.*I	0.+0.00003160694248950657*I
7.896108888613302*^-6+0.*I	0.+0.01175402212650024*I	0.00002498572925331364+0.*I	0.+0.037980831983584026*I	0.000045350294118485986+0.*I	0.+0.20892557626995983*I	-0.4999029285343982+0.*I	0.-0.6390795085280075*I	-0.49991057306220443+0.*I	0.+0.21020292358983947*I	0.00006744956202659518+0.*I	0.+0.04082712524536805*I	0.000033192760060660314+0.*I	0.+0.016827527371244964*I	0.0000420928800285861+0.*I	0.+0.008962917869804006*I	0.000024971637831190037+0.*I	0.+0.0054380090966502795*I	0.00002548022232269064+0.*I	0.+0.0035848693603546537*I	0.00002192929603360676+0.*I	0.+0.0024973356718358186*I	0.000014027115749098592+0.*I	0.+0.001798642757998084*I	0.00002274065220184421+0.*I	0.+0.0013493328351987441*I	3.172704145665532*^-6+0.*I	0.+0.0010036969370484496*I	0.000021229081621664166+0.*I	0.+0.0007841309938222207*I	2.0812456581080178*^-6+0.*I	0.+0.0005883480095564865*I	0.000011633218790600128+0.*I	0.+0.0004539235434912373*I	4.941447916599799*^-6+0.*I	0.+0.0003351815421347481*I	4.993495995262405*^-6+0.*I	0.+0.00023824426276333074*I	3.398584537974238*^-6+0.*I	0.+0.00015273690987199274*I	2.002727678390308*^-6+0.*I	0.+0.00007460338365718164*I	6.652698226194964*^-7+0.*I
0.+0.003671973199343162*I	0.000014242407711716849+0.*I	0.+0.013730061217712447*I	0.00002848461229214267+0.*I	0.+0.03916114559481978*I	0.00005468428959854341+0.*I	0.+0.20969713658672914*I	-0.49991057305787034+0.*I	0.-0.6385737215259463*I	-0.49989016327170616+0.*I	0.+0.2105915559240985*I	0.000050058451663586415+0.*I	0.+0.0410782981373448*I	0.000052836204645908665+0.*I	0.+0.017044966802258484*I	0.00003286775100260091+0.*I	0.+0.009109982293196844*I	0.00003182652193641812+0.*I	0.+0.005560908449817298*I	0.00002542817120945296+0.*I	0.+0.0036776492794613758*I	0.000023361103671134576+0.*I	0.+0.002570203072385674*I	0.00001509612106754199+0.*I	0.+0.0018551198350477*I	0.000023582499964580856+0.*I	0.+0.0013923292763335163*I	3.837969383783257*^-6+0.*I	0.+0.001035303878526822*I	0.000021724686503750874+0.*I	0.+0.0008057874419950956*I	2.4080958914737247*^-6+0.*I	0.+0.0006009879662768475*I	0.000011796327909902282+0.*I	0.+0.00045808089497979126*I	4.941447886337402*^-6+0.*I	0.+0.0003310241892437171*I	4.830390956428045*^-6+0.*I	0.+0.00022560430742834398*I	3.071733765723895*^-6+0.*I	0.+0.00013108046160681397*I	1.5071214490106655*^-6+0.*I	0.+0.000042996445016103835*I
6.346305667884514*^-6+0.*I	0.+0.00564801228547445*I	0.000017741276500547344+0.*I	0.+0.014910374832006992*I	0.00003781860128319527+0.*I	0.+0.03993270590846443*I	0.0000470397603425866+0.*I	0.+0.21020292358761383*I	-0.4998901632596849+0.*I	0.-0.6381850891937259*I	-0.4999075543787778+0.*I	0.+0.2108427288070209*I	0.00006970189822480018+0.*I	0.+0.04129573756962626*I	0.00004361106813854696+0.*I	0.+0.01719203122692312*I	0.000039722639263867505+0.*I	0.+0.009232881654508468*I	0.00003177446261611887+0.*I	0.+0.005653688372182141*I	0.000026859986961628555+0.*I	0.+0.0037505166782813414*I	0.00002443010457031593+0.*I	0.+0.002626680144716275*I	0.000015937979986289966+0.*I	0.+0.0018981162739176575*I	0.00002424776234554452+0.*I	0.+0.0014239362205727124*I	4.333582616346044*^-6+0.*I	0.+0.0010569603311475907*I	0.00002205153328579217+0.*I	0.+0.0008184274008050368*I	2.5712020448875917*^-6+0.*I	0.+0.0006051453269342007*I	0.000011796321246034208+0.*I	0.+0.00045392353985504674*I	4.778349478853304*^-6+0.*I	0.+0.000318384230457537*I	4.5035410769289085*^-6+0.*I	0.+0.00020394785794138317*I	2.5761274899051588*^-6+0.*I	0.+0.0000994735167173967*I	8.418473134985671*^-7+0.*I
0.+0.001976039093671271*I	9.845172021644389*^-6+0.*I	0.+0.00682832589681185*I	0.000027075270722888186+0.*I	0.+0.01568193514229357*I	0.000030174077096445333+0.*I	0.+0.040438492909892515*I	0.00006744956047111724+0.*I	0.+0.21059155592692086*I	-0.49990755437967965+0.*I	0.-0.637933916306649*I	-0.4998879109309805+0.*I	0.+0.21106016824488535*I	0.0000604767660200431+0.*I	0.+0.04144280199385175*I	0.00005046595806963665+0.*I	0.+0.017314930575689967*I	0.00003967058043878837+0.*I	0.+0.00932566157435645*I	0.00003320627838981957+0.*I	0.+0.005726555767191978*I	0.000027928990489860555+0.*I	0.+0.0038069937633734285*I	0.000025271957955726465+0.*I	0.+0.0026696765839969994*I	0.000016603241309763963+0.*I	0.+0.001929723220368204*I	0.000024743376590147484+0.*I	0.+0.0014455926697856183*I	4.660427892845464*^-6+0.*I	0.+0.0010696002857700643*I	0.00002221464481300206+0.*I	0.+0.0008225847555282106*I	2.5711999281540217*^-6+0.*I	0.+0.0006009879641415347*I	0.000011633222737497255+0.*I	0.+0.0004412835797985015*I	4.451491730423438*^-6+0.*I	0.+0.00029672778650911835*I	4.007935592179169*^-6+0.*I	0.+0.0001723409136410517*I	1.9108531486943846*^-6+0.*I	0.+0.0000564770776983331*I
