0.-706.9930796205082*I	-0.598157947442677+0.*I	0.+706.9930198047134*I	0.5274586454622052+0.*I	0.-260.0301873405205*I	-0.3689025277375252+0.*I	0.+260.0301504502676*I	0.3428995126924983+0.*I	0.-121.53347958245442*I	-0.2807735905433735+0.*I	0.+121.53345150509536*I	0.26862024539286034+0.*I	0.-64.07031759432805*I	-0.24993265882218468+0.*I	0.+64.07029260106219*I	0.24352562956207507+0.*I	0.-36.309226632917415*I	-0.2485511293057534+0.*I	0.+36.30920177780448*I	0.24492020912796383+0.*I	0.-21.592529167374256*I	-0.2666062756740878+0.*I	0.+21.592502506746687*I	0.2644470254233937+0.*I	0.-13.29085644860373*I	-0.30116672358030155+0.*I	0.+13.290826331931376*I	0.2998376409471081+0.*I	0.-8.395884554820638*I	-0.3528076062740796+0.*I	0.+8.39584927406001*I	0.3519680213466736+0.*I	0.-5.412565036091495*I	-0.4244149230666323+0.*I	0.+5.4125225945991895*I	0.42387367080717253+0.*I	0.-3.5471083602763094*I	-0.5209446956648106+0.*I	0.+3.5470562658067433*I	0.52058999003823+0.*I	0.-2.356501030613779*I	-0.6496670093181389+0.*I	0.+2.356436063912846*I	0.6494313657117475+0.*I	0.-1.5837382300363165*I	-0.8207577909664004+0.*I	0.+1.58365615425722*I	0.8205994253509747+0.*I	0.-1.0750647394241812*I	-1.0482390009810438+0.*I	0.+1.074959915524083*I	1.0481315049894917+0.*I	0.-0.7361694047800845*I	-1.3513454439116495+0.*I	0.+0.7360342702356935*I	1.351271840484626+0.*I	0.-0.5079967051190472*I	-1.7564619693874548+0.*I	0.+0.5078210589221084*I	1.7564111872815629+0.*I	0.-0.3529197577752418*I	-2.2998505797839726+0.*I	0.+0.3526897727172634*I	2.299815310806701+0.*I	0.-0.24660570881200158*I	-3.0314882704711303+0.*I	0.+0.2463025599849545*I	3.0314636402151316+0.*I	0.-0.17311282744116735*I	-4.020479590035582+0.*I	0.+0.1727107794821638*I	4.020462318957635+0.*I	0.-0.12187375004172492*I	-5.362714577620582+0.*I	0.+0.12133747858396286*I	5.362702443872723+0.*I	0.-0.08580561914442035*I	-7.1917442381946+0.*I	0.+0.08508644472060088*I	7.19173572955013+0.*I	0.-0.060106943300447656*I	-9.694288756288174+0.*I	0.+0.059137514424818835*I	9.694282842536733+0.*I	0.-0.041479863835814305*I	-13.132448830719285+0.*I	0.+0.04016661895274237*I	13.132444814057392+0.*I	0.-0.027619327562596663*I	-17.875665615077573+0.*I	0.+0.0258317610010889*I	17.87566303190147+0.*I	0.-0.016871004398899214*I	-24.446935741688147+0.*I	0.+0.014426310824730396*I	24.446934299057062+0.*I	0.-0.007995751163478355*I	-33.589992688227696+0.*I	0.+0.004636751894653808*I	33.5899922245525+0.*I
-0.5981579474426757+0.*I	0.-0.00008414438694648614*I	-0.40184204414288566+0.*I	0.+0.000043960182532197574*I	0.07069929758445401+0.*I	0.-0.000037747589633032276*I	-0.070699293809695+0.*I	0.+0.000030677660252062805*I	0.0260030119772614+0.*I	0.-0.000028808901044821843*I	-0.026003009096371297+0.*I	0.+0.00002620860013518191*I	0.012153342529650007+0.*I	0.-0.000026711149587483888*I	-0.012153339858535048+0.*I	0.+0.000025495815601623882*I	0.006407026710525031+0.*I	0.-0.000027664421709356805*I	-0.00640702394408286+0.*I	0.+0.000027023719314948085*I	0.003630917475408795+0.*I	0.-0.00003069568852035247*I	-0.0036309144058399435+0.*I	0.+0.000030332597079768908*I	0.0021592472174151688+0.*I	0.-0.00003562959290202049*I	-0.0021592436544558787+0.*I	0.+0.000035413668536574896*I	0.0013290790918264585+0.*I	0.-0.00004265835785672303*I	-0.001329074825990672+0.*I	0.+0.00004252545037412395*I	0.0008395806748610924+0.*I	0.-0.000052232551816066464*I	-0.0008395754516059105+0.*I	0.+0.00005214859427090589*I	0.0005412470446005801+0.*I	0.-0.00006505629489829797*I	-0.0005412405389710903+0.*I	0.+0.00006500217084440087*I	0.0003546991263636538+0.*I	0.-0.00008213481172751029*I	-0.00035469091288248104+0.*I	0.+0.00008209934263622206*I	0.00023563539645708782+0.*I	0.-0.00010486329810219023*I	-0.00023562491012727756+0.*I	0.+0.00010483973561117758*I	0.0001583551314522108+0.*I	0.-0.00013516112680030272*I	-0.00015834161533953073+0.*I	0.+0.00013514529263876875*I	0.00010748247702317722+0.*I	0.-0.00017566430201580895*I	-0.00010746491059297566+0.*I	0.+0.00017565355552474964*I	0.00007358586166804251+0.*I	0.-0.00022999749017507516*I	-0.00007356286191902499+0.*I	0.+0.00022999013388888328*I	0.000050759106878845936+0.*I	0.-0.00030315742379201203*I	-0.000050728791136466735+0.*I	0.+0.00030315235091289835*I	0.00003523866203665265+0.*I	0.-0.00040205393785386345*I	-0.000035198456642867254+0.*I	0.+0.00040205041800819917*I	0.00002459005095670434+0.*I	0.-0.0005362756331486542*I	-0.000024536423393389477+0.*I	0.+0.000536273179506315*I	0.000017217450630275697+0.*I	0.-0.0007191773445543186*I	-0.000017145532895820264+0.*I	0.+0.000719175630001029*I	0.000012061830295402199+0.*I	0.-0.0009694309132858728*I	-0.00001196488720407361+0.*I	0.+0.0009694297167971524*I	8.411701500383418*^-6+0.*I	0.-0.0013132462893491663*I	-8.280376871448501*^-6+0.*I	0.+0.0013132454613114792*I	5.782426896351619*^-6+0.*I	0.-0.0017875675056612662*I	-5.6036701457854924*^-6+0.*I	0.+0.0017875669452942517*I	3.837905200802853*^-6+0.*I	0.-0.0024446941673778684*I	-3.5934357840650652*^-6+0.*I	0.+0.00244469380803429*I	2.3387067193248825*^-6+0.*I	0.-0.0033589995797700563*I	-2.002806761347877*^-6+0.*I	0.+0.0033589993794893793*I	1.1067311445141607*^-6+0.*I	0.-0.004636751958948332*I	-6.430559486201948*^-7+0.*I	0.+0.004636751894642737*I
0.+706.9930198047136*I	-0.4018420441428845+0.*I	0.-706.9930599889182*I	-0.5274586498582238+0.*I	0.+260.03019441045075*I	0.368902531512284+0.*I	0.-260.0301575201977*I	-0.3428995157602636+0.*I	0.+121.53348218275603*I	0.28077359342426467+0.*I	0.-121.53345410539669*I	-0.268620248013718+0.*I	0.+64.07031880966267*I	0.24993266149329862+0.*I	0.-64.07029381639653*I	-0.24352563211164635+0.*I	0.+36.30922727362029*I	0.24855113207219232+0.*I	0.-36.30920241850707*I	-0.244920211830331+0.*I	0.+21.592529530466148*I	0.2666062787436413+0.*I	0.-21.59250286983828*I	-0.26444702845665063+0.*I	0.+13.290856664528546*I	0.3011667271432636+0.*I	0.-13.290826547855836*I	-0.29983764448847827+0.*I	0.+8.395884687728628*I	0.35280761053992193+0.*I	0.-8.395849406967576*I	-0.35196802559922524+0.*I	0.+5.412565120049642*I	0.4244149282898922+0.*I	0.-5.412522678556812*I	-0.42387367602203657+0.*I	0.+3.5471084144010647*I	0.5209447021704415+0.*I	0.-3.5470563199308467*I	-0.520589996538448+0.*I	0.+2.356501066083747*I	0.649667017531601+0.*I	0.-2.3564360993819937*I	-0.649431373921663+0.*I	0.+1.5837382535998954*I	0.8207578014527136+0.*I	0.-1.5836561778197502*I	-0.8205994358349317+0.*I	0.+1.075064755259731*I	1.0482390144971547+0.*I	0.-1.0749599313582814*I	-1.0481315185040188+0.*I	0.+0.7361694155283574*I	1.3513454614780565+0.*I	0.-0.7360342809822095*I	-1.3512718580499588+0.*I	0.+0.5079967124776611*I	1.7564619923870826+0.*I	0.-0.5078210662784222*I	-1.7564112102804537+0.*I	0.+0.3529197628511717*I	2.2998506100996012+0.*I	0.-0.3526897777901617*I	-2.299815341121824+0.*I	0.+0.24660571233588463*I	3.031488310676349+0.*I	0.-0.246302563504817*I	-3.031463680419999+0.*I	0.+0.17311282990018895*I	4.020479643662901+0.*I	0.-0.1727107819358227*I	-4.020462372584706+0.*I	0.+0.12187375176348406*I	5.362714649538023+0.*I	0.-0.12133748029853028*I	-5.362702515789994+0.*I	0.+0.08580562035061826*I	7.191744335137216+0.*I	0.-0.08508644591710453*I	-7.191735826492624+0.*I	0.+0.060106944141634866*I	9.694288887611647+0.*I	0.-0.05913751525287368*I	-9.694282973860119+0.*I	0.+0.04147986441406924*I	13.132449009475096+0.*I	0.-0.040166619513121726*I	-13.132444992813143+0.*I	0.+0.02761932794640783*I	17.875665859543997+0.*I	0.-0.025831761360453426*I	-17.87566327636786+0.*I	0.+0.0168710046327495*I	24.446936077582205+0.*I	0.-0.01442631102499128*I	-24.446934634951102+0.*I	0.+0.00799575127418749*I	33.58999315188882+0.*I	0.-0.0046367519589613024*I	-33.58999268821362+0.*I
0.5274586454621992+0.*I	0.+0.000043960182532196734*I	-0.5274586498582178+0.*I	0.-0.00009670604751801854*I	-0.09670231702550178+0.*I	0.+0.00007463784278425732*I	0.09670230956171749+0.*I	0.-0.00006496761182808624*I	-0.038156360195538704+0.*I	0.+0.00005688626038723937*I	0.03815635450691266+0.*I	0.-0.000053070624936553744*I	-0.018560374410617312+0.*I	0.+0.00005170441573681068*I	0.018560369240175737+0.*I	0.-0.00004984837881280438*I	-0.010037949437887815+0.*I	0.+0.000052519534916588674*I	0.010037944185934324+0.*I	0.-0.000051515740497988744*I	-0.005790170428455969+0.*I	0.+0.000057356316394713954*I	0.005790164692824332+0.*I	0.-0.00005677729992544714*I	-0.0034883328838683347+0.*I	0.+0.00006574626561637136*I	0.0034883263092417736+0.*I	0.-0.0000653974329854472*I	-0.0021686675605994887+0.*I	0.+0.00007793911891073219*I	0.002168659766687598+0.*I	0.-0.00007772225293406345*I	-0.0013808371868662124+0.*I	0.+0.00009467404464507664*I	0.001380827719461748+0.*I	0.-0.00009453596187313042*I	-0.0008959578860408567+0.*I	0.+0.00011715076511537774*I	0.0008959461709643452+0.*I	0.-0.00011706117049828133*I	-0.0005903492329721635+0.*I	0.+0.00014710151348068965*I	0.0005903345228208154+0.*I	0.-0.00014704248002840755*I	-0.00039400922181712577+0.*I	0.+0.00018693907824746586*I	0.0003939905279093011+0.*I	0.-0.00018689967919467492*I	-0.0002658616069782112+0.*I	0.+0.00023998502825001868*I	0.0002658376084753862+0.*I	0.-0.00023995844448917108*I	-0.00018109941857604033+0.*I	0.+0.0003107988481636638*I	0.000181068338691224+0.*I	0.-0.0003107807413297947*I	-0.00012438553291584196+0.*I	0.+0.00040564368941384125*I	0.0001243449685469006+0.*I	0.-0.0004056312549169865*I	-0.00008605108316397578+0.*I	0.+0.0005331424848022365*I	0.00008599776891549555+0.*I	0.-0.000533133885025345*I	-0.00005989923327024469+0.*I	0.+0.0007052027689214874*I	0.00005982871299335254+0.*I	0.-0.0007051967860501882*I	-0.00004190133394673837+0.*I	0.+0.0009383235975152309*I	0.00004180750158698683+0.*I	0.-0.0009383194167650724*I	-0.000029404825806635244+0.*I	0.+0.0012554488095089776*I	0.00002927928092568435+0.*I	0.-0.001255445881580885*I	-0.00002064239233048541+0.*I	0.+0.0016886053468003245*I	0.000020473531795805375+0.*I	0.-0.0016886032994471454*I	-0.000014422395914585699+0.*I	0.+0.0022826751781128284*I	0.000014194128396774417+0.*I	0.-0.002282673758699989*I	-9.93041333781298*^-6+0.*I	0.+0.0031008124066098874*I	9.62033209715199*^-6+0.*I	0.-0.0031008114445766777*I	-6.599837995370216*^-6+0.*I	0.+0.004232260753327842*I	6.1766119200374316*^-6+0.*I	0.-0.0042322601356666505*I	-4.025807182644983*^-6+0.*I	0.+0.0058036931875126985*I	3.4454378638937124*^-6+0.*I	0.-0.005803692842968913*I	-1.9063062719122749*^-6+0.*I	0.+0.007995751274113613*I	1.1067311445087193*^-6+0.*I	0.-0.007995751163440498*I
0.-260.0301873405218*I	0.0706992975844533+0.*I	0.+260.03019441045154*I	-0.09670231702549845+0.*I	0.-121.53357628850294*I	-0.5014556378809625+0.*I	0.+121.53352614293914*I	0.4893022852666685+0.*I	0.-64.07038256194068*I	-0.3307461732306135+0.*I	0.+64.07034948732336*I	0.3243391382818791+0.*I	0.-36.30927970354291*I	-0.2622132213031905+0.*I	0.+36.30925348222076*I	0.2585822959549668+0.*I	0.-21.59257901575348*I	-0.2398947146362421+0.*I	0.+21.592555026282014*I	0.23773545913360591+0.*I	0.-13.29090796434454*I	-0.24276096461293095+0.*I	0.+13.290883688248075*I	0.2414318762441033+0.*I	0.-8.395941332120797*I	-0.26311794936483757+0.*I	0.+8.395915020325857*I	0.26227835786280507+0.*I	0.-5.412630433524685*I	-0.29899806381361044+0.*I	0.+5.412600533718302*I	0.29845680376023864+0.*I	0.-3.5471860825294264*I	-0.351426778554614+0.*I	0.+3.54715093985157*I	0.3510720634606288+0.*I	0.-2.356595566575802*I	-0.42351897689565676+0.*I	0.+2.356553214678113*I	0.4232833215741887+0.*I	0.-1.5838552912069097*I	-0.5203543611419706+0.*I	0.+1.583803255770795*I	0.5201959808163937+0.*I	0.-1.0752117819042837*I	-0.6492730187901868+0.*I	0.+1.0751468546024041*I	0.6491655041047266+0.*I	0.-0.7363563044593392*I	-0.8204919533578593+0.*I	0.+0.7362742552640034*I	0.8204183259323332+0.*I	0.-0.5082366635635954*I	-1.0480579326422546+0.*I	0.+0.5081318577703311*I	1.0480071194564773+0.*I	0.-0.353230538516612*I	-1.3512210989430327+0.*I	0.+0.3530954164067178*I	1.3511857894013923+0.*I	0.-0.24701134006695757*I	-1.7563759716183898+0.*I	0.+0.2468357024697957*I	1.7563512880481431+0.*I	0.-0.17364596132623222*I	-2.2997907510709434+0.*I	0.+0.1734159822511252*I	2.2997734094727185+0.*I	0.-0.12257894682780802*I	-3.0314464629693134+0.*I	0.+0.12227580218151109*I	3.031434235389095+0.*I	0.-0.08674393856121702*I	-4.020450310754433+0.*I	0.+0.08634189353014159*I	4.02044167656508+0.*I	0.-0.0613623891820741*I	-5.3626941040889164+0.*I	0.+0.06082611977166521*I	5.362688021476938+0.*I	0.-0.04316846713530916*I	-7.191730044066003+0.*I	0.+0.04244929413090256*I	7.191725799136591+0.*I	0.-0.029902001321308967*I	-9.694279135956958+0.*I	0.+0.02893257340771327*I	9.694276242699617+0.*I	0.-0.019971815843509627*I	-13.13244265410885+0.*I	0.+0.01865857157809874*I	13.132440788251692+0.*I	0.-0.012228011299138792*I	-17.875662169641284+0.*I	0.+0.010440445082174662*I	17.875661125596775+0.*I	0.-0.0058036928429974315*I	-24.44693463495184+0.*I	0.+0.0033589993794995825*I	24.446934299051907+0.*I
-0.36890252773752147+0.*I	0.-0.00003774758963303213*I	0.3689025315122804+0.*I	0.+0.00007463784278426016*I	-0.5014556378809611+0.*I	0.-0.0001507008776243374*I	-0.4985443470489511+0.*I	0.+0.00010084644291944208*I	0.10885565209136422+0.*I	0.-0.00009326764026533148*I	-0.10885564276460022+0.*I	0.+0.00008238207598887398*I	0.04456338121743545+0.*I	0.-0.0000831844723416613*I	-0.04456337289898822+0.*I	0.+0.00007872813505176247*I	0.022191286715583056+0.*I	0.-0.00008507125981720487*I	-0.022191278208457083+0.*I	0.+0.00008285213199635559*I	0.012197191403348278+0.*I	0.-0.00009398970313175762*I	-0.01219718200437796+0.*I	0.+0.00009276998493131983*I	0.00711924378464982+0.*I	0.-0.00010898363927914662*I	-0.007119232886285893+0.*I	0.+0.00010827171599051802*I	0.00432790698410223+0.*I	0.-0.0001305205025748919*I	-0.004327893932051975+0.*I	0.+0.0001300877131816867*I	0.002709906811287744+0.*I	0.-0.00015994720457119865*I	-0.0027098908165672873+0.*I	0.+0.0001596762154895419*I	0.0017355268458250444+0.*I	0.-0.00019942365844202134*I	-0.0017355069034591998+0.*I	0.+0.0001992501077516755*I	0.0011315815674211088+0.*I	0.-0.00025205440472818134*I	-0.001131556361980636+0.*I	0.+0.0002519412490919833*I	0.0007486896542727803+0.*I	0.-0.0003221592366302382*I	-0.0007486574383491175+0.*I	0.+0.0003220843708864033*I	0.0005014730049323248+0.*I	0.-0.00041568872691863325*I	-0.000501431436059633+0.*I	0.+0.0004156385837750273*I	0.00033942347014331734+0.*I	0.-0.0005408229189916372*I	-0.00033936938785141836+0.*I	0.+0.000540788982052852*I	0.00023182744556997468+0.*I	0.-0.0007088192159836554*I	-0.00023175656364837627+0.*I	0.+0.0007087960403272905*I	0.00015958363058347325+0.*I	0.-0.0009352088518219114*I	-0.00015949010969829098+0.*I	0.+0.0009351929028109415*I	0.00011058781987214541+0.*I	0.-0.0012414869947961313*I	-0.0001104636711726658+0.*I	0.+0.0012414759484290136*I	0.0000770461636235896+0.*I	0.-0.0016575069155592523*I	-0.00007688041293203368+0.*I	0.+0.0016574992275179591*I	0.00005386933188235212+0.*I	0.-0.0022248838909923368*I	-0.000053646843493252886+0.*I	0.+0.002224878526307988*I	0.00003769098242604176+0.*I	0.-0.003001854547195149*I	-0.00003739079697132225+0.*I	0.+0.003001850808115452*I	0.000026255958692126938+0.*I	0.-0.00407024470830427*I	-0.00002584893422129651+0.*I	0.+0.0040702421234108475*I	0.000018032033597477427+0.*I	0.-0.0055455079623983865*I	-0.00001747748280123759+0.*I	0.+0.005545506214650107*I	0.000011959038816413405+0.*I	0.-0.007591261252824087*I	-0.000011199912691130996+0.*I	0.+0.0075912601328328175*I	7.283343064566029*^-6+0.*I	0.-0.010440445706132234*I	-6.239298493952805*^-6+0.*I	0.+0.010440445082202387*I	3.4454378638310625*^-6+0.*I	0.-0.014426311025050594*I	-2.002806761322533*^-6+0.*I	0.+0.014426310824769917*I
0.+260.0301504502693*I	-0.07069929380969436+0.*I	0.-260.03015752019854*I	0.09670230956171419+0.*I	0.+121.53352614293928*I	-0.4985443470489497+0.*I	0.-121.53357599737399*I	-0.48930229535131287+0.*I	0.+64.07039344750592*I	0.33074618255737714+0.*I	0.-64.07036037288768*I	-0.3243391465200876+0.*I	0.+36.30928415988107*I	0.26221322962163773+0.*I	0.-36.30925793855811*I	-0.25858230382778113+0.*I	0.+21.59258123488218*I	0.23989472314336802+0.*I	0.-21.592557245409868*I	-0.23773546741882184+0.*I	0.+13.290909184063691*I	0.2427609740119098+0.*I	0.-13.290884907966298*I	-0.24143188552110703+0.*I	0.+8.39594204404519*I	0.26311796026319517+0.*I	0.-8.395915732249168*I	-0.26227836868997023+0.*I	0.+5.4126308663154*I	0.2989980768656558+0.*I	0.-5.4126009665077115*I	-0.29845681676900504+0.*I	0.+3.5471863535201127*I	0.35142679454933046+0.*I	0.-3.5471512108406587*I	-0.35107207942824636+0.*I	0.+2.3565957401284976*I	0.4235189968380184+0.*I	0.-2.3565533882288126*I	-0.42328334149919516+0.*I	0.+1.583855404365075*I	0.5203543863474079+0.*I	0.-1.5838033689264401*I	-0.5201960060105153+0.*I	0.+1.0752118567732567*I	0.6492730510061048+0.*I	0.-1.0751469294681557*I	-0.6491655363131578+0.*I	0.+0.7363563546066466*I	0.820491994926733+0.*I	0.-0.7362743054071539*I	-0.8204183674961921+0.*I	0.+0.5082366975059444*I	1.048057986724549+0.*I	0.-0.5081318917072719*I	-1.048007173535378+0.*I	0.+0.35323056169935774*I	1.3512211698249454+0.*I	0.-0.35309543958237527*I	-1.3511858602809879+0.*I	0.+0.24701135602532293*I	1.7563760651392648+0.*I	0.-0.24683571841880897*I	-1.7563513815674225+0.*I	0.+0.17364597238501697*I	2.299790875219612+0.*I	0.-0.17341599329749505*I	-2.299773533620282+0.*I	0.+0.12257895453242634*I	3.0314466287199413+0.*I	0.-0.12227580986955436*I	-3.0314344011389545+0.*I	0.+0.08674394394815274*I	4.02045053324278+0.*I	0.-0.08634189889482846*I	-4.020441899052891+0.*I	0.+0.06136239295117518*I	5.362694404274351+0.*I	0.-0.060826123510747745*I	-5.3626883216620005+0.*I	0.+0.04316846976090743*I	7.191730451090338+0.*I	0.-0.04244929671579839*I	-7.191726206160666+0.*I	0.+0.029902003124516456*I	9.694279690507502+0.*I	0.-0.028932575155465698*I	-9.694276797249985+0.*I	0.+0.019971817039407657*I	13.13244341323459+0.*I	0.-0.018658572698084193*I	-13.132441547377319+0.*I	0.+0.012228012027474915*I	17.875663213684348+0.*I	0.-0.010440445706106478*I	-17.875662169639778+0.*I	0.+0.005803693187539588*I	24.44693607758052+0.*I	0.-0.0033589995797788704*I	-24.446935741680566+0.*I
0.34289951269249364+0.*I	0.+0.00003067766025206249*I	-0.3428995157602596+0.*I	0.-0.00006496761182808844*I	0.48930228526666664+0.*I	0.+0.00010084644291944162*I	-0.48930229535131115+0.*I	0.-0.00014977667245457272*I	-0.11526269143611516+0.*I	0.+0.00012634225852107143*I	0.11526267880188927+0.*I	0.-0.00011481599064088794*I	-0.04819430963342367+0.*I	0.+0.00010940579530381988*I	0.048194298692844126+0.*I	0.-0.00010458636543453898*I	-0.02435054483907135+0.*I	0.+0.00010906073213153734*I	0.024350533932998138+0.*I	0.-0.00010662567873823412*I	-0.01352628232175476+0.*I	0.+0.00011826580053294628*I	0.0135262704951747+0.*I	0.-0.00011691317348342703*I	-0.007958837989054494+0.*I	0.+0.0001352954353054518*I	0.007958824459510964+0.*I	0.-0.00013449955285950067*I	-0.004869170070733915+0.*I	0.+0.0001604203102614464*I	0.004869154028702888+0.*I	0.-0.00015993339485857608*I	-0.0030646254466398194+0.*I	0.+0.00019508988402612435*I	0.0030646059376514168+0.*I	0.-0.00019478342343235913*I	-0.0019711864198379506+0.*I	0.+0.00024177555812580247*I	0.0019711622422821386+0.*I	0.-0.0002415784419015742*I	-0.0012899671078576433+0.*I	0.+0.00030408984336290415*I	0.001289936698873307+0.*I	0.-0.00030396084969301694*I	-0.0008562108399501204+0.*I	0.+0.00038708654173082895*I	0.0008561721312959474+0.*I	0.-0.00038700092451769924*I	-0.0005751086403930037+0.*I	0.+0.0004977379264112819*I	0.0005750588666003626+0.*I	0.-0.0004976804205246221*I	-0.0003902471398939268+0.*I	0.+0.0006456287176640385*I	0.0003901825770221603+0.*I	0.-0.0006455896994063362*I	-0.00026715050173992057+0.*I	0.+0.0008439413329661019*I	0.000267066107606624+0.*I	0.-0.0008439146263553412*I	-0.00018428476618599993+0.*I	0.+0.0011108464583357998*I	0.00018417368154016633+0.*I	0.-0.0011108280409676458*I	-0.00012795241711065496+0.*I	0.+0.001471466082318089*I	0.00012780527050242313+0.*I	0.-0.0014714533017910392*I	-0.00008930405907684145+0.*I	0.+0.001960651578431513*I	0.0000891079939189983+0.*I	0.-0.0019606426676321213*I	-0.0000625437262771777+0.*I	0.+0.0026269289443171012*I	0.00006228103338274599+0.*I	0.-0.0026269227162137635*I	-0.00004382722172116503+0.*I	0.+0.003538123987623332*I	0.00004347340932240268+0.*I	0.-0.0035381196402823997*I	-0.000030572805668228283+0.*I	0.+0.004789417753413632*I	0.000030093863892886922+0.*I	0.-0.004789414744027243*I	-0.00002102223390993891+0.*I	0.+0.006514935931450233*I	0.000020370740316793887+0.*I	0.-0.006514933894376204*I	-0.00001395622052036271+0.*I	0.+0.008904505594147162*I	0.000013065769960947992+0.*I	0.-0.008904504287570166*I	-8.506144267314166*^-6+0.*I	0.+0.012228012027495063*I	7.283343064564659*^-6+0.*I	0.-0.012228011299160757*I	-4.025807182585854*^-6+0.*I	0.+0.016871004632806035*I	2.338706719298312*^-6+0.*I	0.-0.016871004398935366*I
0.-121.53347958245612*I	0.026003011977260952+0.*I	0.+121.53348218275733*I	-0.038156360195536684+0.*I	0.-64.07038256194124*I	0.10885565209136397+0.*I	0.+64.07039344750646*I	-0.11526269143611473+0.*I	0.-36.30937640959084*I	-0.4828952686407876+0.*I	0.+36.30932812006397*I	0.4792643358287805+0.*I	0.-21.592643983365594*I	-0.3207082290446761+0.*I	0.+21.592611912542697*I	0.31854896785342224+0.*I	0.-13.290961034969701*I	-0.25642305661036563+0.*I	0.+13.290935392664041*I	0.255093963071097+0.*I	0.-8.39599118049979*I	-0.23640638832699745+0.*I	0.+8.395967539860958*I	0.23556679157301139+0.*I	0.-5.412681949265309*I	-0.24059230484624128+0.*I	0.+5.412657890034825*I	0.24005103905723785+0.*I	0.-3.5472428598294456*I	-0.2617371216453716+0.*I	0.+3.547216686117282*I	0.26138239997675994+0.*I	0.-2.3566609640088685*I	-0.2981021176426396+0.*I	0.+2.356631153797105*I	0.2978664545272597+0.*I	0.-1.5839330134599048*I	-0.35083644403178377+0.*I	0.+1.5838979298155016*I	0.35067805423880205+0.*I	0.-1.0753063178661972*I	-0.4231249863677365+0.*I	0.+1.0752640053675604*I	0.42301745996719986+0.*I	0.-0.7364733656298684*I	-0.520088523533479+0.*I	0.+0.7364213567775149*I	0.5200148813978012+0.*I	0.-0.5083837060436451*I	-0.6490919504514724+0.*I	0.+0.5083187968485999*I	0.6490411185717875+0.*I	0.-0.3534174381958237*I	-0.8203676083892676+0.*I	0.+0.3533354014349848*I	0.8203322748491243+0.*I	0.-0.24725129851145847*I	-1.0479719348732899+0.*I	0.+0.24714650131797114*I	1.0479472202231586+0.*I	0.-0.17395674206757217*I	-1.3511612702299418+0.*I	0.+0.17382162594054917*I	1.3511438880673483+0.*I	0.-0.12298457808273437*I	-1.7563341641167025+0.*I	0.+0.12280894466632268*I	1.7563218832222358+0.*I	0.-0.08727707244624881*I	-2.299761471789816+0.*I	0.+0.08704709629906983*I	2.2997527670801854+0.*I	0.-0.06206758596813056*I	-3.031425989437218+0.*I	0.+0.06176444336918685*I	3.0314198129928807+0.*I	0.-0.04410678655208413*I	-4.020436116625719+0.*I	0.+0.04370474294042155*I	4.020431746151424+0.*I	0.-0.031157447202901756*I	-5.362684483756227+0.*I	0.+0.03062117875452613*I	5.362681421638351+0.*I	0.-0.02166041914295514*I	-7.191723867453687+0.*I	0.+0.020941246756209772*I	7.19172177332901+0.*I	0.-0.01451068505785541*I	-9.694275690518303+0.*I	0.+0.013541257488803582*I	9.694274336392555+0.*I	0.-0.008904504287568228*I	-13.132441547376578+0.*I	0.+0.007591260132830572*I	13.132440788250566+0.*I	0.-0.0042322601356777284*I	-17.87566327636545+0.*I	0.+0.0024446938080385184*I	17.87566303189607+0.*I
