0.-0.8513616315101431*I	-0.5014245113347675+0.*I	0.+0.162951740653103*I	0.0023991758548930105+0.*I
-0.5014245113347735+0.*I	0.-0.6884098908570468*I	-0.49902533547986144+0.*I	0.+0.16295174065310247*I
0.+0.1629517406530997*I	-0.49902533547987454+0.*I	0.-0.6884098908570474*I	-0.5014245113347668+0.*I
0.0023991758548871367+0.*I	0.+0.16295174065311238*I	-0.5014245113347603+0.*I	0.-0.8513616315101582*I
