0.5365193523565612-0.31909569072418864*I	0.12035784643407355-0.3262901924377301*I	-0.1381659461077539-0.0914419678570178*I	-0.15461753242590193+0.060904761521409*I
0.12035784643407355-0.32629019243773083*I	0.3983534062488071-0.4105376585812078*I	-0.03425968599182884-0.2653854309163231*I	-0.13816594610775434-0.09144196785701925*I
-0.1381659461077538-0.09144196785701952*I	-0.03425968599182877-0.26538543091632477*I	0.3983534062488061-0.410537658581211*I	0.12035784643407245-0.32629019243773355*I
-0.15461753242590182+0.06090476152140743*I	-0.1381659461077543-0.09144196785702102*I	0.12035784643407244-0.32629019243773427*I	0.5365193523565605-0.31909569072419186*I
