0.-0.8468602622391943*I	-0.5007065368740601+0.*I	0.+0.16765086510852226*I	0.0009190881774363543+0.*I	0.+0.02410548463211942*I	-0.0005401452515871088+0.*I	0.+0.0058392530638588375*I	0.00018650516470665403+0.*I
-0.5007065368740423+0.*I	0.-0.6792093971306752*I	-0.49978744869661795+0.*I	0.+0.1917563497406487*I	0.0003789429258501209+0.*I	0.+0.02994473769599208*I	-0.00035364008689541535+0.*I	0.+0.005839253063865342*I
0.+0.16765086510851349*I	-0.49978744869662184+0.*I	0.-0.6551039124985412*I	-0.5003275939482018+0.*I	0.+0.19759560280450109*I	0.0005654480905476996+0.*I	0.+0.029944737695983704*I	-0.0005401452516115467+0.*I
0.0009190881774317253+0.*I	0.+0.19175634974064834*I	-0.5003275939482072+0.*I	0.-0.6492646594346796*I	-0.5001410887834924+0.*I	0.+0.1975956028044879*I	0.00037894292584258685+0.*I	0.+0.024105484632142658*I
0.+0.02410548463213147*I	0.00037894292584505503+0.*I	0.+0.19759560280449798*I	-0.5001410887835004+0.*I	0.-0.6492646594346887*I	-0.5003275939481919+0.*I	0.+0.19175634974062422*I	0.0009190881774339436+0.*I
-0.000540145251604951+0.*I	0.+0.029944737695997942*I	0.00056544809054343+0.*I	0.+0.1975956028045038*I	-0.5003275939482049+0.*I	0.-0.6551039124985486*I	-0.49978744869660824+0.*I	0.+0.1676508651085071*I
0.+0.005839253063870231*I	-0.00035364008690176043+0.*I	0.+0.029944737695982937*I	0.000378942925844251+0.*I	0.+0.19175634974064454*I	-0.49978744869660563+0.*I	0.-0.6792093971306848*I	-0.5007065368740374+0.*I
0.00018650516469898015+0.*I	0.+0.005839253063865759*I	-0.0005401452515861882+0.*I	0.+0.02410548463212003*I	0.0009190881774313597+0.*I	0.+0.16765086510852062*I	-0.5007065368740428+0.*I	0.-0.8468602622391975*I
