-1.3811361291680269-0.7671815142046834*I	-0.5652187252923488-0.5599370131870017*I	0.8668430828533081+0.2575823103319827*I	0.07252268955591608+0.3946781197060731*I	-0.8008869031693949+0.1015820308694995*I	-0.03430587644485766-0.13676238020031778*I	0.7696822318425948-0.22603922743943314*I	0.034997902614959414+0.11045091643570559*I	-0.7378451855546255+0.3265530611861867*I	-0.0005211918771344863-0.04159324624854226*I	0.737375060271058-0.36440296739154787*I	0.6715689370205362-0.28993971657173917*I	-0.12621833361071255+0.10062498220496711*I	-0.7059484848986527+0.22823183097371116*I	0.22162757472446662-0.21955767205356663*I	0.6997414087294036-0.1793072649820877*I	-0.35452719389680587+0.2824972625001728*I	-0.7670340531982951-0.1655561801048278*I	0.457429664273763-0.5348121206703856*I	1.28149748290191+0.39974548019131806*I	-0.15815001223435185+0.6411263470607925*I	-1.691538434099135-0.1383362783521772*I
-0.5652187252923427-0.5599370131870064*I	-0.06373016723770855-0.7969115754408991*I	-0.49269603573642773-0.16525889348093556*I	-0.4994165220508661+0.10187559085387557*I	0.03821681311105413+0.2579157395057572*I	0.04278493387945057+0.2545054914810576*I	0.000692026170097876-0.026311463764606784*I	0.03865210097854399+0.046749825508196605*I	0.03447671073782635+0.06885767018716353*I	0.037317048946329756+0.029956804652444255*I	-0.0005211918771317075-0.04159324624854466*I	-0.03778717422989475-0.06780671085780757*I	-0.033858356000986516-0.020114639349483335*I	-0.04460222892047043-0.014042702619248285*I	-0.04120497878420602-0.061526350444088204*I	-0.0808046598968293-0.32519867981242934*I	-0.03298676802402515-0.20810106488660554*I	0.4913830965285241-0.12167393770338295*I	0.44194074014769824-0.1604888196195773*I	0.11480982265777301+0.5446011219157983*I	0.1551777740951114+0.8213462150261552*I	-0.45056287907700493+0.28731237156819384*I
0.8668430828533138+0.25758231033197804*I	-0.49269603573642173-0.16525889348094058*I	-1.3151799494841097-0.40801717300320767*I	-0.5270019121812894-0.3020212736812514*I	0.8356384115265043+0.1331251137620506*I	0.07321471572600986+0.3683666559414681*I	-0.7690498568814295+0.20209586461625798*I	0.00017083429296502084-0.06790471001314867*I	0.769212106559029-0.26388913364479394*I	0.0344767107378294+0.06885767018716124*I	-0.7378451855546232+0.3265530611861844*I	-0.705948484898655+0.22823183097371116*I	0.09540924111374947-0.11893268984859715*I	0.6653618608512867-0.2410151505801192*I	-0.2591179527830498+0.1635645726515677*I	-0.7732411293675374-0.11663161411321277*I	0.3245300451014313-0.4718725302237861*I	1.2142048384330224+0.0548820351044022*I	-0.05524754185739561+0.38881148889058503*I	-1.1770750043955285+0.09585302173432463*I	0.29927965203940043+0.10631422639041879*I	1.2814974829019044+0.39974548019132594*I
0.07252268955591565+0.39467811970606853*I	-0.4994165220508647+0.10187559085386787*I	-0.5270019121812881-0.30202127368125387*I	-0.020945233358258257-0.5424060839598456*I	-0.492004009566331-0.19157035724554156*I	-0.460764421072323+0.14862541636207546*I	0.07269352384888095+0.32677340969292296*I	0.08010198282578114+0.2844622961335063*I	0.000170834292966492-0.06790471001314963*I	0.038652100978544386+0.04674982550819834*I	0.03499790261495802+0.11045091643570784*I	-0.006815054690576089+0.05376400823855735*I	-0.041204978784206085-0.06152635044408969*I	-0.11859183412672475-0.39300539067024165*I	-0.06684512402501264-0.22821570423609314*I	0.4467808676080541-0.13571664032263694*I	0.40073576136349337-0.22201517006366875*I	0.034005162760944445+0.2194024421033708*I	0.12219100607108686+0.6132451501395543*I	0.04082021745151899+0.16563843386481858*I	0.44194074014769696-0.16048881961956998*I	0.5653727017347774+0.2572887503476101*I
-0.8008869031694008+0.10158203086949971*I	0.038216813111049505+0.257915739505755*I	0.8356384115265051+0.13312511376204839*I	-0.49200400956632995-0.19157035724554405*I	-1.2833429031961412-0.3075033392564502*I	-0.49252520144345985-0.23316360349408657*I	0.8351682862429418+0.09527520755668696*I	0.07269352384888252+0.32677340969292223*I	-0.769049856881428+0.20209586461625723*I	0.0006920261700949274-0.02631146376460291*I	0.769682231842591-0.22603922743942895*I	0.6997414087294068-0.1793072649820931*I	-0.13289961917233256+0.06293959044659708*I	-0.7732411293675387-0.11663161411321346*I	0.1983117114907117-0.3712475480188152*I	1.1798252905548992-0.0068258504936262844*I	0.04016169925635419+0.2698787990419839*I	-1.1832820805647732+0.14477758772594135*I	0.1663800328670709+0.1692538168370166*I	1.214204838433024+0.05488203510440584*I	0.10290247037696573-0.25231485817021243*I	-0.7670340531982913-0.16555618010482712*I
-0.03430587644486488-0.13676238020031578*I	0.04278493387944366+0.25450549148105595*I	0.0732147157260106+0.36836665594146456*I	-0.4607644210723228+0.14862541636207363*I	-0.4925252014434606-0.23316360349408477*I	0.016371815588077716-0.5124492793073971*I	-0.49252520144345774-0.23316360349408782*I	-0.4607644210723196+0.14862541636207102*I	0.07321471572601056+0.3683666559414653*I	0.0427849338794432+0.25450549148106005*I	-0.034305876444865324-0.1367623802003127*I	-0.07398960520625063-0.37896268805098904*I	-0.03298676802401737-0.20810106488660807*I	0.48456804183795216-0.06790992946482508*I	0.40073576136349004-0.22201517006366422*I	-0.003782011468955181+0.15159573124556167*I	0.08833265007009407+0.5931305107900664*I	-0.003782011468954757+0.15159573124556183*I	0.40073576136349276-0.22201517006366717*I	0.48456804183795454-0.0679099294648241*I	-0.03298676802401832-0.20810106488660382*I	-0.07398960520625075-0.3789626880509877*I
0.7696822318425931-0.22603922743943186*I	0.0006920261700957874-0.026311463764606278*I	-0.7690498568814295+0.20209586461625725*I	0.0726935238488802+0.32677340969292384*I	0.8351682862429411+0.0952752075566884*I	-0.49252520144345846-0.23316360349408624*I	-1.283342903196139-0.3075033392564513*I	-0.4920040095663296-0.1915703572455444*I	0.8356384115265042+0.13312511376204925*I	0.03821681311104989+0.2579157395057556*I	-0.800886903169399+0.10158203086949953*I	-0.7670340531982901-0.16555618010482792*I	0.10290247037696544-0.2523148581702129*I	1.2142048384330222+0.05488203510440631*I	0.16638003286707073+0.1692538168370166*I	-1.1832820805647732+0.14477758772594032*I	0.04016169925635253+0.2698787990419839*I	1.1798252905548994-0.006825850493626932*I	0.1983117114907141-0.37124754801881754*I	-0.7732411293675385-0.11663161411321167*I	-0.13289961917233367+0.06293959044660069*I	0.6997414087294079-0.17930726498209254*I
0.034997902614963106+0.1104509164357081*I	0.03865210097855016+0.04674982550819946*I	0.00017083429296679595-0.06790471001314863*I	0.08010198282578002+0.28446229613350565*I	0.07269352384887971+0.32677340969292157*I	-0.4607644210723243+0.14862541636207338*I	-0.49200400956633106-0.1915703572455419*I	-0.020945233358259714-0.5424060839598439*I	-0.5270019121812892-0.302021273681252*I	-0.49941652205086334+0.1018755908538702*I	0.07252268955591834+0.394678119706069*I	0.5653727017347783+0.2572887503476081*I	0.4419407401476953-0.16048881961957195*I	0.04082021745151769+0.16563843386481653*I	0.12219100607108839+0.613245150139552*I	0.03400516276094725+0.21940244210337081*I	0.4007357613634942-0.2220151700636665*I	0.44678086760805547-0.1357166403226356*I	-0.06684512402501122-0.2282157042360929*I	-0.1185918341267291-0.39300539067024115*I	-0.041204978784212254-0.06152635044409068*I	-0.006815054690577348+0.053764008238556406*I
-0.7378451855546204+0.32655306118618727*I	0.034476710737833996+0.06885767018716542*I	0.7692121065590306-0.263889133644793*I	0.00017083429296605525-0.06790471001315088*I	-0.7690498568814302+0.202095864616255*I	0.07321471572600718+0.3683666559414656*I	0.8356384115265029+0.13312511376205127*I	-0.5270019121812906-0.3020212736812494*I	-1.315179949484109-0.4080171730032064*I	-0.49269603573642107-0.16525889348093872*I	0.8668430828533138+0.25758231033197854*I	1.2814974829019037+0.3997454801913245*I	0.2992796520393993+0.10631422639041707*I	-1.1770750043955276+0.09585302173432186*I	-0.055247541857393875+0.3888114888905826*I	1.2142048384330246+0.05488203510440319*I	0.32453004510143363-0.4718725302237837*I	-0.7732411293675365-0.11663161411321071*I	-0.2591179527830503+0.16356457265157012*I	0.6653618608512822-0.24101515058012027*I	0.09540924111374492-0.11893268984860131*I	-0.7059484848986572+0.22823183097370967*I
-0.0005211918771327754-0.041593246248536504*I	0.037317048946330963+0.029956804652457383*I	0.03447671073782847+0.06885767018716737*I	0.03865210097854679+0.04674982550819568*I	0.000692026170098211-0.026311463764611395*I	0.04278493387944487+0.2545054914810516*I	0.03821681311104829+0.2579157395057563*I	-0.4994165220508686+0.10187559085387513*I	-0.49269603573642423-0.16525889348093506*I	-0.06373016723769791-0.7969115754408964*I	-0.5652187252923371-0.5599370131870045*I	-0.45056287907701026+0.28731237156819295*I	0.15517777409510097+0.8213462150261525*I	0.11480982265776853+0.5446011219157967*I	0.4419407401477009-0.16048881961957667*I	0.49138309652852713-0.12167393770337727*I	-0.032986768024019154-0.2081010648866001*I	-0.08080465989682578-0.32519867981242667*I	-0.04120497878420895-0.06152635044408672*I	-0.044602228920472296-0.014042702619256966*I	-0.03385835600098742-0.02011463934949652*I	-0.037787174229896796-0.06780671085781331*I
