0.-0.00008447409690953819*I	-0.6056383295181833+0.*I	0.+0.000023910263957719824*I	0.27230499807480757+0.*I	0.+3.320235849760935*^-6*I	-0.044658197965017854+0.*I	0.-7.786055646262723*^-6*I	-0.06098013632987435+0.*I	0.+1.6880420132753118*^-6*I	0.06098013655316568+0.*I	0.+4.409971642041238*^-6*I	-0.06098013699416261+0.*I	0.-0.00001050798534145749*I	-3.920953794036766*^-10+0.*I	0.+8.81994328897262*^-6*I	0.10563833507349772+0.*I	0.+9.529945864639899*^-6*I	-0.22764680044181326+0.*I	0.-0.00003561486175858219*I	0.3333333290523493+0.*I	0.+0.000045037930706097364*I	-0.3943616620344071+0.*I
-0.6056383295181834+0.*I	0.-610.2833903844102*I	-0.3333333314433756+0.*I	0.+1056.865313335859*I	0.22764680010978977+0.*I	0.-1220.0846581489761*I	-0.10563833429489213+0.*I	0.+1056.3833407160118*I	2.2329096904805112*^-10+0.*I	0.-609.8013677645641*I	0.06098013655316542+0.*I	0.+609.8013738625777*I	-0.12196027393942321+0.*I	0.-446.5819729514478*I	0.16661847101127703+0.*I	0.+163.70130686913072*I	-0.07735026740329787+0.*I	0.+163.21936757779744*I	-0.1666184694642716+0.*I	0.-446.5819562847817*I	0.5446099965361254+0.*I	0.+610.2833298205771*I
0.+0.00002391026395771973*I	-0.3333333314433758+0.*I	0.-0.00005724359710205731*I	-0.37799152940839353+0.*I	0.+0.000019444444161217987*I	0.16666666377991549+0.*I	0.-2.7777777832264393*^-6*I	-0.04465819774172692+0.*I	0.-1.6880419909462517*^-6*I	2.2329112796714683*^-10+0.*I	0.+1.6880420132753476*^-6*I	-3.920951575212008*^-10+0.*I	0.-1.6880420524848769*^-6*I	0.04465819768724003+0.*I	0.+7.841903812155087*^-6*I	-0.12200846576041074+0.*I	0.-0.00001726497260496966*I	0.21132486368403353+0.*I	0.+0.000018953014812155063*I	-0.28867513342387113+0.*I	0.+9.423068947515153*^-6*I	0.33333332905234936+0.*I
0.2723049980748076+0.*I	0.+1056.8653133358594*I	-0.3779915294083936+0.*I	0.-1830.368048533387*I	-0.4389716657382678+0.*I	0.+2113.2486540518717*I	0.2276468003330807+0.*I	0.-1829.88602591354*I	-0.044658197741726746+0.*I	0.+1056.3833407160123*I	-0.06098013632987448+0.*I	0.-1056.3833468140258*I	0.16661847101127697+0.*I	0.+773.502680731708*I	-0.19931054134272108+0.*I	0.-283.36260537365166*I	1.5470053016386487*^-9+0.*I	0.-282.88064941565136*I	0.46725972913282776+0.*I	0.+773.502697398375*I	-0.16661846946427172+0.*I	0.-1056.8652861053595*I
0.+3.320235849760984*^-6*I	0.22764680010978985+0.*I	0.+0.000019444444161218007*I	-0.438971665738268+0.*I	0.-0.00006334161073504479*I	-0.3779915291851025+0.*I	0.+0.000025542457816534544*I	0.2276468003330808+0.*I	0.-2.7777777832264664*^-6*I	-0.10563833429489214+0.*I	0.-7.786055646262766*^-6*I	0.10563833507349787+0.*I	0.+0.000018349889153612534*I	-0.12200846576041084+0.*I	0.-0.000027772957946427146*I	0.15034472629777593+0.*I	0.+0.00001726497275967022*I	-0.18303679874246853+0.*I	0.+0.000027772958101127658*I	0.2113248636840336+0.*I	0.-0.000026084915893942305*I	-0.22764680044181346+0.*I
-0.04465819796501802+0.*I	0.-1220.0846581489761*I	0.16666666377991557+0.*I	0.+2113.248654051871*I	-0.3779915291851027+0.*I	0.-2440.1694162979493*I	-0.37799152918510226+0.*I	0.+2113.2486540518703*I	0.1666666637799153+0.*I	0.-1220.0846581489757*I	-0.0446581979650178+0.*I	0.+1220.0846536831557*I	-0.07735026740329781+0.*I	0.-893.1639792362282*I	1.5470051906163462*^-9+0.*I	0.+326.92072444692633*I	0.34529945519340477+0.*I	0.+326.92072444692565*I	1.5470054126609512*^-9+0.*I	0.-893.1639792362287*I	-0.0773502674032982+0.*I	0.+1220.0846536831561*I
0.-7.786055646262788*^-6*I	-0.10563833429489217+0.*I	0.-2.7777777832264313*^-6*I	0.22764680033308074+0.*I	0.+0.000025542457816534503*I	-0.3779915291851023+0.*I	0.-0.00006334161073504473*I	-0.43897166573826807+0.*I	0.+0.00001944444416121797*I	0.22764680010978983+0.*I	0.+3.3202358497610086*^-6*I	-0.2276468004418133+0.*I	0.-0.000026084915893942353*I	0.21132486368403375+0.*I	0.+0.00002777295810112773*I	-0.18303679874246861+0.*I	0.+0.000017264972759670218*I	0.15034472629777584+0.*I	0.-0.000027772957946427174*I	-0.12200846576041076+0.*I	0.+0.000018349889153612547*I	0.10563833507349771+0.*I
-0.060980136329874424+0.*I	0.+1056.3833407160118*I	-0.0446581977417268+0.*I	0.-1829.8860259135397*I	0.2276468003330808+0.*I	0.+2113.2486540518703*I	-0.43897166573826785+0.*I	0.-1830.368048533385*I	-0.37799152940839376+0.*I	0.+1056.8653133358587*I	0.27230499807480774+0.*I	0.-1056.8652861053588*I	-0.16661846946427183+0.*I	0.+773.5026973983735*I	0.467259729132828+0.*I	0.-282.88064941565165*I	1.5470053016386487*^-9+0.*I	0.-283.3626053736508*I	-0.19931054134272097+0.*I	0.+773.5026807317079*I	0.16661847101127714+0.*I	0.-1056.3833468140253*I
0.+1.688042013275406*^-6*I	2.2329104224908024*^-10+0.*I	0.-1.6880419909462947*^-6*I	-0.044658197741726885+0.*I	0.-2.777777783226392*^-6*I	0.16666666377991549+0.*I	0.+0.00001944444416121794*I	-0.3779915294083936+0.*I	0.-0.0000572435971020573*I	-0.3333333314433755+0.*I	0.+0.000023910263957719746*I	0.33333332905234936+0.*I	0.+9.423068947515147*^-6*I	-0.28867513342387113+0.*I	0.+0.000018953014812155107*I	0.2113248636840337+0.*I	0.-0.000017264972604969672*I	-0.12200846576041077+0.*I	0.+7.841903812155066*^-6*I	0.04465819768724006+0.*I	0.-1.6880420524848042*^-6*I	-3.920952483046843*^-10+0.*I
0.06098013655316528+0.*I	0.-609.8013677645639*I	2.2329108007035359*^-10+0.*I	0.+1056.383340716012*I	-0.10563833429489228+0.*I	0.-1220.0846581489761*I	0.2276468001097899+0.*I	0.+1056.8653133358587*I	-0.33333333144337574+0.*I	0.-610.2833903844104*I	-0.6056383295181833+0.*I	0.+610.2833298205773*I	0.5446099965361255+0.*I	0.-446.5819562847814*I	-0.16661846946427195+0.*I	0.+163.21936757779744*I	-0.07735026740329803+0.*I	0.+163.7013068691305*I	0.16661847101127714+0.*I	0.-446.5819729514483*I	-0.12196027393942335+0.*I	0.+609.8013738625775*I
0.+4.409971642041191*^-6*I	0.06098013655316531+0.*I	0.+1.6880420132753488*^-6*I	-0.06098013632987434+0.*I	0.-7.786055646262776*^-6*I	-0.04465819796501804+0.*I	0.+3.320235849760972*^-6*I	0.27230499807480774+0.*I	0.+0.000023910263957719824*I	-0.6056383295181834+0.*I	0.-0.0000844740969095381*I	-0.3943616620344071+0.*I	0.+0.000045037930706097425*I	0.3333333290523492+0.*I	0.-0.00003561486175858227*I	-0.22764680044181337+0.*I	0.+9.529945864639914*^-6*I	0.10563833507349783+0.*I	0.+8.81994328897259*^-6*I	-3.920952306747476*^-10+0.*I	0.-0.000010507985341457488*I	-0.06098013699416249+0.*I
