0.-0.8504011554262393*I	-0.49903810024393924+0.*I	0.+0.1694605879434052*I	-0.0014628492783930799+0.*I	0.+0.019863674793314363*I	0.0016567000969265047+0.*I
-0.4990381002439241+0.*I	0.-0.6809405674828517*I	-0.5005009495223267+0.*I	0.+0.18932426273671737*I	0.00019385081852863303+0.*I	0.+0.019863674793302095*I
0.+0.16946058794339752*I	-0.5005009495223428+0.*I	0.-0.6610768926895325*I	-0.49884424942540223+0.*I	0.+0.18932426273670505*I	-0.001462849278415748+0.*I
-0.001462849278402012+0.*I	0.+0.18932426273670955*I	-0.4988442494254144+0.*I	0.-0.6610768926895311*I	-0.5005009495223347+0.*I	0.+0.16946058794339586*I
0.+0.01986367479332718*I	0.00019385081851982166+0.*I	0.+0.18932426273670072*I	-0.500500949522338+0.*I	0.-0.6809405674828352*I	-0.4990381002439424+0.*I
0.0016567000969225365+0.*I	0.+0.019863674793310228*I	-0.0014628492784086178+0.*I	0.+0.16946058794338886*I	-0.49903810024394296+0.*I	0.-0.8504011554262472*I
