0.+8.062962112066664*^-6*I	-1.0665794403120732+0.*I	0.-0.00011472090614327581*I	0.06887339205396625+0.*I	0.+0.00012160824534867289*I	1.0787688030938571+0.*I	0.-0.000013731365039288163*I	-1.0067093791353192+0.*I	0.-0.00008693957287424357*I	-0.03303432839921457+0.*I	0.+0.00008363614003432059*I	0.5217609279006585+0.*I	0.-0.000031460047244255376*I	0.13578429238268602+0.*I	0.+0.00004503847648252442*I	-0.8293366368851756+0.*I	0.-0.00012797214017104167*I	0.43455186967822196+0.*I	0.+0.00017142732713886356*I	0.5722621003042827+0.*I	0.-0.00011420111710843433*I	-0.8812824380163795+0.*I	0.+0.000026072873306795664*I	0.2625031932564872+0.*I	0.+1.7744601885285132*^-7*I	0.1917865860456109+0.*I	0.+0.00001900121258570811*I	0.23577092080654738+0.*I	0.+4.575879494946382*^-6*I	-0.8202109712565292+0.*I	0.-0.00008659697662059923*I	0.5341474665993714+0.*I	0.+0.00014001172328053567*I	0.3382778791825931+0.*I	0.-0.00010618393536227621*I	-0.5800049756817747+0.*I	0.+0.000048183437794098895*I	-0.10329767514679257+0.*I	0.-0.00005851320530877777*I	0.5627576853411844+0.*I	0.+0.00011478897384289497*I	0.09492353047751088+0.*I	0.-0.00010529662079514256*I	-1.09844966648883+0.*I	0.-4.548345853739407*^-6*I	1.0830105065566262+0.*I	0.+0.00011284939650940345*I	-0.10152891064817596+0.*I	0.-0.00012300228757422034*I	-0.46699548296326593+0.*I	0.+0.00007630273927789343*I	0.46699547533299185+0.*I	0.-0.000029603191744591522*I	0.5685244059116705+0.*I	0.+0.0002094579199099757*I	-0.9814816071933885+0.*I	0.-0.0004204554771387121*I	0.015439160387039559+0.*I	0.+0.00042654773903115956*I	1.003526146540981+0.*I	0.-0.00022089850358192057*I	-0.657681227297591+0.*I	0.+0.00004034140700925787*I	-0.4594600043430703+0.*I	0.-0.000027774202134793487*I	0.6833026460102241+0.*I	0.+0.00004792102894172111*I	0.24172710711757597+0.*I	0.+0.00008243561713231947*I	-0.8724253597831352+0.*I	0.-0.00030968987639116275*I	0.28606351331685814+0.*I	0.+0.0004248932043434566*I	0.5844400499923956+0.*I	0.-0.0003710250788391536*I	-0.4275575087522762+0.*I	0.+0.0003092681153782191*I	-0.4542897793198393+0.*I	0.-0.00035487453932907145*I	0.6187792421526069+0.*I	0.+0.00039067959023753377*I	0.3090203491322071+0.*I	0.-0.0002455764382158749*I	-1.0068139871252395+0.*I	0.-0.000026532287635515174*I	0.3947847800041652+0.*I	0.+0.00019398290580697927*I	0.6935523399986403+0.*I	0.-0.0001696661482896338*I	-0.6575452171373392+0.*I	0.+0.00013537167382015618*I	-0.48872660786505745+0.*I	0.-0.0002678804746409828*I	1.0397437162284904+0.*I	0.+0.0004587944191380841*I	-0.0720594225854009+0.*I	0.-0.00045226899635733087*I	-1.1476422073086474+0.*I	0.+0.000215896530277791*I	0.997706059730197+0.*I	0.-1.40501816149718*^-6*I	0.06657943950577684+0.*I
-0.9615384367652184+0.*I	0.-0.00009474882625734409*I	-0.03846155375989902+0.*I	0.-0.00012358884056215156*I	0.03846156611878307+0.*I	0.+0.0003638074626293175*I	-0.03846160249952934+0.*I	0.-0.000374179045014752*I	0.03846163991743384+0.*I	0.+0.00018711126383367995*I	-0.03846165862856023+0.*I	0.-0.000058448628236362245*I	0.03846166447342305+0.*I	0.+0.00009658926860438722*I	-0.03846167413234992+0.*I	0.-0.00012475219306439748*I	0.03846168660756922+0.*I	0.-0.00003885225686624076*I	-0.03846168272234354+0.*I	0.+0.0003071148147979078*I	0.03846165201086206+0.*I	0.-0.00044837180186839756*I	-0.038461607173681876+0.*I	0.+0.0004087205903915963*I	0.03846156630162283+0.*I	0.-0.0003592680098802878*I	-0.03846153037482185+0.*I	0.+0.0004171788202735069*I	0.038461488656939824+0.*I	0.-0.0004672007967227057*I	-0.038461441936860144+0.*I	0.+0.0003481513242079154*I	0.03846140712172772+0.*I	0.-0.00011705092374661354*I	-0.038461395416635354+0.*I	0.-0.00001715186240263322*I	0.03846139713182159+0.*I	0.+8.51175859637246*^-7*I	-0.038461397216939176+0.*I	0.-0.000017264521041104267*I	0.03846139894339128+0.*I	0.+0.00020166775812734301*I	-0.038461419110167094+0.*I	0.-0.0004111631361029366*I	0.038461460226480705+0.*I	0.+0.00040891702081251487*I	-0.03846150111818279+0.*I	0.-0.00020176561424940103*I	0.03846152129474422+0.*I	0.+0.000025757038775340202*I	-0.03846152387044809+0.*I	0.-0.000029603191162384216*I	0.038461526830767215+0.*I	0.+0.00017985472760353587*I	-0.0769230661109842+0.*I	0.-0.00021099755667493123*I	0.11538458832892269+0.*I	0.+6.092261313070759*^-6*I	-0.15384604916462952+0.*I	0.+0.000205649236064577*I	0.19230744770987301+0.*I	0.-0.0001805570971918998*I	-0.2307688285975546+0.*I	0.+0.000012567205459773818*I	0.2692302245577732+0.*I	0.+0.000020146826256178948*I	-0.30769162370427733+0.*I	0.+0.0001303566466075837*I	0.34615300608524807+0.*I	0.-0.00022725425974912838*I	-0.38461439048154983+0.*I	0.+0.00011520332832110517*I	0.4230758208980771+0.*I	0.+0.00005386812531489528*I	-0.4615373149418294+0.*I	0.-0.00006175696343069866*I	0.4999988514923475+0.*I	0.-0.000045606423881145214*I	-0.538460413233328+0.*I	0.+0.000035805050759432146*I	0.5769220168265049+0.*I	0.+0.0001451031522715742*I	-0.6153836833476823+0.*I	0.-0.00027210872620390134*I	0.6538453932808984+0.*I	0.+0.00016745061859139605*I	-0.6923070966335295+0.*I	0.+0.000024316757046776344*I	0.7307687683342038+0.*I	0.-0.000034294473920681325*I	-0.7692304293781795+0.*I	0.-0.00013250880146017274*I	0.80769210125762+0.*I	0.+0.00019091394517281606*I	-0.8461537602664485+0.*I	0.+6.525422135482016*^-6*I	0.8846153621134358+0.*I	0.-0.00023637246545528748*I	-0.9230769045949724+0.*I	0.+0.00021449151144350585*I	0.96153843690572+0.*I	0.-1.4050174191777582*^-6*I
0.-0.00011472090562854865*I	-0.9977060480294813+0.*I	0.+0.000014950300825599896*I	0.08106275467583532+0.*I	0.-6.844025358016455*^-6*I	0.14093281591180296+0.*I	0.+0.000020937306949195807*I	0.039025095794919994+0.*I	0.-0.000017034797369703356*I	-0.5179827797579211+0.*I	0.-0.000034763480606088956*I	0.6245108917300433+0.*I	0.+0.00009721456977909323*I	-0.17179141606301776+0.*I	0.-0.00011439371138539523*I	-0.2590004757621288+0.*I	0.+0.00008849366380918238*I	0.17747733419249273+0.*I	0.-0.00007074593038993357*I	0.12553153111610968+0.*I	0.+0.00008329908350154483*I	-0.046517143966397285+0.*I	0.-0.0000879507978981847*I	-0.42699265922310825+0.*I	0.+0.000045251531975873845*I	0.6900607010875061+0.*I	0.+0.000023754538132876865*I	-0.3926534658340426+0.*I	0.-0.0000630198847162813*I	-0.05029258240252617+0.*I	0.+0.00005799062647602884*I	0.0522143734097676+0.*I	0.-0.00005276918913505236*I	0.292420370832162+0.*I	0.+0.00008201122621826902*I	-0.3450247720226293+0.*I	0.-0.00011651370342053174*I	-0.12054496551350123+0.*I	0.+0.00010445920686918145*I	0.5543835410679364+0.*I	0.-0.000049020852762388435*I	-0.4407684512115028+0.*I	0.+4.944007641238361*^-6*I	0.07948437100773056+0.*I	0.+3.0044294595350303*^-6*I	-0.11696807093981679+0.*I	0.-0.000014701236553516125*I	0.5144861132677447+0.*I	0.+0.00006614984788029036*I	-0.5685243938397183+0.*I	0.-0.00012300228726426298*I	0.5685244061399464+0.*I	0.+0.00017985472787825806*I	0.054038273956988715+0.*I	0.-0.00024060074836285188*I	-0.3975180408578032+0.*I	0.+0.00021555018083058877*I	0.03748369963164424+0.*I	0.-0.00021480624032695964*I	0.36128407970937143+0.*I	0.+0.0002459906406566544*I	-0.11361508495434708+0.*I	0.-0.00020833129638970553*I	-0.4338385860003541+0.*I	0.+0.00006048823092048526*I	0.4655697491875019+0.*I	0.+0.00010258244741879911*I	0.05260439298934498+0.*I	0.-0.00017933323433813266*I	-0.34463473896501057+0.*I	0.+0.00019763894957668132*I	-0.0019217968063032888+0.*I	0.-0.00025582175573333777*I	0.442946054538559+0.*I	0.+0.0003631362459034732*I	-0.2974072376289148+0.*I	0.-0.000416631507799246*I	-0.26306804638954995+0.*I	0.+0.0003450731711844096*I	0.47350981198458514+0.*I	0.-0.00020977139208777057*I	-0.07901439547962191+0.*I	0.+0.00011857086903826328*I	-0.3030088582340099+0.*I	0.-0.00007812582447173195*I	0.0815231327202697+0.*I	0.-2.2155260654244607*^-6*I	0.4307919032645179+0.*I	0.+0.0001596884277772694*I	-0.45271948538848245+0.*I	0.-0.00030217494609521367*I	-0.10652810849577456+0.*I	0.+0.00032628561585172286*I	0.47895768566648017+0.*I	0.-0.00026135504991536753*I	-0.17995791380045362+0.*I	0.+0.0002224219515861289*I	-0.22199556990323535+0.*I	0.-0.00023777748321843981*I	-0.0833567081413841+0.*I	0.+0.00021449151157870133*I	0.9977060595015718+0.*I
0.9230768830053193+0.*I	0.-0.00012358884046976388*I	-0.9230768706464351+0.*I	0.+0.00026905863630743857*I	-0.07692315625942855+0.*I	0.-0.0004977678856079842*I	0.07692320603621712+0.*I	0.+0.0005509187265170081*I	-0.07692326112808978+0.*I	0.-0.00043262767322713256*I	0.07692330439085711+0.*I	0.+0.0002837005323321033*I	-0.07692333276091033+0.*I	0.-0.00018320082116864145*I	0.07692335108099246+0.*I	0.+0.00005773701159373333*I	-0.07692335685469362+0.*I	0.+0.0001823626219104573*I	0.07692333861843145+0.*I	0.-0.00048722405892223306*I	-0.07692328989602557+0.*I	0.+0.000715835405339307*I	0.07692321831248503+0.*I	0.-0.0008076398118789067*I	-0.07692313754850383+0.*I	0.+0.0008258994108629137*I	0.07692305495856276+0.*I	0.-0.0008264688069051195*I	-0.07692297231168206+0.*I	0.+0.0007653301448056491*I	0.07692289577866758+0.*I	0.-0.0005842517207023468*I	-0.0769228373534955+0.*I	0.+0.0003309994619217528*I	0.07692280425354932+0.*I	0.-0.00011619974794183953*I	-0.07692279263357452+0.*I	0.-0.000034416383411791686*I	0.07692279607521285+0.*I	0.+0.0002025189339926372*I	-0.07692281632710625+0.*I	0.-0.000428427657202083*I	0.07692285916987196+0.*I	0.+0.0006105847790220565*I	-0.07692292022834984+0.*I	0.-0.00061292875041384*I	0.07692298152122488+0.*I	0.+0.0004346740596120641*I	-0.07692302498863084+0.*I	0.-0.00020176561425186727*I	0.07692304516519224+0.*I	0.+0.0002094579187683854*I	-0.07692306611098411+0.*I	0.-0.00024060074785906167*I	0.15384611515968968+0.*I	0.+0.00018594698895389792*I	-0.2307691152756135+0.*I	0.-5.34832063105162*^-6*I	0.30769203603879536+0.*I	0.-0.00017446483590298695*I	-0.38461487776218367+0.*I	0.+0.00021821644157673386*I	0.4615376722676457+0.*I	0.-0.0001604102709733265*I	-0.5384604523018314+0.*I	0.+0.0001429238520902717*I	0.6153832306430205+0.*I	0.-0.00020710743355455976*I	-0.6923060141858265+0.*I	0.+0.0002455599750452434*I	0.7692288269833243+0.*I	0.-0.00017338613452543608*I	-0.8461517054233783+0.*I	0.+0.00005344636486830437*I	0.9230746723904237+0.*I	0.+8.261701538063557*^-6*I	-0.9999977281751565+0.*I	0.-0.00002595191273886078*I	1.0769208683188516+0.*I	0.+0.00009949672837084644*I	-1.1538440965810095+0.*I	0.-0.00023630367540667486*I	1.2307674101074026+0.*I	0.+0.00031255377087362245*I	-1.3076907799812112+0.*I	0.-0.0002477919691896551*I	1.3846141616151015+0.*I	0.+0.00013315614468301085*I	-1.4615375260117083+0.*I	0.-0.00010819204443955274*I	1.5384608695918232+0.*I	0.+0.00015661947133411463*I	-1.6153841896446275+0.*I	0.-0.0001259833794026848*I	1.6923074633710555+0.*I	0.-0.00004545852030540332*I	-1.7692306648614209+0.*I	0.+0.00022101693367460214*I	1.8461537990191557+0.*I	0.-0.0002377774829023186*I	-0.923076904594972+0.*I	0.+0.00021589652877029614*I
0.+0.00012160824449825194*I	1.1476421950377382+0.*I	0.-6.8440249944780636*^-6*I	-0.9256466241337276+0.*I	0.-0.00008572063741889753*I	-0.9586809528271932+0.*I	0.-0.000010147457863820837*I	0.6296594155727057+0.*I	0.+0.00007311339942108991*I	0.696570315710676+0.*I	0.-3.456367850023048*^-6*I	-1.2115351236728369+0.*I	0.-0.00011769714451726036*I	0.22972612374631374+0.*I	0.+0.00014066975689189175*I	0.8350225546364405+0.*I	0.-0.00005716750142824795*I	-0.5680208138220373+0.*I	0.+3.6542004604497836*^-7*I	-0.4413019105206823+0.*I	0.-0.000044495611098114074*I	0.5798213101933822+0.*I	0.+0.00010247774211745318*I	0.38104036361517646+0.*I	0.-0.00006437370575593528*I	-1.0114327106653382+0.*I	0.-0.00003676956531059842*I	0.4039971971938268+0.*I	0.+0.00007716928502998196*I	0.4797718795829933+0.*I	0.-0.00002919209707168263*I	-0.2920196787479719+0.*I	0.-9.870803114243494*^-9*I	-0.631088277491037+0.*I	0.-0.00006309895694598948*I	0.7518803809328135+0.*I	0.+0.00013828699503927162*I	0.3126564440783321+0.*I	0.-0.00010702135063143886*I	-1.1240711017898808+0.*I	0.-5.385759547548576*^-6*I	0.5389443811925708+0.*I	0.+0.00005928019766680458*I	0.5407131447772017+0.*I	0.-5.208883189084809*^-6*I	-0.4890400226359758+0.*I	0.-0.000043695119074513244*I	-0.5839635539236472+0.*I	0.-0.000014701236317850597*I	0.9814815961499822+0.*I	0.+0.00011284939593285096*I	-0.9814816074349211+0.*I	0.-0.00021099755667634525*I	-0.3975180407562107+0.*I	0.+0.00018594698891857944*I	1.0730035809291327+0.*I	0.-0.00003495151175115652*I	-0.05167312162033894+0.*I	0.+0.000034993082778208105*I	-1.079657531897792+0.*I	0.-0.00020223903363478612*I	0.5851267211358856+0.*I	0.+0.000266137465295936*I	0.8114146684136845+0.*I	0.-0.00007797464782312188*I	-1.0645368388398446+0.*I	0.-0.000166766031100138*I	-0.12079209713188294+0.*I	0.+0.0002177857783329293*I	0.9231079562399936+0.*I	0.-0.00012546511190581684*I	-0.18775219791581452+0.*I	0.+0.00013588198918591913*I	-0.8837690844937526+0.*I	0.-0.0003014281826652741*I	0.607435517148462+0.*I	0.+0.000398941299690708*I	0.6303923534875289+0.*I	0.-0.00027152835858601667*I	-0.9608616840563342+0.*I	0.+0.00007296444806293672*I	-0.1385193952231376+0.*I	0.-0.000042320776487131546*I	1.00932272430618+0.*I	0.+0.00014288762887170657*I	-0.2670017350976513+0.*I	0.-0.00011242030095322669*I	-1.064748692449729+0.*I	0.-0.00013472432518363343*I	0.9818090116962382+0.*I	0.+0.00035060237087052346*I	0.5149648083077988+0.*I	0.-0.00029564952218972434*I	-1.326229738594721+0.*I	0.+0.00008991314890914713*I	0.3290215382692335+0.*I	0.-0.00004686353721841303*I	0.8843275855329853+0.*I	0.+0.0002210169331906115*I	-0.22199557021960745+0.*I	0.-0.00023637246521809798*I	-1.1476422071985626+0.*I
-0.8846153168865358+0.*I	0.+0.0003638074624307381*I	0.8846152805057896+0.*I	0.-0.000497767885414742*I	-0.8846152307290011+0.*I	0.+0.00045616990021675203*I	-0.11538481488798896+0.*I	0.-0.0005562165138529342*I	0.11538487050964036+0.*I	0.+0.0006475079949213348*I	-0.11538493526043986+0.*I	0.-0.0005573798659734702*I	0.11538499099842645+0.*I	0.+0.00024484827518110597*I	-0.11538501548325396+0.*I	0.+0.0001239139938696461*I	0.11538500309185457+0.*I	0.-0.00039063479054691*I	-0.1153849640283755+0.*I	0.+0.0005910832126127998*I	0.11538490492005424+0.*I	0.-0.0008464920691061122*I	-0.11538482027084733+0.*I	0.+0.0011330142259443846*I	0.11538470696942471+0.*I	0.-0.001274840609059892*I	-0.11538457948536382+0.*I	0.+0.0011740507356449489*I	0.11538446208029027+0.*I	0.-0.0009435197311685375*I	-0.11538436772831714+0.*I	0.+0.0007481782827045841*I	0.11538429291048888+0.*I	0.-0.0005834005449536894*I	-0.1153842345704344+0.*I	0.+0.0003137349409402402*I	0.1153842031969403+0.*I	0.+0.00008546801011068313*I	-0.1153842117437413+0.*I	0.-0.0004455795194772891*I	0.11538425630169324+0.*I	0.+0.0006114359548546342*I	-0.11538431744528872+0.*I	0.-0.0006301932715409419*I	0.11538438046461588+0.*I	0.+0.0006363418178372536*I	-0.11538444409879767+0.*I	0.-0.0006129287503794708*I	0.11538450539167268+0.*I	0.+0.0004089170207879308*I	-0.11538454628337476+0.*I	0.-0.00042045547541626573*I	0.11538458832892232+0.*I	0.+0.00021555018013071016*I	-0.23076911527561303+0.*I	0.-0.00003495151186766162*I	0.34615356286956195+0.*I	0.+5.389891750154797*^-6*I	-0.461537943873167+0.*I	0.+7.218884941782421*^-6*I	0.5769222605965673+0.*I	0.-0.00015431800974717667*I	-0.6923065014664596+0.*I	0.+0.0003485730881922296*I	0.8076906783528921+0.*I	0.-0.0003876645307312324*I	-0.9230748427833794+0.*I	0.+0.00025812718055640504*I	1.0384590515410956+0.*I	0.-0.00015323930845984697*I	-1.1538433291276535+0.*I	0.+0.00018380301169111863*I	1.2692276784756695+0.*I	0.-0.00021899255826838415*I	-1.384612118656704+0.*I	0.+0.00008925141546640525*I	1.4999966892169259+0.*I	0.+0.00015336485381244877*I	-1.6153814115228362+0.*I	0.-0.00029806063886535185*I	1.730766261599748+0.*I	0.+0.0002669473469853207*I	-1.8461511932145371+0.*I	0.-0.00021198691846872932*I	1.9615361784416045+0.*I	0.+0.00027825929698645235*I	-2.0769212093593885+0.*I	0.-0.00038030077059907676*I	2.1923062628727195+0.*I	0.+0.0003240700898922051*I	-2.307691286278155+0.*I	0.-0.00010166662247391078*I	2.423076231705257+0.*I	0.-0.00007975299401743997*I	-2.538461094239598+0.*I	0.+0.00008850813214738196*I	2.6538459002767745+0.*I	0.-0.000046863537874910696*I	-1.7692306648614198+0.*I	0.+0.00022242195103458267*I	0.884615362113435+0.*I	0.-0.00045226899411939187*I
0.-0.000013731364347911014*I	0.07205942368016027+0.*I	0.+0.000020937306715926616*I	0.10789848759710181+0.*I	0.-0.000010147457956216673*I	-0.43692002415823+0.*I	0.-0.000033544544459606864*I	-0.3011357334129902+0.*I	0.+3.4309711183076406*^-6*I	-0.06389292799170428+0.*I	0.-9.820263917478049*^-6*I	0.30178554773688787+0.*I	0.+0.00003999881869116664*I	-0.2047211534610809+0.*I	0.-0.000060470934037274915*I	-0.0792942133157656+0.*I	0.+0.000052541512705698376*I	0.21624330866370453+0.*I	0.-0.000030917181839327974*I	-0.11373103370337798+0.*I	0.+0.0000195440784689902*I	-0.013744403551891136+0.*I	0.-0.00002091851882417931*I	-0.004618740680578193+0.*I	0.+0.00002045664475612148*I	0.09497685862992068+0.*I	0.-0.000010958958893129446*I	-0.1390073635587984+0.*I	0.-2.9417774627504014*^-6*I	0.16227009905526948+0.*I	0.+0.00001916878736827727*I	-0.20353076994462513+0.*I	0.-0.00003952186436273982*I	0.16744033055902593+0.*I	0.+0.000056265897418642176*I	0.02659293889701884+0.*I	0.-0.000053606603528940563*I	-0.25164575517224325+0.*I	0.+0.000028442028011716203*I	0.2972172836135065+0.*I	0.+1.2797003496340852*^-6*I	-0.14258950496163972+0.*I	0.-0.00001553865084579821*I	-0.029580013291363557+0.*I	0.+0.000012580649516662503*I	0.07371766246807078+0.*I	0.-5.208883269855279*^-6*I	-0.022044540219120133+0.*I	0.+3.0044292479433074*^-6*I	-0.015439159839608755+0.*I	0.-4.548345231904518*^-6*I	0.01543916029444348+0.*I	0.+6.092261261348925*^-6*I	0.037483699758286054+0.*I	0.-5.34832053346445*^-6*I	-0.05167312172806248+0.*I	0.+5.3898916305146904*^-6*I	-0.04413765043477277+0.*I	0.-0.000022384306190655307*I	0.17216951980686793+0.*I	0.+0.00005513990901714205*I	-0.15462777877983658+0.*I	0.-0.00007188238724475975*I	-0.04557153128546639+0.*I	0.+0.0000388832061044991*I	0.225052821635884+0.*I	0.+0.00003722867958802757*I	-0.19403327508263424+0.*I	0.-0.00011289790451493142*I	0.03609044333778635+0.*I	0.+0.00015602881321144827*I	0.04126066897247746+0.*I	0.-0.00017107153368248174*I	-0.02326273520229369+0.*I	0.+0.00017168703762499932*I	0.04403050602477362+0.*I	0.-0.00015632502812938794*I	-0.09035811999500605+0.*I	0.+0.0001268325713737655*I	0.018363146324321775+0.*I	0.-0.00010407773791715158*I	0.1274754353008613+0.*I	0.+0.00009728120297824728*I	-0.10251227186860849+0.*I	0.-0.00007661524832577812*I	-0.13694910060209017+0.*I	0.+0.000010378825559870414*I	0.28401537282393957+0.*I	0.+0.00007849364575980134*I	-0.09706439827568972+0.*I	0.-0.0001281989042785394*I	-0.23789261876315757+0.*I	0.+0.00011422990631970703*I	0.36502866106159715+0.*I	0.-0.00008115801133185453*I	-0.2619442390743255+0.*I	0.+0.00008850813188403235*I	0.3290215375758738+0.*I	0.-0.000045458520170229695*I	-0.1799579133709928+0.*I	0.+6.525422117206138*^-6*I	-0.07205942230702389+0.*I
0.8461537143870063+0.*I	0.-0.0003741790448036778*I	-0.8461536769691017+0.*I	0.+0.0005509187262326479*I	0.846153621877229+0.*I	0.-0.0005562165136711473*I	-0.8461535662555777+0.*I	0.+0.0005527591686151946*I	-0.15384648902033912+0.*I	0.-0.0006809687064302534*I	0.15384655711720976+0.*I	0.+0.000608655737530479*I	-0.15384661798278354+0.*I	0.-0.0002502650508570039*I	0.15384664300928866+0.*I	0.-0.00020352352682403985*I	-0.15384662265693594+0.*I	0.+0.0005326345844292694*I	0.15384656939347752+0.*I	0.-0.0007499028007644411*I	-0.15384649440319745+0.*I	0.+0.0010082620333614171*I	0.15384639357699412+0.*I	0.-0.0013136928663665132*I	-0.15384626220770747+0.*I	0.+0.0014811655507212512*I	0.15384611409115242+0.*I	0.-0.0013918915333458893*I	-0.15384597490199906+0.*I	0.+0.0011568988736132164*I	0.1538458592121117+0.*I	0.-0.0009426685554237944*I	-0.15384576494525615+0.*I	0.+0.0007309137616270979*I	0.15384569185388003+0.*I	0.-0.0003817327868487052*I	-0.15384565368060132+0.*I	0.-0.00009742819499922*I	0.1538456634234208+0.*I	0.+0.0004943850307326803*I	-0.1538457128619239+0.*I	0.-0.0006473451336356361*I	0.15384577759643725+0.*I	0.+0.0006371929936012169*I	-0.15384584131573664+0.*I	0.-0.0006301932714439162*I	0.1538459043350638+0.*I	0.+0.0006105847788779335*I	-0.15384596539354167+0.*I	0.-0.0004111631359964311*I	0.15384600650985525+0.*I	0.+0.00042654773664741407*I	-0.15384604916462888+0.*I	0.-0.00021480623942085912*I	0.3076920360387944+0.*I	0.+0.00003499308299948975*I	-0.4615379438731665+0.*I	0.-0.000022384306288875415*I	0.6153837874273337+0.*I	0.+0.00002553671779406035*I	-0.7692295675774427+0.*I	0.+0.00013757553161676365*I	0.9230752666818134+0.*I	0.-0.00038157226939111526*I	-1.076920891948007+0.*I	0.+0.0004637764164798613*I	1.2307664992509666+0.*I	0.-0.00033379640559301395*I	-1.3846121577252062+0.*I	0.+0.00019637021730216722*I	1.5384579030334404+0.*I	0.-0.00019884573226821157*I	-1.692303742360979+0.*I	0.+0.00021960806224247277*I	1.8461496953021717+0.*I	0.-0.00007388940596624407*I	-1.9999958020043829+0.*I	0.-0.0001828573105755043*I	2.1538420824978215+0.*I	0.+0.0003208154723627988*I	-2.3076885081563634+0.*I	0.-0.00027374388203729386*I	2.461535029933949+0.*I	0.+0.00023265287327451956*I	-2.6153816225927145+0.*I	0.-0.0003444957198709234*I	2.769228279699222+0.*I	0.+0.0004691732419819709*I	-2.9230749696258354+0.*I	0.-0.00037377534847175624*I	3.0769216249861535+0.*I	0.+0.00008769762461149477*I	-3.2307681908731256+0.*I	0.+0.00011282488891302595*I	3.384614668610977+0.*I	0.-0.0000811580115696051*I	-2.5384610942395986+0.*I	0.+0.00008991314962621989*I	1.6923074633710542+0.*I	0.-0.0002613550491258809*I	-0.8461537602664475+0.*I	0.+0.00045879441624237845*I
0.-0.00008693957341788756*I	-1.0397437073774738+0.*I	0.-0.00001703479731985995*I	0.5607860235905477+0.*I	0.+0.00007311339967891646*I	0.7654437070418799+0.*I	0.+3.430971025270454*^-6*I	-1.1304723677395416+0.*I	0.-0.00011647820779922194*I	-0.6959205013636335+0.*I	0.+0.000046886157662860386*I	0.9429210422045206+0.*I	0.+0.00004740594655759189*I	-0.00723478932075185+0.*I	0.-0.00004812942548966799*I	-0.8235003994556924+0.*I	0.-0.00003422061445590139*I	0.374995566846916+0.*I	0.+0.00007172017114059318*I	0.6438008156181533+0.*I	0.-7.340089578776376*^-6*I	-0.6981710846344699+0.*I	0.-0.00006247701888467112*I	-0.29980790844742633+0.*I	0.+0.00003249622803992808*I	0.8678066063828959+0.*I	0.+0.000054284432598361535*I	-0.14675023953595284+0.*I	0.-0.00006895945655195744*I	-0.8223100130363639+0.*I	0.-0.000013271544751679006*I	0.6217301083369657+0.*I	0.+0.00007544455558537467*I	0.45415044644414265+0.*I	0.-0.00003002951094096009*I	-0.8360858055428722+0.*I	0.-0.000053579069613327*I	0.011153778427317185+0.*I	0.+0.000054694447456059694*I	0.7298358416742968+0.*I	0.+0.00001828913671136958*I	-0.27130711090350007+0.*I	0.-0.00004541984780171844*I	-0.6095849872339971+0.*I	0.-0.000015538650921680664*I	0.43741546909405904+0.*I	0.+0.00005928019783108742*I	0.64224205657574+0.*I	0.+4.94400782648533*^-6*I	-1.003526136382675+0.*I	0.-0.00010529662146475585*I	1.0035261469123362+0.*I	0.+0.00020564923615599054*I	0.36128407931253415+0.*I	0.-0.0001744648360512264*I	-1.079657531597816+0.*I	0.+7.21888506036075*^-6*I	0.17216951969380515+0.*I	0.+0.000025536717830701277*I	0.8808921026794821+0.*I	0.+0.0001079723402389584*I	-0.45852873259970856+0.*I	0.-0.0001721143502103055*I	-0.7409896255710576+0.*I	0.+0.000043320940197135036*I	0.824932032473463+0.*I	0.+0.00009275133266354178*I	0.3819353621016813+0.*I	0.-0.000024528285512411554*I	-1.0758805623255632+0.*I	0.-0.0001585043263055178*I	0.20057990602655545+0.*I	0.+0.0001918338616598585*I	0.9690602594682665+0.*I	0.-0.000025968379161074878*I	-0.7210563722753803+0.*I	0.-0.00010042169066482014*I	-0.5679987011850871+0.*I	0.+0.000011125592506369749*I	0.9979789993296012+0.*I	0.+0.0001511493263112521*I	0.05437026975032417+0.*I	0.-0.00013837220975743288*I	-1.0187963896370884+0.*I	0.-0.00003522760034686527*I	0.448504836030835+0.*I	0.+0.00011429869840585716*I	0.8307351935893851+0.*I	0.+0.000016904246442748346*I	-0.9356862576243635+0.*I	0.-0.00015787881876277787*I	-0.24700054552950448+0.*I	0.+0.00008629260654696892*I	0.826392880750994+0.*I	0.+0.00011282488932736195*I	0.3650286603545649+0.*I	0.-0.0000797529943171741*I	-1.3262297379437678+0.*I	0.-0.00012598337915611967*I	0.4789576854904052+0.*I	0.+0.00019091394502502345*I	1.0397437160714313+0.*I
