0.4526520675712917-0.13052004034768663*I	0.2193239956643778-0.1845684626963842*I	0.08998243206718207-0.1305048954200101*I
0.21932399566437777-0.18456846269638416*I	0.5426344996384739-0.2610249357676968*I	0.21932399566437777-0.18456846269638416*I
0.08998243206718207-0.1305048954200101*I	0.21932399566437777-0.1845684626963842*I	0.4526520675712917-0.13052004034768663*I
