0.31072437061728553-0.6865702219525749*I	-0.2867970281767545-0.3438890343711061*I	-0.1509890695966324+0.2001907142528631*I
-0.2867970281767533-0.3438890343711063*I	0.15973530102066047-0.48637950769971305*I	-0.2867970281767454-0.3438890343711073*I
-0.1509890695966305+0.2001907142528625*I	-0.2867970281767437-0.34388903437110774*I	0.31072437061729896-0.6865702219525767*I
