0.285120818289372-0.6926320297265715*I	-0.323982579859566-0.3362916004812891*I	-0.12411785331123375+0.216981710811893*I
-0.32398257985956536-0.33629160048129025*I	0.16100296497813815-0.47565031891467513*I	-0.3239825798595666-0.33629160048128326*I
-0.1241178533112332+0.2169817108118912*I	-0.323982579859566-0.33629160048128437*I	0.2851208182893712-0.6926320297265631*I
