0.4561083231626046-0.11004935110058542*I	0.23700487804733575-0.1556195818430814*I	0.10650666695084993-0.1100354271672801*I
0.2370048780473357-0.15561958184308136*I	0.5626149901134546-0.22008477826786546*I	0.23700487804733578-0.15561958184308142*I
0.10650666695084993-0.11003542716728006*I	0.23700487804733578-0.15561958184308144*I	0.45610832316260475-0.11004935110058547*I
