0.3001915892039705-0.000012039785269283026*I	0.09967640929753493-8.866370252748224*^-6*I	0.0322423970134104-4.3047583583392034*^-6*I
0.09967640929753493-8.866370252748224*^-6*I	0.3324339862173808-0.000016344543627622225*I	0.09967640929753493-8.866370252748224*^-6*I
0.032242397013410404-4.304758358339204*^-6*I	0.09967640929753496-8.866370252748226*^-6*I	0.3001915892039705-0.000012039785269283026*I
