0.2972638915140533-0.6891397094631992*I	-0.3057150205901106-0.3391029780060285*I	-0.13923517406491315+0.209522176924188*I
-0.3057150205901083-0.33910297800602807*I	0.15802871744913927-0.47961753253901573*I	-0.30571502059011435-0.3391029780060355*I
-0.13923517406490965+0.20952217692418879*I	-0.3057150205901119-0.33910297800603484*I	0.297263891514048-0.6891397094632089*I
