0.4504154024774673-0.14384671040581232*I	0.2055221300809967-0.20341430444215436*I	0.07677329726340344-0.1438304842563714*I
0.20552213008099662-0.20341430444215436*I	0.5271886997408705-0.28767719466218367*I	0.20552213008099665-0.2034143044421543*I
0.07677329726340343-0.1438304842563714*I	0.20552213008099668-0.20341430444215433*I	0.4504154024774672-0.14384671040581226*I
