0.29797908965268116-0.6890316993884313*I	-0.3026325296540441-0.3408319022127476*I	-0.14086821112283124+0.206970546637877*I
-0.30263252965404785-0.34083190221274506*I	0.15711087852985095-0.48206115275055295*I	-0.30263252965403914-0.3408319022127484*I
-0.14086821112283637+0.20697054663788073*I	-0.30263252965404275-0.3408319022127456*I	0.29797908965268805-0.689031699388432*I
