0.44727615839516455-0.1659225832832889*I	0.17769011481007793-0.2346321285848417*I	0.04917019387747723-0.1659037495141904*I
0.17769011481007796-0.23463212858484173*I	0.49644635227264183-0.33182633279747936*I	0.17769011481007796-0.23463212858484173*I
0.049170193877477224-0.16590374951419037*I	0.17769011481007793-0.23463212858484173*I	0.4472761583951646-0.16592258328328896*I
