0.-0.8558418707661986*I	-0.4999647212259807+0.*I	0.+0.14907695750207495*I
-0.4999647210488547+0.*I	0.-0.7067649132379543*I	-0.49996472107932277+0.*I
0.+0.1490769574998012*I	-0.49996472123786256+0.*I	0.-0.8558418707261808*I
