0.-62.50538860424985*I	0.610604136015347+0.*I	0.+62.50477800011383*I	-0.548099358015233+0.*I	0.-20.576097745925065*I	0.4085652946398837+0.*I	0.+20.575689180630423*I	-0.3879896054592526+0.*I	0.-8.538749924455287*I	0.35512262749033485+0.*I	0.+8.538394801827799*I	-0.34658423268850713+0.*I	0.-3.9864300816630323*I	0.37320730334814123+0.*I	0.+3.9860568743596843*I	-0.36922124647378146+0.*I	0.-2.0013443522620724*I	0.44491782537647584+0.*I	0.+2.000899434436696*I	-0.442916925942039+0.*I	0.-1.0564791606601958*I	0.5756622082086762+0.*I	0.+1.055903498451987*I	-0.5746063047102244+0.*I	0.-0.5788375495043913*I	0.7872517989380494+0.*I	0.+0.5780502977054531*I	-0.7866737486403439+0.*I	0.-0.3262092570493725*I	1.1206920338704984+0.*I	0.+0.3250885650155021*I	-1.1203669453054828+0.*I	0.-0.18747807666304694*I	1.6458719227830103+0.*I	0.+0.18583220474026396*I	-1.64568609057827+0.*I	0.-0.10847701766779191*I	2.4802056054348207+0.*I	0.+0.10599681206235706*I	-2.4800996086227585+0.*I	0.-0.06144257122180953*I	3.8221398248060643+0.*I	0.+0.05762043139700347*I	-3.822082204374666+0.*I	0.-0.031396377411775075*I	6.01130769546173+0.*I	0.+0.02538506971631335*I	-6.011282310392014+0.*I	0.-0.009638069156178248*I	9.638069156175645+0.*I
0.6106041360153454+0.*I	0.-0.0008604646050904391*I	0.38939500352004985+0.*I	0.+0.0004710696015703895*I	-0.06250430693051279+0.*I	0.-0.00043820180970172666*I	0.06250386872870307+0.*I	0.+0.00037569794097301644*I	-0.020575313482689674+0.*I	0.-0.00040232022756711864*I	0.020574911162462108+0.*I	0.+0.00038174531640465666*I	-0.008538013056511563+0.*I	0.-0.0004574409889629468*I	0.0085375556155226+0.*I	0.+0.0004489034333474242*I	-0.003985607970926395+0.*I	0.-0.000581647556303991*I	0.003985026323370091+0.*I	0.+0.0005776625299806206*I	-0.0020003217719067492+0.*I	0.-0.0007903064455951526*I	0.0019995314654611537+0.*I	0.+0.0007883069141296912*I	-0.001055115191537874+0.*I	0.-0.001122322955767969*I	0.001053992868582106+0.*I	0.+0.0011212689628993869*I	-0.0005769290287425807+0.*I	0.-0.001646770647410963*I	0.0005752822580951698+0.*I	0.+0.0016461953651528685*I	-0.0003234423696503703+0.*I	0.-0.0024807099189105316*I	0.0003209616597314598+0.*I	0.+0.0024803889572508004*I	-0.00018335181578305125+0.*I	0.-0.0038224215287711834*I	0.00017952939425428004+0.*I	0.+0.0038222419993769285*I	-0.00010217457006304351+0.*I	0.-0.0060114554676511485*I	0.00009616311459539237+0.*I	0.+0.006011359304536553*I	-0.00005160907209244959+0.*I	0.-0.00963812687410486*I	0.00004197094521834472+0.*I	0.+0.00963808490315964*I	-0.000015746984813139872+0.*I	0.-0.015746984813143076*I
0.+62.50477800011385*I	0.3893950035200483+0.*I	0.-62.50516739511737*I	0.5480998290848345+0.*I	0.+20.576160250232018*I	-0.4085657328416923+0.*I	0.-20.575751684499174*I	0.3879899811571939+0.*I	0.+8.53877049976878*I	-0.35512302981056654+0.*I	0.-8.538415376738973*I	0.34658461443382776+0.*I	0.+3.9864386196760893*I	-0.3732077607891337+0.*I	0.-3.9860654119153005*I	0.3692216953772186+0.*I	0.+2.001348337870047*I	-0.4449184070240365+0.*I	0.-2.0009034194630226*I	0.4429175036045731+0.*I	0.+1.0564811609819678*I	-0.5756629985151245+0.*I	0.-1.0559054979834528*I	0.5746070930171409+0.*I	0.+0.578838604619581*I	-0.7872529212610089+0.*I	0.-0.57805135169832*I	0.786674869909311+0.*I	0.+0.32620983397839853*I	-1.1206936806411552+0.*I	0.-0.32508914029775743*I	1.1203685915008577+0.*I	0.+0.18747840010541209*I	-1.6458744034929331+0.*I	0.-0.18583252570191916*I	1.6456885709672313+0.*I	0.+0.10847720101960338*I	-2.4802094278563436+0.*I	0.-0.10599699159174704*I	2.480103430864752+0.*I	0.+0.061442673396376324*I	-3.822145836261556+0.*I	0.-0.05762052756011477*I	3.8220882157339973+0.*I	0.+0.03139642902084222*I	-6.011317333588773+0.*I	0.-0.02538511168725345*I	6.011291948477086+0.*I	0.+0.009638084903162548*I	-9.638084903160353+0.*I
-0.5480993580152319+0.*I	0.+0.00047106960157039074*I	0.5480998290848337+0.*I	0.-0.0010191694306552243*I	0.08308046718074438+0.*I	0.+0.0008467675425434164*I	-0.08307962041320184+0.*I	0.-0.0007636879221302084*I	0.029114083982458263+0.*I	0.+0.0007574432573777747*I	-0.02911332653920089+0.*I	0.-0.0007283299308385738*I	0.012524451676187359+0.*I	0.+0.0008306487497521605*I	-0.01252362102743761+0.*I	0.-0.000818125128724723*I	0.005986956308796241+0.*I	0.+0.0010265659633281398*I	-0.0059859297428329124+0.*I	0.-0.0010205800335853072*I	0.0030568029328885645+0.*I	0.+0.001365969444110359*I	-0.0030554369634444548+0.*I	0.-0.001362914007146914*I	0.0016339537961573456+0.*I	0.+0.0019095758770291595*I	-0.0016320442202803162+0.*I	0.-0.0019079438328088794*I	0.0009031388627208595+0.*I	0.+0.0027674643280527268*I	-0.000900371398392807+0.*I	0.-0.002766563956654334*I	0.0005109207697556914+0.*I	0.+0.004126584322404226*I	-0.0005067941854332873+0.*I	0.-0.004126077528218792*I	0.00029182901680255876+0.*I	0.+0.006302630956627454*I	-0.0002855263858459313+0.*I	0.-0.006302345430241608*I	0.00016361724345928847+0.*I	0.+0.009833601303913855*I	-0.0001537836421553746+0.*I	0.-0.009833447520271701*I	0.00008300550111323075+0.*I	0.+0.015649444207703703*I	-0.00006735605690552704+0.*I	0.-0.015649376851646798*I	0.000025385069716268435+0.*I	0.+0.025385069716320367*I
0.-20.576097745925075*I	-0.06250430693051227+0.*I	0.+20.576160250232007*I	0.08308046718074427+0.*I	0.-8.539769093885946*I	0.527524515602144+0.*I	0.+8.539241569370342*I	-0.5189852740327743+0.*I	0.-3.9871937695851494*I	0.37945196810068066+0.*I	0.+3.98681431761705*I	-0.37546515378306355+0.*I	0.-2.0020726821929036*I	0.3425990064629057+0.*I	0.+2.00173008318644*I	-0.3405972763797193+0.*I	0.-1.0572972857889111*I	0.36722137360531804+0.*I	0.+1.0569300644153057*I	-0.3661644435409028+0.*I	0.-0.5798581295379702*I	0.4418623884130435+0.*I	0.+0.5794162671495571*I	-0.44128297214589407+0.*I	0.-0.32757217105651176*I	0.5740301639884114+0.*I	0.+0.3269981408925234*I	-0.5737031658475189+0.*I	0.-0.18938602049584924*I	0.7863514275396793+0.*I	0.+0.18859966906830955*I	-0.7861628278706112+0.*I	0.-0.11124358162444024*I	1.1201852396851095+0.*I	0.+0.11012339638475514*I	-1.1200751162887244+0.*I	0.-0.06556864875002408*I	1.6455863963972526+0.*I	0.+0.06392306235362682*I	-1.645522473334899+0.*I	0.-0.037698722842002874*I	2.480051821792733+0.*I	0.+0.035218671020210146*I	-2.480016603121713+0.*I	0.-0.019471516676442813*I	3.8220724687491954+0.*I	0.+0.015649444207693618*I	-3.8220568193049878+0.*I	0.-0.006011307695461587*I	6.011307695462726+0.*I
0.4085652946398805+0.*I	0.-0.0004382018097017365*I	-0.4085657328416903+0.*I	0.+0.0008467675425434265*I	0.5275245156021448+0.*I	0.-0.0017009866423593088*I	0.47247378341121316+0.*I	0.+0.0012285128589480984*I	-0.09161763346971305+0.*I	0.-0.001297963026231684*I	0.09161633550668681+0.*I	0.+0.0012063466907249972*I	-0.03309893451012715+0.*I	0.-0.0014414087728339335*I	0.03309749310135431+0.*I	0.+0.0014083112797325784*I	-0.014523942799344384+0.*I	0.-0.0018293949908618986*I	0.014522113404353519+0.*I	0.+0.0018148728774575447*I	-0.007041044934370889+0.*I	0.-0.0024942769576668427*I	0.007038550657413222+0.*I	0.+0.002487238407009429*I	-0.0036323659921871274+0.*I	0.-0.0035594000487737753*I	0.0036288065921383527+0.*I	0.+0.0035557712421816364*I	-0.0019554865899307707+0.*I	0.-0.005249803522089183*I	0.0019502367864086816+0.*I	0.+0.005247853285302773*I	-0.0010837232141759424+0.*I	0.-0.007949902095091747*I	0.0010757733120808509+0.*I	0.+0.007948826321779666*I	-0.0006089687554963864+0.*I	0.-0.012314586915330392*I	0.000596654168581056+0.*I	0.+0.012313990261161808*I	-0.0003371354579385274+0.*I	0.-0.01947200387052496*I	0.0003176634540680024+0.*I	0.+0.01947168620707089*I	-0.00016953062696865428+0.*I	0.-0.031396567154893515*I	0.00013813405981376076+0.*I	0.+0.0313964290208337*I	-0.00005160907209251073+0.*I	0.-0.05160907209246158*I
0.+20.575689180630448*I	0.0625038687287026+0.*I	0.-20.57575168449918*I	-0.08307962041320177+0.*I	0.+8.539241569370356*I	0.472473783411213+0.*I	0.-8.539714043153765*I	0.5189865025456337+0.*I	0.+3.987285387218624*I	-0.37945326606370394+0.*I	0.-3.9869059339525603*I	0.37546636012975154+0.*I	0.+2.0021057811274185*I	-0.34260044787167576+0.*I	0.-2.001763180679547*I	0.34059868469099613+0.*I	0.+1.0573118097317142*I	-0.3672232030003064+0.*I	0.-1.0569445865287141*I	0.36616625841377765+0.*I	0.+0.5798651705829091*I	-0.44186488268999813+0.*I	0.-0.5794233057002192*I	0.44128545938429786+0.*I	0.+0.32757580342250714*I	-0.5740337233884567+0.*I	0.-0.3270017696991186*I	0.5737067216187578+0.*I	0.+0.1893879759824423*I	-0.7863566773432016+0.*I	0.-0.18860161930509914*I	0.7861680757238967+0.*I	0.+0.11124466534765737*I	-1.1201931895872017+0.*I	0.-0.11012447215807018*I	1.1200830651150437+0.*I	0.+0.06556925771878282*I	-1.6455987109841572+0.*I	0.-0.06392365900779864*I	1.6455347873251491+0.*I	0.+0.03769905997746362*I	-2.4800712937965907+0.*I	0.-0.03521898868366703*I	2.480036074807907+0.*I	0.+0.019471686207072552*I	-3.82210386531631+0.*I	0.-0.015649582341756244*I	3.8220882157339684+0.*I	0.+0.006011359304533878*I	-6.011359304534477+0.*I
-0.3879896054592487+0.*I	0.+0.00037569794097303005*I	0.3879899811571898+0.*I	0.-0.0007636879221302198*I	-0.5189852740327736+0.*I	0.+0.0012285128589480739*I	0.5189865025456326+0.*I	0.-0.001747499361493707*I	0.0956049188569322+0.*I	0.+0.0016774162922955603*I	-0.09560324144063989+0.*I	0.-0.0015818130508549197*I	0.03510104029125469+0.*I	0.+0.0017840092207057593*I	-0.035099256282033996+0.*I	0.-0.0017489099644237257*I	0.015581254609076195+0.*I	0.+0.0021966181938623376*I	-0.015579057990882335+0.*I	0.-0.0021810391358714556*I	0.007620910104953794+0.*I	0.+0.0029361418403569795*I	-0.007617973963113437+0.*I	0.-0.0029285238663938657*I	0.003959941795609635+0.*I	0.+0.004133433772162277*I	-0.003955808361837473+0.*I	0.-0.00412947796380044*I	0.002144874565913205+0.*I	0.+0.006036160199432328*I	-0.002138838405713773+0.*I	0.-0.006034021361026614*I	0.0011949678795235693+0.*I	0.+0.0090700952846791*I	-0.0011858977842388906+0.*I	0.-0.009068909386894863*I	0.0006745380132151147+0.*I	0.+0.01396018562631452*I	-0.0006605778275888001+0.*I	0.-0.01395952504848693*I	0.0003748345179159328+0.*I	0.+0.021952075164322946*I	-0.0003528824427516099+0.*I	0.-0.02195172228188019*I	0.00018900231317568562+0.*I	0.+0.03521867102021127*I	-0.00015378364215547439+0.*I	0.-0.03521851723656911*I	0.00005762043139701241+0.*I	0.+0.057620431397010716*I
0.-8.538749924455297*I	-0.020575313482689463+0.*I	0.+8.538770499768777*I	0.02911408398245825+0.*I	0.-3.9871937695851534*I	-0.09161763346971318+0.*I	0.+3.9872853872186234*I	0.09560491885693184+0.*I	0.-2.0030918516235583*I	0.5150008945747065+0.*I	0.+2.002576850728983*I	-0.5129983177239773+0.*I	0.-1.0580609737110416*I	0.37346603835784625+0.*I	0.+1.0576875076726837*I	-0.37240835085017354+0.*I	0.-0.5805864594688088*I	0.33954356949946035+0.*I	0.+0.5802469158993094*I	-0.3389633225835611+0.*I	0.-0.32839029618523774*I	0.3655893293850372+0.*I	0.+0.3280247068558528*I	-0.3652613046781813+0.*I	0.-0.19040660052943537*I	0.44096201701465143+0.*I	0.+0.18996563851242074*I	-0.44077205137613895+0.*I	0.-0.11260649563158848*I	0.5735233698029814+0.*I	0.+0.1120329722617855*I	-0.5734113368307197+0.*I	0.-0.06747659258283449*I	0.7860659011538432+0.*I	0.+0.06669052668168066*I	-0.7859992106271614+0.*I	0.-0.04046528679865789*I	1.1200314560429792+0.*I	0.+0.03934525534261492*I	-1.1199921107876363+0.*I	0.-0.023597594204662616*I	1.6455190403403597+0.*I	0.+0.021952075164322255*I	-1.6454970882651951+0.*I	0.-0.012313653125703827*I	2.4800518217927072+0.*I	0.+0.009833601303911118*I	-2.4800419881914038+0.*I	0.-0.003822139824805822*I	3.8221398248063068+0.*I
0.35512262749034357+0.*I	0.-0.0004023202275671259*I	-0.3551230298105712+0.*I	0.+0.0007574432573776972*I	0.37945196810067977+0.*I	0.-0.001297963026231799*I	-0.37945326606370594+0.*I	0.+0.0016774162922955067*I	0.5150008945747071+0.*I	0.-0.002740075187626219*I	0.4849963653501053+0.*I	0.+0.002255078822276114*I	-0.09760356321254615+0.*I	0.-0.0026699170281308648*I	0.097600893295518+0.*I	0.+0.0025723161348353463*I	-0.03615437147357166+0.*I	0.-0.003354038174197014*I	0.036151017435397455+0.*I	0.+0.003317887156761616*I	-0.016155987019624757+0.*I	0.-0.004598488594040731*I	0.016151388531030708+0.*I	0.+0.004582337205509702*I	-0.007941416332763717+0.*I	0.-0.006621757523988216*I	0.007934794575239728+0.*I	0.+0.006613822729412975*I	-0.004139160177620402+0.*I	0.-0.00986253149645484*I	0.004129297646123948+0.*I	0.+0.009858402198808715*I	-0.002241012975776693+0.*I	0.-0.015083680518508811*I	0.0022259292952581844+0.*I	0.+0.01508145458921355*I	-0.0012375068563313257+0.*I	0.-0.023599484436846514*I	0.0012139073718944792+0.*I	0.+0.02359827052947462*I	-0.0006763248124019299+0.*I	0.-0.03769969860257538*I	0.0006386251137993546+0.*I	0.+0.03769905997746159*I	-0.00033713545793845714+0.*I	0.-0.061442949088884896*I	0.00027569250884957225+0.*I	0.+0.061442673396376046*I	-0.00010217457006297292+0.*I	0.-0.1021745700629806*I
0.+8.538394801827812*I	0.0205749111624619+0.*I	0.-8.538415376738973*I	-0.029113326539200877+0.*I	0.+3.9868143176170534*I	0.09161633550668696+0.*I	0.-3.9869059339525594*I	-0.09560324144063953+0.*I	0.+2.0025768507289845*I	0.4849963653501065+0.*I	0.-2.0030618470943344*I	0.5130005728027993+0.*I	0.+1.058158577274255*I	-0.37346870827487355+0.*I	0.-1.0577851085659802*I	0.3724109231663076+0.*I	0.+0.5806226138402828*I	-0.33954692353763366+0.*I	0.-0.5802830669167451*I	0.33896664047071695+0.*I	0.+0.328406452172258*I	-0.36559392787363+0.*I	0.-0.32804085824438434*I	0.3652658870153859+0.*I	0.+0.19041454194576865*I	-0.44096863877217446+0.*I	0.-0.18997357330699643*I	0.4407786651988675+0.*I	0.+0.11261063479176674*I	-0.573533232334477+0.*I	0.-0.11203710155943228*I	0.5734211952329176+0.*I	0.+0.06747883359581082*I	-0.7860809848343598+0.*I	0.-0.06669275261097647*I	0.7860142920817491+0.*I	0.+0.040466524305514784*I	-1.1200550555274134+0.*I	0.-0.039346469249987366*I	1.1200157090581633+0.*I	0.+0.023598270529475524*I	-1.6455567400389575+0.*I	0.-0.02195271378943657*I	1.645534787325168+0.*I	0.+0.01231399026116188*I	-2.480113264741792+0.*I	0.-0.009833876996420089*I	2.480103430864795+0.*I	0.+0.0038222419993764445*I	-3.822241999376475+0.*I
