0.-0.8508606784192363*I	-0.5006930255648554+0.*I	0.+0.16832396521258186*I	0.0007460942643977307+0.*I	0.+0.014265815291872208*I
-0.5006930256129181+0.*I	0.-0.6825367131863261*I	-0.4999469312612064+0.*I	0.+0.18258978052742753*I	0.0007460942609895937+0.*I
0.+0.16832396517611414*I	-0.4999469312956498+0.*I	0.-0.668270897824641*I	-0.4999469313060038+0.*I	0.+0.16832396512086234*I
0.0007460942238139978+0.*I	0.+0.18258978054486175*I	-0.4999469312642759+0.*I	0.-0.6825367132183664*I	-0.5006930255863153+0.*I
0.+0.014265815327462406*I	0.0007460942695729778+0.*I	0.+0.16832396523363968*I	-0.5006930255614647+0.*I	0.-0.8508606784553194*I
