0.30193571794050916-0.00001293684190265689*I	0.10381435826421478-0.00001073652470053797*I	0.04058316230353596-7.320400980443947*^-6*I	0.017187429295459165-4.472741343135929*^-6*I	0.006596636553586861-2.1185859887308767*^-6*I
0.10381435826421477-0.00001073652470053797*I	0.3425188802440452-0.000020257242883100838*I	0.12100178755967395-0.000015209266043673904*I	0.04717979885712284-9.438986969174826*^-6*I	0.017187429295459168-4.472741343135928*^-6*I
0.04058316230353595-7.3204009804439435*^-6*I	0.12100178755967395-0.0000152092660436739*I	0.34911551679763203-0.000022375828871831717*I	0.12100178755967397-0.000015209266043673904*I	0.04058316230353596-7.320400980443946*^-6*I
0.017187429295459168-4.472741343135929*^-6*I	0.04717979885712283-9.438986969174826*^-6*I	0.12100178755967396-0.000015209266043673905*I	0.3425188802440452-0.000020257242883100845*I	0.10381435826421477-0.000010736524700537972*I
0.00659663655358686-2.1185859887308763*^-6*I	0.01718742929545916-4.472741343135927*^-6*I	0.04058316230353595-7.320400980443944*^-6*I	0.10381435826421477-0.000010736524700537969*I	0.30193571794050905-0.000012936841902656886*I
