-0.7717  5.2925  2.5088  2.7837  6  6
-0.7697  5.1401  2.5866  2.5535  6  6
-0.7677  2.6214  1.3574  1.264  4  4
-0.7657  4.0395  2.1364  1.9031  4  4
-0.7636  4.0  2.0804  1.9196  4  4
-0.7616  4.3679  2.2325  2.1354  4  4
-0.7596  5.0088  2.5713  2.4375  6  6
-0.7576  5.0413  2.5954  2.4458  6  6
-0.7556  5.2999  2.7992  2.5007  6  6
-0.7535  5.7297  3.0368  2.6929  6  6
-0.7515  6.1367  3.1481  2.9885  6  6
-0.7495  6.6658  3.3882  3.2777  6  6
-0.7475  6.8025  3.4712  3.3313  6  6
-0.7455  6.7961  3.3915  3.4047  8  8
-0.7434  6.9578  3.4765  3.4813  8  8
-0.7414  7.1217  3.5598  3.5619  8  8
-0.7394  4.8102  2.3971  2.4131  6  6
-0.7374  7.5449  3.709  3.836  6  6
-0.7354  6.7588  3.3312  3.4276  6  6
-0.7333  6.5996  3.1924  3.4072  6  6
-0.7313  5.6766  2.7694  2.9072  6  6
-0.7293  5.1403  2.3939  2.7464  5  5
-0.7273  3.9247  1.8937  2.031  5  5
-0.7253  5.3626  2.6389  2.7238  5  5
-0.7232  5.55  2.6675  2.8825  5  5
-0.7212  6.2023  3.1419  3.0604  5  5
-0.7192  5.4224  2.686  2.7365  5  5
-0.7172  5.4151  2.7329  2.6822  5  5
-0.7152  5.4545  2.7228  2.7317  5  5
-0.7131  5.5161  2.6771  2.8391  5  5
-0.7111  5.1372  2.5417  2.5955  5  5
-0.7091  4.9906  2.4852  2.5054  5  5
-0.7071  5.1231  2.578  2.545  5  5
-0.7051  4.7513  2.3518  2.3994  5  5
-0.703  6.3729  3.1588  3.214  6  6
-0.701  6.3289  3.0779  3.2511  6  6
-0.699  6.037  3.0902  2.9467  6  6
-0.697  6.2695  3.1293  3.1402  6  6
-0.6949  6.3505  3.138  3.2125  6  6
-0.6929  6.5004  3.2309  3.2695  6  6
-0.6909  6.4483  3.1769  3.2714  6  6
-0.6889  6.1933  3.0742  3.1191  6  6
-0.6869  6.3352  3.1043  3.2309  6  6
-0.6848  6.2468  3.0735  3.1733  6  6
-0.6828  5.7905  2.8324  2.9582  6  6
-0.6808  5.5714  2.7645  2.8069  6  6
-0.6788  5.4148  2.6759  2.7389  6  6
-0.6768  5.3009  2.653  2.6479  6  6
-0.6747  5.2701  2.7316  2.5385  6  6
-0.6727  5.2232  2.6134  2.6099  6  6
-0.6707  5.473  2.7295  2.7434  6  6
-0.6687  6.2619  3.2064  3.0555  6  6
-0.6667  7.0411  3.576  3.4652  7  7
-0.6646  6.7955  3.4108  3.3846  7  7
-0.6626  6.8069  3.4375  3.3695  7  7
-0.6606  7.0309  3.6062  3.4246  7  7
-0.6586  6.7938  3.5154  3.2784  5  5
-0.6566  6.4072  3.1684  3.2388  5  5
-0.6545  6.9366  3.7756  3.161  5  5
-0.6525  7.3437  4.0591  3.2846  6  6
-0.6505  7.1666  3.796  3.3706  6  6
-0.6485  6.931  3.641  3.2899  6  6
-0.6465  5.9224  3.0603  2.8622  5  5
-0.6444  6.5135  3.6198  2.8937  4  4
-0.6424  6.3039  3.2252  3.0787  4  4
-0.6404  6.2349  3.1967  3.0382  4  4
-0.6384  6.0347  3.0259  3.0088  4  4
-0.6364  5.8435  2.9048  2.9387  4  4
-0.6343  5.4792  2.6245  2.8547  4  4
-0.6323  7.2329  3.5514  3.6815  5  5
-0.6303  7.2888  3.5806  3.7082  5  5
-0.6283  7.1561  3.5618  3.5943  5  5
-0.6263  7.0517  3.4903  3.5614  5  5
-0.6242  6.8403  3.4937  3.3466  5  5
-0.6222  7.0838  3.5714  3.5124  5  5
-0.6202  6.8963  3.4403  3.4559  5  5
-0.6182  6.6971  3.3546  3.3425  5  5
-0.6162  6.464  3.2186  3.2455  5  5
-0.6141  6.0662  3.0658  3.0004  5  5
-0.6121  5.2209  2.6824  2.5385  3  3
-0.6101  5.2408  2.5431  2.6977  3  3
-0.6081  4.8872  2.3282  2.559  3  3
-0.6061  4.1011  1.817  2.2841  3  3
-0.604  3.2259  1.5187  1.7072  3  3
-0.602  6.1471  3.0569  3.0902  5  5
-0.6  6.3836  3.1622  3.2214  5  5
-0.598  6.4777  3.1676  3.3102  5  5
-0.596  6.2651  3.0773  3.1879  5  5
-0.5939  6.1204  3.0062  3.1142  5  5
-0.5919  5.8766  2.9213  2.9554  5  5
-0.5899  5.7484  2.845  2.9034  5  5
-0.5879  5.6788  2.8018  2.877  5  5
-0.5859  5.5627  2.734  2.8287  5  5
-0.5838  5.4903  2.6893  2.801  5  5
-0.5818  5.2769  2.5515  2.7255  5  5
-0.5798  4.8539  2.3857  2.4683  5  5
-0.5778  4.6837  2.2989  2.3848  5  5
-0.5758  4.4493  2.1903  2.259  5  5
-0.5737  4.323  2.0802  2.2428  5  5
-0.5717  4.9406  2.383  2.5577  4  4
-0.5697  4.14  1.9401  2.1999  4  4
-0.5677  2.9052  1.9352  0.9699  4  4
-0.5657  4.8483  2.4784  2.3699  3  3
-0.5636  4.8198  1.9361  2.8836  3  3
-0.5616  4.3274  1.7345  2.5928  3  3
-0.5596  3.8501  1.6777  2.1724  3  3
-0.5576  3.5307  1.849  1.6817  3  3
-0.5556  3.8344  1.9082  1.9262  2  2
-0.5535  3.8067  1.9006  1.9061  2  2
-0.5515  3.7406  1.8621  1.8785  2  2
-0.5495  3.6094  1.7632  1.8462  2  2
-0.5475  3.3174  1.5406  1.7768  2  2
-0.5455  2.8564  1.1281  1.7283  2  2
-0.5434  2.4364  0.844  1.5924  2  2
-0.5414  2.0097  0.7228  1.2869  2  2
-0.5394  2.6855  1.2147  1.4708  3  3
-0.5374  2.6489  1.3263  1.3226  3  3
-0.5354  2.6093  1.51  1.0993  3  3
-0.5333  2.7523  1.7026  1.0498  3  3
-0.5313  3.1025  1.849  1.2535  3  3
-0.5293  3.497  1.8984  1.5986  3  3
-0.5273  3.7635  1.9812  1.7823  3  3
-0.5253  4.1828  2.1324  2.0504  3  3
-0.5232  4.4718  2.2078  2.264  3  3
-0.5212  4.7638  2.3013  2.4625  3  3
-0.5192  5.0583  2.444  2.6143  3  3
-0.5172  5.3733  2.591  2.7823  4  4
-0.5152  4.6819  2.2808  2.401  4  4
-0.5131  4.4461  2.2008  2.2454  4  4
-0.5111  4.4959  2.2171  2.2788  4  4
-0.5091  4.2489  2.1642  2.0848  4  4
-0.5071  3.5382  1.9246  1.6136  2  2
-0.5051  3.7509  1.9013  1.8496  2  2
-0.503  3.6888  1.7735  1.9153  2  2
-0.501  2.2851  1.208  1.0771  2  2
-0.499  4.3545  2.084  2.2706  4  4
-0.497  4.6382  2.1572  2.4811  4  4
-0.4949  3.5331  1.7175  1.8156  2  2
-0.4929  4.9354  2.4005  2.535  4  4
-0.4909  4.9086  2.3898  2.5188  4  4
-0.4889  4.6495  2.4305  2.219  3  3
-0.4869  5.3433  2.5823  2.761  3  3
-0.4848  5.347  2.5701  2.7769  3  3
-0.4828  5.352  2.583  2.769  3  3
-0.4808  5.3259  2.5661  2.7599  3  3
-0.4788  5.2577  2.538  2.7197  3  3
-0.4768  5.3092  2.5837  2.7256  3  3
-0.4747  5.2685  2.5607  2.7077  3  3
-0.4727  5.2362  2.5496  2.6866  3  3
-0.4707  5.2098  2.532  2.6779  3  3
-0.4687  5.1652  2.4954  2.6698  3  3
-0.4667  5.1312  2.4864  2.6448  3  3
-0.4646  4.9957  2.3788  2.6169  3  3
-0.4626  4.8552  2.3187  2.5364  3  3
-0.4606  4.7515  2.2821  2.4695  3  3
-0.4586  4.7285  2.2833  2.4452  3  3
-0.4566  4.7224  2.2742  2.4482  3  3
-0.4545  4.6051  2.2282  2.3769  3  3
-0.4525  4.5223  2.1938  2.3285  3  3
-0.4505  4.4  2.1299  2.2701  3  3
-0.4485  4.262  2.0503  2.2117  3  3
-0.4465  3.6732  1.7652  1.908  3  3
-0.4444  3.4793  1.8934  1.5859  2  2
-0.4424  3.7563  1.8749  1.8814  2  2
-0.4404  3.563  1.7586  1.8044  2  2
