 -0.10000000E+01  0.41691266E+01     0.19209386E+01     0.14650437-157     0.76267078-158     0.22481880E+01     0.17146273-157     0.76267078-158        4        4   
 -0.99797980E+00  0.45684014E+01     0.22757786E+01     0.50259720-157     0.22084626-157     0.22926228E+01     0.50631718-157     0.22084626-157        4        4   
 -0.99595960E+00  0.48596178E+01     0.23627555E+01     0.15109907-156     0.63950362-157     0.24968623E+01     0.15967525-156     0.63950362-157        4        4   
 -0.99393939E+00  0.45952426E+01     0.22493732E+01     0.41654073-156     0.18518080-156     0.23458694E+01     0.43440997-156     0.18518080-156        4        4   
 -0.99191919E+00  0.42236185E+01     0.20557918E+01     0.11023716-155     0.53622728-156     0.21678267E+01     0.11624478-155     0.53622728-156        4        4   
 -0.98989899E+00  0.44341736E+01     0.20857342E+01     0.32386261-155     0.15527511-155     0.23484394E+01     0.36465420-155     0.15527511-155        4        4   
 -0.98787879E+00  0.45214919E+01     0.22232234E+01     0.99962687-155     0.44962951-155     0.22982685E+01     0.10333693-154     0.44962951-155        4        4   
 -0.98585859E+00  0.40564542E+01     0.19232135E+01     0.25040053-154     0.13019903-154     0.21332407E+01     0.27774588-154     0.13019903-154        4        4   
 -0.98383838E+00  0.47815678E+01     0.23537425E+01     0.88740047-154     0.37701680-154     0.24278253E+01     0.91533093-154     0.37701680-154        4        4   
 -0.98181818E+00  0.39549831E+01     0.19644917E+01     0.21446866-153     0.10917260-153     0.19904914E+01     0.21730712-153     0.10917260-153        4        4   
 -0.97979798E+00  0.34907857E+01     0.16817074E+01     0.53163926-153     0.31613065-153     0.18090783E+01     0.57190511-153     0.31613065-153        2        2   
 -0.97777778E+00  0.20743346E+01     0.94139175E+00     0.86176717-153     0.91541823-153     0.11329428E+01     0.10371165-152     0.91541823-153        2        2   
 -0.97575758E+00  0.14193266E+01     0.51225385E+00     0.13578686-152     0.26507728-152     0.90707275E+00     0.24044438-152     0.26507728-152        2        2   
 -0.97373737E+00  0.22883146E+01     0.96923100E+00     0.74396542-152     0.76758319-152     0.13190836E+01     0.10125064-151     0.76758319-152        2        2   
 -0.97171717E+00  0.26209797E+01     0.11512432E+01     0.25588538-151     0.22226875-151     0.14697365E+01     0.32667650-151     0.22226875-151        4        4   
 -0.96969697E+00  0.31196035E+01     0.14680659E+01     0.94488052-151     0.64362270-151     0.16515376E+01     0.10629671-150     0.64362270-151        4        4   
 -0.96767677E+00  0.24853549E+01     0.12654232E+01     0.23584142-150     0.18637356-150     0.12199317E+01     0.22736302-150     0.18637356-150        4        4   
 -0.96565657E+00  0.37672435E+01     0.18534703E+01     0.10002830-149     0.53968116-150     0.19137731E+01     0.10328273-149     0.53968116-150        4        4   
 -0.96363636E+00  0.32079861E+01     0.19051823E+01     0.29773284-149     0.15627525-149     0.13028038E+01     0.20359600-149     0.15627525-149        4        4   
 -0.96161616E+00  0.37890147E+01     0.18686166E+01     0.84559684-149     0.45252560-149     0.19203981E+01     0.86902931-149     0.45252560-149        4        4   
 -0.95959596E+00  0.31409488E+01     0.15883092E+01     0.20812831-148     0.13103765-148     0.15526395E+01     0.20345424-148     0.13103765-148        4        4   
 -0.95757576E+00  0.29893259E+01     0.16125997E+01     0.61189318-148     0.37944519-148     0.13767262E+01     0.52239213-148     0.37944519-148        4        4   
 -0.95555556E+00  0.42468078E+01     0.21779334E+01     0.23930214-147     0.10987579-147     0.20688745E+01     0.22731921-147     0.10987579-147        4        4   
 -0.95353535E+00  0.33501122E+01     0.14504062E+01     0.46147121-147     0.31816687-147     0.18997059E+01     0.60442348-147     0.31816687-147        4        4   
 -0.95151515E+00  0.29146063E+01     0.13523963E+01     0.12459823-146     0.92131449-147     0.15622100E+01     0.14392867-146     0.92131449-147        5        5   
 -0.94949495E+00  0.42013526E+01     0.22026943E+01     0.58764506-146     0.26678466-146     0.19986582E+01     0.53321135-146     0.26678466-146        5        5   
 -0.94747475E+00  0.47709377E+01     0.22684485E+01     0.17524382-145     0.77252724-146     0.25024893E+01     0.19332411-145     0.77252724-146        5        5   
 -0.94545455E+00  0.40454666E+01     0.19869403E+01     0.44447934-145     0.22370040-145     0.20585263E+01     0.46049314-145     0.22370040-145        5        5   
