0.-0.000822461091769755*I	0.5827370943486555+0.*I	0.+0.00023972399742744344*I	-0.24829027247833177+0.*I	0.+8.566275056187678*^-6*I	0.044418011491092965+0.*I	0.-0.00005298428654332277*I	0.03274593255972548+0.*I	0.+0.000020238353993118352*I	-0.02880490935683048+0.*I	0.+8.56655537329054*^-6*I	0.0017089168727725803+0.*I	0.-0.000010275472252629925*I	0.009514673536706545+0.*I	0.+7.607986993729554*^-7*I
0.5827370943579808+0.*I	0.-82.8160837553635*I	0.3344468218842849+0.*I	0.+130.57456089095777*I	-0.20387226099501277+0.*I	0.-126.70831695405442*I	0.07716394404269522+0.*I	0.+81.1049672591342*I	0.00394102321979517+0.*I	0.-23.15496925545567*I	-0.02709599247555161+0.*I	0.-15.872402066227785*I	0.011223590407098527+0.*I	0.+20.73826394188831*I	0.009514673536159535+0.*I
0.+0.00023972399743033002*I	0.3344468218801968+0.*I	0.-0.0005741708193109929*I	0.37886483335947824+0.*I	0.+0.0001953059859545192*I	-0.17112632843086664+0.*I	0.-0.000024179657514000752*I	0.0483590346892515+0.*I	0.-0.00002417937717336116*I	0.005649940075356246+0.*I	0.+0.00001852943710223265*I	-0.017581318941109834+0.*I	0.-9.481181626469493*^-7*I	0.01122359041362058+0.*I	0.-0.00001027547224996539*I
-0.24829027247301383+0.*I	0.+130.57456089091164*I	0.37886483336114907+0.*I	0.-209.5244007077182*I	0.4116107659287991+0.*I	0.+211.67952815199348*I	-0.1999312377820388+0.*I	0.-149.86328620696796*I	0.050067951571236335+0.*I	0.+65.23256519564242*I	0.01516461362393784+0.*I	0.-2.4167053123554982*I	-0.017581318938255208+0.*I	0.-15.87240206700335*I	0.001708916869120003+0.*I
0.+8.566275055965633*^-6*I	-0.2038722609846483+0.*I	0.+0.00019530598593231474*I	0.41161076592775975+0.*I	0.-0.0006069167518543139*I	0.38280585656841354+0.*I	0.+0.00022411089529539296*I	-0.19822232091084813+0.*I	0.-0.000025888574395782626*I	0.05958262510373777+0.*I	0.-0.0000336940507135175*I	0.015164613624049163+0.*I	0.+0.000018529437091796552*I	-0.02709599246765326+0.*I	0.+8.56655538195028*^-6*I
0.04441801148323066+0.*I	0.-126.70831695261913*I	-0.17112632843509346+0.*I	0.+211.67952814889549*I	0.3828058565827632+0.*I	0.-232.67936996354155*I	0.38451477345506646+0.*I	0.+195.80712608469884*I	-0.1887076473713023+0.*I	0.-129.12502226845604*I	0.05958262509875567+0.*I	0.+65.23256519288113*I	0.005649940088005678+0.*I	0.-23.15496925279057*I	-0.02880490934512636+0.*I
0.-0.00005298428653094378*I	0.07716394403878389+0.*I	0.-0.000024179657510781105*I	-0.19993123777897062+0.*I	0.+0.00022411089529145167*I	0.3845147734544516+0.*I	0.-0.000608625668732099*I	0.39402944698640946+0.*I	0.+0.00021459622174635484*I	-0.1887076473748448+0.*I	0.-0.00002588857437518799*I	0.05006795157422218+0.*I	0.-0.000024179377194233354*I	0.003941023218559849+0.*I	0.+0.000020238353968249356*I
0.03274593255628133+0.*I	0.+81.1049672590118*I	0.048359034706663806+0.*I	0.-149.8632862046286*I	-0.1982223209051881+0.*I	0.+195.80712608422309*I	0.3940294469921355+0.*I	0.-211.94110602181064*I	0.3940294469884975+0.*I	0.+195.8071260870197*I	-0.19822232089973113+0.*I	0.-149.86328620679362*I	0.04835903469393088+0.*I	0.+81.10496725794725*I	0.03274593256355729+0.*I
0.+0.00002023835396691709*I	0.003941023208627407+0.*I	0.-0.00002417937717957841*I	0.05006795156416224+0.*I	0.-0.000025888574386456753*I	-0.18870764737169576+0.*I	0.+0.0002145962217525721*I	0.39402944699168474+0.*I	0.-0.0006086256687325431*I	0.3845147734420702+0.*I	0.+0.0002241108952851789*I	-0.19993123777242525+0.*I	0.-0.000024179657501122165*I	0.07716394403763496+0.*I	0.-0.0000529842865315544*I
-0.02880490934512636+0.*I	0.-23.15496925399446*I	0.0056499400870961836+0.*I	0.+65.23256519043325*I	0.05958262510102941+0.*I	0.-129.12502226422896*I	-0.18870764736493584+0.*I	0.+195.8071260852921*I	0.3845147734537022+0.*I	0.-232.6793699644815*I	0.382805856577761+0.*I	0.+211.67952815044742*I	-0.171126328426908+0.*I	0.-126.70831695185542*I	0.04441801147731894+0.*I
0.+8.566555379729834*^-6*I	-0.027095992467730295+0.*I	0.+0.000018529437102898783*I	0.015164613616756008+0.*I	0.-0.00003369405072817244*I	0.05958262509284373+0.*I	0.-0.000025888574381127682*I	-0.1982223208918407+0.*I	0.+0.00022411089526741534*I	0.3828058565823862+0.*I	0.-0.000606916751859643*I	0.4116107659234793+0.*I	0.+0.00019530598593675563*I	-0.20387226099484243+0.*I	0.+8.566275056409722*^-6*I
