-0.8462658909079209-0.4194273634000917*I	0.6990105207955069+0.363282800370166*I	0.37130201956734665+0.17169604862758325*I	-0.2544993967878832-0.31447822016853416*I	-0.19855690797175457+0.0424036404838079*I	0.11938170694041533+0.08421954764625497*I	0.11746156679991854-0.09979231459020166*I	-0.15764201143541676-0.00511730737990921*I	-0.010270116331214989+0.10342972561997535*I	0.10340607323833882+0.018525747416599035*I	-0.06002748772343881-0.116130639936501*I	-0.04805524508051007-0.0012344565340390856*I	0.09270381992165157+0.11701812562472805*I	0.04932528649355071-0.014380006011403573*I	-0.12625939474327735-0.10728904682346715*I
0.6990105207955095+0.36328280037016564*I	-0.21195197641593216-0.6056991596990947*I	0.4445111240076251+0.048804580201634674*I	-0.4545969432085738+0.2675127783291955*I	-0.13511768984746556-0.2302586725222791*I	0.2552939820310416+0.22191343863809496*I	-0.03826030449500439+0.07910224026634328*I	0.13582352622575597-0.13624485857244026*I	-0.05423593819708181+0.013408440036690374*I	-0.0017059325222679514-0.045144154392248864*I	0.05535082815783179+0.01729129088256115*I	-0.08326943094096-0.002343468979673795*I	0.0012700414130414044-0.015614462545442036*I	-0.07433986628040773+0.04421883591636311*I	0.049325286493552244-0.014380006011404567*I
0.37130201956734477+0.17169604862758325*I	0.44451112400762777+0.048804580201634785*I	-0.6735207793123301-0.20532767428870255*I	0.5638928309480427+0.1330241278478893*I	0.29020667839550907+0.11430737452118975*I	-0.29275970128288525-0.23537597990219056*I	-0.0913654575030495+0.04604105151358273*I	0.06514576874333092+0.09762798768294317*I	0.047163962745267324-0.11249322890672737*I	-0.10229118327758832+0.012173983502652093*I	0.022406215866995566+0.10431721130820154*I	0.10467611465138295+0.0029112848711584094*I	-0.09358306254506472-0.10640156113524063*I	0.0012700414130428078-0.015614462545442978*I	0.09270381992165021+0.11701812562472882*I
-0.2544993967878809-0.3144782201685298*I	-0.4545969432085771+0.26751277832919407*I	0.5638928309480425+0.1330241278478864*I	0.04334200561510915-0.3837857210609987*I	0.40625081951262215+0.1279068204679777*I	-0.31877341698282013+0.13126791975675572*I	-0.18935362804454792-0.21685023248558877*I	0.25358804950877817+0.17676928424584593*I	0.017090523662824375+0.09639353114890474*I	0.05255409528479441-0.13858832755211542*I	-0.052965896784036584-0.0022060225087510332*I	-0.07604579880267878-0.000925318475885179*I	0.10467611465138227+0.0029112848711556577*I	-0.0832694309409587-0.002343468979671916*I	-0.048055245080510026-0.0012344565340377603*I
-0.1985569079717546+0.042403640483804766*I	-0.13511768984746583-0.23025867252227802*I	0.29020667839550923+0.11430737452119177*I	0.40625081951262226+0.1279068204679745*I	-0.5663293288436244-0.20169026325892708*I	0.50965689275096+0.1464325678845797*I	0.21990907434085594+0.10160646020466184*I	-0.23740887312505438-0.21808468901962696*I	-0.058689125304838566+0.04692853720180952*I	0.06641581015637643+0.08201352513750154*I	0.013608387923640067-0.10276415010546693*I	-0.05296589678403743-0.002206022508753472*I	0.02240621586699644+0.1043172113082033*I	0.0553508281578291+0.017291290882560567*I	-0.060027487723437654-0.11613063993650233*I
0.11938170694041347+0.08421954764625664*I	0.2552939820310446+0.221913438638094*I	-0.29275970128288575-0.23537597990219156*I	-0.3187734169828197+0.1312679197567595*I	0.5096568927509599+0.1464325678845779*I	0.04163607309284266-0.4289298754532528*I	0.46160164767045403+0.1451981113505412*I	-0.4020428479237841+0.1289244507770823*I	-0.18808358663150362-0.2324646950310334*I	0.1792481832283703+0.22098812016221026*I	0.06641581015637409+0.08201352513750206*I	0.052554095284796404-0.13858832755211442*I	-0.10229118327758782+0.012173983502650977*I	-0.0017059325222702204-0.04514415439224775*I	0.10340607323833922+0.01852574741659982*I
0.11746156679991884-0.09979231459019967*I	-0.0382603044950054+0.07910224026634323*I	-0.09136545750304889+0.046041051513581316*I	-0.18935362804454828-0.21685023248558843*I	0.21990907434085621+0.1016064602046634*I	0.461601647670454+0.14519811135053945*I	-0.5336529966454143-0.2008027775707007*I	0.5109269341640051+0.1308181053391351*I	0.18635349951923014+0.11133553900592479*I	-0.18808358663150626-0.232464695031033*I	-0.058689125304836935+0.046928537201809145*I	0.017090523662823806+0.09639353114890668*I	0.047163962745265686-0.11249322890672857*I	-0.0542359381970779+0.013408440036689812*I	-0.010270116331215884+0.10342972561997657*I
-0.1576420114354177-0.005117307379915503*I	0.1358235262257537-0.13624485857243798*I	0.0651457687433327+0.09762798768294759*I	0.2535880495087778+0.17676928424583951*I	-0.23740887312505585-0.21808468901962727*I	-0.4020428479237818+0.12892445077708675*I	0.5109269341640045+0.130818105339132*I	-0.032703793187566166-0.3847110395368865*I	0.5109269341640035+0.1308181053391384*I	-0.4020428479237803+0.12892445077708153*I	-0.23740887312505587-0.21808468901963005*I	0.25358804950877667+0.17676928424584737*I	0.0651457687433335+0.09762798768294507*I	0.1358235262257543-0.13624485857244364*I	-0.15764201143541898-0.005117307379909161*I
-0.01027011633121571+0.10342972561997726*I	-0.05423593819707852+0.013408440036689282*I	0.04716396274526585-0.11249322890672886*I	0.01709052366282477+0.09639353114890825*I	-0.05868912530483779+0.046928537201808375*I	-0.18808358663150504-0.23246469503103454*I	0.18635349951923022+0.11133553900592658*I	0.5109269341640033+0.13081810533913552*I	-0.5336529966454132-0.20080277757070275*I	0.46160164767045353+0.14519811135054125*I	0.2199090743408553+0.10160646020466421*I	-0.18935362804454545-0.21685023248559135*I	-0.09136545750304993+0.046041051513582516*I	-0.03826030449500811+0.07910224026634567*I	0.11746156679992192-0.0997923145902025*I
0.103406073238338+0.01852574741659979*I	-0.0017059325222676947-0.045144154392248614*I	-0.10229118327758815+0.012173983502651725*I	0.05255409528479332-0.13858832755211314*I	0.06641581015637661+0.08201352513750053*I	0.17924818322837055+0.22098812016220754*I	-0.18808358663150626-0.23246469503103*I	-0.4020428479237799+0.12892445077708178*I	0.4616016476704535+0.14519811135053812*I	0.041636073092839565-0.42892987545324723*I	0.5096568927509623+0.14643256788457704*I	-0.3187734169828207+0.13126791975675461*I	-0.2927597012828874-0.23537597990218734*I	0.25529398203104786+0.2219134386380937*I	0.11938170694041284+0.08421954764625247*I
-0.06002748772343769-0.11613063993650327*I	0.05535082815782866+0.017291290882562066*I	0.02240621586699673+0.1043172113082032*I	-0.052965896784036404-0.002206022508756067*I	0.013608387923639317-0.10276415010546504*I	0.06641581015637565+0.08201352513750496*I	-0.05868912530483733+0.046928537201805315*I	-0.2374088731250553-0.2180846890196273*I	0.21990907434085522+0.10160646020466635*I	0.5096568927509625+0.14643256788457407*I	-0.5663293288436251-0.20169026325892764*I	0.4062508195126208+0.12790682046798119*I	0.29020667839551084+0.11430737452118783*I	-0.13511768984746697-0.23025867252228047*I	-0.1985569079717553+0.04240364048381044*I
-0.04805524508051051-0.0012344565340356023*I	-0.08326943094095696-0.0023434689796756475*I	0.1046761146513816+0.0029112848711559947*I	-0.07604579880267803-0.0009253184758812733*I	-0.05296589678403629-0.0022060225087540295*I	0.05255409528479371-0.13858832755211845*I	0.017090523662824597+0.09639353114890979*I	0.25358804950877756+0.17676928424584668*I	-0.18935362804454747-0.21685023248559432*I	-0.3187734169828201+0.13126791975676064*I	0.40625081951262165+0.12790682046797985*I	0.04334200561511181-0.3837857210610083*I	0.5638928309480412+0.13302412784789064*I	-0.45459694320857863+0.26751277832920095*I	-0.2544993967878787-0.31447822016853877*I
0.09270381992165067+0.11701812562472813*I	0.0012700414130424331-0.015614462545441743*I	-0.09358306254506499-0.10640156113524078*I	0.10467611465138216+0.0029112848711582706*I	0.022406215866996343+0.10431721130820173*I	-0.10229118327758768+0.012173983502650587*I	0.04716396274526591-0.11249322890672664*I	0.06514576874333255+0.09762798768294267*I	-0.09136545750304903+0.04604105151358223*I	-0.2927597012828877-0.23537597990218834*I	0.2902066783955105+0.1143073745211887*I	0.563892830948042+0.13302412784788908*I	-0.673520779312331-0.20532767428870133*I	0.4445111240076297+0.04880458020163264*I	0.37130201956734427+0.1716960486275835*I
0.04932528649355422-0.014380006011402713*I	-0.07433986628041223+0.04421883591636322*I	0.0012700414130426552-0.015614462545443797*I	-0.08326943094095646-0.0023434689796753005*I	0.0553508281578281+0.017291290882563898*I	-0.00170593252226936-0.045144154392243285*I	-0.05423593819707728+0.013408440036683955*I	0.13582352622575333-0.13624485857244095*I	-0.0382603044950075+0.07910224026635027*I	0.2552939820310473+0.22191343863808405*I	-0.13511768984746658-0.23025867252227844*I	-0.45459694320857835+0.26751277832920706*I	0.44451112400762915+0.04880458020162623*I	-0.2119519764159326-0.6056991596990974*I	0.6990105207955059+0.363282800370176*I
-0.12625939474327819-0.10728904682346771*I	0.049325286493553736-0.014380006011404788*I	0.09270381992165025+0.11701812562472944*I	-0.048055245080511094-0.0012344565340381142*I	-0.06002748772343669-0.116130639936503*I	0.10340607323833798+0.01852574741659717*I	-0.010270116331216605+0.10342972561997854*I	-0.15764201143541717-0.005117307379908717*I	0.11746156679992031-0.0997923145902052*I	0.11938170694041364+0.08421954764625983*I	-0.19855690797175535+0.042403640483808076*I	-0.2544993967878789-0.3144782201685409*I	0.37130201956734443+0.1716960486275876*I	0.6990105207955044+0.36328280037016913*I	-0.8462658909079175-0.4194273634000982*I
