0.-0.8502058485606265*I	-0.5008715924208152+0.*I	0.+0.17020863387154872*I	0.0013038031067830983+0.*I	0.+0.021131676386616505*I	-0.0009068712444136451+0.*I	0.+0.005636022184116296*I
-0.5008715924086715+0.*I	0.-0.6799972146797173*I	-0.4995677892861323+0.*I	0.+0.1913403102492744*I	0.00039693185763667316+0.*I	0.+0.026767698565144805*I	-0.0009068712340933871+0.*I
0.+0.1702086338599812*I	-0.49956778930835644+0.*I	0.-0.658865538332594*I	-0.5004746605642085+0.*I	0.+0.19697633248566382*I	0.00039693188884469197+0.*I	0.+0.02113167636958202*I
0.0013038031374890124+0.*I	0.+0.1913403102520131*I	-0.5004746605085302+0.*I	0.-0.6532295161339512*I	-0.5004746605362698+0.*I	0.+0.19134031024885492*I	0.0013038031148653317+0.*I
0.+0.021131676370032437*I	0.00039693185303865675+0.*I	0.+0.19697633242708434*I	-0.5004746605706826+0.*I	0.-0.6588655383122841*I	-0.4995677892835686+0.*I	0.+0.17020863390098384*I
-0.0009068712472526386+0.*I	0.+0.026767698588739786*I	0.0003969318879626371+0.*I	0.+0.19134031022490636*I	-0.49956778929390566+0.*I	0.-0.6799972146880418*I	-0.5008715924225271+0.*I
0.+0.0056360221792601806*I	-0.0009068712431086062+0.*I	0.+0.0211316763936793*I	0.0013038030960495772+0.*I	0.+0.1702086338502795*I	-0.500871592408024+0.*I	0.-0.8502058485348698*I
