-2.19878867659688-2.5072709226468533*I	-7.233280755168378-6.889526503968064*I	-3.5871469748874265-3.0050736086031167*I	4.363863682619297+4.485108902388084*I	4.447216159824103+3.5848422544450047*I	-3.0339819978951987-3.708131270653391*I	-6.874030945013198-6.551650669167507*I	-2.4645875930484413-1.5338766677751159*I
-7.23328075517132-6.889526503970638*I	-22.559438622992108-22.450758962359917*I	-11.812025067326132-11.073336609779599*I	13.11092590279218+13.590908472029508*I	13.35679870393528+13.278455471793402*I	-10.578525936374767-11.3170606642104*I	-21.81848774696867-22.33316185575536*I	-6.874030945014596-6.551650669168582*I
-3.5871469748898095-3.0050736086051915*I	-11.812025067329161-11.073336609782222*I	-5.861365745312542-5.854776881727321*I	6.123517948767302+6.388928967825836*I	6.23689495777699+7.03925780286014*I	-5.427707045138234-5.346575113308596*I	-10.578525936376248-11.317060664211533*I	-3.0339819978963405-3.7081312706542677*I
4.363863682620358+4.4851089023890545*I	13.110925902789827+13.59090847202759*I	6.123517948764302+6.388928967823296*I	-8.212750436675169-8.479152945974079*I	-8.367986663494008-7.646425540009616*I	6.236894957775538+7.039257802859104*I	13.356798703934157+13.278455471792679*I	4.447216159824606+3.5848422544454337*I
4.447216159826915+3.584842254447647*I	13.356798703938697+13.278455471796981*I	6.2368949577768635+7.039257802860332*I	-8.367986663497494-7.64642554001294*I	-8.212750436676869-8.479152945975622*I	6.123517948767178+6.388928967826043*I	13.110925902793829+13.590908472031334*I	4.363863682620684+4.485108902389306*I
-3.0339819978961673-3.7081312706541025*I	-10.578525936373142-11.317060664208505*I	-5.427707045135929-5.3465751133063435*I	6.236894957775732+7.03925780285892*I	6.123517948764503+6.388928967823116*I	-5.861365745311566-5.854776881726349*I	-11.812025067325584-11.07333660977873*I	-3.5871469748879217-3.005073608603364*I
-6.874030945016763-6.551650669170703*I	-21.818487746970714-22.33316185575739*I	-10.57852593637423-11.317060664209901*I	13.356798703937747+13.278455471795834*I	13.110925902791637+13.590908472028975*I	-11.812025067328221-11.073336609781636*I	-22.55943862299324-22.450758962361018*I	-7.23328075517013-6.8895265039694795*I
-2.4645875930503367-1.533876667776953*I	-6.874030945017886-6.551650669172059*I	-3.0339819978970564-3.7081312706551968*I	4.447216159827308+3.584842254448113*I	4.363863682621624+4.485108902390315*I	-3.58714697489005-3.005073608605672*I	-7.233280755172804-6.889526503972341*I	-2.1987886765977955-2.5072709226477192*I
