0.-2.709766631908223*I	-0.9347729800425187+0.*I	0.+2.709673154610219*I	0.9345020127270576+0.*I	0.-0.027416494955166903*I	-6.024497826191699+0.*I	0.+0.026814045172547735*I	6.024495144787183+0.*I
-0.9347729800425191+0.*I	0.-0.0006089995692317023*I	-0.06522695905752396+0.*I	0.+0.0006024768733259499*I	0.0002709070677736826+0.*I	0.-0.02681407199511387*I	-0.00026822566057417124+0.*I	0.+0.026814045172547818*I
0.+2.7096731546102184*I	-0.06522695905752449+0.*I	0.-2.7096796773061236*I	-0.9345020729747449+0.*I	0.+0.027416522045873623*I	6.0245005075988995+0.*I	0.-0.02681407199511368*I	-6.0244978261917+0.*I
0.9345020127270579+0.*I	0.+0.0006024768733259497*I	-0.9345020729747453+0.*I	0.-0.0006959270806234242*I	-0.00027364871997828075+0.*I	0.+0.02741652204587377*I	0.0002709070677736934+0.*I	0.-0.027416494955166997*I
0.-0.027416494955167098*I	0.0002709070677736909+0.*I	0.+0.02741652204587387*I	-0.00027364871997827826+0.*I	0.-0.000695927080623424*I	-0.934502072974745+0.*I	0.+0.0006024768733259504*I	0.9345020127270577+0.*I
-6.024497826191746+0.*I	0.-0.026814071995114062*I	6.024500507598946+0.*I	0.+0.027416522045873953*I	-0.9345020729747457+0.*I	0.-2.70967967730615*I	-0.06522695905752358+0.*I	0.+2.7096731546102446*I
0.+0.02681404517254792*I	-0.0002682256605741794+0.*I	0.-0.026814071995113972*I	0.0002709070677736908+0.*I	0.+0.0006024768733259513*I	-0.06522695905752457+0.*I	0.-0.0006089995692317029*I	-0.9347729800425184+0.*I
6.024495144787228+0.*I	0.+0.026814045172547995*I	-6.024497826191745+0.*I	0.-0.027416494955167164*I	0.9345020127270584+0.*I	0.+2.709673154610244*I	-0.9347729800425193+0.*I	0.-2.7097666319082485*I
