0.+4.218603224050696*^-7*I	0.002734862714006945+0.*I	0.-6.953465938057941*^-7*I	0.006581649739156353+0.*I	0.+3.7181619890142156*^-8*I	-0.02141454085120484+0.*I	0.+2.104272465230344*^-6*I	0.013102034265143952+0.*I	0.-3.4144758917447465*^-6*I	0.05359788224332992+0.*I	0.-1.9453123325882615*^-6*I	-0.19605672580243608+0.*I	0.+0.00002155098491283186*I	0.3979078212926396+0.*I	0.-0.00006134176704209584*I	0.38575740176936385+0.*I	0.+0.000022766026865159418*I	-0.20377890903132762+0.*I	0.-2.388135962026589*^-6*I	0.08016004255853017+0.*I	0.-5.627868293826416*^-6*I	-0.08016004312131675+0.*I	0.+0.000013643872605958097*I	0.12361886623398397+0.*I	0.-0.00002361762326732985*I	-0.18197849046143363+0.*I	0.+0.000019049445448313818*I	0.2163347708038198+0.*I	0.+0.000020658844513399547*I	-0.20185109333510498+0.*I	0.-0.000022024720092720662*I	0.14245884336457482+0.*I	0.+9.724148088851656*^-6*I	-0.06669991684992162+0.*I	0.+3.6031948788538467*^-7*I	0.008312506796488097+0.*I	0.-3.2958426327645933*^-6*I	0.014832891115766616+0.*I	0.+1.7753719012983504*^-6*I	-0.00931651252269797+0.*I	0.-1.4837405522257105*^-7*I	-0.0027348626718209147+0.*I
-0.009415556809268644+0.*I	0.-78.2122758499667*I	0.0015943292242718843+0.*I	0.+133.2359842742261*I	0.01172926920315076+0.*I	0.-96.85271648053968*I	-0.02141454085120481+0.*I	0.-134.60126050056016*I	0.007954414801148724+0.*I	0.+626.9283053421449*I	0.05473841573306579+0.*I	0.-1319.0275326010174*I	-0.18664116899316752+0.*I	0.+1991.1623277619615*I	0.3857574017693638+0.*I	0.-2334.7251697615675*I	0.3807700812544795+0.*I	0.+2101.3498227750765*I	-0.1706350989769717+0.*I	0.-1249.9163153479024*I	0.04564346744218151+0.*I	0.+1249.916310783556*I	0.07934816363617436+0.*I	0.-851.4334903636644*I	0.006143586304431015+0.*I	0.+233.37530890948213*I	-0.36357613666796107+0.*I	0.+343.5628034238648*I	0.012175015240984743+0.*I	0.-672.1347764968273*I	0.10725267610250011+0.*I	0.+692.0992217850309*I	-0.09278116965706351+0.*I	0.-492.32704563702646*I	0.035594050292213186+0.*I	0.+231.453979122554*I	0.008965888471253014+0.*I	0.-36.383268966613194*I	-0.02433348457104978+0.*I	0.-55.0237085836923*I	0.017236784488418477+0.*I	0.+78.2122767915224*I
0.+5.196953585218307*^-7*I	-0.010556090299003973+0.*I	0.+5.359136713786026*^-7*I	0.006741948688266343+0.*I	0.-1.2101085402052032*^-6*I	0.011729269203151234+0.*I	0.+3.7181619890071786*^-8*I	-0.026562160315200284+0.*I	0.+2.619034411629936*^-6*I	0.00909494829088447+0.*I	0.-3.5285292407183732*^-6*I	0.06415397254233428+0.*I	0.-2.8868680135150546*^-6*I	-0.1987915885164432+0.*I	0.+0.00002276602686515938*I	0.3807700812544791+0.*I	0.-0.00006084303499060727*I	0.4139138913088354+0.*I	0.+0.000019451645859723796*I	-0.2051516740933205+0.*I	0.+1.063521549608245*^-6*I	0.20515167419967245+0.*I	0.-0.000021578688969575536*I	-0.2087622152703504+0.*I	0.+0.00002300326463688692*I	0.205316021352382+0.*I	0.+0.00001730816821848235*I	-0.18197849046143336+0.*I	0.-0.000021876346037498428*I	0.13463761568542196+0.*I	0.+0.000011299452482470952*I	-0.07324892118607168+0.*I	0.-4.4603112314497655*^-7*I	0.01746721228621925+0.*I	0.-3.919724517106766*^-6*I	0.014832891115767114+0.*I	0.+2.3992537856395463*^-6*I	-0.018471218012428514+0.*I	0.+6.579765558064893*^-7*I	0.003814141664328965+0.*I	0.-1.575304393621077*^-6*I	0.010556090350973508+0.*I
-0.0011405334897350017+0.*I	0.-65.49004324744679*I	-0.005408470835009643+0.*I	0.+13.334778532573369*I	0.006741948688266969+0.*I	0.+133.23598427422783*I	0.006581649739155648+0.*I	0.-188.3997708630873*I	-0.02542162682546445+0.*I	0.-69.11121725311507*I	0.01851050510015284+0.*I	0.+705.1405811921132*I	0.052003553019058485+0.*I	0.-1517.7535601226944*I	-0.20377890903132803+0.*I	0.+2101.349822775079*I	0.4139138913088358+0.*I	0.-2066.8879249867764*I	0.3793973161924867+0.*I	0.+1286.0217465698472*I	-0.25079514153550186+0.*I	0.-1286.0217214903332*I	0.12219296938646862+0.*I	0.+780.866140477198*I	-0.42350367153123525+0.*I	0.-34.46193917969093*I	0.006143586304431015+0.*I	0.-583.5962422744938*I	0.13927569849944788+0.*I	0.+812.6129737302249*I	-0.11001795414548354+0.*I	0.-636.0293657900492*I	0.027904512466322307+0.*I	0.+257.51099065836496*I	0.0232682134249792+0.*I	0.+55.16378593069421*I	-0.0243334845710661+0.*I	0.-146.57076348099608*I	0.002934459534699896+0.*I	0.+52.15526525572057*I	0.007689537825890408+0.*I	0.+65.49004336150014*I
0.-4.0564200954820984*^-7*I	0.004007085974259284+0.*I	0.+4.9334121222640535*^-9*I	-0.005408470835008537+0.*I	0.+5.359136713786325*^-7*I	0.00159432922427032+0.*I	0.-6.953465938056458*^-7*I	0.007722183228891528+0.*I	0.-7.687172908348544*^-8*I	-0.016006070016195632+0.*I	0.+1.677478730703065*^-6*I	0.006360085576876969+0.*I	0.-2.3134872883907532*^-6*I	0.047016232504173625+0.*I	0.-2.38813596202661*^-6*I	-0.17063509897697116+0.*I	0.+0.00001945164585972372*I	0.3793973161924862+0.*I	0.-0.000057391377478972274*I	0.3337538487503055+0.*I	0.+0.000024015992603941854*I	-0.33375384634870603+0.*I	0.+9.359392030928802*^-6*I	0.2868488293180705+0.*I	0.+0.000019347102516236415*I	-0.20876221527035047+0.*I	0.-0.00001792252684892516*I	0.12361886623398403+0.*I	0.+7.948776187553334*^-6*I	-0.05337631831239928+0.*I	0.-2.976570679225443*^-7*I	0.009645984607066569+0.*I	0.-2.3444201234872703*^-6*I	0.008283886779616988+0.*I	0.+1.5929031746092455*^-6*I	-0.009316512522696397+0.*I	0.+3.40946714662186*^-8*I	0.0038141416643296404+0.*I	0.-9.51422509276285*^-7*I	0.001401384861242578+0.*I	0.+8.063506110308367*^-7*I	-0.004007086014823486+0.*I
0.005147619463994529+0.*I	0.+91.54705438254544*I	0.004007085974260055+0.*I	0.-65.49004324744587*I	-0.010556090299004617+0.*I	0.-78.21227584996895*I	0.0027348627140078297+0.*I	0.+198.72602752167563*I	0.017137740038159793+0.*I	0.-110.1874950131161*I	-0.02815648953947135+0.*I	0.-267.8372447747905*I	0.001372765061992326+0.*I	0.+815.3280762052314*I	0.08016004255853085+0.*I	0.-1249.9163153479037*I	-0.2051516740933212+0.*I	0.+1286.0217465698477*I	0.3337538487503059+0.*I	0.-816.9716096388754*I	0.5845489902858065+0.*I	0.+816.971551183976*I	-0.5028518351674092+0.*I	0.-469.0501703063577*I	0.12219296938646795+0.*I	0.-36.105410706777256*I	0.07934816363617547+0.*I	0.+434.58823112666806*I	-0.1160493830820366+0.*I	0.-547.490831567717*I	0.05992753486327218+0.*I	0.+378.0247426035554*I	0.006031428936552119+0.*I	0.-88.53853422233387*I	-0.032023022396945766+0.*I	0.-120.51375194519304*I	0.01723678448842153+0.*I	0.+143.7023201530238*I	0.007689537825890047+0.*I	0.-26.05701153580814*I	-0.014302324953732085+0.*I	0.-91.54705489730736*I
0.-1.0911993685113139*^-7*I	0.005147619463995106+0.*I	0.-4.0564200954837327*^-7*I	-0.001140533489735911+0.*I	0.+5.196953585219764*^-7*I	-0.00941555680926751+0.*I	0.+4.218603224047745*^-7*I	0.012150419523275178+0.*I	0.-1.6369022747323071*^-6*I	0.0049873205148841145+0.*I	0.+1.1381702232438862*^-6*I	-0.03314381005435532+0.*I	0.+2.176210782191656*^-6*I	0.0345165751163489+0.*I	0.-5.62786829382655*^-6*I	0.04564346744218133+0.*I	0.+1.0635215496083859*^-6*I	-0.2507951415355018+0.*I	0.+0.000024015992603941772*I	0.5845489902858074+0.*I	0.-0.00008247089163252251*I	0.4154510014671037+0.*I	0.+0.00004092579148581215*I	-0.3337538463487061+0.*I	0.-0.0000315663994548834*I	0.20515167419967276+0.*I	0.+9.987710485307624*^-6*I	-0.08016004312131705+0.*I	0.+3.656162120650233*^-6*I	-0.0013727648443722898+0.*I	0.-5.6950964184046304*^-6*I	0.028156489653288357+0.*I	0.+1.7412772298316532*^-6*I	-0.017137740201849588+0.*I	0.+1.6093990650856192*^-6*I	-0.0027348626718216884+0.*I	0.-1.7577731203092583*^-6*I	0.010556090350972977+0.*I	0.+1.8246872668625133*^-7*I	-0.004007086014823375+0.*I	0.+6.238818843400989*^-7*I	-0.005147619474907088+0.*I
-0.005147619474907078+0.*I	0.-91.54705489730682*I	-0.004007086014823691+0.*I	0.+65.49004336149837*I	0.010556090350973504+0.*I	0.+78.21227679152544*I	-0.0027348626718209645+0.*I	0.-198.72602873671832*I	-0.017137740201850854+0.*I	0.+110.18749451438396*I	0.028156489653289193+0.*I	0.+267.8372480891715*I	-0.0013727648443720292+0.*I	0.-815.328079656889*I	-0.08016004312131687+0.*I	0.+1249.916310783557*I	0.2051516741996725+0.*I	0.-1286.0217214903334*I	-0.333753846348706+0.*I	0.+816.9715511839763*I	0.41545100146710345+0.*I	0.-816.9715927290765*I	0.502851839259989+0.*I	0.+469.05020368174235*I	-0.12219297254310801+0.*I	0.+36.10539019160986*I	-0.07934816263740274+0.*I	0.-434.58822311066376*I	0.11604938344765536+0.*I	0.+547.4908317049938*I	-0.05992753543278295+0.*I	0.-378.0247454192043*I	-0.0060314287624280705+0.*I	0.+88.53853593610837*I	0.032023022557889025+0.*I	0.+120.5137522186789*I	-0.017236784664203142+0.*I	0.-143.70232120863295*I	-0.007689537807649055+0.*I	0.+26.057011936516968*I	0.01430232501610712+0.*I	0.+91.54705541206872*I
0.+6.238818843530586*^-7*I	-0.014302324953751545+0.*I	0.+8.063506110220976*^-7*I	0.0076895378259175294+0.*I	0.-1.5753043936138458*^-6*I	0.017236784488386704+0.*I	0.-1.4837405522480288*^-7*I	-0.03202302239692973+0.*I	0.+3.3506762949177807*^-6*I	0.006031428936548195+0.*I	0.-3.953819188572597*^-6*I	0.05992753486327192+0.*I	0.-2.0389342977546126*^-6*I	-0.1160493830820348+0.*I	0.+0.000013643872605958114*I	0.07934816363617361+0.*I	0.-0.00002157868896957549*I	0.12219296938646688+0.*I	0.+9.359392030928819*^-6*I	-0.5028518351674077+0.*I	0.+0.000040925791485812083*I	0.5028518392599869+0.*I	0.-0.00009121097541181084*I	0.3806588667168802+0.*I	0.+0.00004378569670919422*I	-0.20154113518050937+0.*I	0.-2.052894221567795*^-6*I	0.036701220810248514+0.*I	0.-0.000015261100465414418*I	0.056121848014869406+0.*I	0.+0.000011687849961682117*I	-0.06595896419520211+0.*I	0.-1.1381343535886495*^-6*I	0.025991593795449217+0.*I	0.-4.811701320872113*^-6*I	0.014786237893705655+0.*I	0.+3.481451586726998*^-6*I	-0.024926322471834652+0.*I	0.+5.864850540398835*^-7*I	0.006612787208469111+0.*I	0.-2.054114385984693*^-6*I	0.014302325016139738+0.*I
-0.004007086014823441+0.*I	0.-26.05701153580615*I	0.0014013848612428326+0.*I	0.+52.155265255717225*I	0.0038141416643289183+0.*I	0.-55.02370858369027*I	-0.009316512522697953+0.*I	0.-10.326257430807237*I	0.00828388677961725+0.*I	0.+179.2987138668383*I	0.009645984607066602+0.*I	0.-437.303337053332*I	-0.05337631831239983+0.*I	0.+702.4254792158399*I	0.12361886623398388+0.*I	0.-851.4334903636657*I	-0.20876221527035038+0.*I	0.+780.8661404771981*I	0.2868488293180702+0.*I	0.-469.05017030635764*I	-0.333753846348706+0.*I	0.+469.0502036817425*I	0.38065886671688026+0.*I	0.-311.8159988557233*I	0.30131070407947713+0.*I	0.+70.5673707626889*I	-0.08549175173285795+0.*I	0.+149.00799878593875*I	-0.023226314622532995+0.*I	0.-265.1221368248761*I	0.05009041925244495+0.*I	0.+258.0046222218952*I	-0.03393594163732133+0.*I	0.-168.97245726441986*I	0.008754809131262475+0.*I	0.+65.34996694614873*I	0.007096700086051011+0.*I	0.+2.8684429465589223*I	-0.010623997455720124+0.*I	0.-26.098253860049553*I	0.0066127872084757455+0.*I	0.+26.057011936514762*I
