-7.792677310692145-8.61093404529623*I	-7.233280755149186-6.889526503968056*I	-3.5871469748762586-3.0050736086040533*I	16.390780701777654+16.9865867424437*I	16.69807287762414+16.59598208062919*I	-3.0339819978864053-3.70813127065258*I	-6.874030944992723-6.55165066916843*I	-8.593562242383545-8.188489141180234*I
-7.233280755149263-6.889526503968101*I	-5.785935651469014-5.512344531249996*I	-2.8694170725401746-2.404417601580751*I	13.110925902748022+13.590908472025227*I	13.356798703891393+13.278455471791208*I	-2.4268147851820885-2.966808414721872*I	-5.498569590927319-5.242007938429279*I	-6.874030944992792-6.55165066916847*I
-3.587146974877143-3.00507360860341*I	-2.869417072540854-2.404417601580217*I	-1.3387194916551342-1.9275022768050452*I	6.123517948742024+6.388928967822682*I	6.236894957751971+7.0392578028580655*I	-1.1347059083207323-0.7568990360404535*I	-2.426814785180083-2.966808414722776*I	-3.0339819978839335-3.708131270653733*I
16.390780701779278+16.986586742444572*I	13.110925902749175+13.590908472025836*I	6.123517948740875+6.388928967824296*I	-33.13796455925794-33.76781962656182*I	-33.63051281418457-33.40649846552968*I	6.2368949577568324+7.039257802856653*I	13.356798703890965+13.278455471792762*I	16.698072877623773+16.595982080631245*I
16.69807287762638+16.595982080629266*I	13.356798703893046+13.278455471791176*I	6.2368949577510815+7.039257802859355*I	-33.630512814185856-33.40649846552811*I	-33.13796455925321-33.76781962656326*I	6.123517948745936+6.388928967821569*I	13.110925902745729+13.59090847202739*I	16.390780701774965+16.9865867424465*I
-3.0339819978863054-3.708131270653364*I	-2.4268147851819792-2.9668084147224802*I	-1.1347059083203248-0.7568990360410199*I	6.236894957755962+7.039257802857854*I	6.123517948744807+6.388928967823079*I	-1.3387194916568959-1.9275022768045154*I	-2.8694170725416392-2.404417601580548*I	-3.5871469748781237-3.005073608603824*I
-6.874030944993378-6.551650669167764*I	-5.4985695909277865-5.242007938428712*I	-2.4268147851796424-2.9668084147230376*I	13.356798703890997+13.278455471790755*I	13.110925902745258+13.590908472026031*I	-2.8694170725419905-2.404417601579652*I	-5.785935651467295-5.512344531250724*I	-7.233280755147112-6.88952650396901*I
-8.593562242384317-8.188489141179355*I	-6.874030944993336-6.5516506691677225*I	-3.0339819978833664-3.708131270654038*I	16.698072877623726+16.59598208062863*I	16.390780701774286+16.986586742444707*I	-3.587146974878541-3.005073608602686*I	-7.233280755147076-6.889526503968969*I	-7.792677310689504-8.61093404529737*I
