0.-652.2701995748124*I	-0.9347729800425187+0.*I	0.+2.7096731546102237*I	6.024768733259502+0.*I	0.-2.7090706777368982*I	-6.024497826191727+0.*I	0.+0.02681404517254779*I	268.1404517254772+0.*I
-0.9347729800425187+0.*I	0.-0.00009347729800425188*I	-0.0002709673154610189+0.*I	0.+0.0006024768733259498*I	0.00027090706777368627+0.*I	0.-0.0006024497826191723*I	-2.68140451725458*^-6+0.*I	0.+0.026814045172547527*I
0.+2.709673154610219*I	-0.00027096731546102194+0.*I	0.-0.027509972253171203*I	-0.9345020729747453+0.*I	0.+0.027416522045873724*I	0.9344993313225406+0.*I	0.-0.0006024497826191725*I	-6.024497826191717+0.*I
6.024768733259491+0.*I	0.+0.0006024768733259491*I	-0.9345020729747452+0.*I	0.-0.027423071564345553*I	-0.0654951847180983+0.*I	0.+0.02741652204587374*I	0.00027090706777369337+0.*I	0.-2.7090706777368982*I
0.-2.7090706777368934*I	0.0002709070677736893+0.*I	0.+0.027416522045873717*I	-0.06549518471809836+0.*I	0.-0.02742307156434553*I	-0.9345020729747452+0.*I	0.+0.0006024768733259495*I	6.0247687332594895+0.*I
-6.024497826191715+0.*I	0.-0.0006024497826191716*I	0.9344993313225405+0.*I	0.+0.027416522045873745*I	-0.934502072974745+0.*I	0.-0.02750997225317122*I	-0.0002709673154610235+0.*I	0.+2.709673154610222*I
0.+0.02681404517254774*I	-2.681404517254774*^-6+0.*I	0.-0.0006024497826191725*I	0.00027090706777368947+0.*I	0.+0.0006024768733259499*I	-0.000270967315461022+0.*I	0.-0.00009347729800425201*I	-0.9347729800425186+0.*I
268.140451725477+0.*I	0.+0.0268140451725477*I	-6.024497826191717+0.*I	0.-2.7090706777368903*I	6.02476873325949+0.*I	0.+2.7096731546102166*I	-0.9347729800425186+0.*I	0.-652.2701995748124*I
