0.39706682985859876-0.000022600447418240448*I	0.191200491835841-0.000028094659268861463*I	0.09637139128646036-0.00002444535472676249*I	0.038910074748577834-0.000012387255919027337*I	0.020358834197998752-8.825405555461742*^-6*I	0.02216642872795897-0.000012053077327558012*I	0.01132930560774124-7.158124339811074*^-6*I	0.003776435118849659-2.511922617232013*^-6*I
0.191200491835841-0.000028094659268861463*I	0.5736014783169888-0.0000651639286230003*I	0.28911417630391656-0.00006369892505164145*I	0.11673022548445912-0.00003327076028222423*I	0.06107650347653681-0.000024440333246585352*I	0.06649928738918463-0.000033942589109878136*I	0.03398791753903615-0.000020341442458659094*I	0.011329305607741239-7.1581243398110734*^-6*I
0.09637139128646033-0.000024445354726762487*I	0.2891141763039165-0.00006369892505164143*I	0.628771460098432-0.00009194839339306732*I	0.2522769953123777-0.00005253499251544679*I	0.12805953109220028-0.00004042888462203529*I	0.13190160200711168-0.000055945708241439055*I	0.06649928738918462-0.000033942589109878116*I	0.022166428727958962-0.000012053077327558007*I
0.038910074748577834-0.000012387255919027337*I	0.11673022548445909-0.00003327076028222422*I	0.2522769953123777-0.00005253499251544679*I	0.4856113124782468-0.00004552161882241277*I	0.2045569466745246-0.00003546873270396684*I	0.12805953109220033-0.00004042888462203529*I	0.06107650347653679-0.00002444033324658534*I	0.020358834197998745-8.825405555461739*^-6*I
0.02035883419799875-8.82540555546174*^-6*I	0.06107650347653681-0.000024440333246585346*I	0.12805953109220033-0.0000404288846220353*I	0.20455694667452462-0.00003546873270396684*I	0.4856113124782468-0.00004552161882241277*I	0.25227699531237774-0.000052534992515446805*I	0.11673022548445908-0.000033270760282224226*I	0.03891007474857783-0.000012387255919027335*I
0.022166428727958966-0.000012053077327558009*I	0.06649928738918462-0.000033942589109878136*I	0.1319016020071117-0.00005594570824143906*I	0.1280595310922003-0.0000404288846220353*I	0.25227699531237774-0.0000525349925154468*I	0.6287714600984321-0.00009194839339306734*I	0.2891141763039165-0.00006369892505164143*I	0.09637139128646033-0.000024445354726762484*I
0.011329305607741237-7.158124339811071*^-6*I	0.03398791753903614-0.000020341442458659088*I	0.06649928738918462-0.00003394258910987812*I	0.061076503476536786-0.00002444033324658534*I	0.11673022548445908-0.00003327076028222422*I	0.28911417630391645-0.00006369892505164142*I	0.5736014783169887-0.00006516392862300026*I	0.19120049183584092-0.000028094659268861453*I
0.0037764351188496583-2.5119226172320123*^-6*I	0.011329305607741235-7.158124339811072*^-6*I	0.022166428727958955-0.000012053077327558007*I	0.02035883419799874-8.825405555461737*^-6*I	0.03891007474857783-0.000012387255919027335*I	0.09637139128646033-0.000024445354726762484*I	0.19120049183584095-0.000028094659268861456*I	0.3970668298585987-0.000022600447418240444*I
