0.-0.00008224626798067512*I	-0.58273835045146+0.*I	0.+0.00002397243293552916*I	0.24829127164929232+0.*I	0.+8.566942294001171*^-7*I	-0.04441799271944399+0.*I	0.-5.298493501344505*^-6*I	-0.032746571965664044+0.*I	0.+2.0238363047781196*^-6*I	0.028805308145084734+0.*I	0.+8.566945097303393*^-7*I	-0.0017087202441064008+0.*I	0.-1.027566534140993*^-6*I	-0.009515054586931025+0.*I	0.+7.606107544787323*^-8*I	0.009515054579324807+0.*I	0.+8.754443824846226*^-7*I	0.011223774933794181+0.*I	0.+1.2744996450357773*^-6*I	-0.027096587986647602+0.*I	0.-4.840852953430833*^-6*I	0.003941263618195621+0.*I	0.+3.21114301047225*^-6*I	0.07716456521495742+0.*I	0.+9.803807012368192*^-6*I	-0.20387327901551777+0.*I	0.-0.00003104782914332015*I	0.3344470764049242+0.*I	0.+0.00004052010384828366*I	-0.41726164132391325+0.*I
-0.5827383504514598+0.*I	0.-828.1457074637283*I	-0.3344470788021674+0.*I	0.+1305.7379987231939*I	0.20387327892984797+0.*I	0.-1267.0871424474*I	-0.07716456468510796+0.*I	0.+811.0582850568746*I	-0.003941263820579494+0.*I	0.-231.55324080398552*I	0.027096587900978034+0.*I	0.-158.72813069940423*I	-0.011223774831037522+0.*I	0.+207.38829417968412*I	-0.009515054586930805+0.*I	0.-207.3882951311892*I	0.03025388410004974+0.*I	0.-48.66016460265695*I	-0.014164092808746448+0.*I	0.+390.2813742130487*I	-0.05196063251353633+0.*I	0.-579.5050446470154*I	0.11385240079881737+0.*I	0.+456.0288496740691*I	-0.08229072108111612+0.*I	0.-38.6508358884658*I	-0.11771747425988544+0.*I	0.-477.5923247041735*I	0.4999237855324695+0.*I	0.+828.1456491898933*I
0.+0.000023972432935529054*I	-0.33444707880216745+0.*I	0.-0.00005741714081574582*I	-0.3788650715216114+0.*I	0.+0.00001953063366358466*I	0.1711267069641838+0.*I	0.-2.4179629671662696*^-6*I	-0.04835925654002358+0.*I	0.-2.417962686836081*^-6*I	-0.005649984064686134+0.*I	0.+1.852964280367478*^-6*I	0.017581533314047097+0.*I	0.-9.481094896275267*^-8*I	-0.011223774831037519+0.*I	0.-1.0275665341409898*^-6*I	0.011223774933794093+0.*I	0.+2.1499440275203574*^-6*I	-0.006357758473528496+0.*I	0.-2.6909089259104677*^-6*I	-0.011931549434657405+0.*I	0.-3.5521029792286715*^-7*I	0.05400924084650591+0.*I	0.+8.174097069409483*^-6*I	-0.12276745018236404+0.*I	0.-0.000018032879120479734*I	0.20773836260436418+0.*I	0.+0.000019276081717331628*I	-0.28668784393450697+0.*I	0.+9.472274704963333*^-6*I	0.3344470764049242+0.*I
0.24829127164929266+0.*I	0.+1305.7379987231936*I	-0.3788650715216121+0.*I	0.-2095.232849911127*I	-0.41161164348727525+0.*I	0.+2116.7962837800687*I	0.19993201510926845+0.*I	0.-1498.6403832513859*I	-0.05006797678412986+0.*I	0.+652.3301543574711*I	-0.01516503865161728+0.*I	0.-24.1649466243013*I	0.017581533314047326+0.*I	0.-158.7281306994046*I	-0.001708720244106926+0.*I	0.+158.72813052853218*I	-0.014164092808746365+0.*I	0.+182.89307908185907*I	-0.02170674841348641+0.*I	0.-628.1652092496737*I	0.09968830799007078+0.*I	0.+846.3102238871169*I	-0.1342513535946528+0.*I	0.-618.1558805354815*I	-0.0038650734610676807+0.*I	0.-21.56347503010655*I	0.41763306445135395+0.*I	0.+789.4948133014261*I	-0.11771747425988566+0.*I	0.-1305.7379738940665*I
0.+8.566942294002989*^-7*I	0.20387327892984827+0.*I	0.+0.000019530633663584516*I	-0.41161164348727597+0.*I	0.-0.000060691798012312114*I	-0.3828063353421908+0.*I	0.+0.000022411164478093037*I	0.1982232948651619+0.*I	0.-2.5888349915768642*^-6*I	-0.059583031371060816+0.*I	0.-3.3694681455292085*^-6*I	-0.01516503865161737+0.*I	0.+1.8529642803674722*^-6*I	0.027096587900978093+0.*I	0.+8.566945097303417*^-7*I	-0.02709658798664755+0.*I	0.-3.566353308395085*^-6*I	-0.01193154943465727+0.*I	0.+5.202340845617551*^-7*I	0.07474807035962483+0.*I	0.+0.000010324041096929967*I	-0.13864026323521758+0.*I	0.-0.00002159923242887479*I	0.18458303823591246+0.*I	0.+0.000017646371774373036*I	-0.20558201510135365+0.*I	0.+0.000022487224727803695*I	0.2077383626043642+0.*I	0.-0.00002124402213095199*I	-0.20387327901551772+0.*I
-0.044417992719444244+0.*I	0.-1267.0871424473996*I	0.17112670696418425+0.*I	0.+2116.7962837800687*I	-0.3828063353421911+0.*I	0.-2326.786090715115*I	-0.38451505558629734+0.*I	0.+1958.0681530806637*I	0.18870824027823105+0.*I	0.-1291.2520890717017*I	-0.059583031371061024+0.*I	0.+652.3301543574706*I	-0.005649984064686031+0.*I	0.-231.55324080398574*I	0.028805308145084585+0.*I	0.+231.55324368451684*I	-0.05196063251353633+0.*I	0.-420.7769141184832*I	0.09968830799007145+0.*I	0.+638.9219287559278*I	-0.10399746949460287+0.*I	0.-666.8160451381381*I	-0.018029166269814434+0.*I	0.+368.7178991829449*I	0.3656724319378182+0.*I	0.+209.989768654412*I	-0.0038650734610672366+0.*I	0.-849.7091242199986*I	-0.08229072108111668+0.*I	0.+1267.0871380056005*I
0.-5.2984935013446105*^-6*I	-0.0771645646851082+0.*I	0.-2.417962967166203*^-6*I	0.1999320151092689+0.*I	0.+0.00002241116447809309*I	-0.3845150555862977+0.*I	0.-0.00006086267003672288*I	-0.3940301101732285+0.*I	0.+0.000021459659019400024*I	0.18870824027823116+0.*I	0.-2.588834991576899*^-6*I	-0.05006797678413014+0.*I	0.-2.4179626868361206*^-6*I	-0.003941263820579333+0.*I	0.+2.0238363047781742*^-6*I	0.00394126361819572+0.*I	0.-1.629709942958623*^-6*I	0.05400924084650573+0.*I	0.+9.448596714445332*^-6*I	-0.13864026323521753+0.*I	0.-0.000020723788046390175*I	0.2053218677490314+0.*I	0.+0.000019796315801893325*I	-0.22145482815420686+0.*I	0.+0.00001892087141940878*I	0.18458303823591243+0.*I	0.-0.000022873732073910447*I	-0.12276745018236442+0.*I	0.+0.000013014950022840384*I	0.0771645652149575+0.*I
-0.032746571965663995+0.*I	0.+811.0582850568748*I	-0.048359256540023376+0.*I	0.-1498.6403832513854*I	0.198223294865162+0.*I	0.+1958.068153080665*I	-0.3940301101732284+0.*I	0.-2119.3977965354316*I	-0.3940301101732284+0.*I	0.+1958.068153080666*I	0.19822329486516177+0.*I	0.-1498.6403832513863*I	-0.04835925654002321+0.*I	0.+811.0582850568753*I	-0.03274657196566427+0.*I	0.-811.0582883315326*I	0.11385240079881753+0.*I	0.+687.5820933585853*I	-0.1342513535946529+0.*I	0.-459.42775000695036*I	-0.018029166269814434+0.*I	0.+161.3296040517545*I	0.3959263160378672+0.*I	0.+161.3296040517554*I	-0.018029166269814656+0.*I	0.-459.4277500069502*I	-0.13425135359465235+0.*I	0.+687.5820933585852*I	0.1138524007988172+0.*I	0.-811.0582883315318*I
0.+2.0238363047782572*^-6*I	-0.003941263820579353+0.*I	0.-2.4179626868361896*^-6*I	-0.050067976784130254+0.*I	0.-2.5888349915768316*^-6*I	0.18870824027823122+0.*I	0.+0.000021459659019399953*I	-0.3940301101732284+0.*I	0.-0.000060862670036722795*I	-0.38451505558629756+0.*I	0.+0.000022411164478093044*I	0.19993201510926858+0.*I	0.-2.417962967166204*^-6*I	-0.0771645646851081+0.*I	0.-5.2984935013446325*^-6*I	0.07716456521495739+0.*I	0.+0.000013014950022840362*I	-0.12276745018236428+0.*I	0.-0.000022873732073910586*I	0.18458303823591257+0.*I	0.+0.000018920871419408755*I	-0.22145482815420686+0.*I	0.+0.000019796315801893392*I	0.2053218677490314+0.*I	0.-0.000020723788046390185*I	-0.13864026323521744+0.*I	0.+9.448596714445227*^-6*I	0.0540092408465059+0.*I	0.-1.6297099429586587*^-6*I	0.0039412636181957224+0.*I
0.02880530814508525+0.*I	0.-231.55324080398617*I	-0.005649984064686753+0.*I	0.+652.3301543574723*I	-0.05958303137106047+0.*I	0.-1291.252089071704*I	0.1887082402782309+0.*I	0.+1958.0681530806667*I	-0.3845150555862976+0.*I	0.-2326.786090715116*I	-0.38280633534219094+0.*I	0.+2116.7962837800687*I	0.17112670696418392+0.*I	0.-1267.0871424474*I	-0.04441799271944402+0.*I	0.+1267.087138005601*I	-0.08229072108111601+0.*I	0.-849.7091242199986*I	-0.0038650734610674586+0.*I	0.+209.98976865441324*I	0.36567243193781707+0.*I	0.+368.7178991829437*I	-0.01802916626981399+0.*I	0.-666.8160451381386*I	-0.10399746949460287+0.*I	0.+638.9219287559289*I	0.09968830799007089+0.*I	0.-420.77691411848446*I	-0.05196063251353622+0.*I	0.+231.553243684517*I
0.+8.566945097301514*^-7*I	0.02709658790097794+0.*I	0.+1.8529642803676156*^-6*I	-0.015165038651616886+0.*I	0.-3.3694681455293114*^-6*I	-0.059583031371060934+0.*I	0.-2.5888349915767825*^-6*I	0.19822329486516196+0.*I	0.+0.000022411164478092986*I	-0.3828063353421907+0.*I	0.-0.00006069179801231207*I	-0.4116116434872756+0.*I	0.+0.000019530633663584543*I	0.2038732789298479+0.*I	0.+8.566942294002463*^-7*I	-0.20387327901551755+0.*I	0.-0.00002124402213095198*I	0.20773836260436424+0.*I	0.+0.000022487224727803803*I	-0.2055820151013538+0.*I	0.+0.00001764637177437303*I	0.18458303823591235+0.*I	0.-0.000021599232428874837*I	-0.1386402632352176+0.*I	0.+0.00001032404109692992*I	0.07474807035962451+0.*I	0.+5.202340845617734*^-7*I	-0.011931549434657523+0.*I	0.-3.5663533083949404*^-6*I	-0.02709658798664739+0.*I
