0.-0.00008259624710639198*I	0.5851979920497904+0.*I	0.+0.00002407644790141301*I	-0.25211792714175946+0.*I	0.+1.135344812763039*^-6*I	0.04696558280466459+0.*I	0.-5.831903093229445*^-6*I	0.03462112705416968+0.*I	0.+2.369790387812538*^-6*I	-0.035427808313310896+0.*I	0.+1.1729904435185347*^-6*I	0.00793471579563393+0.*I	0.-1.966462023081911*^-6*I	0.011753595305931326+0.*I	0.+7.911024924888013*^-7*I	-0.01327609842838521+0.*I	0.+5.365073503497463*^-7*I	0.0042198500740442246+0.*I	0.-9.584923577541212*^-7*I	0.004268162007972666+0.*I	0.+5.316761569569089*^-7*I	-0.006870439464258662+0.*I	0.+1.5536778946906135*^-7*I	0.004497276130054293+0.*I	0.-6.050954024743779*^-7*I	-0.0044972761905639775+0.*I	0.+1.0548230215307847*^-6*I	0.0023731633497410774+0.*I	0.-1.447507145973954*^-6*I	0.00260227750945364+0.*I	0.+6.556032380714583*^-7*I	-0.008488012177866032+0.*I	0.+1.1516903374695173*^-6*I	0.009056248407991801+0.*I	0.-2.593822528618514*^-6*I	0.0015225032015641774+0.*I	0.+1.6504697159730721*^-6*I	-0.019688311298211334+0.*I	0.+2.2848234369297656*^-6*I	0.027493092634976117+0.*I	0.-6.207123143947292*^-6*I	0.0008066814961203187+0.*I	0.+3.756664606519394*^-6*I	-0.08158671044202424+0.*I	0.+0.000010233909530894278*I	0.20515234445062974+0.*I	0.-0.000031884488788707515*I	-0.3330800625003858+0.*I	0.+0.00004111604713733092*I	0.4148019996905851+0.*I
0.585197992049775+0.*I	0.-817.2194304218552*I	0.33308006490803976+0.*I	0.+1279.2772057094453*I	-0.20515234433709512+0.*I	0.-1235.6563447826295*I	0.08158670985883217+0.*I	0.+807.8002859969165*I	-0.0008066812591404904+0.*I	0.-282.99773776813794*I	-0.027493092517673318+0.*I	0.-78.04781416116982*I	0.019688311101556263+0.*I	0.+181.65807979110625*I	-0.0015225031224456315+0.*I	0.-105.78751476791781*I	-0.009056248354346139+0.*I	0.-5.682362723269652*I	0.008488012082019228+0.*I	0.+58.857346257337944*I	-0.0026022774562853568+0.*I	0.-49.75440790490599*I	-0.002373163334205522+0.*I	0.+21.241127958493824*I	0.004497276130054836+0.*I	0.-21.241128408221375*I	-0.006621388970877037+0.*I	0.+28.513280183728547*I	0.01184588032345582+0.*I	0.-9.102938092204132*I	-0.010153896676390828+0.*I	0.-53.174984382869454*I	-0.003651613843914825+0.*I	0.+111.46987839681232*I	0.023854850037942188+0.*I	0.-75.87056487093784*I	-0.02991940340258986+0.*I	0.-103.61026759876692*I	-0.00012993445884312838+0.*I	0.+361.04555467861724*I	0.06372758244438093+0.*I	0.-524.8025481481105*I	-0.11540115600004897+0.*I	0.+427.8560506270419*I	0.07660005120394586+0.*I	0.-43.620840411581604*I	0.12419020909197187+0.*I	0.-462.0578085955968*I	-0.5034760548595612+0.*I	0.+817.2193719020561*I
0.+0.000024076447901413757*I	0.33308006490802494+0.*I	0.-0.000057384454392216194*I	0.3800456477127027+0.*I	0.+0.00001937988962094589*I	-0.17053121728292672+0.*I	0.-2.326767892653225*^-6*I	0.046158901545521235+0.*I	0.-2.289122261898848*^-6*I	0.007128034536498183+0.*I	0.+1.5763188082490136*^-6*I	-0.015739497211753016+0.*I	0.-2.3690870737141536*^-9*I	0.00641221267317932+0.*I	0.-6.388521802442097*^-7*I	0.0026973469515945057+0.*I	0.+3.6911748508473214*^-7*I	-0.004788086346371857+0.*I	0.+1.0969114955242414*^-7*I	0.0016175726177609674+0.*I	0.-2.7144841132848543*^-7*I	0.0018949986737683891+0.*I	0.+8.194854395158679*^-8*I	-0.0023731633342054907+0.*I	0.+1.5536778946888845*^-7*I	0.00237316334974229+0.*I	0.-3.9268412444315363*^-7*I	0.00047816466863181186+0.*I	0.+2.629191136282861*^-7*I	-0.0035125713186742245+0.*I	0.+3.5978642956761937*^-7*I	0.0031705137395799244+0.*I	0.-7.865289530781491*^-7*I	0.00209073943168893+0.*I	0.+2.0833752482445464*^-7*I	-0.009109559688659098+0.*I	0.+1.3414706242856842*^-6*I	0.009327284538336688+0.*I	0.-2.271829991045903*^-6*I	0.00861146283288643+0.*I	0.-1.6563510049113877*^-7*I	-0.053286936310931836+0.*I	0.+7.783450993485992*^-6*I	0.12437231550472844+0.*I	0.-0.00001789391465128994*I	-0.2095144284917873+0.*I	0.+0.000019465467879511204*I	0.28687428164082684+0.*I	0.+9.231558348629796*^-6*I	-0.33308006250038014+0.*I
-0.25211792714173964+0.*I	0.+1279.277205709439*I	0.38004564771268357+0.*I	0.-2052.8757752044758*I	0.41466677476686886+0.*I	0.+2087.077491706359*I	-0.20595902559623275+0.*I	0.-1518.6540825507593*I	0.05409361734115686+0.*I	0.+729.7524718357447*I	0.01888162984241762+0.*I	0.-101.33965797703577*I	-0.029015595640121183+0.*I	0.-183.83532892909935*I	0.010632062747211207+0.*I	0.+175.97571706784305*I	0.006965508959573097+0.*I	0.-46.930168510582234*I	-0.011658525810631315+0.*I	0.-55.43677062817321*I	0.006114848747813678+0.*I	0.+80.09847421583159*I	0.0018949986737698543+0.*I	0.-49.75440790490684*I	-0.006870439464260442+0.*I	0.+49.75440859195075*I	0.011845880323455488+0.*I	0.-30.34406650042477*I	-0.016775285647266824+0.*I	0.-24.661704199143234*I	0.008194266479540024+0.*I	0.+102.36694030460767*I	0.013700953361552082+0.*I	0.-129.0455492538118*I	-0.033571017246505463+0.*I	0.+7.85961079805013*I	0.02372491557909795+0.*I	0.+285.1749898076942*I	0.03380817904179345+0.*I	0.-628.412815746872*I	-0.11553109045890331+0.*I	0.+788.9016053056533*I	0.14032763364830725+0.*I	0.-568.4233885596967*I	0.008789053091912802+0.*I	0.-34.2017579685605*I	-0.4268760036556114+0.*I	0.+773.5985314904722*I	0.12419020909196687+0.*I	0.-1279.2771804976464*I
0.+1.1353448127598587*^-6*I	-0.20515234433708074+0.*I	0.+0.00001937988962094826*I	0.4146667747668494+0.*I	0.-0.00006084656709763316*I	0.37923896645356253+0.*I	0.+0.00002292267045227692*I	-0.19802430980059688+0.*I	0.-3.120239472217241*^-6*I	0.06584721264707538+0.*I	0.-3.464481792490319*^-6*I	0.0056055314140483455+0.*I	0.+2.9039286510854967*^-6*I	-0.024795745566088125+0.*I	0.-4.2435409447667736*^-7*I	0.014900224755190074+0.*I	0.-1.0656683810423146*^-6*I	0.00009506949531450742+0.*I	0.+1.056161431510873*^-6*I	-0.007161249680578794+0.*I	0.-3.400364634529857*^-7*I	0.006114848747815007+0.*I	0.-2.714484113284876*^-7*I	-0.002602277456285181+0.*I	0.+5.316761569571096*^-7*I	0.0026022775094529703+0.*I	0.-7.919039079023972*^-7*I	-0.003512571318674326+0.*I	0.+1.4146094510987275*^-6*I	0.0010464008987601957+0.*I	0.-1.1792130775216982*^-6*I	0.007066180290880328+0.*I	0.-5.835663830772106*^-7*I	-0.014995294357071283+0.*I	0.+3.1487641998262515*^-6*I	0.00989552076846288+0.*I	0.-3.7139621821956644*^-6*I	0.019190214442432865+0.*I	0.-1.1089879131335066*^-6*I	-0.07145274440757206+0.*I	0.+0.000011718744146380638*I	0.13217709684149742+0.*I	0.-0.00002181621435831769*I	-0.1812146543606987+0.*I	0.+0.00001701500934209547*I	0.20609425269493126+0.*I	0.+0.000023222132486050392*I	-0.20951442849177968+0.*I	0.-0.000021650579257822533*I	0.20515234445061523+0.*I
0.04696558280465413+0.*I	0.-1235.6563447826102*I	-0.1705312172829151+0.*I	0.+2087.077491706341*I	0.3792389664535493+0.*I	0.-2335.8735129726024*I	0.38717368224919035+0.*I	0.+2009.0296775451823*I	-0.1862707144946722+0.*I	0.-1336.996002759661*I	0.052571114218706055+0.*I	0.+623.9649570678263*I	0.009825381488076518+0.*I	0.-107.02202070028333*I	-0.020527583558104828+0.*I	0.-124.97798267177464*I	0.008029785290927433+0.*I	0.+126.22130916294553*I	0.004592345625367089+0.*I	0.-25.689040552092283*I	-0.007161249680576298+0.*I	0.-55.436770628173726*I	0.0016175726177586336+0.*I	0.+58.857346257339856*I	0.004268162007975168+0.*I	0.-58.85734668415594*I	-0.010153896676390745+0.*I	0.-3.420575790923182*I	0.00819426647954008+0.*I	0.+81.125811896391*I	0.007079564390676918+0.*I	0.-100.53226907008728*I	-0.021725136923052113+0.*I	0.-1.243327294148991*I	0.013571018902710064+0.*I	0.+232.0000054248162*I	0.030156565197876795+0.*I	0.-516.9429373500808*I	-0.09167624042096167+0.*I	0.+713.0310404347232*I	0.11040823024572877+0.*I	0.-672.0336561584503*I	0.008659118633092433+0.*I	0.+326.8437967100516*I	-0.3631484212112508+0.*I	0.+248.79598334236437*I	0.008789053091904364+0.*I	0.-851.4211298706093*I	0.07660005120396551+0.*I	0.+1235.6563400860518*I
0.-5.831903093225002*^-6*I	0.08158670985881981+0.*I	0.-2.326767892656928*^-6*I	-0.20595902559621515+0.*I	0.+0.000022922670452278465*I	0.3871736822491765+0.*I	0.-0.00006164003867719609*I	0.3989272775551167+0.*I	0.+0.00002174731092168441*I	-0.19954681292304272+0.*I	0.-1.7926296293801632*^-6*I	0.05679096429273485+0.*I	0.-3.886466799893295*^-6*I	0.014093543496060873+0.*I	0.+2.477112450287196*^-6*I	-0.027398023022367626+0.*I	0.+2.626898519495638*^-7*I	0.012527061420979393+0.*I	0.-1.5153959940475164*^-6*I	0.004592345625369918+0.*I	0.+1.0561614315105221*^-6*I	-0.011658525810632595+0.*I	0.+1.096911495528013*^-7*I	0.008488012082019308+0.*I	0.-9.584923577546559*^-7*I	-0.008488012177868478+0.*I	0.+1.8072935755414897*^-6*I	0.003170513739582289+0.*I	0.-2.234036099052442*^-6*I	0.007066180290878873+0.*I	0.+4.712566384542771*^-7*I	-0.017119407197889035+0.*I	0.+2.756080075381846*^-6*I	0.014870961627656963+0.*I	0.-4.505866090097163*^-6*I	0.013304479774017901+0.*I	0.+6.983056624080935*^-7*I	-0.07088450817744234+0.*I	0.+0.000010276611955229849*I	0.1427558484510449+0.*I	0.-0.00002275956717095417*I	-0.19938046245734292+0.*I	0.+0.0000209503024950082*I	0.21389903403170313+0.*I	0.+0.00001929983277903092*I	-0.1812146543606942+0.*I	0.-0.00002410103779523952*I	0.12437231550471858+0.*I	0.+0.000013990574137427052*I	-0.08158671044201007+0.*I
0.034621127054166534+0.*I	0.+807.800285996886*I	0.046158901545521935+0.*I	0.-1518.654082550723*I	-0.19802430980059432+0.*I	0.+2009.029677545154*I	0.3989272775551098+0.*I	0.-2154.215433181501*I	0.3856511791267399+0.*I	0.+1903.2421627772694*I	-0.19532696284901296+0.*I	0.-1342.6783654829248*I	0.061059126300720495+0.*I	0.+682.8223033251459*I	0.007223104031794159+0.*I	0.-156.7764286051757*I	-0.022900746892311807+0.*I	0.-103.73685471329009*I	0.0125270614209827+0.*I	0.+126.22130916294842*I	0.00009506949531212783+0.*I	0.-46.93016851058633*I	-0.00478808634637079+0.*I	0.-5.682362723268849*I	0.004219850074044018+0.*I	0.+5.682362301283842*I	-0.003651613843915824+0.*I	0.+52.61253171266351*I	0.013700953361553192+0.*I	0.-79.29114066186897*I	-0.02172513692305056+0.*I	0.-22.484455702364507*I	0.00694962993183168+0.*I	0.+260.51328560854034*I	0.04200244552133414+0.*I	0.-526.0458754422807*I	-0.10183013709735556+0.*I	0.+659.8560560518661*I	0.10675661640182144+0.*I	0.-560.5637777616485*I	0.03251396867102274+0.*I	0.+250.97323183911348*I	-0.3930678246138508+0.*I	0.+145.18571574361889*I	0.008659118633077778+0.*I	0.-490.37557519200027*I	0.14032763364834477+0.*I	0.+710.8537919379469*I	-0.1154011560000775+0.*I	0.-807.8002894589988*I
0.+2.3697903878087434*^-6*I	-0.0008066812591312922+0.*I	0.-2.289122261895616*^-6*I	0.054093617341142985+0.*I	0.-3.1202394722186707*^-6*I	-0.18627071449466107+0.*I	0.+0.00002174731092168479*I	0.38565117912673336+0.*I	0.-0.000060312428834358114*I	0.3898710292007701+0.*I	0.+0.00002132532591428114*I	-0.19105880084102683+0.*I	0.-2.2194458301784532*^-6*I	0.05418868683645281+0.*I	0.-3.1994228534668312*^-6*I	0.01172038016185047+0.*I	0.+2.0273848372817606*^-6*I	-0.022900746892310305+0.*I	0.+2.626898519492836*^-7*I	0.008029785290925533+0.*I	0.-1.0656683810417994*^-6*I	0.006965508959573966+0.*I	0.+3.691174850843272*^-7*I	-0.009056248354346343+0.*I	0.+5.365073503502962*^-7*I	0.009056248407997175+0.*I	0.-1.4421321911499972*^-6*I	0.002090739431684289+0.*I	0.+8.63940762897165*^-7*I	-0.014995294357066213+0.*I	0.+1.701257053851055*^-6*I	0.014870961627653879+0.*I	0.-3.451043068565623*^-6*I	0.011180366933198238+0.*I	0.+3.056215379639255*^-7*I	-0.06590906731824593+0.*I	0.+9.48470804732767*^-6*I	0.13687011378262914+0.*I	0.-0.000020952273595411902*I	-0.1988122262272108+0.*I	0.+0.00001950817030385188*I	0.22447778564125367+0.*I	0.+0.000018356479966380224*I	-0.19938046245734117+0.*I	0.-0.00002016574464233274*I	0.1321770968414942+0.*I	0.+0.000010068274430408342*I	-0.05328693631092392+0.*I	0.-2.450458537422056*^-6*I	0.0008066814961103391+0.*I
-0.03542780831329362+0.*I	0.-282.99773776809224*I	0.007128034536484362+0.*I	0.+729.7524718356848*I	0.06584721264708415+0.*I	0.-1336.9960027596103*I	-0.1995468129230452+0.*I	0.+1903.242162777247*I	0.3898710292007699+0.*I	0.-2159.897795904779*I	0.3941391912087524+0.*I	0.+1962.0995090346012*I	-0.19792924030529238+0.*I	0.-1392.4327733878197*I	0.05868596296651041+0.*I	0.+704.0634312836208*I	0.011720380161851507+0.*I	0.-156.77642860516056*I	-0.027398023022367657+0.*I	0.-124.97798267178868*I	0.014900224755188596+0.*I	0.+175.9757170678554*I	0.002697346951597124+0.*I	0.-105.78751476792313*I	-0.013276098428389782+0.*I	0.+105.78751609553296*I	0.023854850037943076+0.*I	0.-70.18820256966693*I	-0.03357101724650735+0.*I	0.-50.99773588608946*I	0.013571018902710286+0.*I	0.+281.7544140167518*I	0.04200244552133037+0.*I	0.-547.2870038504976*I	-0.10845152606823016+0.*I	0.+688.3693362356026*I	0.1186024967252779+0.*I	0.-569.6667158538576*I	0.022360071994632857+0.*I	0.+197.7982474562587*I	-0.39671943845776303+0.*I	0.+256.65559414042895*I	0.03251396867103651+0.*I	0.-566.2461400629552*I	0.11040823024573654+0.*I	0.+607.2435243392047*I	-0.11553109045888843+0.*I	0.-446.7547347803958*I	0.06372758244437571+0.*I	0.+282.9977413108731*I
0.+1.1729904435210366*^-6*I	-0.027493092517678064+0.*I	0.+1.5763188082467393*^-6*I	0.018881629842425345+0.*I	0.-3.4644817924893077*^-6*I	0.052571114218700234+0.*I	0.-1.7926296293806994*^-6*I	-0.1953269628490087+0.*I	0.+0.00002132532591428159*I	0.3941391912087519+0.*I	0.-0.000060739245035156786*I	0.3872687517444878+0.*I	0.+0.000022012369860708004*I	-0.19343196417523592+0.*I	0.-2.6691734431844017*^-6*I	0.058685962966512364+0.*I	0.-3.1994228534668613*^-6*I	0.007223104031793602+0.*I	0.+2.477112450287486*^-6*I	-0.020527583558104065+0.*I	0.-4.2435409447708097*^-7*I	0.01063206274721166+0.*I	0.-6.388521802440696*^-7*I	-0.0015225031224457748+0.*I	0.+7.911024924887088*^-7*I	0.0015225032015560632+0.*I	0.-9.433528126443051*^-7*I	-0.00910955968865092+0.*I	0.+2.4931609617533963*^-6*I	0.009895520768457252+0.*I	0.-3.0583589441222704*^-6*I	0.013304479774021879+0.*I	0.-7.492014835673096*^-7*I	-0.06590906731824822+0.*I	0.+0.000010539531068858992*I	0.13474600094180622+0.*I	0.-0.00002134495771985513*I	-0.1938367853680149+0.*I	0.+0.000018716266395948942*I	0.21859205097283577+0.*I	0.+0.000020163773541923753*I	-0.19881222622721065+0.*I	0.-0.000021607876833482027*I	0.1427558484510456+0.*I	0.+9.124921617761007*^-6*I	-0.07145274440757368+0.*I	0.+1.4848346154839652*^-6*I	0.008611462832884588+0.*I	0.-3.9222997070181905*^-6*I	0.027493092634977154+0.*I
