0.-0.00008254141509167567*I	0.5843124103473296+0.*I	0.+0.000024110174056942797*I	-0.25154123764625147+0.*I	0.+1.0439497076823412*^-6*I	0.04765707118152535+0.*I	0.-5.809656825834876*^-6*I	0.03324461955770643+0.*I	0.+2.4851948700642324*^-6*I	-0.035114093206596135+0.*I	0.+1.0262144505953565*^-6*I	0.009637825717556206+0.*I	0.-1.9899970223510244*^-6*I	0.009460469146685385+0.*I	0.+1.0439501076824767*^-6*I	-0.013344643611409211+0.*I	0.+2.9051425345844583*^-7*I	0.007919218187477517+0.*I	0.-1.0824360722062042*^-6*I	-0.007919218295721054+0.*I	0.+1.8743579017783952*^-6*I	0.005425425452983325+0.*I	0.-2.707414700535188*^-6*I	0.003884174569119064+0.*I	0.+1.2750471359407244*^-6*I	-0.019098295063241188+0.*I	0.+2.6247793927341286*^-6*I	0.025476267591661213+0.*I	0.-6.198620602495791*^-6*I	0.0018694738974089167+0.*I	0.+3.526478342689717*^-6*I	-0.08090169132019762+0.*I	0.+0.000010373347615164745*I	0.20388416656912098+0.*I	0.-0.00003180571397975897*I	-0.3327711702900607+0.*I	0.+0.00004097265695182305*I	0.415687581398529+0.*I
0.5843124103473302+0.*I	0.-829.1641695159204*I	0.3327711727010778+0.*I	0.+1288.870062363534*I	-0.2038841664647244+0.*I	0.-1229.8247572549333*I	0.08090169073923105+0.*I	0.+790.322170903417*I	-0.0018694736488893693+0.*I	0.-273.45741137929053*I	-0.02547626748903964+0.*I	0.-63.77972624797585*I	0.01909829486424211+0.*I	0.+152.14120399517597*I	-0.0038841744647245824+0.*I	0.-93.09599888656409*I	-0.005425425423931818+0.*I	0.+24.937927635453786*I	0.007919218187477373+0.*I	0.-24.937928427375724*I	-0.010413011030214983+0.*I	0.+68.1580717936529*I	0.022654243633512372+0.*I	0.-59.04520472019405*I	-0.024674589640807487+0.*I	0.-88.36147965702949*I	-0.0032598531891372406+0.*I	0.+337.23714017489283*I	0.06245983469566613+0.*I	0.-516.8647593371792*I	-0.11227683698049473+0.*I	0.+439.5025782613473*I	0.0753254040673983+0.*I	0.-59.0452847201838*I	0.1226542339253116+0.*I	0.-459.7059261247308*I	-0.5013959992388588+0.*I	0.+829.1641110846793*I
0.+0.00002411017405694224*I	0.33277117270107887+0.*I	0.-0.00005738729132705012*I	0.3804282438826041+0.*I	0.+0.000019344466938789707*I	-0.17063954690701835+0.*I	0.-2.280512248087838*^-6*I	0.04578759753263449+0.*I	0.-2.29824750517561*^-6*I	0.007768352068668057+0.*I	0.+1.521412298308798*^-6*I	-0.016015798342354545+0.*I	0.+8.016753592666729*^-8*I	0.005753651252832574+0.*I	0.-6.555326612099412*^-7*I	0.00403504372275265+0.*I	0.+2.520282889346743*^-7*I	-0.0054254254239318915+0.*I	0.+2.905142534584934*^-7*I	0.0054254254529834175+0.*I	0.-8.330567987568548*^-7*I	0.0013903817263819017+0.*I	0.+4.4199033718392585*^-7*I	-0.00978869504113877+0.*I	0.+1.1924118281398713*^-6*I	0.010262147097538853+0.*I	0.-2.2987940738201637*^-6*I	0.00824744642582787+0.*I	0.-4.7362867071200073*^-8*I	-0.053555949831127374+0.*I	0.+7.701205355359397*^-6*I	0.12485194914633256+0.*I	0.-0.00001790588802190448*I	-0.2097886950411392+0.*I	0.+0.000019540290587228246*I	0.28680057767758776+0.*I	0.+9.166942972063149*^-6*I	-0.3327711702900614+0.*I
-0.25154123764625125+0.*I	0.+1288.8700623635343*I	0.3804282438826048+0.*I	0.-2058.988926770854*I	0.4136728634403097+0.*I	0.+2079.1922332669533*I	-0.20575364011361438+0.*I	0.-1503.2821686342272*I	0.0554254232501917+0.*I	0.+726.5424446554407*I	0.017228821215352352+0.*I	0.-121.31620738411353*I	-0.02936044195376375+0.*I	0.-156.87572513453975*I	0.013672869440309848+0.*I	0.+177.07913163062787*I	0.0040350437227528735+0.*I	0.-93.09599888656298*I	-0.013344643611409412+0.*I	0.+93.09600022102731*I	0.022654243633512233+0.*I	0.-83.98313314756942*I	-0.03508760067102212+0.*I	0.-20.203407863375308*I	0.019394390444375187+0.*I	0.+278.1919354546975*I	0.037785245054858696+0.*I	0.-605.2262389942091*I	-0.1155366901696312+0.*I	0.+776.7397184362442*I	0.13778523876306403+0.*I	0.-575.9100440573615*I	0.010377396944814654+0.*I	0.-20.203347863385524*I	-0.42607059517146517+0.*I	0.+770.1188263644952*I	0.12265423392530794+0.*I	0.-1288.8700372094104*I
0.+1.0439497076828497*^-6*I	-0.20388416646472562+0.*I	0.+0.00001934446693878972*I	0.413672863440311+0.*I	0.-0.00006071175328282083*I	0.37855877023371287+0.*I	0.+0.000022855876259449502*I	-0.196115814396057+0.*I	0.-3.2442948198438248*^-6*I	0.06488589239687688+0.*I	0.-3.2442944198438847*^-6*I	0.003884177603942528+0.*I	0.+2.855876659449643*^-6*I	-0.02144122376628647+0.*I	0.-7.11754282821012*^-7*I	0.013672869440309836+0.*I	0.-6.555326612100001*^-7*I	-0.003884174464724181+0.*I	0.+1.0439501076824212*^-6*I	0.003884174569119295+0.*I	0.-1.4323675645943542*^-6*I	-0.00978869504113887+0.*I	0.+3.0667697299182415*^-6*I	0.007768354254801099+0.*I	0.-3.1318508725772772*^-6*I	0.01755704644793165+0.*I	0.-1.4797304316656268*^-6*I	-0.06877007032524882+0.*I	0.+0.000011601031884034522*I	0.13122992167475056+0.*I	0.-0.000021479729231665672*I	-0.18244295355206835+0.*I	0.+0.000016868148327423062*I	0.20776836025480075+0.*I	0.+0.000023066768929918404*I	-0.20978869504113873+0.*I	0.-0.00002143236636459431*I	0.20388416656912056+0.*I
0.04765707118152629+0.*I	0.-1229.824757254933*I	-0.17063954690701943+0.*I	0.+2079.1922332669515*I	0.37855877023371465+0.*I	0.-2332.4463381501478*I	0.38819659595127054+0.*I	0.+2015.41250701898*I	-0.1866553452493726+0.*I	0.-1351.1409646390512*I	0.05154124878546751+0.*I	0.+633.4464457688783*I	0.011803395791420257+0.*I	0.-96.37827974866187*I	-0.021441223766286543+0.*I	0.-156.87572513453864*I	0.00575365125283267+0.*I	0.+152.1412039951752*I	0.00946046914668508+0.*I	0.-152.14120494122213*I	-0.024674589640807487+0.*I	0.+4.73452056399842*I	0.019394390444374743+0.*I	0.+253.2540070273233*I	0.027372234024643505+0.*I	0.-537.0681672005558*I	-0.09288244653611932+0.*I	0.+717.6945137160478*I	0.11311064912225666+0.*I	0.-664.2715237143941*I	0.007117543755677858+0.*I	0.+317.0337923115087*I	-0.36361076047579877+0.*I	0.+253.25406702731982*I	0.01037739694481532+0.*I	0.-849.3674589480637*I	0.0753254040673963+0.*I	0.+1229.824752489226*I
0.-5.809656825835183*^-6*I	0.08090169073923197+0.*I	0.-2.280512248088015*^-6*I	-0.20575364011361555+0.*I	0.+0.00002285587625944957*I	0.38819659595127143+0.*I	0.-0.00006167553585457669*I	0.3976570650979559+0.*I	0.+0.00002190982934478112*I	-0.1999999888607823+0.*I	0.-1.909830458702893*^-6*I	0.05946046697294511+0.*I	0.-4.03621623859162*^-6*I	0.01180339579142035+0.*I	0.+2.855876659449598*^-6*I	-0.02936044195376366+0.*I	0.+8.016753592679678*^-8*I	0.01909829486424172+0.*I	0.-1.9899970223509766*^-6*I	-0.019098295063241438+0.*I	0.+3.8998265286751225*^-6*I	0.010262147097538737+0.*I	0.-5.006208774355736*^-6*I	0.017557046447931008+0.*I	0.+3.946274701129099*^-7*I	-0.07126386316798697+0.*I	0.+0.000010767975085277538*I	0.14053952169685427+0.*I	0.-0.000022912096796260003*I	-0.1976570740461907+0.*I	0.+0.000020767974856098084*I	0.21414633278321907+0.*I	0.+0.000019492927720156866*I	-0.1824429535520683+0.*I	0.-0.000024104508624399114*I	0.12485194914633234+0.*I	0.+0.000013899825957855711*I	-0.08090169132019763+0.*I
0.03324461955770752+0.*I	0.+790.3221709034174*I	0.04578759753263417+0.*I	0.-1503.2821686342274*I	-0.19611581439605696+0.*I	0.+2015.4125070189846*I	0.3976570650979555+0.*I	0.-2180.3051341549763*I	0.3843124214865469+0.*I	0.+1922.316508132415*I	-0.1920807706733054+0.*I	0.-1326.2030370035966*I	0.05946046697294566+0.*I	0.+633.4464457688798*I	0.0038841776039422737+0.*I	0.-121.31620738411848*I	-0.016015798342354226+0.*I	0.-63.779726247973244*I	0.009637825717556892+0.*I	0.+63.77972528419068*I	-0.003259853189137518+0.*I	0.+185.09593523367164*I	0.03778524505485936+0.*I	0.-512.1302387731791*I	-0.09288244653612021+0.*I	0.+692.7565852886702*I	0.10269763809204036+0.*I	0.-596.1134519207407*I	0.029771787389191173+0.*I	0.+257.9885875913192*I	-0.38828535011660437+0.*I	0.+164.89258737028536*I	0.007117543755676747+0.*I	0.-512.1303187731754*I	0.13778523876306403+0.*I	0.+712.9599931520505*I	-0.11227683698049562+0.*I	0.-790.3221742278793*I
0.+2.4851948700644255*^-6*I	-0.0018694736488896937+0.*I	0.-2.2982475051754634*^-6*I	0.05542542325019188+0.*I	0.-3.244294819843727*^-6*I	-0.1866553452493725+0.*I	0.+0.000021909829344780994*I	0.38431242148654665+0.*I	0.-0.00006034107149343564*I	0.3922316396740235+0.*I	0.+0.000021117907526033287*I	-0.19208077067330456+0.*I	0.-1.9098304587028307*^-6*I	0.05154124878546748+0.*I	0.-3.24429441984393*^-6*I	0.017228821215352255+0.*I	0.+1.5214122983087205*^-6*I	-0.02547626748903918+0.*I	0.+1.0262144505952178*^-6*I	0.02547626759166064+0.*I	0.-3.5738412097613156*^-6*I	0.008247446425828494+0.*I	0.+1.2276842688697972*^-6*I	-0.06877007032524905+0.*I	0.+8.893617183499013*^-6*I	0.14053952169685394+0.*I	0.-0.00002103773889448159*I	-0.20015086688892836+0.*I	0.+0.0000199349180573408*I	0.22345593280532264+0.*I	0.+0.000018060560155562353*I	-0.19765707404619112+0.*I	0.-0.000020204682095724268*I	0.13122992167475114+0.*I	0.+0.000010325984748093777*I	-0.053555949831126985+0.*I	0.-2.672142259805251*^-6*I	0.0018694738974091723+0.*I
-0.03511409320659703+0.*I	0.-273.45741137929116*I	0.007768352068667883+0.*I	0.+726.5424446554435*I	0.06488589239687637+0.*I	0.-1351.1409646390541*I	-0.1999999888607818+0.*I	0.+1922.3165081324178*I	0.39223163967402364+0.*I	0.-2155.3672065195183*I	0.3922316396740245+0.*I	0.+1922.3165081324162*I	-0.1999999888607829+0.*I	0.-1351.1409646390532*I	0.06488589239687764+0.*I	0.+726.5424446554451*I	0.007768352068666995+0.*I	0.-273.4574113792921*I	-0.035114093206596364+0.*I	0.+273.45741489070156*I	0.06245983469566618+0.*I	0.-453.0850340529881*I	-0.11553669016963253+0.*I	0.+624.5985134950192*I	0.11311064912225688+0.*I	0.-571.1755234933642*I	0.02977178738919095+0.*I	0.+233.05065916393795*I	-0.39869836114682045+0.*I	0.+233.05065916393673*I	0.029771787389190285+0.*I	0.-571.1755234933646*I	0.11311064912225577+0.*I	0.+624.5985134950214*I	-0.11553669016963164+0.*I	0.-453.08503405298757*I	0.06245983469566968+0.*I	0.+273.4574148907006*I
0.+1.0262144505952663*^-6*I	-0.025476267489039275+0.*I	0.+1.521412298308684*^-6*I	0.01722882121535236+0.*I	0.-3.2442944198439165*^-6*I	0.051541248785467196+0.*I	0.-1.909830458702814*^-6*I	-0.19208077067330476+0.*I	0.+0.000021117907526033294*I	0.3922316396740244+0.*I	0.-0.00006034107149343573*I	0.3843124214865463+0.*I	0.+0.00002190982934478115*I	-0.18665534524937288+0.*I	0.-3.244294819843818*^-6*I	0.055425423250192465+0.*I	0.-2.298247505175449*^-6*I	-0.0018694736488900424+0.*I	0.+2.4851948700644213*^-6*I	0.0018694738974093649+0.*I	0.-2.6721422598053347*^-6*I	-0.05355594983112723+0.*I	0.+0.00001032598474809349*I	0.13122992167475106+0.*I	0.-0.00002020468209572471*I	-0.19765707404619032+0.*I	0.+0.000018060560155562387*I	0.2234559328053222+0.*I	0.+0.00001993491805734124*I	-0.2001508668889289+0.*I	0.-0.000021037738894481186*I	0.1405395216968545+0.*I	0.+8.893617183498914*^-6*I	-0.068770070325249+0.*I	0.+1.2276842688702588*^-6*I	0.008247446425828123+0.*I	0.-3.5738412097613584*^-6*I	0.02547626759166072+0.*I
0.009637825717558335+0.*I	0.-63.77972624797509*I	-0.016015798342355836+0.*I	0.-121.31620738411594*I	0.003884177603944383+0.*I	0.+633.4464457688805*I	0.059460466972943715+0.*I	0.-1326.2030370036*I	-0.1920807706733038+0.*I	0.+1922.3165081324173*I	0.38431242148654554+0.*I	0.-2180.305134154976*I	0.39765706509795684+0.*I	0.+2015.4125070189832*I	-0.19611581439605869+0.*I	0.-1503.2821686342293*I	0.045787597532635504+0.*I	0.+790.322170903418*I	0.0332446195577063+0.*I	0.-790.3221742278799*I	-0.11227683698049395+0.*I	0.+712.9599931520513*I	0.1377852387630638+0.*I	0.-512.1303187731721*I	0.0071175437556774135+0.*I	0.+164.8925873702865*I	-0.3882853501166048+0.*I	0.+257.98858759131593*I	0.029771787389190507+0.*I	0.-596.1134519207401*I	0.10269763809204013+0.*I	0.+692.7565852886731*I	-0.09288244653611799+0.*I	0.-512.1302387731822*I	0.03778524505486336+0.*I	0.+185.0959352336709*I	-0.0032598531891355753+0.*I	0.+63.77972528419266*I
0.-1.9899970223510414*^-6*I	0.019098294864241767+0.*I	0.+8.016753592684259*^-8*I	-0.029360441953763975+0.*I	0.+2.855876659449543*^-6*I	0.011803395791420666+0.*I	0.-4.0362162385916206*^-6*I	0.05946046697294504+0.*I	0.-1.909830458702875*^-6*I	-0.19999998886078263+0.*I	0.+0.000021909829344781157*I	0.3976570650979564+0.*I	0.-0.00006167553585457681*I	0.38819659595127076+0.*I	0.+0.0000228558762594497*I	-0.20575364011361502+0.*I	0.-2.28051224808816*^-6*I	0.08090169073923159+0.*I	0.-5.809656825834997*^-6*I	-0.0809016913201974+0.*I	0.+0.000013899825957854725*I	0.12485194914633214+0.*I	0.-0.000024104508624399862*I	-0.18244295355206816+0.*I	0.+0.000019492927720156978*I	0.21414633278321898+0.*I	0.+0.00002076797485609795*I	-0.19765707404619084+0.*I	0.-0.00002291209679626026*I	0.14053952169685469+0.*I	0.+0.000010767975085277494*I	-0.07126386316798734+0.*I	0.+3.946274701128688*^-7*I	0.017557046447930928+0.*I	0.-5.00620877435599*^-6*I	0.010262147097538914+0.*I	0.+3.899826528674947*^-6*I	-0.019098295063241497+0.*I
