-0.4719139914706297-0.5014332194605426*I	0.20237789599881417-0.6774466606077562*I	0.771365532882814-0.5012080760285363*I	0.9391929718601476-0.06441842846776599*I	0.6186336236273577+0.4057748825990568*I	0.09913925330270773-0.0646273127946998*I
0.20237789599881423-0.6774466606077563*I	-0.4021301746211132-0.9154956312384963*I	0.2023778959988144-0.6774466606077562*I	0.7015817160332977-0.08714566425058268*I	0.8359543291640411+0.5484009193452904*I	0.7015817160332976-0.08714566425058284*I
0.771365532882814-0.5012080760285366*I	0.20237789599881406-0.6774466606077563*I	-0.47191399147062985-0.5014332194605426*I	0.0991392533027077-0.06462731279469969*I	0.6186336236273579+0.40577488259905686*I	0.9391929718601476-0.06441842846776613*I
0.9391929718601474-0.0644184284677662*I	0.7015817160332974-0.08714566425058293*I	0.09913925330270765-0.06462731279469987*I	-0.5548620838765695-0.008512672610903138*I	0.07966401129270831+0.05208404353895087*I	0.688417440476874-0.00828752917889706*I
0.6186336236273577+0.4057748825990567*I	0.835954329164041+0.5484009193452903*I	0.6186336236273576+0.40577488259905664*I	0.07966401129270807+0.05208404353895071*I	-0.5007256785097957-0.3286984645625389*I	0.07966401129270823+0.052084043538950804*I
0.09913925330270762-0.06462731279469976*I	0.7015817160332976-0.08714566425058276*I	0.9391929718601476-0.06441842846776606*I	0.6884174404768741-0.00828752917889703*I	0.07966401129270817+0.05208404353895077*I	-0.5548620838765697-0.008512672610903138*I
