-3.242403015002708-0.21478021432048236*I	0.5383459743663281+0.45834841617665356*I	2.7471705534273037-0.2069541631594755*I	-3.065763578935764-0.26822530312527887*I	0.07330511666328476+0.4540280183926257*I	3.4446433214147314-0.26042637870030955*I
0.5383459743663264+0.4583484161766545*I	-0.0834691182450209-0.9964005276537871*I	0.5383459743663281+0.458348416176654*I	-0.41176334333038267+0.5746661501738288*I	-0.1594662318873583-0.9870000980022434*I	-0.4117633433303811+0.5746661501738283*I
2.747170553427304-0.20695416315947623*I	0.5383459743663275+0.45834841617665456*I	-3.242403015002708-0.21478021432048255*I	3.4446433214147323-0.2604263787003104*I	0.07330511666328476+0.45402801839262663*I	-3.0657635789357633-0.26822530312527915*I
-3.065763578935763-0.26822530312527915*I	-0.411763343330382+0.5746661501738283*I	3.4446433214147314-0.26042637870030977*I	-2.7573345550090407-0.33541834610168475*I	0.09207092735897593+0.5692869905693606*I	3.232239013420971-0.3275922949406779*I
0.07330511666328508+0.45402801839262646*I	-0.1594662318873591-0.9870000980022433*I	0.073305116663285+0.4540280183926259*I	0.09207092735897612+0.569286990569361*I	-0.15795344113448612-0.977781256809174*I	0.09207092735897604+0.5692869905693606*I
3.4446433214147314-0.26042637870031027*I	-0.4117633433303811+0.5746661501738287*I	-3.065763578935764-0.26822530312527904*I	3.2322390134209713-0.32759229494067843*I	0.09207092735897593+0.569286990569361*I	-2.7573345550090416-0.3354183461016847*I
